T,C0,C1,C2,C3,C4,IK,O0,O1,O2,O3,O4
3.7,0.86803901,0.1251767,0.0067702816,0.00016282093,1.4721462e-06,0.0,2.4912348e-05,2.2627797e-05,1.3461902e-05,4.7772578e-06,6.8693487e-07
3.75,0.8680433,0.12517741,0.0067703445,0.00016282451,1.4722681e-06,0.0,2.5235509e-05,2.2913056e-05,1.362462e-05,4.8359325e-06,6.9562697e-07
3.8,0.86804765,0.12517814,0.0067704082,0.0001628281,1.4723898e-06,0.0,2.555776e-05,2.3197512e-05,1.3786878e-05,4.8944412e-06,7.0429445e-07
3.8499999,0.86805207,0.12517887,0.0067704725,0.0001628317,1.4725113e-06,0.0,2.5879101e-05,2.3481163e-05,1.3948678e-05,4.9527848e-06,7.1293749e-07
3.9000001,0.86805654,0.12517962,0.0067705368,0.00016283529,1.4726326e-06,0.0,2.6199534e-05,2.3764014e-05,1.4110021e-05,5.0109638e-06,7.2155609e-07
3.95,0.86806107,0.12518038,0.0067706015,0.0001628389,1.4727535e-06,0.0,2.6519063e-05,2.4046069e-05,1.427091e-05,5.0689787e-06,7.3015036e-07
4.0,0.86806571,0.12518114,0.0067706672,0.00016284251,1.4728744e-06,0.0,2.6837692e-05,2.4327324e-05,1.4431343e-05,5.1268294e-06,7.387203e-07
4.0500002,0.86807036,0.12518191,0.0067707328,0.00016284612,1.472995e-06,0.0,2.715542e-05,2.4607789e-05,1.4591324e-05,5.1845172e-06,7.4726614e-07
4.0999999,0.86807507,0.12518269,0.0067707989,0.00016284973,1.4731155e-06,0.0,2.747225e-05,2.488746e-05,1.4750854e-05,5.2420419e-06,7.5578777e-07
4.1500001,0.8680799,0.12518348,0.0067708655,0.00016285335,1.4732357e-06,0.0,2.7788188e-05,2.5166342e-05,1.4909933e-05,5.2994042e-06,7.642854e-07
4.1999998,0.86808479,0.12518428,0.0067709326,0.00016285699,1.4733557e-06,0.0,2.8103233e-05,2.5444439e-05,1.5068564e-05,5.356605e-06,7.7275905e-07
4.25,0.86808968,0.12518509,0.0067710001,0.00016286061,1.4734754e-06,0.0,2.8417391e-05,2.5721751e-05,1.5226747e-05,5.413644e-06,7.8120871e-07
4.3000002,0.86809468,0.12518591,0.0067710681,0.00016286425,1.473595e-06,0.0,2.8730661e-05,2.5998279e-05,1.5384483e-05,5.4705224e-06,7.8963461e-07
4.3499999,0.86809975,0.12518673,0.0067711361,0.00016286789,1.4737144e-06,0.0,2.9043047e-05,2.6274027e-05,1.5541775e-05,5.5272399e-06,7.9803669e-07
4.4000001,0.86810488,0.12518756,0.006771205,0.00016287153,1.4738337e-06,0.0,2.9354551e-05,2.6548996e-05,1.5698623e-05,5.5837977e-06,8.0641502e-07
4.4499998,0.86811006,0.12518841,0.0067712739,0.00016287518,1.4739526e-06,0.0,2.9665178e-05,2.6823192e-05,1.5855028e-05,5.6401959e-06,8.1476975e-07
4.5,0.86811531,0.12518926,0.0067713438,0.00016287883,1.4740714e-06,0.0,2.9974928e-05,2.7096612e-05,1.6010992e-05,5.6964345e-06,8.2310095e-07
4.5500002,0.86812067,0.12519012,0.0067714136,0.0001628825,1.47419e-06,0.0,3.0283803e-05,2.7369262e-05,1.6166516e-05,5.7525149e-06,8.3140856e-07
