_1_task1,mRNA_ptsG_1_task1,mRNA_ptsH_2_task1,mRNA_ptsI_3_task1
61.0,4.566144786666866e-07,1.143503695000755e-07,1.0059285282372962e-08
62.0,4.566167269273096e-07,1.143512692066187e-07,1.0059374403502863e-08
63.0,4.5661887670403803e-07,1.1435212818727055e-07,1.0059459575259197e-08
64.0,4.566209316668333e-07,1.143529482129192e-07,1.0059540965737894e-08
65.0,4.5662289510046244e-07,1.1435373090626552e-07,1.005961873111329e-08
66.0,4.56624773200928e-07,1.1435447850901808e-07,1.0059693068193956e-08
67.0,4.5662656998732413e-07,1.1435519269770326e-07,1.005976413330112e-08
68.0,4.5662828788967694e-07,1.1435587472047631e-07,1.0059832051640746e-08
69.0,4.5662993010933786e-07,1.1435652594646789e-07,1.0059896954935892e-08
70.0,4.566314999468949e-07,1.1435714777973048e-07,1.0059958976488063e-08
71.0,4.5663300173014416e-07,1.1435774207894792e-07,1.0060018282697975e-08
72.0,4.566344377111415e-07,1.1435830975401205e-07,1.0060074967666509e-08
73.0,4.566358107007782e-07,1.1435885195760716e-07,1.0060129142684356e-08
74.0,4.5663712334740134e-07,1.1435936975893938e-07,1.0060180911728654e-08
75.0,4.5663837898615386e-07,1.1435986484358721e-07,1.0060230428236902e-08
76.0,4.566395799289826e-07,1.1436033810447944e-07,1.0060277780802959e-08
77.0,4.5664072828449e-07,1.1436079031744724e-07,1.006032304797982e-08
78.0,4.5664182621822057e-07,1.1436122235569906e-07,1.0060366315678439e-08
79.0,4.5664287574738147e-07,1.1436163502067119e-07,1.0060407663445836e-08
80.0,4.566438787408421e-07,1.1436202904202792e-07,1.00604471644651e-08
81.0,4.566448377468357e-07,1.1436240558033168e-07,1.0060484926865204e-08
82.0,4.566457555632953e-07,1.1436276596610455e-07,1.0060521072276863e-08
83.0,4.5664663301306026e-07,1.1436311034869132e-07,1.0060555624795155e-08
84.0,4.56647471694433e-07,1.1436343936669702e-07,1.006058864825726e-08
85.0,4.5664827308561305e-07,1.1436375360410162e-07,1.006062020154559e-08
86.0,4.566490385446965e-07,1.1436405359026006e-07,1.0060650338587781e-08
87.0,4.566497694385422e-07,1.1436433986369541e-07,1.0060679113686276e-08
88.0,4.5665046953343706e-07,1.1436461415556506e-07,1.0060706680390693e-08
89.0,4.5665113865036715e-07,1.1436487624878968e-07,1.0060733029094606e-08
90.0,4.566517780390039e-07,1.1436512663837144e-07,1.0060758209291095e-08
91.0,4.566523888624799e-07,1.1436536578130294e-07,1.0060782266906605e-08
92.0,4.566529721973886e-07,1.1436559409656713e-07,1.0060805244300936e-08
93.0,4.566535290337845e-07,1.1436581196513738e-07,1.006082718026725e-08
94.0,4.5665406165408474e-07,1.1436602037206875e-07,1.0060848166045084e-08
95.0,4.566545710200889e-07,1.1436621968975289e-07,1.0060868239177248e-08
96.0,4.5665505770453456e-07,1.1436641011170077e-07,1.0060887421350976e-08
97.0,4.5665552264390616e-07,1.1436659200309128e-07,1.0060905748978143e-08
98.0,4.566559667130848e-07,1.1436676570270505e-07,1.0060923255916895e-08
99.0,4.56656390725348e-07,1.1436693152292447e-07,1.0060939973471665e-08
100.0,4.566567958045413e-07,1.1436708992546773e-07,1.0060955946807051e-08
101.0,4.566571833515438e-07,1.1436724150555442e-07,1.0060971233468856e-08
102.0,4.5665755365390566e-07,1.1436738633539592e-07,1.0060985842064863e-08
103.0,4.5665790744439885e-07,1.1436752470012115e-07,1.0060999801001668e-08
104.0,4.566582454087655e-07,1.1436765686534214e-07,1.0061013136774882e-08
105.0,4.566585681857176e-07,1.1436778307715402e-07,1.0061025873969127e-08
106.0,4.566588763800385e-07,1.1436790356812482e-07,1.0061038035845285e-08
107.0,4.56659171942704e-07,1.143680191882641e-07,1.0061049706202226e-08
108.0,4.5665945451481164e-07,1.1436812973352741e-07,1.006106086549926e-08
109.0,4.566597246413659e-07,1.1436823541510627e-07,1.0061071534908944e-08
110.0,4.566599828265628e-07,1.1436833642751964e-07,1.0061081733971708e-08
111.0,4.566602295337897e-07,1.1436843294861394e-07,1.0061091480595872e-08
112.0,4.566604651856255e-07,1.143685251395631e-07,1.0061100791057624e-08
113.0,4.5666069016384055e-07,1.1436861314486848e-07,1.0061109680001036e-08
114.0,4.5666090480939664e-07,1.1436869709235897e-07,1.0061118160438057e-08
115.0,4.56661109422447e-07,1.1436877709319093e-07,1.0061126243748516e-08
116.0,4.566613063530193e-07,1.1436885414825682e-07,1.0061134027617421e-08
117.0,4.5666149483172244e-07,1.143689279070554e-07,1.006114147860664e-08
118.0,4.5666167500390594e-07,1.1436899841668795e-07,1.0061148601837758e-08
119.0,4.5666184717193053e-07,1.1436906579334737e-07,1.0061155409120842e-08
120.0,4.566620116076461e-07,1.1436913014101864e-07,1.0061161911066979e-08
121.0,4.566621685523919e-07,1.1436919155147868e-07,1.0061168117088272e-08
122.0,4.566623182169961e-07,1.1436925010429651e-07,1.006117403539784e-08
123.0,4.5666246078177636e-07,1.1436930586683315e-07,1.0061179673009819e-08
124.0,4.5666259639653933e-07,1.1436935889424163e-07,1.0061185035739362e-08
125.0,4.5666272706258044e-07,1.1436941001057981e-07,1.006119020350413e-08
126.0,4.5666285233204304e-07,1.1436945902385484e-07,1.0061195158249502e-08
127.0,4.5666297201899974e-07,1.1436950585124134e-07,1.006119989242283e-08
128.0,4.566630863230598e-07,1.1436955057038393e-07,1.0061204413919121e-08
129.0,4.5666319542409093e-07,1.143695932511892e-07,1.006120872986531e-08
130.0,4.5666329948222016e-07,1.1436963395582558e-07,1.006121284662026e-08
131.0,4.5666339863783307e-07,1.143696727387235e-07,1.0061216769774759e-08
132.0,4.566634930115744e-07,1.1436970964657524e-07,1.0061220504151528e-08
133.0,4.5666358270434753e-07,1.1436974471833503e-07,1.0061224053805207e-08
134.0,4.566636689250864e-07,1.1436977843494726e-07,1.0061227465776515e-08
135.0,4.566637516921688e-07,1.1436981080272535e-07,1.0061230740913998e-08
136.0,4.5666383073132177e-07,1.1436984171141473e-07,1.006123386871005e-08
137.0,4.566639061856327e-07,1.1436987121732841e-07,1.0061236854847219e-08
138.0,4.566639781860929e-07,1.143698993720899e-07,1.0061239704536585e-08
139.0,4.5666404685159726e-07,1.1436992622263321e-07,1.0061242422517745e-08
140.0,4.566641122889446e-07,1.143699518112029e-07,1.0061245013058828e-08
141.0,4.5666417459283737e-07,1.1436997617535405e-07,1.006124747995649e-08
142.0,4.566642338458818e-07,1.143699993479522e-07,1.0061249826535906e-08
143.0,4.566642906310211e-07,1.1437002155391141e-07,1.0061252075281712e-08
144.0,4.5666434516167117e-07,1.1437004287622817e-07,1.0061254234514166e-08
145.0,4.566643972344142e-07,1.1437006323781886e-07,1.0061256296576834e-08
146.0,4.566644469499467e-07,1.1437008267831295e-07,1.0061258265455625e-08
147.0,4.566644944010932e-07,1.1437010123427209e-07,1.0061260144826785e-08
148.0,4.566645396728058e-07,1.1437011893919019e-07,1.0061261938056906e-08
149.0,4.566645828421646e-07,1.1437013582349341e-07,1.0061263648202922e-08
150.0,4.56664623978377e-07,1.1437015191454013e-07,1.0061265278012113e-08
151.0,4.5666466314277867e-07,1.1437016723662087e-07,1.00612668299221e-08
152.0,4.5666470076075366e-07,1.1437018195271401e-07,1.0061268320525373e-08
153.0,4.566647371106647e-07,1.143701961696942e-07,1.0061269760693057e-08
154.0,4.5666477188995535e-07,1.1437020977295484e-07,1.0061271138700037e-08
155.0,4.566648051604157e-07,1.1437022278669053e-07,1.0061272456987643e-08
156.0,4.566648369775088e-07,1.143702352326171e-07,1.0061273717747644e-08
157.0,4.5666486739037106e-07,1.1437024712997167e-07,1.0061274922922262e-08
158.0,4.566648964418118e-07,1.1437025849551255e-07,1.0061276074204163e-08
159.0,4.566649241683138e-07,1.1437026934351938e-07,1.0061277173036457e-08
160.0,4.566649506000327e-07,1.1437027968579296e-07,1.006127822061271e-08
161.0,4.5666497576079754e-07,1.1437028953165538e-07,1.0061279217876921e-08
162.0,4.566649996681102e-07,1.1437029888794999e-07,1.0061280165523549e-08
163.0,4.566650223331461e-07,1.1437030775904136e-07,1.0061281063997488e-08
164.0,4.566650437607535e-07,1.1437031614681533e-07,1.0061281913494086e-08
165.0,4.566650651127515e-07,1.1437032450517563e-07,1.0061282759931635e-08
166.0,4.566650855636605e-07,1.1437033251158787e-07,1.0061283570692603e-08
167.0,4.5666510513497005e-07,1.143703401744189e-07,1.0061284346631418e-08
168.0,4.566651238506491e-07,1.1437034750299737e-07,1.0061285088700957e-08
169.0,4.5666514173043534e-07,1.1437035450499202e-07,1.0061285797687377e-08
170.0,4.5666515878983555e-07,1.1437036118641154e-07,1.0061286474210094e-08
171.0,4.5666517504012516e-07,1.1437036755160477e-07,1.0061287118721796e-08
172.0,4.5666519048834863e-07,1.143703736032605e-07,1.0061287731508438e-08
173.0,4.566652051373192e-07,1.143703793424076e-07,1.0061288312689241e-08
174.0,4.5666521898561896e-07,1.1437038476841496e-07,1.0061288862216693e-08
175.0,4.5666523202759897e-07,1.1437038987899152e-07,1.0061289379876551e-08
176.0,4.566652442533791e-07,1.1437039467018626e-07,1.006128986528784e-08
177.0,4.566652561906421e-07,1.1437039934881125e-07,1.0061290339171429e-08
178.0,4.5666526800873165e-07,1.143704039811822e-07,1.0061290808180642e-08
179.0,4.5666527929705017e-07,1.143704084062343e-07,1.00612912562021e-08
180.0,4.566652900698758e-07,1.1437041262948415e-07,1.0061291683800639e-08
181.0,4.566653003392377e-07,1.1437041665556552e-07,1.0061292091452167e-08
182.0,4.566653101149157e-07,1.1437042048822922e-07,1.0061292479543659e-08
183.0,4.566653194044405e-07,1.1437042413034319e-07,1.0061292848373162e-08
184.0,4.5666532821309344e-07,1.143704275838925e-07,1.0061293198149795e-08
185.0,4.5666533654390696e-07,1.1437043084997927e-07,1.006129352899374e-08
186.0,4.56665344397664e-07,1.1437043392882275e-07,1.0061293840936256e-08
187.0,4.5666535177289845e-07,1.1437043681975927e-07,1.0061294133919667e-08
188.0,4.56665358665895e-07,1.1437043952124227e-07,1.0061294407797368e-08
189.0,4.5666536510109666e-07,1.1437044204281414e-07,1.0061294663530364e-08
190.0,4.5666537168769744e-07,1.1437044462424505e-07,1.0061294925089294e-08
191.0,4.566653779621631e-07,1.1437044708295883e-07,1.0061295174232321e-08
192.0,4.5666538393600323e-07,1.1437044942341392e-07,1.0061295411410261e-08
193.0,4.566653896196743e-07,1.143704516496565e-07,1.0061295637032044e-08
194.0,4.5666539502257904e-07,1.143704537653207e-07,1.0061295851464721e-08
195.0,4.5666540015306676e-07,1.143704557736284e-07,1.0061296055033466e-08
196.0,4.566654050184331e-07,1.1437045767738945e-07,1.0061296248021567e-08
197.0,4.566654096249202e-07,1.1437045947900145e-07,1.0061296430670438e-08
198.0,4.5666541397771685e-07,1.1437046118044994e-07,1.0061296603179608e-08
199.0,4.566654180809581e-07,1.1437046278330823e-07,1.0061296765706723e-08
200.0,4.566654219377256e-07,1.1437046428873754e-07,1.0061296918367557e-08
201.0,4.566654255500473e-07,1.1437046569748692e-07,1.0061297061235999e-08
202.0,4.56665429061513e-07,1.1437046706690693e-07,1.0061297200119903e-08
203.0,4.566654324896235e-07,1.1437046840395027e-07,1.006129733572138e-08
204.0,4.566654357537435e-07,1.1437046967634651e-07,1.0061297464768843e-08
205.0,4.566654388613563e-07,1.1437047088706168e-07,1.006129758756027e-08
206.0,4.56665441819357e-07,1.1437047203883563e-07,1.0061297704370591e-08
207.0,4.566654446340522e-07,1.14370473134182e-07,1.0061297815451698e-08
208.0,4.566654473111602e-07,1.1437047417538827e-07,1.006129792103244e-08
209.0,4.566654498558107e-07,1.143704751645157e-07,1.0061298021318625e-08
210.0,4.566654522725453e-07,1.1437047610339938e-07,1.0061298116493016e-08
211.0,4.5666545456531715e-07,1.1437047699364821e-07,1.0061298206715339e-08
212.0,4.5666545673749105e-07,1.143704778366449e-07,1.0061298292122275e-08
213.0,4.5666545879184336e-07,1.1437047863354595e-07,1.0061298372827465e-08
214.0,4.566654607518824e-07,1.1437047939349583e-07,1.0061298449776984e-08
215.0,4.5666546278866653e-07,1.1437048018248653e-07,1.0061298529837932e-08
216.0,4.5666546474955775e-07,1.1437048094179914e-07,1.0061298606889643e-08
217.0,4.566654666378353e-07,1.1437048167278577e-07,1.0061298681068187e-08
218.0,4.566654684562777e-07,1.1437048237660635e-07,1.0061298752490136e-08
219.0,4.5666547020716367e-07,1.1437048305422851e-07,1.0061298821252554e-08
220.0,4.5666547189227134e-07,1.1437048370642769e-07,1.0061298887432997e-08
221.0,4.566654735128789e-07,1.1437048433378712e-07,1.006129895108952e-08
222.0,4.5666547506976404e-07,1.1437048493669769e-07,1.0061299012260667e-08
223.0,4.5666547656320436e-07,1.1437048551535818e-07,1.0061299070965483e-08
224.0,4.5666547799297723e-07,1.1437048606977505e-07,1.0061299127203503e-08
225.0,4.566654793583596e-07,1.1437048659976259e-07,1.0061299180954758e-08
226.0,4.5666548065812855e-07,1.1437048710494277e-07,1.0061299232179774e-08
227.0,4.5666548189056053e-07,1.1437048758474541e-07,1.0061299280819569e-08
228.0,4.566654830534319e-07,1.1437048803840804e-07,1.006129932679566e-08
229.0,4.566654841440188e-07,1.1437048846497598e-07,1.0061299370010057e-08
230.0,4.5666548515909715e-07,1.1437048886330233e-07,1.006129941034526e-08
231.0,4.5666548609494266e-07,1.1437048923204789e-07,1.0061299447664269e-08
232.0,4.5666548694733055e-07,1.1437048956968131e-07,1.0061299481810576e-08
233.0,4.566654877115363e-07,1.1437048987447894e-07,1.0061299512608173e-08
234.0,4.566654883823345e-07,1.1437049014452493e-07,1.0061299539861535e-08
235.0,4.5666548921364084e-07,1.143704904733472e-07,1.0061299573114497e-08
236.0,4.566654901913034e-07,1.1437049085572585e-07,1.0061299611834605e-08
237.0,4.566654911426977e-07,1.1437049122806122e-07,1.0061299649532365e-08
238.0,4.5666549206706307e-07,1.1437049159004996e-07,1.006129968617724e-08
239.0,4.5666549296333505e-07,1.1437049194126886e-07,1.0061299721726583e-08
240.0,4.566654938301459e-07,1.1437049228117498e-07,1.0061299756125627e-08
241.0,4.5666549466582405e-07,1.1437049260910554e-07,1.0061299789307499e-08
242.0,4.566654954683944e-07,1.1437049292427795e-07,1.0061299821193206e-08
243.0,4.5666549623557833e-07,1.1437049322578987e-07,1.0061299851691641e-08
244.0,4.5666549696479365e-07,1.143704935126191e-07,1.0061299880699588e-08
245.0,4.566654976531545e-07,1.143704937836237e-07,1.006129990810171e-08
246.0,4.5666549829747146e-07,1.1437049403754189e-07,1.0061299933770565e-08
247.0,4.566654988942516e-07,1.143704942729921e-07,1.006129995756659e-08
248.0,4.5666549943969825e-07,1.14370494488473e-07,1.0061299979338108e-08
249.0,4.5666549992971136e-07,1.1437049468236337e-07,1.0061299998921335e-08
250.0,4.566655003598871e-07,1.143704948529223e-07,1.0061300016140363e-08
251.0,4.5666550072551824e-07,1.14370494998289e-07,1.006130003080718e-08
252.0,4.566655010215938e-07,1.1437049511648293e-07,1.0061300042721651e-08
253.0,4.5666550124279936e-07,1.1437049520540372e-07,1.0061300051671537e-08
254.0,4.566655013835168e-07,1.1437049526283122e-07,1.0061300057432475e-08
255.0,4.566655014581423e-07,1.1437049529445588e-07,1.0061300060581632e-08
256.0,4.5666550187611695e-07,1.1437049546210537e-07,1.0061300077515982e-08
257.0,4.5666550227526915e-07,1.1437049562263635e-07,1.0061300093732938e-08
258.0,4.5666550265496385e-07,1.1437049577579887e-07,1.0061300109207858e-08
259.0,4.5666550301445374e-07,1.1437049592129887e-07,1.0061300123911657e-08
260.0,4.566655033528798e-07,1.1437049605879827e-07,1.006130013781081e-08
261.0,4.5666550366927077e-07,1.1437049618791487e-07,1.0061300150867349e-08
262.0,4.566655039625436e-07,1.1437049630822241e-07,1.0061300163038867e-08
263.0,4.5666550423150323e-07,1.1437049641925057e-07,1.0061300174278512e-08
264.0,4.5666550447484246e-07,1.1437049652048496e-07,1.0061300184534996e-08
265.0,4.5666550469114227e-07,1.143704966113671e-07,1.0061300193752584e-08
266.0,4.566655048788715e-07,1.1437049669129444e-07,1.0061300201871102e-08
267.0,4.566655050363872e-07,1.1437049675962037e-07,1.0061300208825937e-08
268.0,4.5666550516193425e-07,1.1437049681565421e-07,1.0061300214548032e-08
269.0,4.566655052536457e-07,1.143704968586612e-07,1.0061300218963888e-08
270.0,4.566655053095424e-07,1.1437049688786249e-07,1.0061300221995566e-08
271.0,4.566655053275335e-07,1.1437049690243519e-07,1.0061300223560684e-08
272.0,4.566655053054158e-07,1.1437049690151229e-07,1.0061300223572425e-08
273.0,4.5666550524087454e-07,1.1437049688418279e-07,1.006130022193952e-08
274.0,4.5666550513148257e-07,1.1437049684949152e-07,1.0061300218566269e-08
275.0,4.56665504974701e-07,1.1437049679643931e-07,1.006130021335252e-08
276.0,4.566655048898055e-07,1.1437049677087072e-07,1.0061300210890698e-08
277.0,4.5666550489778417e-07,1.1437049678083208e-07,1.0061300211986738e-08
278.0,4.566655048952385e-07,1.1437049678653483e-07,1.0061300212654682e-08
279.0,4.566655048825928e-07,1.1437049678811528e-07,1.0061300212908022e-08
280.0,4.5666550486026325e-07,1.1437049678570563e-07,1.0061300212759821e-08
281.0,4.566655048286579e-07,1.1437049677943394e-07,1.0061300212222698e-08
282.0,4.5666550478817694e-07,1.1437049676942424e-07,1.006130021130884e-08
283.0,4.5666550473921245e-07,1.1437049675579642e-07,1.0061300210029998e-08
284.0,4.5666550468214837e-07,1.143704967386663e-07,1.0061300208397481e-08
285.0,4.566655046173609e-07,1.1437049671814557e-07,1.0061300206422164e-08
286.0,4.5666550454521787e-07,1.1437049669434185e-07,1.0061300204114487e-08
287.0,4.566655044660792e-07,1.1437049666735866e-07,1.0061300201484451e-08
288.0,4.566655043802969e-07,1.143704966372954e-07,1.0061300198541626e-08
289.0,4.5666550428821473e-07,1.1437049660424741e-07,1.0061300195295132e-08
290.0,4.566655041901686e-07,1.1437049656830593e-07,1.0061300191753666e-08
291.0,4.5666550408648627e-07,1.1437049652955805e-07,1.006130018792548e-08
292.0,4.5666550397748753e-07,1.1437049648808682e-07,1.0061300183818391e-08
293.0,4.56665503863484e-07,1.1437049644397119e-07,1.0061300179439785e-08
294.0,4.566655037447795e-07,1.1437049639728598e-07,1.0061300174796602e-08
295.0,4.566655036216697e-07,1.1437049634810192e-07,1.006130016989535e-08
296.0,4.566655034944421e-07,1.143704962964857e-07,1.0061300164742101e-08
297.0,4.566655033753669e-07,1.1437049624932621e-07,1.0061300160159636e-08
298.0,4.5666550327005413e-07,1.143704962072321e-07,1.0061300155939625e-08
299.0,4.5666550316554827e-07,1.1437049616492392e-07,1.0061300151694392e-08
300.0,4.566655030624641e-07,1.1437049612262541e-07,1.006130014744553e-08
301.0,4.566655029614165e-07,1.1437049608056028e-07,1.0061300143214633e-08
302.0,4.566655028630203e-07,1.1437049603895225e-07,1.0061300139023299e-08
303.0,4.566655027678903e-07,1.1437049599802505e-07,1.0061300134893123e-08
304.0,4.5666550267664127e-07,1.143704959580024e-07,1.0061300130845699e-08
305.0,4.5666550258988816e-07,1.14370495919108e-07,1.0061300126902621e-08
306.0,4.566655025082457e-07,1.1437049588156563e-07,1.0061300123085489e-08
307.0,4.566655024323288e-07,1.1437049584559895e-07,1.0061300119415896e-08
308.0,4.5666550236275225e-07,1.1437049581143171e-07,1.0061300115915436e-08
309.0,4.5666550230013095e-07,1.1437049577928763e-07,1.0061300112605706e-08
310.0,4.566655022450796e-07,1.1437049574939042e-07,1.00613001095083e-08
311.0,4.5666550219821303e-07,1.1437049572196383e-07,1.0061300106644816e-08
312.0,4.566655021601462e-07,1.1437049569723156e-07,1.0061300104036844e-08
313.0,4.5666550213149394e-07,1.1437049567541734e-07,1.0061300101705985e-08
314.0,4.566655021128709e-07,1.1437049565674488e-07,1.0061300099673832e-08
315.0,4.566655021048921e-07,1.1437049564143793e-07,1.006130009796198e-08
316.0,4.5666550210817226e-07,1.1437049562972018e-07,1.0061300096592025e-08
317.0,4.5666550196691125e-07,1.1437049556862175e-07,1.00613000904848e-08
318.0,4.5666550164055857e-07,1.1437049544436678e-07,1.0061300078319468e-08
319.0,4.566655013121202e-07,1.1437049531920672e-07,1.0061300066065499e-08
320.0,4.566655009819942e-07,1.1437049519329144e-07,1.0061300053737408e-08
321.0,4.5666550065057817e-07,1.1437049506677087e-07,1.0061300041349711e-08
322.0,4.566655003182698e-07,1.1437049493979489e-07,1.0061300028916927e-08
323.0,4.5666549998546693e-07,1.1437049481251342e-07,1.006130001645357e-08
324.0,4.566654996525673e-07,1.1437049468507633e-07,1.0061300003974156e-08
325.0,4.566654993199687e-07,1.1437049455763353e-07,1.0061299991493203e-08
326.0,4.566654989880688e-07,1.1437049443033492e-07,1.0061299979025227e-08
327.0,4.566654986572654e-07,1.1437049430333039e-07,1.0061299966584742e-08
328.0,4.5666549832795623e-07,1.1437049417676986e-07,1.0061299954186267e-08
329.0,4.5666549800053903e-07,1.143704940508032e-07,1.0061299941844317e-08
330.0,4.5666549767541163e-07,1.1437049392558031e-07,1.006129992957341e-08
331.0,4.566654973529717e-07,1.1437049380125112e-07,1.006129991738806e-08
332.0,4.56665497033617e-07,1.143704936779655e-07,1.0061299905302785e-08
333.0,4.5666549671774527e-07,1.1437049355587335e-07,1.00612998933321e-08
334.0,4.566654964057543e-07,1.1437049343512458e-07,1.0061299881490521e-08
335.0,4.5666549609804183e-07,1.143704933158691e-07,1.0061299869792568e-08
336.0,4.5666549579500563e-07,1.1437049319825676e-07,1.0061299858252752e-08
337.0,4.566654954970435e-07,1.143704930824375e-07,1.0061299846885594e-08
338.0,4.5666549520455294e-07,1.143704929685612e-07,1.0061299835705608e-08
339.0,4.56665494917932e-07,1.1437049285677775e-07,1.0061299824727308e-08
340.0,4.566654946375783e-07,1.1437049274723708e-07,1.0061299813965215e-08
341.0,4.566654943638896e-07,1.1437049264008907e-07,1.0061299803433843e-08
342.0,4.5666549409726367e-07,1.1437049253548362e-07,1.0061299793147708e-08
343.0,4.566654938380982e-07,1.1437049243357062e-07,1.0061299783121326e-08
344.0,4.5666549358679106e-07,1.1437049233449998e-07,1.0061299773369216e-08
345.0,4.566654933437399e-07,1.1437049223842159e-07,1.0061299763905892e-08
346.0,4.566654931093424e-07,1.1437049214548534e-07,1.0061299754745871e-08
347.0,4.5666549288399654e-07,1.1437049205584116e-07,1.0061299745903668e-08
348.0,4.566654926680999e-07,1.1437049196963892e-07,1.0061299737393801e-08
349.0,4.566654924620503e-07,1.1437049188702851e-07,1.0061299729230784e-08
350.0,4.5666549226624546e-07,1.1437049180815984e-07,1.0061299721429139e-08
351.0,4.566654920810831e-07,1.1437049173318284e-07,1.0061299714003375e-08
352.0,4.5666549190696103e-07,1.1437049166224737e-07,1.0061299706968012e-08
353.0,4.5666549174427697e-07,1.1437049159550333e-07,1.0061299700337565e-08
354.0,4.566654915934287e-07,1.1437049153310061e-07,1.0061299694126554e-08
