IIA_1_task1,IIA_P_2_task1,_1_task1
9.62263356072108e-05,7.020587030426885e-06,60.0
9.622620158500823e-05,7.0207226223481565e-06,61.0
9.622607297849351e-05,7.020852671231469e-06,62.0
9.6225949443714e-05,7.020977508880693e-06,63.0
9.622583079077047e-05,7.021097334263486e-06,64.0
9.62257168207602e-05,7.021212352595977e-06,65.0
9.622560748228021e-05,7.021322642751911e-06,66.0
9.622550262985972e-05,7.02142836192084e-06,67.0
9.622540205186875e-05,7.0215297219636975e-06,68.0
9.622530558258144e-05,7.021626894471698e-06,69.0
9.622521307342255e-05,7.021720035513664e-06,70.0
9.622512444615898e-05,7.021809241692183e-06,71.0
9.622503951503787e-05,7.021894697082892e-06,72.0
9.622495813780127e-05,7.0219765484748525e-06,73.0
9.622488017433642e-05,7.02205493953129e-06,74.0
9.622480552293567e-05,7.022129985788683e-06,75.0
9.622473404729377e-05,7.0222018249915505e-06,76.0
9.622466561150885e-05,7.022270592959562e-06,77.0
9.622460009119453e-05,7.022336415925811e-06,78.0
9.622453736471613e-05,7.0223994165793725e-06,79.0
9.622447731319069e-05,7.022459714065301e-06,80.0
9.622441983860062e-05,7.022517414118016e-06,81.0
9.622436485439076e-05,7.022572614183111e-06,82.0
9.622431223678054e-05,7.022625429938012e-06,83.0
9.622426188495768e-05,7.022675962503957e-06,84.0
9.622421370147964e-05,7.022724309121594e-06,85.0
9.622416759227338e-05,7.022770563150984e-06,86.0
9.622412346791003e-05,7.022814813830095e-06,87.0
9.622408126724838e-05,7.022857141794569e-06,88.0
9.622404089468571e-05,7.022897630968088e-06,89.0
9.622400227330643e-05,7.022936358491228e-06,90.0
9.622396532989648e-05,7.022973397561078e-06,91.0
9.622392999494335e-05,7.023008817431235e-06,92.0
9.622389620263614e-05,7.0230426834118065e-06,93.0
9.62238638739637e-05,7.02307508215343e-06,94.0
9.622383294874309e-05,7.023106073734756e-06,95.0
9.6223803374201e-05,7.023135708743791e-06,96.0
9.622377509574639e-05,7.023164042081638e-06,97.0
9.622374806218411e-05,7.023191125163145e-06,98.0
9.622372222571495e-05,7.023217005916896e-06,99.0
9.62236975244815e-05,7.023241747437583e-06,100.0
9.622367388414093e-05,7.02326542630536e-06,101.0
9.622365128307007e-05,7.023288062904021e-06,102.0
9.622362967927258e-05,7.023309699532031e-06,103.0
9.622360903346461e-05,7.023330375731972e-06,104.0
9.622358930907471e-05,7.023350128290552e-06,105.0
9.622357047135046e-05,7.023368992142416e-06,106.0
9.62235523932376e-05,7.023387095579342e-06,107.0
9.622353510471485e-05,7.023404408032106e-06,108.0
9.622351857362191e-05,7.023420961777059e-06,109.0
9.622350277008662e-05,7.02343678676387e-06,110.0
9.622348766652498e-05,7.023451910615529e-06,111.0
9.622347323764114e-05,7.023466358628338e-06,112.0
9.622345946042747e-05,7.023480153771924e-06,113.0
9.622344631416442e-05,7.023493316689227e-06,114.0
9.622343378042067e-05,7.023505865696506e-06,115.0
9.622342171964524e-05,7.02351794275661e-06,116.0
9.622341017629795e-05,7.023529502005274e-06,117.0
9.622339914072316e-05,7.023540552827772e-06,118.0
9.622338859387659e-05,7.023551114202256e-06,119.0
9.622337851839418e-05,7.023561203400679e-06,120.0
9.62233688985923e-05,7.0235708359888e-06,121.0
9.622335972046754e-05,7.023580025826183e-06,122.0
9.622335097169686e-05,7.0235887850661925e-06,123.0
9.622334264163749e-05,7.023597124155998e-06,124.0
9.622333462539073e-05,7.023605150553171e-06,125.0
9.622332694303015e-05,7.023612843143998e-06,126.0
9.622331960140225e-05,7.023620194447941e-06,127.0
9.622331258782562e-05,7.023627217101208e-06,128.0
9.622330589075012e-05,7.0236339225987125e-06,129.0
9.622329949975692e-05,7.023640321294077e-06,130.0
9.622329340555853e-05,7.0236464223996285e-06,131.0
9.622328759999876e-05,7.023652233986401e-06,132.0
9.622328207605276e-05,7.023657762984137e-06,133.0
9.622327676969328e-05,7.023663074689426e-06,134.0
9.622327167837685e-05,7.023668171478195e-06,135.0
9.622326681475915e-05,7.023673040184673e-06,136.0
9.622326217009572e-05,7.023677689565965e-06,137.0
9.622325773637932e-05,7.023682127641267e-06,138.0
9.622325350633997e-05,7.02368636169188e-06,139.0
9.622324947344494e-05,7.023690398261197e-06,140.0
9.622324563189874e-05,7.023694243154712e-06,141.0
9.622324197664311e-05,7.023697901440013e-06,142.0
9.622323847322224e-05,7.023701407734215e-06,143.0
