Mlc_Mlcsite_ptsGp1_1_task1,_1_task1
2.4104649227799526e-11,101.0
2.410462755668004e-11,102.0
2.410460686145077e-11,103.0
2.410458710118192e-11,104.0
2.4104568238196037e-11,105.0
2.410455023705989e-11,106.0
2.4104532958388526e-11,107.0
2.4104516440168368e-11,108.0
2.4104500650466586e-11,109.0
2.4104485560123972e-11,110.0
2.4104471142754923e-11,111.0
2.4104457374747475e-11,112.0
2.4104444235263265e-11,113.0
2.4104431706237567e-11,114.0
2.4104419772379258e-11,115.0
2.4104408264512024e-11,116.0
2.4104397246919233e-11,117.0
2.41043867150568e-11,118.0
2.4104376652331232e-11,119.0
2.4104367044151024e-11,120.0
2.4104357877926677e-11,121.0
2.4104349143070664e-11,122.0
2.4104340830997467e-11,123.0
2.4104332935123543e-11,124.0
2.410432531252475e-11,125.0
2.4104318000069154e-11,126.0
2.410431101513005e-11,127.0
2.410430434649979e-11,128.0
2.410429798418105e-11,129.0
2.4104291919386834e-11,130.0
2.4104286144540492e-11,131.0
2.410428065327569e-11,132.0
2.4104275440436423e-11,133.0
2.4104270426022093e-11,134.0
2.4104265610200132e-11,135.0
2.4104261012752847e-11,136.0
2.4104256625195512e-11,137.0
2.410425243973819e-11,138.0
2.4104248449285698e-11,139.0
2.4104244647437633e-11,140.0
2.410424102848836e-11,141.0
2.410423758742702e-11,142.0
2.4104234290443115e-11,143.0
2.4104231124993765e-11,144.0
2.4104228102526608e-11,145.0
2.410422521698371e-11,146.0
2.4104222462758788e-11,147.0
2.410421983469721e-11,148.0
2.4104217328095992e-11,149.0
2.4104214938703797e-11,150.0
2.4104212662720936e-11,151.0
2.4104210477478283e-11,152.0
2.4104208367987066e-11,153.0
2.4104206349479674e-11,154.0
2.4104204418303565e-11,155.0
2.4104202571177566e-11,156.0
2.4104200805191875e-11,157.0
2.4104199117808052e-11,158.0
2.410419750685903e-11,159.0
2.41041959705491e-11,160.0
2.4104194507453926e-11,161.0
2.4104193116520538e-11,162.0
2.410419179706733e-11,163.0
2.410419054878407e-11,164.0
2.4104189305546512e-11,165.0
2.410418811430842e-11,166.0
2.4104186973846966e-11,167.0
2.4104185882809683e-11,168.0
2.4104184840096212e-11,169.0
2.4104183844858342e-11,170.0
2.4104182896499992e-11,171.0
2.4104181994677203e-11,172.0
2.410418113929815e-11,173.0
2.4104180330523154e-11,174.0
2.4104179568764647e-11,175.0
2.410417885468721e-11,176.0
2.410417815695781e-11,177.0
2.4104177465573474e-11,178.0
2.4104176805051902e-11,179.0
2.410417617462078e-11,180.0
2.4104175573641947e-11,181.0
2.4104175001611408e-11,182.0
2.4104174458159323e-11,183.0
2.4104173943050016e-11,184.0
2.410417345618196e-11,185.0
2.41041729975878e-11,186.0
2.4104172567434333e-11,187.0
2.410417216602252e-11,188.0
2.4104171791911315e-11,189.0
2.4104171407575592e-11,190.0
2.4104171041673543e-11,191.0
2.410417069354826e-11,192.0
2.4104170362603216e-11,193.0
2.4104170048302268e-11,194.0
2.4104169750169657e-11,195.0
2.4104169467790022e-11,196.0
2.4104169200808377e-11,197.0
2.4104168948930117e-11,198.0
2.4104168711921038e-11,199.0
2.4104168489607314e-11,200.0
2.4104168281875502e-11,201.0
2.410416807995385e-11,202.0
2.410416788277496e-11,203.0
2.4104167695266903e-11,204.0
2.410416751696665e-11,205.0
2.4104167347443123e-11,206.0
2.4104167186297182e-11,207.0
2.410416703316165e-11,208.0
2.410416688770128e-11,209.0
2.4104166749612795e-11,210.0
2.4104166618624854e-11,211.0
2.4104166494498064e-11,212.0
2.4104166377024985e-11,213.0
2.41041662649759e-11,214.0
2.4104166149828013e-11,215.0
2.410416603906724e-11,216.0
2.4104165932472714e-11,217.0
2.4104165829851146e-11,218.0
2.410416573103685e-11,219.0
2.4104165635891726e-11,220.0
2.4104165544305267e-11,221.0
2.410416545619455e-11,222.0
2.4104165371504255e-11,223.0
2.410416529020664e-11,224.0
2.4104165212301555e-11,225.0
2.4104165137816455e-11,226.0
2.4104165066806373e-11,227.0
2.4104164999353933e-11,228.0
2.4104164935569354e-11,229.0
2.4104164875590443e-11,230.0
2.4104164819582606e-11,231.0
2.4104164767738825e-11,232.0
2.4104164720279683e-11,233.0
2.4104164677453357e-11,234.0
2.4104164627148038e-11,235.0
2.410416457004526e-11,236.0
2.410416451439105e-11,237.0
2.410416446023548e-11,238.0
2.4104164407646838e-11,239.0
2.4104164356711612e-11,240.0
2.4104164307534494e-11,241.0
2.41041642602384e-11,242.0
2.410416421496444e-11,243.0
2.4104164171871936e-11,244.0
2.4104164131138422e-11,245.0
2.410416409295964e-11,246.0
2.4104164057549533e-11,247.0
2.410416402514026e-11,248.0
2.410416399598219e-11,249.0
2.410416397034389e-11,250.0
2.4104163948512145e-11,251.0
2.4104163930791943e-11,252.0
2.4104163917506485e-11,253.0
2.4104163908997175e-11,254.0
2.41041639043847e-11,255.0
2.4104163878700758e-11,256.0
2.4104163854027443e-11,257.0
2.41041638304011e-11,258.0
2.410416380786462e-11,259.0
2.410416378646739e-11,260.0
2.4104163766265338e-11,261.0
2.4104163747320918e-11,262.0
2.4104163729703108e-11,263.0
2.4104163713487408e-11,264.0
2.4104163698755845e-11,265.0
2.4104163685596972e-11,266.0
2.410416367410587e-11,267.0
2.4104163664384135e-11,268.0
2.41041636565399e-11,269.0
2.410416365068782e-11,270.0
2.410416364694907e-11,271.0
2.4104163645451354e-11,272.0
2.410416364632891e-11,273.0
2.410416364972248e-11,274.0
2.4104163655779356e-11,275.0
2.410416365801715e-11,276.0
2.410416365530348e-11,277.0
2.4104163653276463e-11,278.0
2.410416365192383e-11,279.0
2.410416365123416e-11,280.0
2.4104163651196918e-11,281.0
2.4104163651802424e-11,282.0
2.4104163653041873e-11,283.0
2.4104163654907317e-11,284.0
2.410416365739169e-11,285.0
2.410416366048878e-11,286.0
2.410416366419325e-11,287.0
2.4104163668500625e-11,288.0
2.410416367340731e-11,289.0
2.410416367891056e-11,290.0
2.4104163685008507e-11,291.0
2.410416369170015e-11,292.0
2.4104163698985355e-11,293.0
2.4104163706864855e-11,294.0
2.4104163715340248e-11,295.0
2.4104163724414002e-11,296.0
2.4104163733151107e-11,297.0
2.4104163739894552e-11,298.0
2.4104163746778917e-11,299.0
2.410416375376648e-11,300.0
2.4104163760819504e-11,301.0
2.4104163767900267e-11,302.0
2.4104163774971032e-11,303.0
2.410416378199408e-11,304.0
2.4104163788931676e-11,305.0
2.4104163795746094e-11,306.0
2.4104163802399605e-11,307.0
2.4104163808854476e-11,308.0
2.4104163815072984e-11,309.0
2.41041638210174e-11,310.0
2.410416382664999e-11,311.0
2.4104163831933032e-11,312.0
2.4104163836828794e-11,313.0
2.4104163841299547e-11,314.0
2.410416384530756e-11,315.0
2.4104163848815107e-11,316.0
2.410416385993793e-11,317.0
2.4104163880784148e-11,318.0
2.4104163901808474e-11,319.0
2.4104163922984492e-11,320.0
2.4104163944285792e-11,321.0
2.4104163965685966e-11,322.0
2.410416398715859e-11,323.0
2.4104164008677256e-11,324.0
2.4104164030215553e-11,325.0
2.4104164051747068e-11,326.0
2.4104164073245382e-11,327.0
2.4104164094684088e-11,328.0
2.4104164116036773e-11,329.0
2.410416413727702e-11,330.0
2.4104164158378416e-11,331.0
2.410416417931455e-11,332.0
2.4104164200059014e-11,333.0
2.4104164220585387e-11,334.0
2.4104164240867258e-11,335.0
2.4104164260878218e-11,336.0
2.4104164280591848e-11,337.0
2.4104164299981737e-11,338.0
2.4104164319021473e-11,339.0
2.4104164337684642e-11,340.0
2.4104164355944832e-11,341.0
2.4104164373775628e-11,342.0
2.410416439115062e-11,343.0
2.4104164408043394e-11,344.0
2.4104164424427535e-11,345.0
2.4104164440276632e-11,346.0
2.410416445556427e-11,347.0
2.4104164470264036e-11,348.0
2.410416448434952e-11,349.0
2.4104164497794306e-11,350.0
2.4104164510571982e-11,351.0
2.4104164522656137e-11,352.0
2.410416453402035e-11,353.0
2.410416454463822e-11,354.0
2.4104164554483327e-11,355.0
2.4104164563529254e-11,356.0
2.4104164571749594e-11,357.0
2.4104164579117935e-11,358.0
2.4104164585607858e-11,359.0
2.4104164591192956e-11,360.0
2.4104164595846816e-11,361.0
2.4104164599543015e-11,362.0
2.4104164602255152e-11,363.0
2.4104164603956808e-11,364.0
2.4104164604621574e-11,365.0
2.4104164604223028e-11,366.0
2.4104164602734765e-11,367.0
2.4104164600130374e-11,368.0
2.4104164596383433e-11,369.0
2.4104164591467538e-11,370.0
2.410416458535627e-11,371.0
2.4104164578023216e-11,372.0
2.4104164569441967e-11,373.0
2.4104164559586107e-11,374.0
2.4104164548429224e-11,375.0
2.41041645359449e-11,376.0
2.410416452210673e-11,377.0
2.4104164506888298e-11,378.0
2.4104164490263192e-11,379.0
2.4104164472204996e-11,380.0
2.4104164452687294e-11,381.0
2.4104164431683683e-11,382.0
2.4104164409167742e-11,383.0
2.410416438511306e-11,384.0
2.410416435949322e-11,385.0
2.410416436399568e-11,386.0
2.4104164370266165e-11,387.0
2.410416437637791e-11,388.0
2.410416438232558e-11,389.0
2.410416438810385e-11,390.0
2.410416439370739e-11,391.0
2.4104164399130878e-11,392.0
2.4104164404368983e-11,393.0
2.4104164409416384e-11,394.0
2.410416441426775e-11,395.0
2.4104164418917756e-11,396.0
2.4104164423361073e-11,397.0
2.4104164427592373e-11,398.0
2.4104164431606335e-11,399.0
2.4104164435397623e-11,400.0
2.4104164438960917e-11,401.0
2.410416444229089e-11,402.0
2.410416444538221e-11,403.0
2.410416444822956e-11,404.0
2.4104164450827602e-11,405.0
2.4104164453171014e-11,406.0
2.4104164455254472e-11,407.0
2.4104164457072647e-11,408.0
2.4104164458620205e-11,409.0
2.4104164459891834e-11,410.0
2.4104164460882192e-11,411.0
2.410416446158596e-11,412.0
2.410416446199781e-11,413.0
2.4104164462112417e-11,414.0
2.4104164461924453e-11,415.0
2.4104164461428587e-11,416.0
2.4104164460619494e-11,417.0
2.4104164459491853e-11,418.0
2.4104164458040332e-11,419.0
2.4104164456259603e-11,420.0
2.4104164454144344e-11,421.0
2.4104164451689223e-11,422.0
2.4104164448888917e-11,423.0
2.4104164445738092e-11,424.0
2.410416444223143e-11,425.0
2.4104164438363602e-11,426.0
2.4104164434129278e-11,427.0
2.4104164429523132e-11,428.0
2.4104164424539837e-11,429.0
2.4104164419174072e-11,430.0
2.41041644134205e-11,431.0
2.4104164407273802e-11,432.0
2.4104164400728652e-11,433.0
2.4104164393779714e-11,434.0
2.410416438642167e-11,435.0
2.4104164378649188e-11,436.0
2.4104164370456943e-11,437.0
2.410416436183961e-11,438.0
2.410416435279186e-11,439.0
2.4104164343308365e-11,440.0
2.41041643333838e-11,441.0
2.410416432301284e-11,442.0
2.410416431219015e-11,443.0
2.4104164300910415e-11,444.0
2.41041642891683e-11,445.0
2.410416427695848e-11,446.0
2.4104164264275626e-11,447.0
2.4104164251114417e-11,448.0
2.410416423746952e-11,449.0
2.410416422333561e-11,450.0
2.4104164208707365e-11,451.0
2.4104164193579453e-11,452.0
2.4104164177946547e-11,453.0
2.4104164166711595e-11,454.0
2.4104164161894163e-11,455.0
2.4104164157064256e-11,456.0
2.410416415222381e-11,457.0
2.4104164147374772e-11,458.0
2.4104164142519086e-11,459.0
2.4104164137658692e-11,460.0
2.4104164132795542e-11,461.0
2.4104164127931572e-11,462.0
2.4104164123068726e-11,463.0
2.4104164118208946e-11,464.0
2.410416411335418e-11,465.0
2.410416410850637e-11,466.0
2.410416410366746e-11,467.0
2.410416409883939e-11,468.0
2.4104164094024104e-11,469.0
2.4104164089223552e-11,470.0
2.410416408443967e-11,471.0
2.41041640796744e-11,472.0
2.4104164074929693e-11,473.0
2.4104164070207487e-11,474.0
2.4104164065509728e-11,475.0
2.4104164060838355e-11,476.0
2.410416405619532e-11,477.0
2.4104164051582556e-11,478.0
2.4104164047002014e-11,479.0
2.4104164042455632e-11,480.0
2.4104164037945362e-11,481.0
2.410416403347314e-11,482.0
2.4104164029040908e-11,483.0
2.4104164024650615e-11,484.0
2.41041640203042e-11,485.0
2.4104164016003608e-11,486.0
2.4104164011750785e-11,487.0
2.410416400754767e-11,488.0
2.410416400339621e-11,489.0
2.4104163999298347e-11,490.0
2.4104163995256025e-11,491.0
2.4104163991271182e-11,492.0
2.410416398734577e-11,493.0
2.410416398348173e-11,494.0
2.4104163979680996e-11,495.0
2.4104163975945526e-11,496.0
2.4104163972277257e-11,497.0
2.410416396867813e-11,498.0
2.4104163965150092e-11,499.0
2.410416396169508e-11,500.0
1.7820895295915983e-10,501.0
1.7867829873333326e-10,502.0
1.7935829008760786e-10,503.0
1.8018896364113557e-10,504.0
1.8112484942304177e-10,505.0
1.8213136703755471e-10,506.0
1.8318211831566267e-10,507.0
1.8425701910895417e-10,508.0
1.8534086702509497e-10,509.0
1.8642223750075054e-10,510.0
1.8749265181857124e-10,511.0
1.8854586738423362e-10,512.0
1.8957739668046677e-10,513.0
1.905841594257069e-10,514.0
1.915640534146024e-10,515.0
1.9251579446079783e-10,516.0
1.9343869525478255e-10,517.0
1.9433252015010745e-10,518.0
1.951973702939205e-10,519.0
1.9603359607048572e-10,520.0
1.9684172714342532e-10,521.0
1.9762240946549948e-10,522.0
1.9837638322347973e-10,523.0
1.9910443790873003e-10,524.0
1.9980739604725923e-10,525.0
2.0048609216743549e-10,526.0
2.0114136074446467e-10,527.0
2.017740289186394e-10,528.0
2.0238490868049388e-10,529.0
2.0297478837762154e-10,530.0
2.0354445050279646e-10,531.0
2.040946209607559e-10,532.0
2.0462602204213328e-10,533.0
2.0513934801234465e-10,534.0
2.056352698872401e-10,535.0
2.0611443265491942e-10,536.0
2.065774380866322e-10,537.0
2.070248753319905e-10,538.0
2.0745731612501843e-10,539.0
2.0787530118900633e-10,540.0
2.0827935073215729e-10,541.0
2.0866996451757233e-10,542.0
2.090476205901394e-10,543.0
2.09412782583098e-10,544.0
2.097658901570257e-10,545.0
2.101073623916224e-10,546.0
2.1043760529792498e-10,547.0
2.1075701012924014e-10,548.0
2.110659511624554e-10,549.0
2.1136479047212475e-10,550.0
2.1165387181370846e-10,551.0
2.1193352825433437e-10,552.0
2.1220408541981631e-10,553.0
2.1246582839969624e-10,554.0
2.1271910911471412e-10,555.0
2.129641335625628e-10,556.0
2.1320124382522386e-10,557.0
2.1343066281926673e-10,558.0
2.1365266007113158e-10,559.0
2.1386748030275694e-10,560.0
2.1407536126051397e-10,561.0
2.1427653057340774e-10,562.0
2.1447120713105712e-10,563.0
2.146596033303446e-10,564.0
2.1484192497881412e-10,565.0
2.150183698661459e-10,566.0
2.1518912958888372e-10,567.0
2.153543882999317e-10,568.0
2.1551432665437394e-10,569.0
2.1566911629951225e-10,570.0
2.158189215594942e-10,571.0
2.1596390010877965e-10,572.0
2.161042073079573e-10,573.0
2.16239996045383e-10,574.0
2.1637141231098937e-10,575.0
2.1649859194621133e-10,576.0
2.1662167302374952e-10,577.0
2.1674078776858033e-10,578.0
2.168560654393179e-10,579.0
2.1696762436635959e-10,580.0
2.1707558043893455e-10,581.0
2.171800607049902e-10,582.0
2.1728117398988846e-10,583.0
2.1737902378639132e-10,584.0
2.1747370645237536e-10,585.0
2.1756532824418966e-10,586.0
2.1765399832514685e-10,587.0
2.177397964662551e-10,588.0
2.1782281949708487e-10,589.0
2.1790316615710845e-10,590.0
2.1798090591616555e-10,591.0
2.1805612506453787e-10,592.0
2.1812891872629687e-10,593.0
2.1819935094076081e-10,594.0
2.1826749737690423e-10,595.0
2.183334374727675e-10,596.0
2.1839723823516053e-10,597.0
2.184589690004901e-10,598.0
2.185186980812529e-10,599.0
2.185764873340211e-10,600.0
2.1863239407911168e-10,601.0
2.1868648605179376e-10,602.0
2.1873883609410636e-10,603.0
2.1878946158552018e-10,604.0
2.188384499296912e-10,605.0
2.1888584775360612e-10,606.0
2.1893170408611737e-10,607.0
2.1897605981055719e-10,608.0
2.1901896914784414e-10,609.0
2.1906048085282126e-10,610.0
2.1910063996656738e-10,611.0
2.191394891289476e-10,612.0
2.1917707126025727e-10,613.0
2.192134272885519e-10,614.0
2.1924859612449863e-10,615.0
2.1928261701397604e-10,616.0
2.1931552694134486e-10,617.0
2.1934736041939282e-10,618.0
2.1937815398433863e-10,619.0
2.1940794199500327e-10,620.0
2.1943675737025584e-10,621.0
2.1946463118564128e-10,622.0
2.194915929663267e-10,623.0
2.1951767365643017e-10,624.0
2.19542900821644e-10,625.0
2.1956730081940404e-10,626.0
2.1959090205081384e-10,627.0
2.1961372999598693e-10,628.0
2.1963580904800572e-10,629.0
2.196571643659131e-10,630.0
2.1967781951800208e-10,631.0
2.1969779711747846e-10,632.0
2.1971711951913588e-10,633.0
2.1973580809235742e-10,634.0
2.1975388338993164e-10,635.0
2.1977136548284713e-10,636.0
2.1978827420574962e-10,637.0
2.1980462795662065e-10,638.0
2.1982044468870607e-10,639.0
2.1983574220757397e-10,640.0
2.198505371973908e-10,641.0
2.19864845708749e-10,642.0
2.1987868385851893e-10,643.0
2.1989206804792491e-10,644.0
2.1990501260811494e-10,645.0
2.1991753190967226e-10,646.0
2.1992963917892192e-10,647.0
2.1994134766084622e-10,648.0
2.1995266988277822e-10,649.0
2.1996361947737613e-10,650.0
2.1997421076454032e-10,651.0
2.1998445510831679e-10,652.0
2.1999436454045657e-10,653.0
2.2000394611522758e-10,654.0
2.200132099993008e-10,655.0
2.2002216597270033e-10,656.0
2.2003082724885763e-10,657.0
2.2003920252856786e-10,658.0
2.2004730274822024e-10,659.0
2.2005513887284283e-10,660.0
2.200627213633725e-10,661.0
2.2007005288239794e-10,662.0
2.2007714336181859e-10,663.0
2.200839978561253e-10,664.0
2.2009062289843384e-10,665.0
2.2009702784350385e-10,666.0
2.2010322208228336e-10,667.0
2.2010921319379325e-10,668.0
2.2011500951267384e-10,669.0
2.2012061806019548e-10,670.0
2.2012604082112718e-10,671.0
2.2013128509155734e-10,672.0
2.2013635408158604e-10,673.0
2.2014125333308854e-10,674.0
2.2014599154736204e-10,675.0
2.2015057496378227e-10,676.0
2.2015500768498445e-10,677.0
2.2015929426164779e-10,678.0
2.201634397827081e-10,679.0
2.2016744830501525e-10,680.0
2.201713246912433e-10,681.0
2.201750731388535e-10,682.0
2.2017869815331378e-10,683.0
2.2018220313593604e-10,684.0
2.2018559264964783e-10,685.0
2.2018887048312143e-10,686.0
2.201920398041175e-10,687.0
2.201951048345373e-10,688.0
2.2019806870781004e-10,689.0
2.2020093466596648e-10,690.0
2.2020370647812508e-10,691.0
2.2020638647158218e-10,692.0
2.202089780346119e-10,693.0
2.2021148426885607e-10,694.0
2.202139070274546e-10,695.0
2.2021624990525712e-10,696.0
2.2021851586800745e-10,697.0
2.2022070727909985e-10,698.0
2.202228254818951e-10,699.0
2.2022487393633454e-10,700.0
2.2022685527208865e-10,701.0
2.2022877120609075e-10,702.0
2.2023062332530747e-10,703.0
2.2023241456275618e-10,704.0
2.2023414723785754e-10,705.0
2.2023582214243503e-10,706.0
2.2023744197642607e-10,707.0
2.2023900843899732e-10,708.0
2.2024052368536048e-10,709.0
2.2024198844092358e-10,710.0
2.2024340487631145e-10,711.0
2.2024477481693677e-10,712.0
2.2024609981330243e-10,713.0
2.2024738131213624e-10,714.0
2.2024862081057857e-10,715.0
2.2024982000462002e-10,716.0
2.202509798658444e-10,717.0
2.2025210153905774e-10,718.0
2.2025318607646104e-10,719.0
2.2025423443765014e-10,720.0
2.2025524874409006e-10,721.0
2.2025622995070857e-10,722.0
2.2025717870927223e-10,723.0
2.2025809594374702e-10,724.0
2.2025898251716037e-10,725.0
2.2025983943317077e-10,726.0
2.202606686879159e-10,727.0
2.2026147050734565e-10,728.0
2.202622457688154e-10,729.0
2.2026299531451889e-10,730.0
2.202637199514882e-10,731.0
2.2026442053504843e-10,732.0
2.2026509784479613e-10,733.0
2.2026575256876467e-10,734.0
2.202663854006601e-10,735.0
2.2026699700164097e-10,736.0
2.2026758804381409e-10,737.0
2.2026816016186183e-10,738.0
2.2026871348062032e-10,739.0
2.2026924868582466e-10,740.0
2.2026976644508618e-10,741.0
2.202702674078925e-10,742.0
2.2027075220560748e-10,743.0
2.2027122039031116e-10,744.0
2.202716729617963e-10,745.0
2.20272110480899e-10,746.0
2.2027253345058915e-10,747.0
2.2027294237383684e-10,748.0
2.2027333757832073e-10,749.0
2.2027371958543616e-10,750.0
2.2027408891390074e-10,751.0
2.2027444604633046e-10,752.0
2.2027479146534122e-10,753.0
2.2027512534319477e-10,754.0
2.2027544807437002e-10,755.0
2.2027576022727578e-10,756.0
2.2027606223844813e-10,757.0
2.2027635454442297e-10,758.0
2.2027663715146437e-10,759.0
2.202769101074401e-10,760.0
2.202771740946339e-10,761.0
2.2027742946324208e-10,762.0
2.2027767656346105e-10,763.0
2.202779154993106e-10,764.0
2.2027814615420179e-10,765.0
2.2027836918390833e-10,766.0
2.2027858488262255e-10,767.0
2.2027879354453686e-10,768.0
2.202789954638436e-10,769.0
2.2027919069230703e-10,770.0
2.2027937921600974e-10,771.0
2.2027956154886413e-10,772.0
2.2027973794001928e-10,773.0
2.202799086386242e-10,774.0
2.2028007389382808e-10,775.0
2.2028023362453714e-10,776.0
2.202803878070262e-10,777.0
2.2028053691095068e-10,778.0
2.2028068113385787e-10,779.0
2.2028082067329506e-10,780.0
2.2028095572680962e-10,781.0
2.2028108626940175e-10,782.0
2.2028121238875254e-10,783.0
2.202813343912084e-10,784.0
2.2028145244444132e-10,785.0
2.2028156671612337e-10,786.0
2.202816773739266e-10,787.0
2.2028178412296426e-10,788.0
2.202818870933764e-10,789.0
2.2028198665070042e-10,790.0
2.202820829308502e-10,791.0
2.202821760697396e-10,792.0
2.2028226620328262e-10,793.0
2.2028235346739313e-10,794.0
2.20282437997985e-10,795.0
2.2028251946634864e-10,796.0
2.2028259810356203e-10,797.0
2.2028267415850044e-10,798.0
2.202827477404298e-10,799.0
2.2028281895861591e-10,800.0
2.2028288792232464e-10,801.0
2.2028295474082195e-10,802.0
2.202830195233736e-10,803.0
2.2028308183287206e-10,804.0
2.2028314200659799e-10,805.0
2.2028320021156879e-10,806.0
2.2028325653027828e-10,807.0
2.2028331104522043e-10,808.0
2.2028336383888912e-10,809.0
2.2028341499377826e-10,810.0
2.2028346459238175e-10,811.0
2.20283512253813e-10,812.0
2.2028355833005384e-10,813.0
2.2028360290327346e-10,814.0
2.2028364603623476e-10,815.0
2.2028368779170067e-10,816.0
2.202837282324341e-10,817.0
2.2028376742119794e-10,818.0
2.2028380539299832e-10,819.0
2.202838417368289e-10,820.0
2.2028387686606552e-10,821.0
2.2028391082970955e-10,822.0
2.2028394367676223e-10,823.0
2.2028397545622497e-10,824.0
2.20284006217099e-10,825.0
2.202840360083856e-10,826.0
2.2028406487908615e-10,827.0
2.2028409287820196e-10,828.0
2.2028411999127305e-10,829.0
2.2028414591468647e-10,830.0
2.2028417097909298e-10,831.0
2.2028419522134098e-10,832.0
2.2028421867827862e-10,833.0
2.2028424138675424e-10,834.0
2.2028426338361607e-10,835.0
2.2028428470571243e-10,836.0
2.2028430538989154e-10,837.0
2.202843254730017e-10,838.0
2.2028434490195137e-10,839.0
2.2028436346617413e-10,840.0
2.2028438142206873e-10,841.0
2.2028439879592376e-10,842.0
2.2028441561402773e-10,843.0
2.2028443190266924e-10,844.0
2.2028444768813678e-10,845.0
2.2028446299671892e-10,846.0
2.202844778547042e-10,847.0
2.202844922883812e-10,848.0
2.2028450595561167e-10,849.0
2.2028451939291115e-10,850.0
2.2028453236759908e-10,851.0
2.2028454490450437e-10,852.0
2.2028455702766508e-10,853.0
2.202845687603284e-10,854.0
2.202845801249507e-10,855.0
2.2028459114319746e-10,856.0
2.2028460183594335e-10,857.0
2.2028461222327222e-10,858.0
2.2028462225516328e-10,859.0
2.2028463189974113e-10,860.0
2.202846412461477e-10,861.0
2.2028465030581206e-10,862.0
2.2028465908912196e-10,863.0
2.2028466760542406e-10,864.0
2.2028467586302375e-10,865.0
2.2028468386918522e-10,866.0
2.2028469163013132e-10,867.0
2.202846991510439e-10,868.0
2.2028470643606336e-10,869.0
2.2028471348828905e-10,870.0
2.2028472030977893e-10,871.0
2.2028472691660836e-10,872.0
2.2028473343358414e-10,873.0
2.2028473976109368e-10,874.0
2.2028474590183796e-10,875.0
2.2028475185769936e-10,876.0
2.2028475762974156e-10,877.0
2.2028476321820953e-10,878.0
2.202847686225295e-10,879.0
2.2028477384130924e-10,880.0
2.2028477887233756e-10,881.0
2.2028478371258473e-10,882.0
2.2028478835820236e-10,883.0
2.2028479280452332e-10,884.0
2.2028479704606182e-10,885.0
