Time,C,S,V_C,r,K,d,phi,beta,eta,mu,r_tilde,phi_tilde,alpha,d_tilde,N,compartment,Susceptible_Logistic_Growth,Susceptible_Absorption_Virus,Susceptible_Death,Chronic_Infected_Death,Chronic_Infected_Logistic_Growth,Virus_Chronic_Release_From_Chronic_Infected,Virus_Chronic_Decay
30.0,849444.4204549616,783813712.1152191,3060186.4667663523,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784663156.5356741,1.0,32679337.327179763,11993.080571404455,32658904.67146746,42472.22102274808,20894.19531133288,84944.44204549617,265012.1480219661
31.0,839617.5802935314,783822660.6432272,2876088.6357163377,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784662278.2235208,1.0,32679971.264660954,11271.717233464648,32659277.52680113,41980.879014676575,20652.64461807988,83961.75802935315,249069.27585303484
32.0,829354.5991436306,783832492.457835,2706961.8747849585,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784661847.0569786,1.0,32680509.23641453,10609.023366505138,32659687.185743123,41467.72995718153,20400.279026392087,82935.45991436306,234422.8983563774
33.0,818721.6407282042,783843035.2448641,2551472.069593883,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784661756.8855923,1.0,32680975.57985856,9999.768056864821,32660126.468536004,40936.08203641021,20138.748395099337,81872.16407282042,220957.48122683028
34.0,807778.3018126623,783854149.1762639,2408406.603103036,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784661927.4780766,1.0,32681388.289855324,9439.197543729131,32660589.549010996,40388.91509063312,19869.535566446382,80777.83018126624,208568.01182872293
35.0,796578.2215588609,783865719.7990361,2276663.236873255,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784662298.020595,1.0,32681760.653127376,8922.991334558288,32661071.658293173,39828.91107794305,19593.972716481156,79657.8221558861,197159.03631322389
36.0,785169.6381336009,783877652.5487947,2155239.961673467,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784662822.1869284,1.0,32682102.48352797,8447.222209179758,32661568.85619978,39258.48190668005,19313.25608242588,78516.9638133601,186643.78068092224
37.0,773595.8905551492,783889868.6620891,2043225.8518829609,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784663464.5526443,1.0,32682421.016466074,8008.320223397595,32662077.860920377,38679.79452775746,19028.459066279283,77359.58905551492,176943.3587730644
38.0,761895.8751383073,783902302.035334,1939792.749803584,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784664197.9104723,1.0,32682721.575156678,7603.0400102124,32662595.918138914,38094.793756915366,18740.54403253522,76189.58751383073,167986.0521329904
39.0,750104.4616716885,783914896.770223,1844187.6845782825,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784665001.2318947,1.0,32683008.073588125,7228.430991905505,32663120.69875929,37505.223083584424,18450.372977756688,75010.44616716885,159706.65348447926
40.0,738252.8719271757,783927605.2931813,1755725.977475358,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784665858.1651084,1.0,32683283.3841406,6881.810305366435,32663650.22054922,36912.64359635879,18158.71716098153,73825.28719271757,152045.86964936598
41.0,726369.0208881925,783940386.8991446,1673785.0252630014,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784666755.9200329,1.0,32683549.60796035,6560.73840145336,32664182.787464358,36318.45104440962,17866.265735445904,72636.90208881925,144949.78318777593
42.0,714477.817938471,783953206.6235477,1597798.8118350795,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784667684.4414861,1.0,32683808.273445226,6262.997510387025,32664716.94264782,35723.89089692355,17573.63333474109,71447.7817938471,138369.37710491786
43.0,702601.4771175006,783966034.2148577,1527252.2525852101,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784668635.6919752,1.0,32684060.506382503,5986.569458524676,32665251.42561907,35130.07385587503,17281.367853374777,70260.14771175006,132260.04507387918
44.0,690759.743098066,783978843.5392271,1461677.0728820176,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784669603.2823251,1.0,32684307.114796072,5729.619506129234,32665785.147467796,34537.9871549033,16989.956090237923,69075.9743098066,126581.23451158272
45.0,678970.1467518803,783991611.8779156,1400647.1444941063,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784670582.0246675,1.0,32684548.692396656,5490.4780624206705,32666317.161579818,33948.50733759402,16699.8301262402,67897.01467518804,121296.0427131896
46.0,667248.2028741344,784004319.5230281,1343774.8749994005,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784671567.7259023,1.0,32684785.66304706,5267.626532330235,32666846.646792836,33362.41014370672,16411.372236492698,66724.82028741344,116370.90417494808
47.0,655607.6070485095,784016949.3354323,1290707.6104303694,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784672556.9424808,1.0,32685018.33514754,5059.683216068219,32667372.888976343,32780.380352425476,16124.919783750158,65560.76070485095,111775.27906326999
48.0,644060.4089756529,784029486.4282608,1241124.4651515612,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784673546.8372364,1.0,32685246.93094853,4865.390885031642,32667895.2678442,32203.020448782645,15840.769514284124,64406.04089756529,107481.3786821252
49.0,632617.1771970319,784041917.8738576,1194733.3062332082,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784674535.0510546,1.0,32685471.61243775,4683.6049638342965,32668413.244744066,31630.858859851596,15559.181637597596,63261.71771970319,103463.90431979582
50.0,621287.1317791969,784054232.4858295,1151268.3217277357,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784675519.6176087,1.0,32685692.497568205,4513.284001887443,32668926.353576228,31064.356588959847,15280.383109930131,62128.71317791969,99699.83666162191
51.0,610078.2806934941,784066420.6068105,1110487.518776198,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784676498.887504,1.0,32685909.673932638,4353.479869876958,32669434.191950433,30503.914034674708,15004.571005832198,61007.828069349416,96168.21912601874
52.0,598997.5364785697,784078473.9357678,1072170.5805730766,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784677471.4722463,1.0,32686123.208199292,4203.329363072819,32669936.413990323,29949.876823928487,14731.915400752794,59899.753647856975,92849.97227762843
53.0,588050.8353391829,784090385.3606051,1036116.6754300077,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784678436.1959443,1.0,32686333.153473075,4062.0456165823184,32670432.723358545,29402.541766959144,14462.562311455938,58805.08353391829,89727.70409223867
54.0,577243.2099893519,784102148.8601899,1002143.1138818233,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784679392.0701792,1.0,32686539.55266957,3928.912845300898,32670922.869174577,28862.160499467598,14196.635494889833,57724.320998935196,86785.59366216589
55.0,566578.8977495315,784113759.359191,970083.3557575308,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784680338.2569405,1.0,32686742.44346864,3803.278534874084,32671406.639966287,28328.94488747658,13934.239115046155,56657.88977495316,84009.21860860217
56.0,556061.4145349883,784125212.6352333,939785.6412858205,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784681274.0497683,1.0,32686941.860040903,3684.5480790239153,32671883.859801386,27803.070726749418,13675.459567949716,55606.141453498836,81385.43653535206
57.0,545693.6255430633,784136505.229191,911111.6879456085,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784682198.8547341,1.0,32687137.83495428,3572.179674295693,32672354.38454962,27284.681277153166,13420.367225044367,54569.36255430633,78902.2721760897
58.0,535477.8172549697,784147634.3552426,883935.330605285,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784683112.1724976,1.0,32687330.400751133,3465.6789920857673,32672818.098135106,26773.89086274849,13169.018208350466,53547.78172549698,76548.79963041768
59.0,525415.7453164387,784158597.8445387,858141.6711417533,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784684013.5898551,1.0,32687519.590107936,3364.5958479724322,32673274.91018911,26270.78726582194,12921.455570897391,52541.57453164388,74315.06872087583
60.0,515508.7031540624,784169394.0636142,833625.7653283278,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784684902.7667683,1.0,32687705.43628473,3268.5190563666574,32673724.752650592,25775.43515770312,12677.710987386014,51550.87031540624,72191.99127743319
61.0,505757.5602235608,784180021.8664176,810291.923671696,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784685779.4266412,1.0,32687887.974011965,3177.0736921152607,32674167.577767402,25287.87801117804,12437.805697346279,50575.75602235608,70171.28058996887
62.0,496162.81253347284,784190480.53742,788052.757424557,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784686643.3499535,1.0,32688067.23900838,3089.917352668011,32674603.355725832,24808.140626673645,12201.751749577532,49616.28125334729,68245.36879296663
63.0,486724.6182992225,784200769.7481135,766828.5129886358,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784687494.3664128,1.0,32688243.268497445,3006.7375507524475,32675032.07283806,24336.230914961125,11969.55288088718,48672.46182992225,66407.34922481586
64.0,477442.8384124009,784210889.5114777,746546.3052169738,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784688332.3498901,1.0,32688416.100812495,2927.2487103785506,32675453.729644902,23872.141920620048,11741.205512764092,47744.283841240096,64650.91003178993
65.0,468317.06629725103,784220840.1464947,727139.5540587209,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784689157.212792,1.0,32688585.77558845,2851.189959938388,32675868.33943728,23415.853314862554,11516.69948697739,46831.70662972511,62970.28538148523
66.0,459346.6601210922,784230622.2419319,708547.3708576256,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784689968.902053,1.0,32688752.333441682,2778.322727677803,32676275.926747162,22967.333006054614,11296.018858759238,45934.66601210923,61360.20231627038
67.0,450530.768023684,784240236.6268584,690714.0775683507,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784690767.3948821,1.0,32688915.816003956,2708.4288581685278,32676676.526119098,22526.5384011842,11079.142518225079,45053.0768023684,59815.83911741917
68.0,441868.3526238459,784249684.3428783,673588.7366215576,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784691552.6955022,1.0,32689076.26573297,2641.3087703618735,32677070.180953264,22093.417631192297,10866.04479381818,44186.83526238459,58332.78459142689
69.0,433358.21519222844,784258966.6165237,657124.6852299805,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784692324.831716,1.0,32689233.725781422,2576.7796328833647,32677456.942355156,21667.910759611423,10656.696047473795,43335.821519222845,56906.99774091631
70.0,424999.01352583664,784268084.8388925,641279.1885016668,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784693083.8524183,1.0,32689388.23988682,2514.6740050662065,32677836.868287183,21249.95067629183,10451.063114729333,42499.90135258366,55534.77772424434
71.0,416789.2803735644,784277040.5446974,626013.0806618045,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784693829.825071,1.0,32689539.85224818,2454.838431218545,32678210.022695724,20839.46401867822,10249.109758323577,41678.92803735644,54212.73278531227
72.0,408727.44020525075,784285835.3932165,611290.4362380481,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784694562.8334217,1.0,32689688.607409418,2397.1321522642065,32678576.474717353,20436.372010262538,10050.797080978004,40872.744020525075,52937.751778214966
73.0,400811.82430566225,784294471.1511631,597078.2717279714,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784695282.9754688,1.0,32689834.550149847,2341.4259368036987,32678936.297965128,20040.591215283115,9856.083896910814,40081.18243056623,51706.97833164232
74.0,393040.6821741166,784302949.6797563,583346.3184131793,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784695990.3619304,1.0,32689977.7253999,2287.601191081414,32679289.569989845,19652.03410870583,9664.92701241421,39304.06821741166,50517.79117458132
75.0,385412.19618576654,784311272.9180949,570066.7293023842,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784696685.1142806,1.0,32690118.178131767,2235.5488105370396,32679636.371587284,19270.60980928833,9477.281586636758,38541.21961857666,49367.77875758647
76.0,377924.48993458407,784319442.8737062,557213.9086761605,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784697367.3636408,1.0,32690255.95329461,2185.168512071832,32679976.786404423,18896.224496729203,9293.101336885544,37792.448993458405,48254.7244913555
77.0,370575.6391806514,784327461.6101366,544764.289560356,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784698037.2493173,1.0,32690391.095731977,2136.367962033617,32680310.900422357,18528.78195903257,9112.338807971491,37057.56391806514,47176.587475926826
78.0,363363.6796828374,784335331.2380767,532696.1715068354,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784698694.9177595,1.0,32690523.65012143,2089.062140640345,32680638.801586527,18168.18398414187,8934.945564903835,36336.36796828374,46131.48845249194
79.0,356286.61698110914,784343053.9042754,520989.5172222411,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784699340.5212566,1.0,32690653.660899974,2043.1725449510334,32680960.57934481,17814.33084905546,8760.87243352464,35628.66169811092,45117.692191446076
80.0,349342.43141132366,784350631.7858567,509625.8450017552,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784699974.217268,1.0,32690781.17222602,1998.626767507639,32681276.324410696,17467.121570566185,8590.069623839921,34934.24314113237,44133.598177152
81.0,342529.08509980125,784358067.0823907,498588.07876969123,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784700596.1674905,1.0,32690906.227926422,1955.3579086705886,32681586.128432944,17126.45425499006,8422.486902039356,34252.90850998012,43177.72762145526
82.0,335844.5278795883,784365362.0091829,487860.4202243964,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784701206.5370625,1.0,32691028.8714532,1913.3040755963038,32681890.083715953,16792.226393979417,8258.073735975096,33584.452787958835,42248.712391432724
83.0,329286.7014903431,784372518.7925107,477428.255511399,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784701805.4940012,1.0,32691149.145852588,1872.408016590952,32682188.28302128,16464.335074517156,8096.779398406962,32928.67014903431,41345.286927287154
84.0,322853.54545524705,784379539.6629539,467278.02331454254,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784702393.2084091,1.0,32691267.093722805,1832.6166041103793,32682480.819289744,16142.677272762354,7938.553111491518,32285.354545524708,40466.27681903938
85.0,316543.0003487753,784386426.85168,457397.139199014,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784702969.8520288,1.0,32691382.75719187,1793.8805383424756,32682767.78548667,15827.150017438766,7783.344127080246,31654.30003487753,39610.59225463461
86.0,310353.0108535133,784393182.586973,447773.92298930645,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784703535.5978265,1.0,32691496.1778969,1756.1540626651808,32683049.274457205,15517.650542675667,7631.101801823147,31035.301085351333,38777.221730873935
