C_1_task1,S_2_task1,V_C_3_task1,_1_task1
610078.2806934941,784066420.6068105,1110487.518776198,51.0
598997.5364785697,784078473.9357678,1072170.5805730766,52.0
588050.8353391829,784090385.3606051,1036116.6754300077,53.0
577243.2099893519,784102148.8601899,1002143.1138818233,54.0
566578.8977495315,784113759.359191,970083.3557575308,55.0
556061.4145349883,784125212.6352333,939785.6412858205,56.0
545693.6255430633,784136505.229191,911111.6879456085,57.0
535477.8172549697,784147634.3552426,883935.330605285,58.0
525415.7453164387,784158597.8445387,858141.6711417533,59.0
515508.7031540624,784169394.0636142,833625.7653283278,60.0
505757.5602235608,784180021.8664176,810291.923671696,61.0
496162.81253347284,784190480.53742,788052.757424557,62.0
486724.6182992225,784200769.7481135,766828.5129886358,63.0
477442.8384124009,784210889.5114777,746546.3052169738,64.0
468317.06629725103,784220840.1464947,727139.5540587209,65.0
459346.6601210922,784230622.2419319,708547.3708576256,66.0
450530.768023684,784240236.6268584,690714.0775683507,67.0
441868.3526238459,784249684.3428783,673588.7366215576,68.0
433358.21519222844,784258966.6165237,657124.6852299805,69.0
424999.01352583664,784268084.8388925,641279.1885016668,70.0
416789.2803735644,784277040.5446974,626013.0806618045,71.0
408727.44020525075,784285835.3932165,611290.4362380481,72.0
400811.82430566225,784294471.1511631,597078.2717279714,73.0
393040.6821741166,784302949.6797563,583346.3184131793,74.0
385412.19618576654,784311272.9180949,570066.7293023842,75.0
377924.48993458407,784319442.8737062,557213.9086761605,76.0
370575.6391806514,784327461.6101366,544764.289560356,77.0
363363.6796828374,784335331.2380767,532696.1715068354,78.0
356286.61698110914,784343053.9042754,520989.5172222411,79.0
349342.43141132366,784350631.7858567,509625.8450017552,80.0
342529.08509980125,784358067.0823907,498588.07876969123,81.0
335844.5278795883,784365362.0091829,487860.4202243964,82.0
329286.7014903431,784372518.7925107,477428.255511399,83.0
322853.54545524705,784379539.6629539,467278.02331454254,84.0
316543.0003487753,784386426.85168,457397.139199014,85.0
310353.0108535133,784393182.586973,447773.92298930645,86.0
304281.53030428453,784399809.0890648,438397.49263174,87.0
298326.521876426,784406308.568779,429257.7297628537,88.0
292485.96215547563,784412683.2234666,420345.1934726786,89.0
286757.8435821133,784418935.2342165,411651.0570894366,90.0
281140.175582134,784425066.7645597,403167.07286653825,91.0
275630.9864269631,784431079.9583406,394885.5206736589,92.0
270228.32511711813,784436976.9375612,386799.1554308217,93.0
264930.2621562281,784442759.8014842,378901.17846522934,94.0
259734.89102770807,784448430.6249379,371185.1929679665,95.0
254640.3289871662,784453991.4573944,363645.1734104951,96.0
249644.71762157066,784459444.3223201,356275.4445015953,97.0
244746.22407235953,784464791.2157549,349070.63420899573,98.0
239943.04087524995,784470034.1064849,342025.6728049195,99.0
235233.3871178656,784475174.9346925,335135.74585367896,100.0
230615.50803322173,784480215.6124091,328396.2986095117,101.0
226087.67587526934,784485158.0224879,321802.9967176543,102.0
221648.18965368465,784490004.0188891,315351.72399984207,103.0
217295.37604541477,784494755.4256028,309038.5374688466,104.0
213027.58786523758,784499414.0384023,302859.7111542182,105.0
208843.2059647279,784503981.6226177,296811.6536284682,106.0
204740.63754650956,784508459.9150652,290890.9549588804,107.0
200718.31722422672,784512850.6227945,285094.33483346715,108.0
196774.7063325309,784517155.4238585,279418.6504372201,109.0
192908.29281605632,784521375.9674197,273860.8880833233,110.0
189117.59111951583,784525513.8738514,268418.1525726139,111.0
185401.14196368135,784529570.7349658,263087.6571681437,112.0
181757.51207395684,784533548.1142992,257866.71704734038,113.0
178185.29390229998,784537447.5474072,252752.7439498076,114.0
174683.10534721627,784541270.5421605,247743.2406321696,115.0
171249.58946254986,784545018.5790546,242835.79526056364,116.0
167883.41415009878,784548693.1115361,238028.07620117007,117.0
164583.27183810095,784552295.5663472,233317.82737269823,118.0
161347.87914994726,784555827.3438804,228702.86406709047,119.0
158175.97656618487,784559289.8185419,224181.06910724886,120.0
155066.32808118855,784562684.3391204,219750.3892773972,121.0
152017.72085524094,784566012.2291628,215408.83201234616,122.0
149028.96486287596,784569274.7873535,211154.46233960002,123.0
146098.89253853052,784572473.2878966,206985.40005774773,124.0
143226.35842053176,784575608.9809015,202899.81712806624,125.0
140410.2387942947,784578683.0927689,198895.93525763266,126.0
137649.43133545603,784581696.8265773,194972.0236564272,127.0
134942.854753572,784584651.3624696,191126.3969539235,128.0
132289.44843695,784587547.8580377,187357.41326202595,129.0
129688.17209912883,784590387.448707,183663.47237196114,130.0
127138.00542746688,784593171.2481172,180043.01407359907,131.0
124637.94773424184,784595900.348502,176494.5165867232,132.0
122187.01761061356,784598575.821065,173016.49509479853,133.0
119784.25258375864,784601198.7163519,169607.50037267947,134.0
117428.70877744572,784603770.0646206,166266.1175004637,135.0
115119.46057628545,784606290.876206,162990.96465638015,136.0
112855.60029385705,784608762.1418813,159780.6919822279,137.0
110636.23784488415,784611184.8332146,156633.98051546296,138.0
108460.50042160647,784613559.9029217,153549.5411825596,139.0
106327.53217447009,784615888.2852132,150526.11384875118,140.0
104236.49389723815,784618170.8961385,147562.46641969046,141.0
102186.5627166046,784620408.6339232,144657.39399096268,142.0
100176.93178637662,784622602.379302,141809.718041744,143.0
98206.80998627574,784624752.9958483,139018.2856692243,144.0
96275.4216253942,784626861.330296,136281.96886070975,145.0
94382.00615033037,784628928.2128584,133599.66380059105,146.0
92525.8178580165,784630954.4575412,130970.29020960796,147.0
90706.12561324157,784632940.8624502,128392.79071406416,148.0
88922.21257086415,784634888.2100947,125866.13024284916,149.0
87173.37590270124,784636797.2676849,123389.29545030891,150.0
85458.9265290731,784638668.7874252,120961.29416317404,151.0
83778.18885497743,784640503.5068011,118581.15484990792,152.0
82130.500510861,784642302.148863,116247.92611097543,153.0
80515.21209795203,784644065.4225031,113960.67618865984,154.0
78931.68693811234,784645794.0227289,111718.4924951702,155.0
77379.30082816503,784647488.6309311,109520.48115788652,156.0
75857.44179864947,784649149.9151467,107365.76658068523,157.0
74365.50987695386,784650778.5303173,105253.4910203742,158.0
72902.91685477189,784652375.1185433,103182.81417734596,159.0
71469.08605982913,784653940.3093324,101152.91279962934,160.0
70063.45213182263,784655474.7198447,99162.98029958563,161.0
68685.46080251568,784656978.9551324,97212.22638255512,162.0
67334.56867992894,784658453.608375,95299.8766868143,163.0
66010.24303656792,784659899.2611109,93425.17243425363,164.0
64711.96160162622,784661316.4834641,91587.3700912312,165.0
63439.21235710347,784662705.8343664,89785.74103909891,166.0
62191.49333777628,784664067.8617762,88019.5712539353,167.0
60968.31243496085,784665403.1028922,86288.16099505391,168.0
59769.1872040055,784666712.0843636,84590.8245018875,169.0
58593.644675450334,784667995.3224965,82926.88969887579,170.0
57441.22116979417,784669253.323456,81295.69790801348,171.0
56311.462115806804,784670486.5834643,79696.60356873655,172.0
55203.921872325256,784671695.5889953,78128.97396484809,173.0
54118.1635534736,784672880.8169655,76592.18895820432,174.0
53053.75885724641,784674042.7349207,75085.64072890069,175.0
52010.28789739628,784675181.8012204,73608.73352171396,176.0
50987.339038566366,784676298.4652168,72160.88339857213,177.0
49984.50873460964,784677393.1674315,70741.51799683788,178.0
49001.401370037056,784678466.3397292,69350.07629320445,179.0
48037.62910453765,784679518.4054867,67986.00837301453,180.0
47092.81172051425,784680549.7797596,66648.77520482395,181.0
46166.57647357923,784681560.8694456,65337.84842004183,182.0
45258.557945955494,784682552.0734441,64052.7100974884,183.0
44368.39790272859,784683523.7828139,62792.852552719916,184.0
43495.74515089681,784684476.3809263,61557.77813197819,185.0
42640.25540116665,784685410.2436161,60346.99901062964,186.0
41801.59113244212,784686325.7393303,59160.036995965056,187.0
40979.42145895693,784687223.2292718,57996.42333423809,188.0
40173.4219999996,784688103.0675428,56855.69852182574,189.0
39383.274752182144,784688965.6012838,55737.412120399684,190.0
38608.667964204076,784689811.17081,54641.122576002235,191.0
37849.29601406389,784690640.109746,53566.397041925266,192.0
37104.85928867147,784691452.7451564,52512.81120529472,193.0
36375.06406581515,784692249.3976754,51479.94911726739,194.0
35659.6223984385,784693030.3816328,50467.40302675024,195.0
34958.25200118215,784693796.005178,49474.77321755617,196.0
34270.67613914724,784694546.5704011,48501.66784891322,197.0
33596.623518837485,784695282.3734522,47547.70279924739,198.0
32935.828181237855,784696003.7046582,46612.50151316202,199.0
32288.029396988535,784696710.848637,45695.69485153932,200.0
31652.971563613544,784697404.08441,44796.92094469234,201.0
31030.40410476425,784698083.6855116,43915.82504849772,202.0
30420.081371438606,784698749.9200976,43052.05940344224,203.0
29821.762545137815,784699403.0510507,42205.28309651785,204.0
29235.211542922694,784700043.336084,41375.161925902175,205.0
28660.196924332806,784700671.0278426,40561.36826836322,206.0
28096.491800132095,784701286.3740035,39763.58094932896,207.0
27543.87374284543,784701889.6173731,38981.485115563955,208.0
27002.124699051128,784702480.9959826,38214.772110397,209.0
26471.030903395247,784703060.7431828,37463.139351445265,210.0
25950.38279429399,784703629.0877352,36726.2902107818,211.0
25439.97493129128,784704186.2539024,36003.93389749485,212.0
24939.60591403918,784704732.4615369,35295.78534258852,213.0
24449.078302869417,784705267.9261675,34601.56508617597,214.0
23968.198540924903,784705792.8590847,33920.999166917216,215.0
23496.776877820736,784706307.4674234,33253.81901365494,216.0
23034.62729480478,784706811.954245,32599.761339203018,217.0
22581.56743138842,784707306.5186175,31958.568036243258,218.0
22137.418513418732,784707791.3556939,31329.986075287125,219.0
21702.005282563867,784708266.6567894,30713.767404660193,220.0
21275.155927183892,784708732.6094564,30109.668852468025,221.0
20856.70201456,784709189.3975592,29517.452030503155,222.0
20446.47842445545,784709637.2013454,28936.88324005376,223.0
20044.323283982103,784710076.1975187,28367.733379575508,224.0
19650.07790374698,784710506.5593067,27809.777854188895,225.0
19263.586715253732,784710928.4565306,27262.796486965304,226.0
18884.697209534403,784711342.0556717,26726.5734319657,227.0
18513.25987698735,784711747.519937,26200.89708899678,228.0
18149.1281483977,784712145.0093238,25685.560020050143,229.0
17792.15833711697,784712534.6806828,25180.358867390645,230.0
17442.20958237932,784712916.6877797,24685.094273261057,231.0
17099.143793732062,784713291.1813561,24199.570801170703,232.0
16762.825596558436,784713658.309189,23723.59685873642,233.0
16433.12227867135,784714018.216149,23256.984622044918,234.0
16109.903737956958,784714371.0442575,22799.54996150624,235.0
15793.042431047506,784714716.9327428,22351.11236916863,236.0
15482.413323003257,784715056.0180949,21911.4948874658,237.0
15177.89383798361,784715388.4341191,21480.524039368098,238.0
14879.363810888051,784715714.3119894,21058.029759909747,239.0
14586.705439947824,784716033.7802999,20643.84532906482,240.0
14299.803240249701,784716346.9651155,20237.80730594527,241.0
14018.543998173505,784716653.990022,19839.75546429475,242.0
13742.816726725445,784716954.9761739,19449.532729252674,243.0
13472.51262174966,784717250.0423435,19066.985115363266,244.0
13207.525019000723,784717539.3049668,18691.96166580506,245.0
12947.749352060178,784717822.87819,18324.31439281668,246.0
12693.083111080534,784718100.8739142,17963.898219295254,247.0
12443.425802340445,784718373.4018396,17610.570921544346,248.0
12198.678908595142,784718640.5695088,17264.193073148628,249.0
11958.745850206493,784718902.4823494,16924.627989953136,250.0
11723.531947037354,784719159.2437155,16591.741676125217,251.0
11492.944381095203,784719410.9549284,16265.402771277897,252.0
11266.892159910323,784719657.7153164,15945.482498633672,253.0
11045.286080634101,784719899.6222547,15631.854614208218,254.0
10828.038694843284,784720136.7712029,15324.395356993928,255.0
10615.06427403632,784720369.2557431,15022.983400123554,256.0
10406.278775808174,784720597.1676173,14727.499802994635,257.0
10201.599810690297,784720820.5967625,14437.827964335791,258.0
10000.946609642646,784721039.6313474,14153.853576196318,259.0
9804.239992184965,784721254.3578062,13875.464578840896,260.0
9611.402335154744,784721464.8608732,13602.551116531591,261.0
9422.35754207954,784721671.2236162,13335.005494179662,262.0
9237.031013151587,784721873.5274694,13072.722134850072,263.0
9055.349615792844,784722071.8522649,12815.597538101872,264.0
8877.241655798884,784722266.2762649,12563.530239148056,265.0
8702.636849050234,784722456.8761923,12316.420768818703,266.0
8531.46629378003,784722643.7272612,12074.171614311634,267.0
8363.662443387013,784722826.9032059,11836.68718071506,268.0
8199.159079783187,784723006.476311,11603.873753287038,269.0
8037.891287265588,784723182.517439,11375.639460476841,270.0
7879.795426901895,784723355.096059,11151.894237673641,271.0
7724.809111419746,784723524.2802737,10932.54979166819,272.0
7572.871180589886,784723690.136846,10717.519565813476,273.0
7423.9216770934145,784723852.731226,10506.7187058706,274.0
7277.901822863627,784724012.1275765,10300.064026526396,275.0
7134.753995893114,784724168.3887982,10097.473978569558,276.0
6994.421707496967,784724321.5765548,9898.868616712363,277.0
6856.849580023134,784724471.7512969,9704.169568045234,278.0
6721.983325001117,784724618.9722866,9513.300001111735,279.0
6589.769721720405,784724763.29762,9326.184595591787,280.0
6460.156596230187,784724904.7842509,9142.749512581133,281.0
6333.09280075206,784725043.4880124,8962.922365455306,282.0
6208.528193497617,784725179.46364,8786.632191306651,283.0
6086.413618882951,784725312.7647922,8613.809422943084,284.0
5966.700888132258,784725443.4440725,8444.385861437564,285.0
5849.342760262916,784725571.5530496,8278.294649217429,286.0
5734.2929234445055,784725697.1422778,8115.470243682999,287.0
5621.505976724448,784725820.2613174,7955.848391345019,288.0
5510.937412113033,784725940.9587535,7799.366102470743,289.0
5402.543597020768,784726059.282216,7645.9616262286545,290.0
5296.281757041139,784726175.2783978,7495.574426322022,291.0
5192.109959071971,784726288.9930735,7348.1451571016705,292.0
5089.987094768749,784726400.4711173,7203.61564014854,293.0
4989.872864323342,784726509.7565207,7061.928841316801,294.0
4891.727760561768,784726616.8924103,6923.028848228466,295.0
4795.513053354694,784726721.9210641,6786.860848210611,296.0
4701.190774334544,784726824.883929,6653.371106666514,297.0
4608.723701913164,784726925.8216361,6522.506945872163,298.0
4518.075346594166,784727024.7740178,6394.216724189786,299.0
4429.209936574112,784727121.7801229,6268.449815690183,300.0
4342.0924036269025,784727216.878232,6145.1565901758295,301.0
4256.688369265761,784727310.1058732,6024.288393596872,302.0
4172.964131177391,784727401.4998361,5905.797528852285,303.0
4090.8866499229234,784727491.0961869,5789.637236968612,304.0
4010.4235359004256,784727578.9302824,5675.761678648877,305.0
3931.5430365638213,784727665.0367838,5564.125916184364,306.0
3854.2140238931834,784727749.4496709,5454.685895722156,307.0
3778.405982111449,784727832.2022548,5347.398429881415,308.0
3704.088995642718,784727913.3271917,5242.221180711558,309.0
3631.233737307381,784727992.8564955,5139.112642985595,310.0
3559.8114567494167,784728070.82155,5038.032127822044,311.0
3489.7939690913,784728147.2531223,4938.939746628963,312.0
3421.153643812035,784728222.1813741,4841.796395363762,313.0
3353.8633938439357,784728295.6358738,4746.563739102574,314.0
3287.89666488384,784728367.6456083,4653.204196913119,315.0
3223.227424914552,784728438.2389944,4561.680927025072,316.0
3159.830153932372,784728507.4438899,4471.957812292098,317.0
3097.679833876658,784728575.2876047,4383.999445939808,318.0
3036.7519387574566,784728641.7969116,4297.7711175940185,319.0
2977.0224249772937,784728706.9980568,4213.238799583805,320.0
2918.467721843317,784728770.9167702,4130.369133513937,321.0
2861.064722266046,784728833.5782758,4049.1294171013988,322.0
2804.79077364105,784728895.0073012,3969.4875912708108,323.0
2749.6236689099715,784728955.2280879,3891.4122275036507,324.0
2695.5416377973556,784729014.2644005,3814.8725154362837,325.0
2642.5233382198307,784729072.1395361,3739.838250701913,326.0
2590.5478478642563,784729128.8763338,3666.27982301165,327.0
2539.5946559315084,784729184.4971833,3594.1682044700055,328.0
2489.6436550426474,784729239.0240339,3523.4749381201846,329.0
2440.675133304278,784729292.4784033,3454.1721267146736,330.0
2392.669766529961,784729344.881386,3386.232421706683,331.0
2345.608610614622,784729396.2536615,3319.6290124581046,332.0
2299.4730940589334,784729446.6155026,3254.335615659724,333.0
2254.245010640731,784729495.9867831,3190.32646495952,334.0
2209.9065122305683,784729544.3869865,3127.576300794943,335.0
2166.440101748574,784729591.8352125,3066.060360425182,336.0
2123.828626259836,784729638.3501855,3005.754368159468,337.0
2082.0552702055834,784729683.9502615,2946.6345257775706,338.0
2041.1035487675026,784729728.6534353,2888.677503138703,339.0
2000.9573013625593,784729772.4773482,2831.8604289751283,340.0
1961.60068526577,784729815.439294,2776.1608818668424,341.0
1923.0181693583984,784729857.5562266,2721.55688139376,342.0
1885.1945279991162,784729898.8447666,2668.026879461923,343.0
1848.1148350157039,784729939.3212074,2615.549751800308,344.0
1811.7644578149268,784729979.0015221,2564.104789624869,345.0
1776.1290516082565,784730017.9013695,2513.6716914665376,346.0
1741.194553751165,784730056.0361004,2464.230555159946,347.0
1706.9471781937516,784730093.4207639,2415.761869989723,348.0
1673.3734100405206,784730130.0701128,2368.246508991249,349.0
1640.4600002171537,784730165.9986103,2321.6657214028482,350.0
1608.1939602421812,784730201.2204342,2276.0011252664294,351.0
1576.5625571014841,784730235.7494842,2231.234700173657,352.0
1545.5533082236072,784730269.5993863,2187.3487801547935,353.0
1515.1539765538978,784730302.7834988,2144.326046707406,354.0
1485.3525657255284,784730335.3149167,2102.149521962184,355.0
1456.1373153254979,784730367.206478,2060.8025619831724,356.0
1427.4966962537424,784730398.4707676,2020.2688501997814,357.0
1399.4194061735236,784730429.1201236,1980.5323909679719,358.0
1371.8943650513022,784730459.1666409,1941.577503258085,359.0
1344.910710784334,784730488.6221765,1903.3888144668197,360.0
1318.457794914264,784730517.4983546,1865.9512543509168,361.0
1292.5251784250281,784730545.8065703,1829.25004908016,362.0
1267.102627623402,784730573.5579948,1793.2707154073407,363.0
1242.180110100574,784730600.7635797,1757.999054952894,364.0
1217.747790773148,784730627.4340609,1723.4211486019426,365.0
1193.796028002012,784730653.5799633,1689.523351011543,366.0
1170.3153697875448,784730679.2116048,1656.2922852259655,367.0
1147.2965500396544,784730704.3391002,1623.7148373978832,368.0
1124.7304849211812,784730728.9723657,1591.7781516133844,369.0
1102.6082692632197,784730753.1211221,1560.4696248187709,370.0
1080.9211730509464,784730776.7948991,1529.776901847137,371.0
1059.660637978565,784730800.0030392,1499.6878705427682,372.0
1038.8182740720115,784730822.7547009,1470.190656981435,373.0
1018.3858563780849,784730845.0588624,1441.2736207846951,374.0
998.3553217186989,784730866.9243257,1412.9253505263584,375.0
978.7187655089716,784730888.3597195,1385.134659229297,376.0
959.4684386378993,784730909.3735029,1357.8905799508273,377.0
940.5967444103827,784730929.9739683,1331.18236145492,378.0
922.0962355493989,784730950.1692452,1304.999463969533,379.0
903.9596112571367,784730969.9673034,1279.3315550273892,380.0
886.1797143339346,784730989.3759556,1254.1685053885599,381.0
868.7495283538861,784731008.402861,1229.5003850432458,382.0
851.6621748959955,784731027.055528,1205.3174592931782,383.0
834.9109108297939,784731045.3413177,1181.6101849100903,384.0
818.4891256543432,784731063.2674459,1158.3692063697476,385.0
802.390338889578,784731080.8409871,1135.5853521600504,386.0
786.6081975189555,784731098.0688759,1113.2496311617476,387.0
771.1364734824069,784731114.9579111,1091.3532291003396,388.0
755.9690612185962,784731131.5147576,1069.887505067765,389.0
741.0999752555215,784731147.7459493,1048.8439881125016,390.0
726.5233478485055,784731163.6578912,1028.2143738967352,391.0
712.2334266646426,784731179.2568626,1007.9905214192771,392.0
698.2245725127905,784731194.5490195,988.1644498029367,393.0
684.4912571182097,784731209.5403963,968.7283351450824,394.0
671.028060940973,784731224.2369092,949.6745074301474,395.0
657.8296710372831,784731238.6443578,930.9954475028624,396.0
644.8908789628564,784731252.7684277,912.68378410102,397.0
632.2065787175434,784731266.6146927,894.7322909466014,398.0
619.7717647303766,784731280.1886169,877.1338838941156,399.0
607.5815298842491,784731293.4955567,859.8816181350271,400.0
595.6310635794454,784731306.5407637,842.9686854571697,401.0
583.9156498352601,784731319.3293859,826.3884115580624,402.0
572.4306654289551,784731331.8664697,810.1342534110696,403.0
561.1715780713215,784731344.156963,794.1997966833652,404.0
550.1339446181253,784731356.2057155,778.5787532046818,405.0
539.3134093167315,784731368.0174824,763.2649584858458,406.0
528.705702087216,784731379.5969248,748.2523692861207,407.0
518.3066368372838,784731390.9486121,733.5350612283964,408.0
508.11210981033315,784731402.0770242,719.1072264612849,409.0
498.1180979660086,784731412.9865527,704.9631713671995,410.0
488.32065739260815,784731423.6815027,691.0973143155132,411.0
478.71592175071606,784731434.1660947,677.5041834599098,412.0
469.30010074744695,784731444.4444661,664.1784145790568,413.0
460.06947864069986,784731454.5206732,651.1147489597518,414.0
451.0204127728319,784731464.3986924,638.308031321702,415.0
442.1493321331723,784731474.0824217,625.7532077831228,416.0
433.4527359488105,784731483.5756826,613.4453238663492,417.0
424.9271923031012,784731492.8822216,601.3795225426747,418.0
416.5693367813419,784731502.005711,589.5510423156458,419.0
408.3758711430885,784731510.9497513,577.9552153420548,420.0
400.34356202058416,784731519.7178721,566.5874655898915,421.0
392.46923964278926,784731528.3135335,555.4433070325251,422.0
384.7497965845075,784731536.7401278,544.5183418784039,423.0
377.1821865401154,784731545.0009801,533.8082588355749,424.0
369.763423121411,784731553.0993506,523.3088314103383,425.0
362.4905786791073,784731561.0384347,513.015916239365,426.0
355.36078314750563,784731568.8213658,502.9254514546193,427.0
348.3712229118929,784731576.4512151,493.03345508044174,428.0
341.51913969821555,784731583.9309937,483.336023462159,429.0
334.8018294845924,784731591.2636532,473.82932972560127,430.0
328.21664143423686,784731598.4520873,464.509622266919,431.0
321.760976849367,784731605.4991326,455.37322327210313,432.0
315.4322881456909,784731612.4075702,446.4165272656244,433.0
309.2280778470632,784731619.1801264,437.63599968761906,434.0
303.14589759991486,784731625.8194739,429.02817549906007,435.0
297.18334720706815,784731632.3282325,420.58965781436206,436.0
291.33807368055557,784731638.708971,412.3171165608821,437.0
285.6077703130684,784731644.9642073,404.20728716478584,438.0
279.99017576766875,784731651.09641,396.25696926276146,439.0
274.4830731854061,784731657.107999,388.46302543907245,440.0
269.0842893104859,784731663.0013465,380.822379987451,441.0
263.7916936326447,784731668.7787782,373.33201769734353,442.0
258.6031975463944,784731674.4425741,365.9889826640294,443.0
253.51675352680275,784731679.9949694,358.79037712214273,444.0
248.53035432148496,784731685.438155,351.7333603021382,445.0
243.64203215848877,784731690.7742792,344.81514730924783,446.0
238.8498579697587,784731696.0054476,338.03300802448825,447.0
234.15194062987408,784731701.1337247,331.3842660272833,448.0
229.54642620976045,784731706.1611341,324.86629753927724,449.0
225.0314972450792,784731711.0896598,318.47653038892264,450.0
220.6053720190074,784731715.9212468,312.2124429964326,451.0
216.2663038591244,784731720.6578016,306.07156337869867,452.0
212.01258044812784,784731725.3011936,300.05146817378017,453.0
207.84252314810703,784731729.8532552,294.14978168458094,454.0
203.7544863381074,784731734.3157825,288.36417494133593,455.0
199.74685676472382,784731738.690537,282.6923647825373,456.0
195.81805290546725,784731742.9792447,277.1321129539379,457.0
191.9665243446533,784731747.1835982,271.6812252252762,458.0
188.19075116156608,784731751.3052566,266.3375505243741,459.0
184.48924333065645,784731755.3458465,261.0989800882659,460.0
180.86054013353754,784731759.3069625,255.96344663102417,461.0
177.3032095825455,784731763.1901675,250.92892352795283,462.0
173.81584785563845,784731766.9969941,245.9934240158265,463.0
170.3970787424101,784731770.7289447,241.1550004088602,464.0
167.04555310099965,784731774.3874917,236.41174333009997,465.0
163.75994832568375,784731777.9740791,231.7617809579313,466.0
160.53896782494024,784731781.4901223,227.20327828740756,467.0
157.38134050977783,784731784.9370087,222.7344364061075,468.0
154.2858202921297,784731788.3160986,218.3534917842357,469.0
151.2511855931131,784731791.6287254,214.05871557868588,470.0
148.2762388609611,784731794.8761965,209.84841295079266,471.0
145.35980609843574,784731798.0597934,205.7209223975021,472.0
142.50073639953683,784731801.1807723,201.67461509569753,473.0
139.69790149532278,784731804.240365,197.70789425942166,474.0
136.95019530866497,784731807.2397789,193.81919450974144,475.0
134.2565335177592,784731810.1801975,190.00698125700686,476.0
131.6158531282228,784731813.0627813,186.26975009526018,477.0
129.0271120536077,784731815.8886678,182.60602620855622,478.0
126.48928870416474,784731818.6589723,179.01436378895988,479.0
124.00138158369609,784731821.3747877,175.49334546599079,480.0
121.5624088943375,784731824.037186,172.04158174729017,481.0
119.17140814911382,784731826.647218,168.6577104702893,482.0
116.82743579211517,784731829.2059133,165.3403962646628,483.0
114.52956682614384,784731831.7142819,162.088330025355,484.0
112.27689444768492,784731834.1733136,158.90022839597128,485.0
110.06852968905667,784731836.5839789,155.7748332623305,486.0
107.9036010675994,784731838.947229,152.71091125597852,487.0
105.78125424176432,784731841.2639966,149.7072532674673,488.0
103.70065167396692,784731843.5351958,146.7626739692071,489.0
101.66097230007144,784731845.7617229,143.87601134770367,490.0
99.66141120537634,784731847.9444567,141.0461262449958,491.0
97.70117930697273,784731850.0842584,138.2719019091123,492.0
95.77950304235044,784731852.1819726,135.55224355337091,493.0
93.89562406412891,784731854.2384272,132.88607792434541,494.0
92.0487989407923,784731856.2544334,130.27235287833022,495.0
90.2382988633109,784731858.230787,127.71003696613558,496.0
