Time,M,Mp,Mpp,MAPKK,MKP3,k1cat,Km1,k2cat,Km2,k3cat,Km3,k4cat,Km4,Km5,uVol,v1,v2,v3,v4
0.22,499.9004899196645,0.0980352401182764,0.0014748402172368854,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452912582265204,0.013370622620694429,7.594864924163663e-05,0.004407369271366998
0.23,499.8959896865124,0.10239958368145327,0.0016107298061547373,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452839296741204,0.013965960671274046,8.294430901318255e-05,0.004603458466991616
0.24,499.89149141976327,0.10675608423623259,0.0017524960005745232,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545276609122181,0.014560237798275559,9.024221742707073e-05,0.004799185076311986
0.25,499.88699511578716,0.11110475902886703,0.0019001251840249323,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452692965536684,0.01515345632660232,9.784165042854785e-05,0.004994549913755525
0.26,499.88250077096257,0.11544562526700125,0.0020536037704906368,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452619919515885,0.015745618575982393,0.00010574188563930765,0.005189553791858028
0.27,499.878008381676,0.1197787001197605,0.0022129182043428963,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452546952989864,0.016336726860980297,0.0001139422023534477,0.00538419752126829
0.28,499.8735179443219,0.12410400071784683,0.00237805496026376,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545247406578942,0.016926783491009855,0.00012244188153309876,0.005578481910753053
0.29,499.8690294553033,0.12842154415361093,0.002549000543190447,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452401257745756,0.017515790770343685,0.0001312402058050948,0.005772407767200848
0.3,499.8645429110307,0.13273134748114218,0.002725741488244694,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545232852869042,0.01810375099812518,0.00014033645945687158,0.005965975895626678
0.31,499.8600583079231,0.13703342771635657,0.0029082643606636854,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452255878455367,0.018690666468380232,0.00014972992843244803,0.006159187099176574
0.32,499.8555756424073,0.14132780183708302,0.00309655575573261,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452183306872906,0.019276539470028657,0.00015941990032849413,0.006352042179132098
0.33,499.8510949109182,0.14561448678314895,0.003290602298717386,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452110813775737,0.019861372286895638,0.0001694056643904089,0.006544541934914798
0.34,499.84661610989883,0.14989349945646618,0.0034903906447975564,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452038398996913,0.020445167197723085,0.0001796865115084093,0.006736687164090679
0.35,499.8421392357999,0.1541648567211162,0.0036959074789993654,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45451966062369864,0.021027926476181007,0.00019026173421363078,0.006928478662374642
0.36,499.8376642850805,0.1584285754034355,0.003907139516129008,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545189380372841,0.02160965239087886,0.00020113062667423824,0.007119917223634928
0.37,499.8331912542073,0.16268467229210495,0.0041240735007024585,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45451821622906724,0.022190347205377433,0.00021229248469136324,0.007311003639897735
0.38,499.8287201396549,0.16693316413826534,0.004346696206855285,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545174951973933,0.022770013178204346,0.00022374660569401267,0.0075017387013530095
0.39,499.82425093790624,0.17117406765555349,0.004574994438314009,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45451677494061166,0.023348652562858615,0.0002354922887371475,0.007692123196356665
0.4,499.81978364545154,0.17540739952019815,0.004808955028320929,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545160554570749,0.02392626760782357,0.00024752883449736873,0.007882157911435502
0.41,499.8153182587894,0.1796331763711103,0.005048564839563475,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45451533674513966,0.024502860556578743,0.00025985554526883705,0.008071843631291833
0.42,499.81085477442593,0.1838514148099675,0.00529381076410814,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45451461880316607,0.025078433647611188,0.0002724717249594313,0.008261181138807893
0.43,499.80639318887546,0.18806213140129793,0.005544679723334547,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545139016295178,0.025652989114426605,0.00028537667908691517,0.00845017121505018
0.44,499.8019334986596,0.19226534267256432,0.0058011586678697056,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545131852225624,0.026226529185560565,0.00029856971477511626,0.008638814639273828
0.45,499.79747570030827,0.19646106511424757,0.0060632345775223934,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545124695806709,0.02679905608458956,0.00031205014075011216,0.008827112188926936
0.46,499.79301979035887,0.20064931517993048,0.006330894461217721,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545117547022179,0.027370572030142162,0.0003258172673364296,0.00901506463965493
0.47,499.7885657653568,0.20483010928638212,0.0066041253569308345,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45451104058558184,0.027941079235910295,0.00033987040645319953,0.009202672765304908
0.48,499.78411362185483,0.2090034638136499,0.006882914331615087,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45451032722914453,0.02851057991066146,0.0003542088716100308,0.009389937337930384
0.49,499.77966335641383,0.21316939510512847,0.007167248481147655,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545096146312916,0.029079076258247894,0.0003688319779037819,0.00957685912779492
0.5,499.77521496560223,0.21732791946764568,0.007457114930262156,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545089027904121,0.029646570477617984,0.00038373904201466786,0.0097634389033766
0.51,499.7707684459961,0.22147905317154712,0.007752500832482656,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545081917048988,0.030213064762827514,0.00039892938220243763,0.00994967743137237
0.52,499.76632379417924,0.22562281245077812,0.008053393370059073,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45450748137314784,0.030778561303050615,0.0004144023183026283,0.01013557547670231
0.53,499.7618810067433,0.2297592135029663,0.008359779753902723,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45450677179355925,0.03134306228259073,0.0004301571717228255,0.010321133802513883
0.54,499.7574400802871,0.2338882724895035,0.008671647223522032,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545060629645363,0.031906569880891515,0.0004461932654389367,0.010506353170186203
0.55,499.75300101141755,0.23801000553562746,0.0089889830469584,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545053548844861,0.03246908627254769,0.00046250992399147226,0.010691234339334254
0.56,499.7485637967489,0.24212442873050358,0.00931177452072221,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454504647551819,0.033030613627315936,0.00047910647348183716,0.010875778067813131
0.57,499.74412843290304,0.24623155812730724,0.00964000896972819,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545039409649493,0.033591154110125844,0.0004959822415685903,0.011059985111722273
0.58,499.73969491650945,0.2503314097433124,0.009973673747226441,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45450323512229424,0.03415070988109175,0.0005131365574634829,0.011243856225410026
0.59,499.73526324420527,0.2544239995599611,0.010312756234747285,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45450253002227525,0.03470928309552191,0.0005305687519282102,0.01142739216147729
0.6,499.7308334126351,0.258509343522947,0.010657243842035868,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545018256633168,0.03526687590392965,0.0005482781572706368,0.011610593670781844
0.61,499.7264054184508,0.2625874575422979,0.011007124006987888,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454501122043847,0.03582349045204435,0.0005662641073410832,0.011793461502442586
0.62,499.72197925831193,0.2666583574924557,0.011362384195586423,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45450041916229755,0.03637912888082209,0.0005845259375286692,0.011975996403843683
0.63,499.7175549288858,0.270722059212357,0.011723011901838967,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45449971701710357,0.03693379332645636,0.00060306298475767,0.01215819912063871
0.64,499.7131324268468,0.27477857850551324,0.012088994647714554,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544990156067035,0.03748748592038871,0.0006218745874838799,0.012340070396754823
0.65,499.7087117488768,0.2788279311400908,0.012460319983081083,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544983149295396,0.0380402087893195,0.0006409600856909866,0.012521610974396878
0.66,499.7042928916654,0.2828701328489903,0.012836975485642756,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45449761498405744,0.03859196405521832,0.0006603188208869536,0.01270282159405152
0.67,499.69987585190927,0.2869051993299271,0.013218948760877411,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544969157687059,0.039142753835334804,0.0006799501361003987,0.012883702994491354
0.68,499.69546062631264,0.2909331462455199,0.013606227441966967,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45449621728193745,0.039692580242210444,0.0006998533758766208,0.013064255912779453
0.69,499.69104721158703,0.2949539892233543,0.013998799189747226,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454495519522208,0.04024144538368696,0.0007200278862746233,0.013244481084272728
0.7,499.6866356044514,0.2989677438560688,0.014396651692640912,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544948224879769,0.0407893513629178,0.0007404730148632764,0.013424379242626336
0.71,499.68222580163206,0.30297442570143285,0.014799772666595799,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544941261777068,0.0413363002783785,0.0007611881107177444,0.0136039511197977
0.72,499.6778177998627,0.3069740502824264,0.015208149855023,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544934305898641,0.04188229422387732,0.0007821725244159215,0.01378319744605061
0.73,499.67341159588403,0.3109666330873181,0.015621771028735371,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45449273572291826,0.04242733528856561,0.000803425608034877,0.013962118949959263
0.74,499.66900718644445,0.3149521895697433,0.016040623985886085,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544920415753423,0.04297142555694824,0.0008249467151473079,0.014140716358412273
0.75,499.66460456829947,0.3189307351487829,0.016464696551907333,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544913481456126,0.043514567108893995,0.0008467352008180035,0.014318990396616738
0.76,499.66020373821164,0.3229022852090404,0.016893976579449178,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544906554322089,0.044056762019646,0.0008687904216003167,0.014496941788102223
0.77,499.65580469295116,0.3268668551007519,0.0173284519482948,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448996343361453,0.04459801235983632,0.0008911117355314234,0.014674571254726196
0.78,499.651407429295,0.330824460140034,0.017768110565169627,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448927214831586,0.04513832019551961,0.000913698502122128,0.014851879516685672
0.79,499.6470119440276,0.334775115608596,0.018212940363958548,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544885815748029,0.045677687588133536,0.0009365500823676553,0.015028867292504815
0.8,499.64261823394077,0.3387188367539383,0.018662929305552828,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544878917115689,0.04621611659452565,0.0009596658387394008,0.015205535299044356
0.81,499.63822629583296,0.3426556387894728,0.019118065377757107,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544872025571104,0.04675360926696953,0.0009830451351797737,0.015381884251507487
0.82,499.6338361265104,0.3465855368945996,0.01957833659522907,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448651410992735,0.04729016765317497,0.0010066873370987196,0.01555791486344383
0.83,499.629447722786,0.35050854621478356,0.02004373099941931,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544858263685232,0.04782579379629826,0.0010305918113702574,0.01573362784675335
0.84,499.62506108148006,0.354424681861631,0.02051423665851137,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544851393314045,0.048360489734952265,0.0010547579263290251,0.015909023911690336
0.85,499.62067619941985,0.3583339589129657,0.020989841667361814,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448445299708123,0.04889425750321667,0.0010791850517668285,0.016084103766867263
0.86,499.61629307343986,0.36223639241290523,0.021470534147440563,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544837673640666,0.04942709913064807,0.0011038725589292077,0.01625886811925876
0.87,499.61191170038154,0.36613199737193697,0.021956302246771295,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544830824308773,0.04995901664229016,0.0011288198205120052,0.016433317674205486
0.88,499.6075320770933,0.37002078876699335,0.022447134139872062,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448239819603303,0.050490012058683684,0.0011540262106579495,0.016607453135418025
0.89,499.60315420043094,0.3739027815415279,0.022943018027695956,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448171465805715,0.051020087395876566,0.0011794911049532392,0.01678127520498076
0.9,499.59877806725706,0.3777779906055907,0.023443942137571974,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448103181547594,0.05154924466543402,0.0012052138804241434,0.016954784583355774
0.91,499.59440367444114,0.38164643083590294,0.023949894723146063,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45448034966681927,0.05207748587444846,0.0012311939155336114,0.017127981969386682
0.92,499.5900310188599,0.38550811707593247,0.024460864064322196,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45447966821062,0.05260481302554949,0.0012574305901778822,0.017300868060302486
0.93,499.58566009739707,0.3893630641359685,0.024976838467203707,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544789874454146,0.05313122811691397,0.0012839232856831123,0.017473443551721427
0.94,499.5812909069429,0.39321128679319617,0.025497806264034695,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544783073697424,0.05365673314227585,0.001310671384802011,0.017645709137654824
0.95,499.5769234443953,0.39705279979177094,0.026023755813141584,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45447762798214625,0.05418133009093614,0.0013376742717104767,0.017817665510510856
0.96,499.5725577066585,0.40088761784289323,0.026554675498874834,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544769492811721,0.05470502094777278,0.0013649313320042524,0.01798931336109843
0.97,499.56819369064374,0.404715755624882,0.02709055373155078,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544762712653692,0.05522780769325055,0.0013924419526955834,0.01816065337863094
0.98,499.5638313932696,0.40853722778324875,0.02763137894739363,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544755939332902,0.05574969230343082,0.0014202055222098837,0.01833168625073004
0.99,499.5594708114609,0.412352048930772,0.028177139608477585,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544749172834905,0.056270676749981555,0.0014482214303824167,0.01850241266342951
1.0,499.55511194214995,0.4161602336475697,0.02872782420266908,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544742413145292,0.056790763000186886,0.0014764890684549766,0.018672833301178915
1.01,499.5507547822755,0.41996179648117354,0.02928342124356922,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45447356602496825,0.057309953016957044,0.0015050078290725852,0.01884294884684747
1.02,499.54639932878314,0.4237567519466015,0.029843919270456293,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544728914133731,0.05782824875883807,0.001533777106280192,0.019012759981727693
1.03,499.5420455786255,0.42754511452643146,0.030409306848228453,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544722174783123,0.058345652180021516,0.0015627962955193867,0.019182267385539242
1.04,499.53769352876196,0.4313268986708735,0.030979572567346556,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544715442183573,0.05886216523035419,0.0015920647936251216,0.019351471736432573
1.05,499.5333431761586,0.435102118797843,0.03155470504377708,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454470871632083,0.059377789855347786,0.0016215819988224336,0.0195203737109927
1.06,499.5289945177882,0.4388707892930328,0.03213469291893523,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45447019971806757,0.059892527996188626,0.0016513473107231862,0.01968897398424289
1.07,499.52464755063056,0.4426329245099858,0.03271952485962818,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544695284748921,0.0604063815897472,0.001681360130322814,0.019857273229648382
1.08,499.52030227167205,0.4463885387701669,0.03330918955799839,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544688579011409,0.06091935256858779,0.0017116198599970722,0.02002527211912004
1.09,499.51595867790576,0.450137646363035,0.03390367573146715,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45446818799540156,0.06143144286097819,0.0017421259034988046,0.020192971323018102
1.1,499.5116167663314,0.4538802615461149,0.034502972122678194,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45446751875626457,0.06194265439089906,0.0017728776659547102,0.02036037151015579
1.11,499.5072765339557,0.4576163985450688,0.03510706749944145,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544668501823237,0.062452989078053626,0.001803874553862122,0.020527473347803
1.12,499.50293797779176,0.4613460715537677,0.03571595065467699,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454466182272176,0.06296244883787716,0.001835115975085797,0.020694277501689954
1.13,499.4986010948595,0.46506929473436304,0.03632961040635901,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45446551502442134,0.06347103558154646,0.001866601338854708,0.020860784636010845
1.14,499.4942658821854,0.46878608221735724,0.03694803559746006,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544648484376629,0.06397875121598931,0.0018983300557588521,0.021026995413427483
1.15,499.48993233680267,0.472496448101675,0.03757121509589528,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544641825105069,0.06448559764389397,0.0019303015377460564,0.021192910495072888
1.16,499.48560045575096,0.476200406454734,0.038199137794466924,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4544635172415626,0.06499157676371861,0.001962515198118805,0.021358530540554924
1.17,499.48127023607685,0.4798979713125153,0.03883179261080884,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45446285262944247,0.06549669046970061,0.001994970451531062,0.021523856207959925
1.18,499.47694167483326,0.4835891566796341,0.03946916848733124,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454462188672762,0.06600094065186611,0.002027666713985113,0.02168888815385625
1.19,499.4726147690796,0.48727397652940957,0.04011125439116551,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45446152537013984,0.06650432919603928,0.002060603402828405,0.021853627033297903
