Time,Ca,Cm,pms,pns,VNa,t_tauh,t_taun,thetaa,sigmaa,thetab,sigmab,tauBs,sigmam,sigmah,sigman,sigmaz,gNa,gKdr,gL,Iapp,gA,gNaP,gZ,thetaz,tauZs,phi,thetah,thetam,thetan,thetap,sigmap,VK,VL,INa,INaP,IKdr,IA,Iz,Minfs,Pinfs,Ainfs,zzs,bbs,nns,hhs,V,rrs,ccs,qqs,thetar,VCa,sigmar,sigmac,thetac,pwrc,pwrq,gCa,gKCa,gKAHP,tauRs,aq,ac,tauq,tauCa,uuCa,tauKc,mKCa,ICa,IAHP,IKC,compartment_0000001,reaction_0000001
0.1,0.000781433354104231,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007607394693379323,-0.0008641128454466983,3.75471532517765e-05,0.0833743667083709,0.024829011385168128,0.01205009759534794,3.40571138533767e-05,0.25103203817911013,0.0013689182623314155,0.20755592977788087,0.024236001106128273,0.9791823748121131,-71.86231269726679,0.005509659414713996,0.002486875824703036,5.252500129509214e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00013022193239047085,-0.0004659391131823447,4.763410245330192e-16,5.8738134104747915e-05,1.0,-5.5450866876194315e-05
0.11,0.000780879062005407,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007630385166579578,-0.0008669110854926014,3.759218364611338e-05,0.08351241969108701,0.024842680635049977,0.012062553235515725,3.417007616534312e-05,0.2511254407112033,0.0013689221107625192,0.2075540334802749,0.024239945904608984,0.9791789609209077,-71.85237827650248,0.00551020698692219,0.0024870580081373076,5.769530703640195e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001301295744242319,-0.00046600760099335914,5.235163036588338e-16,5.873292668104231e-05,1.0,-5.540754414432849e-05
0.12,0.0007803252033862451,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.0076534279058781615,-0.0008697166195789068,3.76393531613882e-05,0.08365050555116196,0.024856348149558536,0.012075013776969713,3.42833420132031e-05,0.2512188077950329,0.0013689263286865306,0.20755195894328868,0.02424423101199468,0.9791752424085599,-71.8424500802699,0.0055108038202135775,0.0024872571062225304,6.2850840960935295e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00013003728866875283,-0.00046608443616036197,5.706086411226e-16,5.87280840834577e-05,1.0,-5.536417128349216e-05
0.13,0.0007797717787435134,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.0076765229997127265,-0.0008725294608795791,3.768863316685033e-05,0.08378862400031309,0.024870013952558806,0.012087479212787354,3.4396911971843035e-05,0.25131213941676855,0.0013689309165552512,0.20754970657352415,0.02424885072379632,0.9791712225956901,-71.83252810511345,0.005511449444090449,0.0024874730485996014,6.7991646005636034e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012994507520684674,-0.00046616954050557004,6.176181589472339e-16,5.8723604593251304e-05,1.0,-5.53207491136761e-05
0.14,0.0007792187885658252,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.00769967053644205,-0.0008753496225766123,3.7739995747522305e-05,0.08392677475039954,0.02488367806792478,0.012099949536045079,3.4510786616569136e-05,0.2514054355626575,0.0013689358748206306,0.20754727677691515,0.024253799433113288,0.9791669047641,-71.822612347576,0.0055121433927080524,0.002487705765253914,7.31177650028527e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012985293411996808,-0.00046626283683918974,6.645449793678472e-16,5.8719486498973964e-05,1.0,-5.5277278444363886e-05
0.15,0.0007786662333339311,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007722870604353109,-0.0008781771178599736,3.7793413669433996e-05,0.08406495751342534,0.024897340519539048,0.012112424739818209,3.462496652310512e-05,0.25149869621902354,0.001368941203934754,0.20754466995873605,0.02425907162664514,0.9791622921581078,-71.81270280419896,0.0055128852047249865,0.0024879551865067875,7.822924068194544e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001297608654882612,-0.0004663642489273469,7.113892248421952e-16,5.871572809629974e-05,1.0,-5.523376007487508e-05
0.16,0.0007781141135208528,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007746123291662654,-0.0008810119599275727,3.784886035783938e-05,0.08420317200154148,0.02491100133129271,0.012124904817180994,3.473945226759099e-05,0.2515919213722675,0.0013689469043498376,0.20754188652360267,0.024264661882722534,0.9791573879851356,-71.80279947152235,0.005513674423240967,0.002488221243012661,8.332611566949617e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001296688693905826,-0.00046647370147495805,7.581510180484728e-16,5.8712327687980235e-05,1.0,-5.519019479454679e-05
0.17,0.0007775624295918435,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007769428686512337,-0.0008838541619852322,3.790630988891061e-05,0.08434141792704213,0.02492466052708535,0.012137389761206601,3.485424442658184e-05,0.2516851110088662,0.0013689529765182299,0.20753892687546185,0.024270564871424233,0.9791521954154873,-71.79290234608476,0.005514510595830477,0.0024885038657630827,8.840843248759817e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012957694590449447,-0.0004665911201249874,8.048304818656363e-16,5.870928358394594e-05,1.0,-5.514658338273809e-05
0.18,0.0007770111820044069,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007792786876966309,-0.0008867037372466802,3.79657369775916e-05,0.08447969500236542,0.024938318130825178,0.012149879564967292,3.496934357704753e-05,0.2517782651153738,0.0013689594208924133,0.20753579141758635,0.024276775353996263,0.9791467175824033,-71.78301142442331,0.005515393274543378,0.002488802986088198,9.347623355295253e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012948509510626773,-0.000466716431452279,8.514277393610375e-16,5.870659410135299e-05,1.0,-5.510292660889312e-05
0.19,0.0007764603712083682,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007816197951010373,-0.0008895606989335202,3.802711696180441e-05,0.08461800294009349,0.024951974166428977,0.012162374221534333,3.508475029637146e-05,0.2518713836784212,0.0013689662379250055,0.20753248055257367,0.024283288181612774,0.9791409575823707,-71.77312670307367,0.0055163220158752245,0.0024891185356560866,9.852956117657847e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001293933170708939,-0.0004668495629524223,8.979429137836236e-16,5.870425756458249e-05,1.0,-5.505922523265794e-05
0.2,0.0007759099976459858,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007839661996553044,-0.0008924250602751957,3.8090425784105384e-05,0.08475634145295448,0.024965628657822085,0.012174873723978118,3.520046516234917e-05,0.2519644666847159,0.001368973428068758,0.2075289946823479,0.024290098293662105,0.9791349184756214,-71.76324817857008,0.005517296380715029,0.0024894504464704733,1.0356845756398998e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012930161187210375,-0.0004669904430269549,9.44376128561391e-16,5.8702272305204665e-05,1.0,-5.501548000403705e-05
0.21,0.0007753600617520633,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007863179101426483,-0.0008952968345089803,3.8155639973751696e-05,0.08489471025382517,0.02497928162893839,0.012187378065368192,3.531648875318791e-05,0.2520575141210426,0.0013689809917765547,0.2075253342081611,0.02429720071603709,0.9791286032866345,-71.75337584744528,0.005518315934292424,0.002489798650868394,1.0859296481538182e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012920997958238589,-0.0004671390009686136,9.907275072989352e-16,5.870063666194184e-05,1.0,-5.497169166354951e-05
0.22,0.0007748105639540467,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007886749353386874,-0.0008981760348799383,3.822273663047856e-05,0.08503310905573168,0.024992933103720284,0.012199887238773226,3.543282164750503e-05,0.2521505259742625,0.0013689889295014114,0.20752149953059454,0.02430459055963934,0.9791220150045699,-71.7435097062306,0.00551938024613256,0.002490163081518316,1.1360312492571437e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.000129118420273003,-0.0004672951669480392,1.0369971737740887e-15,5.869934898064063e-05,1.0,-5.492786094236935e-05
0.23,0.0007742615046721159,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007910372840114904,-0.0009010626746408997,3.829169340891613e-05,0.08517153757185122,0.025006583106118623,0.012212401237261137,3.554946442432699e-05,0.2522435022313136,0.0013689972416964756,0.2075174910495588,0.024312263018928314,0.97911515658368,-71.73364975145589,0.005520488890013589,0.002490543671418492,1.1859897978471641e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012902693401400716,-0.00046745887200106437,1.0831852519338166e-15,5.869840761424943e-05,1.0,-5.4883988562459807e-05
0.24,0.0007737128843192926,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007934049649216544,-0.0009039567670524447,3.836248850194129e-05,0.08530999551551384,0.025020231660092748,0.012224920053899052,3.566641766308871e-05,0.2523364428792106,0.0013690059288150244,0.20751330916429436,0.024320213370247274,0.9791080309437882,-71.72379597964955,0.005521641443917472,0.0024909403538950596,1.235805711768841e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001289355208742576,-0.00046763004801500784,1.129291865890087e-15,5.869781092279084e-05,1.0,-5.4840075236718585e-05
0.25,0.0007731647033015149,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.00795777986822294,-0.0009068583253828687,3.8435100627423834e-05,0.08544848260020373,0.02503387878961046,0.012237443681753401,3.578368194363216e-05,0.25242934790504523,0.0013690149913104654,0.2075089542733718,0.024328436970636906,0.9791006409706252,-71.71394838733853,0.0055228374899953265,0.002491353062600747,1.2854794078145207e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012884418092143344,-0.0004678086277175702,1.1753171399154912e-15,5.869755727334588e-05,1.0,-5.4796121669094676e-05
0.26,0.0007726169620177262,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007981563584590692,-0.0009097673629081535,3.8509509014094905e-05,0.08558699853955999,0.025047524518647953,0.012249972113889913,3.590125784620516e-05,0.25252221729598556,0.001369024429636335,0.20750442677469222,0.024336929256458948,0.9790929895162295,-71.70410697104833,0.00552407661452599,0.0024917817315132265,1.3350113017242123e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012875291422204815,-0.0004679945446647134,1.2212611984393853e-15,5.8697645040030535e-05,1.0,-5.475212855471642e-05
0.27,0.0007720696608599544,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.008005400885701924,-0.0009126838929119492,3.8585693388623425e-05,0.08572554304737875,0.02506116887118984,0.012262505343373665,3.601914595146069e-05,0.25261505103927645,0.001369034244246298,0.2074997270654877,0.024345685742163236,0.9790850793993059,-71.69427172730299,0.005525358407878643,0.002492226294933621,1.384401808185873e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012866172084146312,-0.00046818773322935934,1.26712416604405e-15,5.869807260397547e-05,1.0,-5.470809658001059e-05
0.28,0.0007715228002134031,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.008029291858864718,-0.0009156079286855405,3.866363396197071e-05,0.08586411583761439,0.025074811871229105,0.012275043363269093,3.6137346840455455e-05,0.2527078491222394,0.0013690444355941478,0.20749485554232203,0.024354702018894992,0.9790769134056356,-71.68444265262511,0.00552668246447008,0.002492686687484764,1.4336513408359353e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001285706008439025,-0.0004683881285893107,1.312906167461074e-15,5.869883835330035e-05,1.0,-5.466402642283021e-05
0.29,0.0007709763804565413,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.008053236591313752,-0.0009185394835278298,3.874331141596413e-05,0.08600271662438101,0.025088453542767116,0.01228758616664008,3.625586109464926e-05,0.2528006115322726,0.0013690550041338045,0.2074898126010912,0.024363973753094296,0.9790684942884885,-71.67461974353581,0.00552804838272177,0.0024931628441094687,1.4827603122597166e-17,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00012847955429246837,-0.0004685956667152588,1.3586073275676441e-15,5.869994068308853e-05,1.0,-5.461991875258136e-05
