A_3_task1,B_1_task1,P_2_task1,T_4_task1,_1_task1
149992455.8427942,90000.00287999964,999997.0592047112,4.668037723739667e-34,0.00032
149992220.34037554,90000.00296999961,999996.9673050102,4.743998224822184e-34,0.00033000000000000005
149991984.85324943,90000.00305999958,999996.8754053183,4.753280431435805e-34,0.00034
149991749.38141483,90000.00314999955,999996.7835056357,4.6254544714298265e-34,0.00035000000000000005
149991513.92487067,90000.00323999953,999996.6916059622,4.83105378799811e-34,0.00036
149991278.4836159,90000.0033299995,999996.599706298,4.647772493109967e-34,0.00037000000000000005
149991043.0576495,90000.00341999947,999996.5078066429,4.7106115032424694e-34,0.00038
149990807.64697036,90000.00350999944,999996.415906997,4.818191470166164e-34,0.00039000000000000005
149990572.25157747,90000.00359999941,999996.3240073604,4.673664905994145e-34,0.0004
149990336.87146977,90000.00368999939,999996.2321077329,1.8453537314713025e-44,0.00041000000000000005
149990101.5066462,90000.00377999936,999996.1402081146,-2.1152675274424286e-39,0.00042
149989866.15710568,90000.00386999933,999996.0483085056,4.35482601502483e-39,0.00043000000000000004
149989630.82284722,90000.0039599993,999995.9564089057,-2.1998897667995223e-39,0.00044
149989395.50386974,90000.00404999928,999995.864509315,-2.7232162943599806e-43,0.00045000000000000004
149989160.2001722,90000.00413999925,999995.7726097335,2.5678845285360487e-43,0.00046
149988924.9117535,90000.00422999922,999995.6807101612,-1.2380602193778505e-43,0.00047000000000000004
149988689.63861266,90000.00431999919,999995.5888105981,2.412543867802059e-44,0.00048000000000000007
149988454.38074857,90000.00440999916,999995.4969110442,2.6843519286312814e-47,0.0004900000000000001
149988219.1381602,90000.00449999912,999995.4050114995,-1.2660226453873865e-47,0.0005
149987983.9108465,90000.00458999908,999995.313111964,3.4525507177660814e-48,0.00051
149987748.69880643,90000.00467999904,999995.2212124377,-4.130910831936302e-49,0.0005200000000000001
149987513.50203893,90000.004769999,999995.1293129206,-2.069183965802512e-51,0.0005300000000000001
149987278.32054293,90000.00485999895,999995.0374134127,3.927049669409459e-52,0.00054
149987043.1543174,90000.00494999891,999994.945513914,-2.980763457996647e-52,0.00055
149986808.00336128,90000.00503999887,999994.8536144245,-1.852126092515334e-52,0.0005600000000000001
149986572.86767352,90000.00512999883,999994.7617149442,-1.952144364645622e-52,0.0005700000000000001
149986337.74725306,90000.00521999878,999994.669815473,-1.8872875692454136e-52,0.00058
149986102.64209887,90000.00530999874,999994.5779160111,-1.9208985231100315e-52,0.00059
149985867.55220988,90000.0053999987,999994.4860165584,-1.9096474187064204e-52,0.0006000000000000001
149985632.47758505,90000.00548999866,999994.3941171148,-1.937536623093932e-52,0.0006100000000000001
149985397.41822332,90000.00557999861,999994.3022176805,-1.904367931581773e-52,0.00062
149985162.37412366,90000.00566999857,999994.2103182554,-1.9292460235391203e-52,0.00063
149984927.345285,90000.00575999853,999994.1184188394,-1.917197042476994e-52,0.00064
149984692.3317063,90000.00584999849,999994.0265194327,-1.9028575315617372e-52,0.0006500000000000001
149984457.33338648,90000.00593999845,999993.9346200351,-1.96847957012174e-52,0.0006600000000000001
149984222.35032454,90000.0060299984,999993.8427206468,-1.8372668608808007e-52,0.00067
149983987.3825194,90000.00611999836,999993.7508212676,-1.985048361492726e-52,0.00068
149983752.42997003,90000.00620999832,999993.6589218976,-1.8787838716152035e-52,0.0006900000000000001
149983517.49267536,90000.00629999826,999993.5670225369,-1.9397903159314073e-52,0.0007000000000000001
149983282.57063434,90000.0063899982,999993.4751231853,-1.9074376539851697e-52,0.00071
149983047.66384593,90000.00647999815,999993.383223843,-1.934540192537742e-52,0.00072
149982812.77230906,90000.00656999809,999993.2913245098,-1.9179834060591918e-52,0.0007300000000000001
149982577.8960227,90000.00665999803,999993.1994251858,-1.9036357472969112e-52,0.0007400000000000001
149982343.0349858,90000.00674999798,999993.107525871,-1.934569524803851e-52,0.00075
149982108.18919733,90000.00683999792,999993.0156265654,-1.884049028910082e-52,0.00076
149981873.3586562,90000.00692999786,999992.923727269,-1.9353121605280075e-52,0.0007700000000000001
149981638.54336137,90000.0070199978,999992.8318279819,-1.923285336115783e-52,0.0007800000000000001
149981403.7433118,90000.00710999775,999992.7399287039,-1.9247621909916827e-52,0.00079
149981168.95850644,90000.0071999977,999992.6480294351,-1.9127183724966954e-52,0.0008
149980934.18894422,90000.00728999764,999992.5561301755,-1.915728427390505e-52,0.0008100000000000001
149980699.43462414,90000.00737999758,999992.4642309251,-1.9285589388828917e-52,0.0008200000000000001
149980464.6955451,90000.00746999752,999992.3723316839,-1.875014301550133e-52,0.0008300000000000001
149980229.9717061,90000.00755999747,999992.2804324519,-1.9330710411583735e-52,0.00084
149979995.26310602,90000.00764999741,999992.188533229,-1.959511394001619e-52,0.0008500000000000001
149979760.56974387,90000.00773999735,999992.0966340154,-1.8591761900027606e-52,0.0008600000000000001
149979525.89161858,90000.0078299973,999992.004734811,-1.9677608743198515e-52,0.0008700000000000001
149979291.2287291,90000.00791999724,999991.9128356158,-1.879227207919252e-52,0.00088
149979056.5810744,90000.00800999718,999991.8209364298,-1.9436057180430473e-52,0.0008900000000000001
149978821.9486534,90000.00809999711,999991.729037253,-1.8958188772120446e-52,0.0009000000000000001
149978587.3314651,90000.00818999704,999991.6371380853,-1.9044143669687245e-52,0.0009100000000000001
149978352.7295084,90000.00827999697,999991.5452389269,-1.9206848019007878e-52,0.00092
149978118.14278227,90000.0083699969,999991.4533397777,-1.9470646540995672e-52,0.00093
149977883.57128567,90000.00845999682,999991.3614406376,-1.8890034010014858e-52,0.0009400000000000001
149977649.01501754,90000.00854999675,999991.2695415069,-1.935737275804757e-52,0.0009500000000000001
149977414.47397685,90000.00863999668,999991.1776423854,-1.9071349096119304e-52,0.0009600000000000001
149977179.94816256,90000.00872999661,999991.085743273,-1.8780453011201634e-52,0.00097
149976945.43757358,90000.00881999654,999990.9938441699,-1.9206857003660032e-52,0.0009800000000000002
149976710.9422089,90000.00890999647,999990.901945076,-1.9836792680239507e-52,0.00099
149976476.46206743,90000.0089999964,999990.8100459912,-1.8460366328035683e-52,0.001
149976241.99714816,90000.00908999633,999990.7181469157,-7.067169024935497e-63,0.00101
149976007.54745004,90000.00917999625,999990.6262478493,7.913490215466676e-58,0.00102
149975773.112972,90000.00926999618,999990.5343487922,-1.6883879766521373e-57,0.00103
149975538.693713,90000.00935999611,999990.4424497442,8.656324469081933e-58,0.0010400000000000001
149975304.28967202,90000.00944999604,999990.3505507055,1.0477902424634623e-61,0.0010500000000000002
149975069.90084797,90000.00953999597,999990.2586516759,-9.955238708906725e-62,0.0010600000000000002
149974835.52723983,90000.0096299959,999990.1667526555,4.8295432856098966e-62,0.00107
149974601.16884655,90000.00971999583,999990.0748536444,-9.45729418499268e-63,0.00108
149974366.82566708,90000.00980999575,999989.9829546424,-1.038491452243764e-65,0.00109
149974132.49770036,90000.00989999567,999989.8910556496,4.915079330726748e-66,0.0011
149973898.18494537,90000.00998999558,999989.799156666,-1.344603536748558e-66,0.00111
149973663.88740104,90000.0100799955,999989.7072576917,1.613204586171344e-67,0.0011200000000000001
149973429.60506633,90000.01016999541,999989.6153587265,7.890434958180089e-70,0.0011300000000000001
149973195.3379402,90000.01025999532,999989.5234597705,-1.6629161517659137e-70,0.0011400000000000002
149972961.08602157,90000.01034999524,999989.4315608237,1.0414233621258606e-70,0.0011500000000000002
149972726.84930944,90000.01043999515,999989.3396618861,5.878669277239352e-71,0.00116
149972492.62780273,90000.01052999507,999989.2477629577,6.158543707924566e-71,0.00117
149972258.4215004,90000.01061999498,999989.1558640385,6.1315001129365215e-71,0.00118
149972024.23040143,90000.0107099949,999989.0639651285,6.297286551423312e-71,0.00119
149971790.05450475,90000.01079999481,999988.9720662277,6.019497969466558e-71,0.0012000000000000001
149971555.89380932,90000.01088999472,999988.8801673361,6.307166979422367e-71,0.0012100000000000001
149971321.74831408,90000.01097999464,999988.7882684537,6.159763798557788e-71,0.0012200000000000002
149971087.618018,90000.01106999455,999988.6963695805,6.116980391439117e-71,0.0012300000000000002
149970853.50292003,90000.01115999446,999988.6044707164,6.288974420771066e-71,0.00124
149970619.4030191,90000.01124999438,999988.5125718616,6.126831258028677e-71,0.00125
149970385.3183142,90000.0113399943,999988.420673016,6.210901436289291e-71,0.00126
149970151.24880427,90000.0114299942,999988.3287741796,6.078097302887378e-71,0.00127
149969917.19448826,90000.01151999412,999988.2368753523,6.2523784999283814e-71,0.00128
149969683.15536514,90000.01160999404,999988.1449765343,6.109825186249901e-71,0.0012900000000000001
149969449.13143384,90000.01169999393,999988.0530777255,6.207272999576301e-71,0.0013000000000000002
149969215.12269333,90000.01178999383,999987.9611789258,6.358561258184183e-71,0.0013100000000000002
149968981.12914255,90000.01187999373,999987.8692801354,5.98423696776578e-71,0.0013200000000000002
149968747.15078047,90000.01196999363,999987.7773813541,6.108513685844394e-71,0.00133
149968513.18760604,90000.01205999353,999987.6854825821,6.375697277515813e-71,0.00134
149968279.2396182,90000.01214999343,999987.5935838192,6.0671765129405104e-71,0.00135
149968045.30681595,90000.01223999333,999987.5016850656,6.160958988722197e-71,0.00136
149967811.3891982,90000.01232999323,999987.4097863211,6.163582625450111e-71,0.0013700000000000001
149967577.48676392,90000.01241999313,999987.3178875858,6.207367799348019e-71,0.0013800000000000002
149967343.59951207,90000.01250999303,999987.2259888598,6.23424934131889e-71,0.0013900000000000002
149967109.72744158,90000.01259999293,999987.1340901429,6.1269535426941714e-71,0.0014000000000000002
149966875.87055144,90000.01268999283,999987.0421914352,6.115964123246859e-71,0.00141
149966642.02884057,90000.01277999273,999986.9502927368,6.236718296387952e-71,0.00142
149966408.20230797,90000.01286999263,999986.8583940475,6.090428095060742e-71,0.00143
149966174.39095256,90000.01295999253,999986.7664953674,6.258606862309945e-71,0.00144
149965940.5947733,90000.01304999243,999986.6745966965,6.112449211632411e-71,0.0014500000000000001
149965706.81376913,90000.01313999233,999986.5826980348,6.209836626847812e-71,0.0014600000000000001
149965473.04793906,90000.01322999223,999986.4907993823,6.188048257486416e-71,0.0014700000000000002
149965239.297282,90000.01331999213,999986.398900739,6.097732620548764e-71,0.0014800000000000002
149965005.56179693,90000.01340999203,999986.3070021049,6.162382968587225e-71,0.0014900000000000002
149964771.8414828,90000.01349999192,999986.21510348,6.212427384792377e-71,0.0015
149964538.13633853,90000.01358999181,999986.1232048643,6.189231399296897e-71,0.00151
149964304.44636312,90000.0136799917,999986.0313062578,6.202648743606339e-71,0.00152
149964070.7715555,90000.01376999158,999985.9394076605,6.006390497234377e-71,0.0015300000000000001
149963837.11191466,90000.01385999146,999985.8475090724,6.376959678603751e-71,0.0015400000000000001
149963603.4674395,90000.01394999135,999985.7556104935,6.0333787956405455e-71,0.0015500000000000002
149963369.838129,90000.01403999123,999985.6637119238,6.196389456717357e-71,0.0015600000000000002
149963136.22398216,90000.01412999112,999985.5718133632,6.246767018324702e-71,0.0015700000000000002
149962902.62499788,90000.014219991,999985.4799148119,6.030753539808873e-71,0.00158
149962669.04117513,90000.01430999089,999985.3880162698,6.274590605055434e-71,0.00159
149962435.47251287,90000.01439999077,999985.2961177368,6.18458943063289e-71,0.0016
149962201.91901007,90000.01448999066,999985.2042192131,2.46099098211353e-81,0.00161
149961968.3806657,90000.01457999054,999985.1123206986,-2.8094003508992394e-76,0.0016200000000000001
149961734.85747865,90000.01466999043,999985.0204221932,5.750562188418432e-76,0.0016300000000000002
149961501.34944794,90000.01475999031,999984.9285236971,-2.889031912709812e-76,0.0016400000000000002
149961267.8565725,90000.0148499902,999984.8366252101,-3.56884292141057e-80,0.0016500000000000002
149961034.3788513,90000.01493999008,999984.7447267324,3.359036800819098e-80,0.0016600000000000002
149960800.91628328,90000.01502998997,999984.6528282638,-1.6165300460109759e-80,0.00167
149960567.46886742,90000.01511998985,999984.5609298045,3.1443219164570455e-81,0.00168
149960334.03660265,90000.01520998974,999984.4690313543,3.482824283262858e-84,0.00169
149960100.61948794,90000.01529998962,999984.3771329133,-1.640902198525225e-84,0.0017000000000000001
149959867.21752226,90000.0153899895,999984.2852344816,4.4703088073768423e-85,0.0017100000000000001
149959633.83070457,90000.01547998936,999984.193336059,-5.343190681763385e-86,0.0017200000000000002
149959400.4590338,90000.01556998923,999984.1014376456,-2.6623368310634325e-88,0.0017300000000000002
149959167.1025089,90000.0156599891,999984.0095392414,5.2500616597757446e-89,0.0017400000000000002
149958933.76112887,90000.01574998898,999983.9176408465,-3.813448049938341e-89,0.00175
149958700.43489265,90000.01583998885,999983.8257424607,-2.2816179017688788e-89,0.00176
149958467.12379918,90000.01592998872,999983.7338440841,-2.342906078519224e-89,0.00177
149958233.82784742,90000.01601998859,999983.6419457167,-2.4333499746988284e-89,0.0017800000000000001
149958000.54703635,90000.01610998846,999983.5500473585,-2.329871459950598e-89,0.0017900000000000001
149957767.28136492,90000.01619998833,999983.4581490095,-2.3741407591766107e-89,0.0018000000000000002
149957534.03083208,90000.0162899882,999983.3662506697,-2.4028889642102413e-89,0.0018100000000000002
149957300.7954368,90000.01637998807,999983.2743523391,-2.344508327710686e-89,0.0018200000000000002
149957067.57517803,90000.01646998794,999983.1824540177,-2.34827292755949e-89,0.0018300000000000002
149956834.37005472,90000.01655998781,999983.0905557055,-2.446192356400733e-89,0.00184
149956601.18006584,90000.01664998768,999982.9986574025,-2.3798350870355302e-89,0.00185
149956368.00521034,90000.01673998755,999982.9067591086,-2.3186210935016864e-89,0.00186
149956134.84548718,90000.01682998742,999982.814860824,-2.4203118429953315e-89,0.0018700000000000001
149955901.70089534,90000.01691998729,999982.7229625486,-2.34737817109741e-89,0.0018800000000000002
149955668.57143375,90000.01700998716,999982.6310642824,-2.3661625408278635e-89,0.0018900000000000002
149955435.45710137,90000.01709998703,999982.5391660254,-2.4161011399045153e-89,0.0019000000000000002
149955202.3578972,90000.01718998689,999982.4472677775,-2.332781533837017e-89,0.0019100000000000002
149954969.27382013,90000.01727998674,999982.3553695389,-2.3605317996768987e-89,0.0019200000000000003
149954736.20486918,90000.0173699866,999982.2634713094,-2.4128192275863455e-89,0.00193
149954503.15104327,90000.01745998645,999982.1715730892,-2.4000977787457866e-89,0.00194
149954270.11234137,90000.01754998631,999982.0796748783,-2.3567903483422325e-89,0.0019500000000000001
149954037.08876246,90000.01763998617,999981.9877766765,-2.3360887050373278e-89,0.0019600000000000004
149953804.08030546,90000.01772998602,999981.895878484,-2.435879647979908e-89,0.00197
149953571.08696935,90000.01781998588,999981.8039803007,-2.353065357010987e-89,0.00198
149953338.1087531,90000.01790998573,999981.7120821265,-2.3252424739974797e-89,0.00199
149953105.14565563,90000.01799998559,999981.6201839616,-2.408603679017612e-89,0.002
149952872.19767594,90000.01808998545,999981.5282858058,-2.3817834994732824e-89,0.00201
149952639.264813,90000.0181799853,999981.4363876593,-2.325266028480863e-89,0.00202
149952406.34706575,90000.01826998516,999981.3444895219,-2.4053033420919524e-89,0.00203
149952173.44443312,90000.01835998501,999981.2525913938,-2.3770977582039004e-89,0.00204
149951940.55691412,90000.01844998487,999981.1606932748,-2.3478659890732643e-89,0.00205
149951707.68450767,90000.01853998473,999981.068795165,-2.3954373373891204e-89,0.00206
149951474.82721275,90000.01862998458,999980.9768970645,-2.3695663067255588e-89,0.0020700000000000002
149951241.98502833,90000.01871998444,999980.8849989731,-2.3643580054298096e-89,0.0020800000000000003
149951009.15795332,90000.01880998429,999980.7931008909,-2.4091018836209818e-89,0.0020900000000000003
149950776.34598672,90000.01889998415,999980.701202818,-2.3526291717426196e-89,0.0021000000000000003
149950543.5491275,90000.01898998399,999980.6093047542,-2.3507123615320055e-89,0.0021100000000000003
149950310.7673746,90000.01907998383,999980.5174066996,-2.3611112584590465e-89,0.0021200000000000004
149950078.000727,90000.01916998367,999980.4255086542,-2.388396825262977e-89,0.0021300000000000004
149949845.24918362,90000.01925998351,999980.333610618,-2.3620505023167594e-89,0.00214
149949612.51274347,90000.01934998335,999980.241712591,-2.382274395814719e-89,0.00215
149949379.79140547,90000.0194399832,999980.1498145732,-2.4011337236838734e-89,0.00216
149949147.0851686,90000.01952998304,999980.0579165646,-2.300397571727929e-89,0.00217
149948914.39403182,90000.01961998288,999979.9660185652,-2.4274474132450867e-89,0.00218
149948681.7179941,90000.01970998272,999979.874120575,-2.354601038528886e-89,0.00219
149948449.05705437,90000.01979998256,999979.782222594,-2.3492931531996038e-89,0.0022
149948216.4112116,90000.0198899824,999979.6903246222,-9.545346941728772e-100,0.00221
149947983.7804648,90000.01997998224,999979.5984266596,1.102250190226818e-94,0.00222
149947751.16481286,90000.02006998209,999979.5065287062,-2.1850964416111489e-94,0.00223
149947518.5642548,90000.02015998193,999979.414630762,1.0932707101188216e-94,0.0022400000000000002
149947285.97878954,90000.02024998177,999979.3227328269,1.3584472737692045e-98,0.0022500000000000003
149947053.40841606,90000.02033998161,999979.2308349011,-1.2721225238425715e-98,0.0022600000000000003
149946820.85313332,90000.02042998145,999979.1389369845,6.102422499222006e-99,0.0022700000000000003
149946588.31294027,90000.02051998129,999979.047039077,-1.1853607882769393e-99,0.0022800000000000003
149946355.78783587,90000.02060998113,999978.9551411788,-1.3131152096936238e-102,0.0022900000000000004
149946123.2778191,90000.02069998097,999978.8632432898,6.175305342153497e-103,0.0023000000000000004
149945890.7828889,90000.02078998082,999978.7713454099,-1.6801010439102372e-103,0.00231
149945658.30304423,90000.02087998064,999978.6794475393,2.0070582920124633e-104,0.00232
149945425.83828408,90000.02096998047,999978.5875496778,1.0372343896664269e-106,0.00233
149945193.38860738,90000.0210599803,999978.4956518256,-1.6023327595458767e-107,0.00234
149944960.95401314,90000.02114998012,999978.4037539825,1.808743478973728e-107,0.00235
149944728.53450027,90000.02123997995,999978.3118561486,1.2588535123704999e-107,0.00236
149944496.13006777,90000.02132997978,999978.219958324,1.2602076259719702e-107,0.00237
149944263.74071458,90000.0214199796,999978.1280605085,1.2743906782288657e-107,0.00238
149944031.36643967,90000.02150997943,999978.0361627023,1.2899858077233353e-107,0.00239
149943799.007242,90000.02159997926,999977.9442649052,1.2861944792024515e-107,0.0024000000000000002
149943566.6631205,90000.02168997908,999977.8523671173,1.2575063869007584e-107,0.0024100000000000002
149943334.3340742,90000.02177997891,999977.7604693386,1.2874647293563833e-107,0.0024200000000000003
149943102.020102,90000.02186997874,999977.6685715691,1.2636107754964142e-107,0.0024300000000000003
149942869.72120288,90000.02195997856,999977.5766738089,1.2910183068059511e-107,0.0024400000000000003
149942637.4373758,90000.02204997839,999977.4847760578,1.2770715010943876e-107,0.0024500000000000004
149942405.16861978,90000.02213997822,999977.3928783159,1.2628431089566268e-107,0.0024600000000000004
149942172.9149337,90000.02222997804,999977.3009805832,1.2689444370753587e-107,0.0024700000000000004
149941940.6763166,90000.02231997787,999977.2090828597,1.2867191491103597e-107,0.00248
149941708.45276737,90000.0224099777,999977.1171851454,1.2732651782215658e-107,0.00249
149941476.24428502,90000.02249997752,999977.0252874403,1.2727539673557505e-107,0.0025
149941244.05086848,90000.02258997735,999976.9333897444,1.2768245620985465e-107,0.00251
149941011.87251672,90000.02267997716,999976.8414920577,1.3001810746777408e-107,0.00252
149940779.70922872,90000.02276997697,999976.7495943801,1.258296834523049e-107,0.00253
149940547.56100345,90000.02285997679,999976.6576967118,1.2608228593217514e-107,0.00254
149940315.42783985,90000.0229499766,999976.5657990527,1.2941012809147019e-107,0.00255
149940083.30973688,90000.02303997641,999976.4739014028,1.2798822317239442e-107,0.00256
149939851.20669353,90000.02312997622,999976.3820037621,1.2412831381791613e-107,0.0025700000000000002
149939619.11870873,90000.02321997604,999976.2901061305,1.3123748404415526e-107,0.0025800000000000003
149939387.04578146,90000.02330997585,999976.1982085082,1.2829516885695987e-107,0.0025900000000000003
149939154.9879107,90000.02339997566,999976.1063108951,1.2402609960067174e-107,0.0026000000000000003
149938922.9450954,90000.02348997547,999976.0144132911,1.276333797569842e-107,0.0026100000000000003
149938690.9173345,90000.02357997528,999975.9225156964,1.2953902164948333e-107,0.0026200000000000004
149938458.904627,90000.0236699751,999975.8306181108,1.2542456193980665e-107,0.0026300000000000004
149938226.90697184,90000.02375997491,999975.7387205345,1.2948621639079927e-107,0.0026400000000000004
149937994.92436802,90000.02384997472,999975.6468229673,1.2461495493220318e-107,0.00265
149937762.95681447,90000.02393997453,999975.5549254094,1.3014544398996004e-107,0.00266
149937531.00431016,90000.02402997435,999975.4630278606,1.2641866186707056e-107,0.00267
149937299.06685406,90000.02411997416,999975.3711303211,1.2643909051164648e-107,0.00268
149937067.14444512,90000.02420997397,999975.2792327907,1.2951485985010627e-107,0.00269
149936835.23708233,90000.02429997378,999975.1873352695,1.2563008978235594e-107,0.0027
149936603.34476465,90000.0243899736,999975.0954377576,1.2852219311250818e-107,0.00271
149936371.46749103,90000.02447997339,999975.0035402548,1.2504792394672674e-107,0.00272
149936139.60526043,90000.02456997319,999974.9116427612,1.2829380744195387e-107,0.0027300000000000002
149935907.75807184,90000.02465997299,999974.8197452768,1.2865344270513718e-107,0.0027400000000000002
149935675.92592418,90000.02474997278,999974.7278478016,1.2931085198151723e-107,0.0027500000000000003
149935444.10881644,90000.02483997258,999974.6359503357,1.2405715761100772e-107,0.0027600000000000003
149935212.30674762,90000.02492997238,999974.5440528789,1.297419552258353e-107,0.0027700000000000003
149934980.51971662,90000.02501997218,999974.4521554313,1.2505032963427442e-107,0.0027800000000000004
149934748.74772245,90000.02510997198,999974.3602579929,1.2809044681140696e-107,0.0027900000000000004
149934516.99076405,90000.02519997177,999974.2683605637,1.261165597407733e-107,0.0028000000000000004
149934285.24884042,90000.02528997157,999974.1764631437,5.03005820533641e-118,0.0028100000000000004
149934053.52195048,90000.02537997137,999974.0845657329,-5.709007465898054e-113,0.00282
149933821.81009322,90000.02546997117,999973.9926683313,1.163351038078312e-112,0.00283
149933590.11326763,90000.02555997096,999973.9007709388,-5.846727515028851e-113,0.00284
149933358.43147263,90000.02564997076,999973.8088735556,-7.17202399361657e-117,0.00285
149933126.7647072,90000.02573997056,999973.7169761816,6.746923013810989e-117,0.00286
149932895.11297032,90000.02582997036,999973.6250788168,-3.246316568952189e-117,0.00287
149932663.47626093,90000.02591997015,999973.5331814612,6.3152591205539475e-118,0.00288
149932431.85457802,90000.02600996995,999973.4412841147,6.942561285970739e-121,0.00289
149932200.24792054,90000.02609996975,999973.3493867775,-3.270566378597184e-121,0.0029000000000000002
149931968.65628746,90000.02618996955,999973.2574894495,8.909838567911787e-122,0.0029100000000000003
149931737.07967776,90000.02627996933,999973.1655921306,-1.0651322715672199e-122,0.0029200000000000003
149931505.5180904,90000.02636996911,999973.073694821,-5.284551074617552e-125,0.0029300000000000003
149931273.97152433,90000.0264599689,999972.9817975205,9.858487011175347e-126,0.0029400000000000003
149931042.4399785,90000.02654996868,999972.8899002293,-7.926493575297075e-126,0.0029500000000000004
149930810.92345193,90000.02663996846,999972.7980029472,-4.688588846511889e-126,0.0029600000000000004
149930579.42194355,90000.02672996825,999972.7061056744,-5.117987056440325e-126,0.0029700000000000004
149930347.93545234,90000.02681996803,999972.6142084107,-4.9887791446196084e-126,0.0029800000000000004
149930116.46397728,90000.02690996781,999972.5223111563,-5.0604859683940776e-126,0.00299
149929885.0075173,90000.0269999676,999972.430413911,-5.035456073918844e-126,0.003
149929653.5660714,90000.02708996738,999972.3385166749,-5.145320768645902e-126,0.00301
149929422.1396385,90000.02717996716,999972.2466194481,-4.9416909237032265e-126,0.00302
149929190.72821763,90000.02726996694,999972.1547222304,-5.116073591586034e-126,0.00303
149928959.3318077,90000.02735996673,999972.0628250219,-5.078858585950002e-126,0.00304
149928727.9504077,90000.02744996651,999971.9709278228,-5.025351772880899e-126,0.00305
149928496.58401662,90000.0275399663,999971.8790306328,-4.99615377033162e-126,0.0030600000000000002
149928265.23263338,90000.02762996608,999971.787133452,-5.124206653182731e-126,0.0030700000000000002
149928033.89625698,90000.02771996586,999971.6952362804,-5.031475277832123e-126,0.0030800000000000003
149927802.57488638,90000.02780996564,999971.6033391181,-4.9880764299487534e-126,0.0030900000000000003
149927571.26852053,90000.02789996543,999971.5114419649,-5.030471661422623e-126,0.0031000000000000003
149927339.97715843,90000.02798996521,999971.4195448209,-5.1101295444330114e-126,0.0031100000000000004
149927108.70079902,90000.02807996498,999971.3276476861,-5.0103184834440396e-126,0.0031200000000000004
149926877.43944126,90000.02816996475,999971.2357505605,-5.075830916736313e-126,0.0031300000000000004
149926646.19308415,90000.02825996451,999971.1438534441,-4.9942263134064056e-126,0.0031400000000000004
149926414.96172664,90000.02834996428,999971.051956337,-5.1161722332826426e-126,0.0031500000000000005
149926183.7453677,90000.02843996405,999970.960059239,-4.930730646155603e-126,0.00316
149925952.54400632,90000.02852996382,999970.8681621501,-5.069776527049921e-126,0.00317
149925721.35764143,90000.02861996359,999970.7762650705,-5.097133583676418e-126,0.00318
149925490.186272,90000.02870996336,999970.6843680001,-5.041595309814007e-126,0.00319
149925259.029897,90000.02879996313,999970.5924709389,-5.0527146841944177e-126,0.0032
149925027.8885154,90000.0288899629,999970.5005738869,-5.021487544759154e-126,0.00321
