species_1,species_10,species_11,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,Time
233.58301418147676,200.0,20.0,66.41698581852319,1198.5878155231924,1.335175141303898,0.07695154875316303,1199.9990247684134,0.0009173863218153701,5.8514193298896595e-08,100.0,5.8500000000000005
233.4899814261904,200.0,20.0,66.51001857380953,1198.5839963720168,1.3386222796295608,0.07732356160307433,1199.9990188016006,0.0009233523613918162,5.928734450038312e-08,100.0,5.86
233.39699421205012,200.0,20.0,66.60300578794983,1198.5801744271582,1.3420711952429452,0.07769659084836632,1199.9990128082986,0.0009293448815637629,6.006911652486556e-08,100.0,5.87
233.30405247921408,200.0,20.0,66.69594752078586,1198.5763496946104,1.3455218818775756,0.07807063676156019,1199.9990067884505,0.0009353639393978373,6.085958705723141e-08,100.0,5.88
233.21115616803607,200.0,20.0,66.78884383196386,1198.5725221803507,1.348974333286669,0.07844569961221622,1199.9990007419988,0.0009414095919031464,6.165883430461349e-08,100.0,5.89
233.11830521906438,200.0,20.0,66.88169478093556,1198.5686918903396,1.352428543243049,0.07882177966694953,1199.9989946688866,0.0009474818960310244,6.246693699848202e-08,100.0,5.9
233.02549957304063,200.0,20.0,66.97450042695931,1198.5648588305212,1.3558845055390585,0.07919887718944574,1199.9989885690568,0.0009535809086747791,6.32839743967366e-08,100.0,5.91
232.93273917089869,200.0,20.0,67.06726082910126,1198.5610230068226,1.359342213986477,0.07957699244047677,1199.9989824424526,0.0009597066866694435,6.411002628579866e-08,100.0,5.92
232.84002395376353,200.0,20.0,67.15997604623642,1198.5571844251554,1.3628016624164327,0.07995612567791653,1199.9989762890175,0.0009658592867915212,6.494517298270337e-08,100.0,5.93
232.74735386295018,200.0,20.0,67.25264613704975,1198.5533430914136,1.3662628446793184,0.08033627715675672,1199.9989701086943,0.0009720387657587361,6.578949533719188e-08,100.0,5.94
232.65472883996262,200.0,20.0,67.34527116003733,1198.5494990114757,1.3697257546447033,0.08071744712912234,1199.9989639014261,0.0009782451802297775,6.664307473380317e-08,100.0,5.95
232.56214882649252,200.0,20.0,67.43785117350741,1198.5456521912042,1.373190386201251,0.0810996358442877,1199.9989576671567,0.0009844785868040524,6.750599309396662e-08,100.0,5.96
232.46961376441834,200.0,20.0,67.5303862355816,1198.5418026364443,1.3766567332566306,0.08148284354869195,1199.998951405829,0.0009907390420214302,6.837833287809382e-08,100.0,5.97
232.37712359580405,200.0,20.0,67.62287640419589,1198.5379503530262,1.380124789737434,0.08186707048595492,1199.998945117387,0.0009970266023619932,6.926017708767092e-08,100.0,5.98
232.28467826289813,200.0,20.0,67.71532173710182,1198.5340953467637,1.3835945495890871,0.08225231689689269,1199.9989388017736,0.0010033413242457813,7.015160926735034e-08,100.0,5.99
232.19227770813237,200.0,20.0,67.80772229186759,1198.5302376234545,1.3870660067757667,0.08263858301953353,1199.9989324589326,0.0010096832640325442,7.105271350704348e-08,100.0,6.0
232.09992187412078,200.0,20.0,67.90007812587916,1198.5263771888804,1.3905391552803141,0.08302586908913344,1199.9989260888078,0.0010160524780214863,7.196357444401243e-08,100.0,6.01
232.00761070365857,200.0,20.0,67.99238929634137,1198.5225140488074,1.3940139891041488,0.08341417533819204,1199.9989196913427,0.001022449022451017,7.288427726496239e-08,100.0,6.0200000000000005
231.91534413972093,200.0,20.0,68.08465586027901,1198.5186482089862,1.3974905022671835,0.08380350199646806,1199.998913266481,0.0010288729534984958,7.381490770813332e-08,100.0,6.03
231.82312212546194,200.0,20.0,68.17687787453801,1198.514779675151,1.4009686888077386,0.08419384929099537,1199.9989068141665,0.001035324327279984,7.475555206539266e-08,100.0,6.04
231.73094460421348,200.0,20.0,68.26905539578647,1198.510908453021,1.404448542782456,0.08458521744609844,1199.9989003343433,0.0010418031998499903,7.570629718432714e-08,100.0,6.05
231.63881151948408,200.0,20.0,68.36118848051586,1198.5070345483002,1.4079300582662149,0.08497760668340827,1199.998893826955,0.0010483096272012197,7.666723047033501e-08,100.0,6.0600000000000005
231.54672281495792,200.0,20.0,68.45327718504204,1198.5031579666759,1.4114132293520432,0.08537101722187791,1199.9988872919457,0.0010548436652643206,7.763843988871786e-08,100.0,6.07
231.45467843449353,200.0,20.0,68.54532156550641,1198.499278713821,1.4148980501510349,0.08576544927779838,1199.9988807292596,0.0010614053699076343,7.86200139667733e-08,100.0,6.08
231.36267832212286,200.0,20.0,68.63732167787707,1198.4953967953927,1.4183845147922634,0.08616090306481428,1199.9988741388404,0.001067994796936943,7.961204179588666e-08,100.0,6.09
231.27072242205008,200.0,20.0,68.72927757794987,1198.4915122170332,1.4218726174226959,0.08655737879393959,1199.9988675206328,0.0010746120020952165,8.06146130336234e-08,100.0,6.1000000000000005
231.17881067865042,200.0,20.0,68.82118932134951,1198.4876249843692,1.4253623522071062,0.08695487667357328,1199.9988608745805,0.0010812570410623607,8.16278179058208e-08,100.0,6.11
231.08694303646922,200.0,20.0,68.91305696353072,1198.4837351030124,1.4288537133279922,0.08735339690951517,1199.9988542006283,0.0010879299694549665,8.265174720868064e-08,100.0,6.12
230.99511945423703,200.0,20.0,69.00488054576292,1198.4798425777874,1.432346695954586,0.08775293950792878,1199.9988474987147,0.0010946308483475809,8.368650095985834e-08,100.0,6.13
230.90333986828895,200.0,20.0,69.09666013171099,1198.4759474147468,1.4358412937136416,0.08815350478962056,1199.9988407687874,0.0011013597298625232,8.473216582862057e-08,100.0,6.140000000000001
230.81160422081632,200.0,20.0,69.18839577918364,1198.4720496196144,1.4393375006427518,0.08855509299285744,1199.9988340107923,0.001108116668299326,8.578883257165944e-08,100.0,6.15
230.7199124572123,200.0,20.0,69.28008754278765,1198.4681491979325,1.4428353110068233,0.08895770431068327,1199.9988272246737,0.001114901719089311,8.685659439800665e-08,100.0,6.16
230.6282645230412,200.0,20.0,69.37173547695876,1198.464246155228,1.446334719088517,0.08936133893352766,1199.9988204103763,0.0011217149376018473,8.793554510162605e-08,100.0,6.17
230.5366603640374,200.0,20.0,69.46333963596256,1198.4603404970126,1.44983571918817,0.0897659970492203,1199.9988135678445,0.0011285563791441407,8.90257790635723e-08,100.0,6.18
230.4450999261044,200.0,20.0,69.55490007389555,1198.4564322287833,1.4533383056237175,0.09017167884300514,1199.9988066970232,0.0011354260989610257,9.012739125414954e-08,100.0,6.19
230.3535831553138,200.0,20.0,69.64641684468617,1198.4525213560219,1.456842472730614,0.09057838449755456,1199.9987997978567,0.0011423241522347531,9.124047723506961e-08,100.0,6.2
230.26210999790422,200.0,20.0,69.73789000209574,1198.4486078841953,1.4603482148617568,0.09098611419298372,1199.9987928702903,0.0011492505940847845,9.236513316161121e-08,100.0,6.21
230.17068040028047,200.0,20.0,69.82931959971948,1198.4446918187557,1.463855526387406,0.09139486810686459,1199.9987859142684,0.0011562054795675805,9.350145578477802e-08,100.0,6.22
230.07929430901234,200.0,20.0,69.92070569098762,1198.4407731651406,1.4673644016951077,0.09180464641424038,1199.9987789297363,0.0011631888636763916,9.464954245345755e-08,100.0,6.23
229.98795167083378,200.0,20.0,70.01204832916619,1198.4368519287727,1.4708748351896137,0.09221544928763947,1199.9987719166386,0.0011702008013410466,9.580949111657929e-08,100.0,6.24
229.89665243264173,200.0,20.0,70.10334756735824,1198.4329281150601,1.4743868212928064,0.09262727689708991,1199.9987648749207,0.0011772413474277475,9.698140032527387e-08,100.0,6.25
229.80539654149524,200.0,20.0,70.19460345850472,1198.4290017293963,1.477900354443618,0.09304012941013343,1199.9987578045273,0.0011843105567388565,9.816536923503126e-08,100.0,6.26
229.71418394461443,200.0,20.0,70.28581605538554,1198.4250727771603,1.4814154290979538,0.0934540069918398,1199.998750705404,0.001191408484012688,9.936149760785951e-08,100.0,6.2700000000000005
229.62301458937947,200.0,20.0,70.3769854106205,1198.4211412637167,1.4849320397286128,0.09386890980482084,1199.9987435774956,0.0011985351839232969,1.00569885814443e-07,100.0,6.28
229.53188842332955,200.0,20.0,70.46811157667042,1198.4172071944156,1.4884501808252109,0.09428483800924485,1199.9987364207477,0.0012056907110802727,1.0179063483630151e-07,100.0,6.29
229.44080539416194,200.0,20.0,70.55919460583802,1198.4132705745933,1.4919698468941016,0.09470179176285073,1199.9987292351057,0.0012128751200285272,1.0302384626794852e-07,100.0,6.3
229.34976544973097,200.0,20.0,70.65023455026899,1198.409331409571,1.4954910324582988,0.09511977122096224,1199.9987220205146,0.0012200884652480866,1.0426962231904986e-07,100.0,6.3100000000000005
229.25876853804698,200.0,20.0,70.74123146195296,1198.4053897046563,1.4990137320573973,0.09553877653650199,1199.9987147769202,0.001227330801153879,1.0552806581658197e-07,100.0,6.32
229.16781460727537,200.0,20.0,70.83218539272457,1198.4014454651426,1.5025379402474957,0.09595880786000598,1199.9987075042682,0.001234602182095529,1.0679928020699105e-07,100.0,6.33
229.0769036057356,200.0,20.0,70.92309639426438,1198.3974986963094,1.5060636516011177,0.09637986533963762,1199.9987002025036,0.001241902662357146,1.0808336955835126e-07,100.0,6.34
228.98603548190002,200.0,20.0,71.01396451809994,1198.393549403422,1.5095908607071349,0.09680194912120203,1199.998692871573,0.0012492322961571152,1.0938043856252345e-07,100.0,6.3500000000000005
228.8952101843932,200.0,20.0,71.10478981560678,1198.3895975917314,1.5131195621706863,0.09722505934816007,1199.9986855114212,0.0012565911376478858,1.1069059253731336e-07,100.0,6.36
