A,AL,ALL,B,BL,BLL,D,DL,DLL,I,IL,ILL,Time
6.286157756432016e-11,2.1885001242931485e-08,1.841127848574063e-06,1.257099158045218e-06,4.702468456862837e-07,4.33582219894177e-08,4.959856487443936e-13,3.719843067811221e-10,6.974632359884957e-08,9.16511532208161e-11,6.856069027912593e-08,1.2833227728587077e-05,0.17
5.845385030045016e-11,2.0357871002676013e-08,1.713675241492422e-06,1.16880832738373e-06,4.372589403666437e-07,4.034231347382678e-08,5.42052475574903e-13,4.065349377260561e-10,7.622464241020704e-08,9.335601284530837e-11,6.98578313267508e-08,1.3078694756716574e-05,0.18
5.45043620351352e-11,1.898950017074116e-08,1.5994718135281947e-06,1.0896965454912175e-06,4.077005554645232e-07,3.763993007792469e-08,5.88943978137156e-13,4.4170402224969237e-10,8.281891340088212e-08,9.487803325367578e-11,7.101591587829745e-08,1.329785396165288e-05,0.19
5.0965360644392e-11,1.776334476492345e-08,1.4971368960808517e-06,1.018807282918795e-06,3.8121430785239886e-07,3.521840001518852e-08,6.365715436673238e-13,4.774251063251689e-10,8.951667726061723e-08,9.623627040398414e-11,7.204943672167202e-08,1.3493447202102814e-05,0.2
4.779409116992102e-11,1.666459209815747e-08,1.405434304798173e-06,9.552841091396737e-07,3.574802138428538e-07,3.3048470537174455e-08,6.848558338297283e-13,5.136386911663571e-10,9.630677870100409e-08,9.744778608456243e-11,7.297137000212714e-08,1.3667929406482762e-05,0.21
4.4952240290043803e-11,1.5679968312460924e-08,1.3232562774314057e-06,8.983595646691047e-07,3.3621153153658035e-07,3.1103927843054716e-08,7.337257536889063e-13,5.502914600214321e-10,1.031792214888149e-07,9.852786960351978e-11,7.379334382565156e-08,1.3823500470623436e-05,0.22
4.2405480497354525e-11,1.4797580456811148e-08,1.249610294534515e-06,8.473460304233966e-07,3.1715134938843213e-07,2.936128520803538e-08,7.831176057311917e-13,5.87335643741997e-10,1.1012504949803889e-07,9.94902196892856e-11,7.452577660131532e-08,1.3962131430454102e-05,0.23
4.012307075476248e-11,1.4006778132266381e-08,1.183607533136706e-06,8.016277284054702e-07,3.0006959746513515e-07,2.779950975403347e-08,8.329743487067455e-13,6.247284649609844e-10,1.1713624250009222e-07,1.0034710385287338e-10,7.517799824239034e-08,1.4085587391776173e-05,0.24
3.807746999309428e-11,1.3298019586115524e-08,1.124451691706021e-06,7.606529796214633e-07,2.847601548109181e-07,2.639975800649139e-08,8.832448803046826e-13,6.624316001439014e-10,1.2420561530507056e-07,1.0110951262558963e-10,7.575836747004929e-08,1.4195449722692414e-05,0.25
3.624400673624297e-11,1.266275725171933e-08,1.0714294379421331e-06,7.239275862960732e-07,2.710383768789778e-07,2.51451498534014e-08,9.338834239976815e-13,7.004107197606354e-10,1.3132673154961797e-07,1.0178729139847584e-10,7.627437208232525e-08,1.429313502327062e-05,0.26
3.460057903279095e-11,1.2093333788195393e-08,1.023901732827505e-06,6.910088211610696e-07,2.587388497806272e-07,2.402056323988652e-08,9.848489721332977e-13,7.386350706388109e-10,1.3849382539334722e-07,1.0238926016764244e-10,7.673272002503429e-08,1.437991235505171e-05,0.27
3.312738740233079e-11,1.1582889558223322e-08,9.81296109240389e-07,6.615000780658468e-07,2.4771339162068404e-07,2.301245145128366e-08,1.0361047902986953e-12,7.770771042683485e-10,1.4570173183052567e-07,1.029233201047534e-10,7.71394204427214e-08,1.4456918574899948e-05,0.28
3.1806696764427244e-11,1.1125280147042953e-08,9.430997885498938e-07,6.350461031432886e-07,2.3782927074276621e-07,2.210868022602086e-08,1.0876179754754095e-12,8.157121454451776e-10,1.529458245648531e-07,1.0339654856169324e-10,7.749985593335796e-08,1.452517200471022e-05,0.29
3.062261784385057e-11,1.0715000629112735e-08,9.088533603331273e-07,6.113286161075348e-07,2.289675697375252e-07,2.1298378194069695e-08,1.1393590503407659e-12,8.54518088022699e-10,1.602219589666202e-07,1.0381528630302967e-10,7.781884889197834e-08,1.4585584982815e-05,0.3
2.956091912924751e-11,1.0347120420172e-08,8.781453454912226e-07,5.90062543571924e-07,2.2102177811680234e-07,2.057180821992157e-08,1.1913016142747022e-12,8.934751331887371e-10,1.675264230028617e-07,1.0418521254581639e-10,7.810071858133171e-08,1.4638974661055475e-05,0.31
2.8608849963506433e-11,1.0017221985938953e-08,8.506070812186856e-07,5.709924753474436e-07,2.1389646829883537e-07,1.9920246361818608e-08,1.2434220150262972e-12,9.325655432359829e-10,1.7485589107235256e-07,1.0451141555718076e-10,7.834933482405791e-08,1.4686073162686285e-05,0.32
2.7754988604644566e-11,9.721348201981546e-09,8.259083279514385e-07,5.538896209291931e-07,2.0750615847610988e-07,1.9335877915702248e-08,1.2956990667240704e-12,9.717734300873656e-10,1.8220738435672348e-07,1.0479845328717067e-10,7.856816411629543e-08,1.4727536306507699e-05,0.33
2.6989104152292412e-11,9.455954517399542e-09,8.037532772141938e-07,5.385490437265537e-07,2.0177427925514972e-07,1.881170294594063e-08,1.348113793619981e-12,1.0110845631200875e-09,1.8957823478983756e-07,1.0505040846839348e-10,7.87603115330729e-08,1.4763951534854506e-05,0.34
2.630202900354419e-11,9.21786476646264e-09,7.838768639059127e-07,5.247871062085622e-07,1.9663221909945838e-07,1.8341449020200405e-08,1.4006491933752822e-12,1.05048619164483e-09,1.9696605177483166e-07,1.0527093951380547e-10,7.892855943803166e-08,1.4795845237003372e-05,0.35000000000000003
2.5685555566221334e-11,9.004235384360577e-09,7.66041779945642e-07,5.124394009528899e-07,1.920185513181023e-07,1.791950054113031e-08,1.4532900453666708e-12,1.0899669011473567e-09,2.0436869523118854e-07,1.054633217343329e-10,7.90753988310098e-08,1.4823688679753372e-05,0.36
2.5132326664515732e-11,8.812517437644359e-09,7.500353055446422e-07,5.013585553460226e-07,1.8787821384724438e-07,1.754082376239986e-08,1.5060227072858394e-12,1.129516460750913e-09,2.117842469958208e-07,1.056304910736144e-10,7.920306260999239e-08,1.4847904300181226e-05,0.37
2.4635753890983537e-11,8.64042833683185e-09,7.356669484980188e-07,4.914125960806661e-07,1.8416189818580978e-07,1.7200910925504003e-08,1.5588349636057938e-12,1.1691257095754398e-09,2.1921098951682277e-07,1.0577507669046687e-10,7.931355035132828e-08,1.4868870393756085e-05,0.38
2.418993512560086e-11,8.485923260437595e-09,7.227660593934321e-07,4.824832969684604e-07,1.8082543209733524e-07,1.689572382667549e-08,1.6117158725012422e-12,1.2087864419374516e-09,2.2664738432986607e-07,1.0589943387374463e-10,7.940865334274387e-08,1.4886925850280427e-05,0.39
2.3789582548763736e-11,8.347170214686315e-09,7.111797502337091e-07,4.744647369583512e-07,1.778292408498664e-07,1.6621644563706032e-08,1.6646556322451795e-12,1.2484913071558252e-09,2.3409205327301522e-07,1.0600567276948342e-10,7.948997643144e-08,1.4902374287283308e-05,0.4
2.3429959933575073e-11,8.222528308086554e-09,7.007710813537183e-07,4.6726204402961854e-07,1.751378779032429e-07,1.6375432631613475e-08,1.7176454648269817e-12,1.288233722272625e-09,2.4154376212299624e-07,1.0609568340505751e-10,7.95589570559147e-08,1.4915487650609923e-05,0.41000000000000003
2.3106824262829586e-11,8.110527524315433e-09,6.914173733784129e-07,4.607902257137762e-07,1.7271958796303936e-07,1.6154184977250898e-08,1.7706775075978618e-12,1.3280077907942935e-09,2.490014053600063e-07,1.0617115898746641e-10,7.961688296525752e-08,1.4926509566692579e-05,0.42
2.2816372935381166e-11,8.009850431586501e-09,6.830086807872962e-07,4.5497311157735503e-07,1.7054591186599883e-07,1.5955299878131542e-08,1.8237447152878054e-12,1.3678082292093289e-09,2.5646399239108124e-07,1.0623361697132036e-10,7.966490824201246e-08,1.4935658373888895e-05,0.43
2.255520324549272e-11,7.91931814403858e-09,6.754466203323093e-07,4.4974254154807607e-07,1.6859138331840968e-07,1.5776449218405125e-08,1.8768407848030503e-12,1.4076303105932465e-09,2.6393063697614267e-07,1.0628441522876078e-10,7.970406560026747e-08,1.4943129449118687e-05,0.44
2.2320263488802e-11,7.837873382335422e-09,6.68642957381744e-07,4.4503738653407276e-07,1.6683316297128482e-07,1.561554503604496e-08,1.9299600644607194e-12,1.4474697965573478e-09,2.714005444692324e-07,1.0632477155941103e-10,7.973528122472814e-08,1.4949098015235075e-05,0.45
2.2108821794327606e-11,7.764569674391055e-09,6.625187045994633e-07,4.408029239746238e-07,1.6525080513105504e-07,1.547071819637463e-08,1.9830974962490434e-12,1.487322893846426e-09,2.7887300368380954e-07,1.0635577613849512e-10,7.975938423149487e-08,1.49537209309457e-05,0.46
2.1918430814974072e-11,7.698559124600567e-09,6.570031014110975e-07,4.369901308438426e-07,1.6382599355792888e-07,1.5340294237069115e-08,2.036248550044136e-12,1.5271862052488657e-09,2.863473776819575e-07,1.0637840558265663e-10,7.977711738141306e-08,1.4957138717498083e-05,0.47000000000000003
2.1746897642529515e-11,7.63908198668777e-09,6.52032743558834e-07,4.335550805566029e-07,1.625423162131502e-07,1.522277277875948e-08,2.0894091681295263e-12,1.567056687645421e-09,2.938230959184582e-07,1.0639353499144143e-10,7.978914621590404e-08,1.4959477287268343e-05,0.48
2.1592257813817976e-11,7.585457663445175e-09,6.475508322251426e-07,4.3045842281556334e-07,1.6138507082668595e-07,1.511680974579076e-08,2.1425757166233704e-12,1.6069316159013514e-09,3.01299647463697e-07,1.0640194828554509e-10,7.979606693984801e-08,1.4960849434948296e-05,0.49
2.145275150788429e-11,7.53707645185786e-09,6.435064849640049e-07,4.2766490615736937e-07,1.6034108661721498e-07,1.502120107495229e-08,2.19574494152224e-12,1.6468085496815933e-09,3.087765747847411e-07,1.0640434773447163e-10,7.97984136541726e-08,1.4961356205928007e-05,0.5
2.1326803565666488e-11,7.493392628261134e-09,6.398541590876898e-07,4.2514297847655123e-07,1.593985750013506e-07,1.493486897664248e-08,2.248913931116519e-12,1.6866853056922298e-09,3.1625346854059207e-07,1.0640136188275866e-10,7.97966644093522e-08,1.4961088041520676e-05,0.51
2.121300065179068e-11,7.453916549987168e-09,6.365529905903929e-07,4.2286432938089864e-07,1.5854695818950541e-07,1.485684668086283e-08,2.302080075701339e-12,1.7265599258435864e-09,3.237299616179214e-07,1.0639355479688188e-10,7.979124814136493e-08,1.4960126091313886e-05,0.52
2.1110077759003273e-11,7.4182099328475205e-09,6.335664038544262e-07,4.208036189889598e-07,1.5777676887695545e-07,1.4786268472856388e-08,2.3552410381608335e-12,1.766430658526069e-09,3.312057256045288e-07,1.0638143119825139e-10,7.978254877543318e-08,1.4958542989111658e-05,0.53
2.1016902358710127e-11,7.385880404774785e-09,6.308616537165207e-07,4.1893816136873225e-07,1.5707953108179265e-07,1.4722359466244754e-08,2.4083947288315154e-12,1.8062959364634618e-09,3.3868046665970776e-07,1.06365443036009e-10,7.977091002615963e-08,1.4956403761625671e-05,0.54
2.0932459196845718e-11,7.356576238508545e-09,6.284093860427332e-07,4.1724762012203193e-07,1.5644764634918823e-07,1.4664425124369238e-08,2.461539276192534e-12,1.8461543556494476e-09,3.461539215476632e-07,1.0634599548016587e-10,7.975664001272e-08,1.4953766701239372e-05,0.55
2.0855838823922876e-11,7.329982334774243e-09,6.261833056219054e-07,4.1571377767017347e-07,1.5587430847552235e-07,1.4611843180376598e-08,2.514673003909224e-12,1.8860046592770557e-09,3.5362585463930396e-07,1.0632345141901821e-10,7.97400147447612e-08,1.495068402573685e-05,0.56
2.0786227180546076e-11,7.305816671410176e-09,6.241598753627227e-07,4.1432032765705615e-07,1.5535342471466036e-07,1.4564056648590945e-08,2.567794413447782e-12,1.9258457233909362e-09,3.6109605519748415e-07,1.0629813571036274e-10,7.972128128183948e-08,1.4947202475611734e-05,0.5700000000000001
2.0722894210885006e-11,7.283826310155363e-09,6.223179870430549e-07,4.1305264619593807e-07,1.548795313465785e-07,1.4520566033901938e-08,2.620902161652018e-12,1.965676540875871e-09,3.68564334406022e-07,1.0627033966491937e-10,7.970066118608112e-08,1.4943363967827549e-05,0.58
2.0665185803564823e-11,7.2637846316180026e-09,6.206387281456751e-07,4.1189763067444205e-07,1.5444773289636654e-07,1.4480923794916728e-08,2.6739950466702544e-12,2.0054962103438073e-09,3.7603052326484963e-07,1.0624032430672454e-10,7.967835297213392e-08,1.4939206058930692e-05,0.59
2.0612516447038213e-11,7.245488784059928e-09,6.191051695940355e-07,4.108435526210161e-07,1.5405364728612074e-07,1.4444729325310934e-08,2.727071994087723e-12,2.045303925873931e-09,3.8349447067435656e-07,1.0620832329249681e-10,7.965453433442245e-08,1.4934762366569265e-05,0.6
2.0564362190335757e-11,7.228757238907911e-09,6.177021623407985e-07,4.0987991672902477e-07,1.5369335324824848e-07,1.441162414330253e-08,2.78013204309367e-12,2.0850989672370483e-09,3.909560415995615e-07,1.0617454567241131e-10,7.962936428272422e-08,1.4930062973436483e-05,0.61
2.0520252959179184e-11,7.2134271424687136e-09,6.164161149215462e-07,4.089973068733363e-07,1.5336333258415025e-07,1.4381286620517648e-08,2.833174333954989e-12,2.124880689165778e-09,3.984151150623685e-07,1.0613917906436951e-10,7.960298547663059e-08,1.4925134869049651e-05,0.62
2.04797677011626e-11,7.1993526059671945e-09,6.152348534281562e-07,4.081872888010146e-07,1.5306043429394842e-07,1.4353428685277172e-08,2.8861980961502736e-12,2.164648514646035e-09,4.058715828780308e-07,1.0610239141583717e-10,7.95755256961152e-08,1.4920002227765823e-05,0.63
2.0442528732177195e-11,7.186402791081614e-09,6.141474577467491e-07,4.074422971948481e-07,1.5278183153817754e-07,1.4327791918198456e-08,2.9392026416408602e-12,2.2044019269970975e-09,4.1332534817666584e-07,1.0606433348843805e-10,7.954709955985529e-08,1.4914686734108757e-05,0.64
2.0408199023195008e-11,7.174460927590036e-09,6.131441832738721e-07,4.067555809201557e-07,1.5252500202182852e-07,1.4304145728864637e-08,2.992187356601672e-12,2.2441404661312398e-09,4.2077632469717857e-07,1.0602513974614756e-10,7.951780934740062e-08,1.4909207738117047e-05,0.65
2.0376475481518406e-11,7.163422008353367e-09,6.122162666536305e-07,4.061210687267166e-07,1.5228767735088055e-07,1.4282282742632221e-08,3.0451516905300074e-12,2.283863719188614e-09,4.28224435033732e-07,1.0598493113014066e-10,7.948774703817663e-08,1.4903582641194581e-05,0.66
2.0347087149792087e-11,7.1531921568817924e-09,6.113558735549034e-07,4.0553333294781745e-07,1.520678296646173e-07,1.4262017571679627e-08,3.0980951525364956e-12,2.323571318028487e-09,4.35669610164516e-07,1.0594381575809001e-10,7.945699485966581e-08,1.4897826999790023e-05,0.67
2.0319791272839327e-11,7.1436872717887775e-09,6.105559852064729e-07,4.049875110123867e-07,1.51863642116395e-07,1.4243184123267326e-08,3.1510173040510675e-12,2.363262933765565e-09,4.431117884275572e-07,1.0590189049001819e-10,7.94256264785693e-08,1.4891954750756924e-05,0.68
2.0294370303247512e-11,7.134831980935292e-09,6.09810311572797e-07,4.0447924514583117e-07,1.516734865811809e-07,1.4225633553229987e-08,3.203917753309207e-12,2.402938272589241e-09,4.5055091473727034e-07,1.0585924212983688e-10,7.939370791197809e-08,1.4885978383740195e-05,0.6900000000000001
2.0270629415204203e-11,7.126558786218561e-09,6.091132196109325e-07,4.0400463277534345e-07,1.514959049502619e-07,1.4209232562359272e-08,3.25679615069296e-12,2.4425970723121388e-09,4.579869399368236e-07,1.0581594841251213e-10,7.93612982806385e-08,1.4879909083677325e-05,0.7000000000000001
2.0248393881392654e-11,7.118807152668933e-09,6.084596573893815e-07,4.035601739220734e-07,1.5132958953562794e-07,1.4193861602765943e-08,3.3096521838822915e-12,2.482239098716228e-09,4.654198201133269e-07,1.0577207905265596e-10,7.932845060540399e-08,1.4873756881481111e-05,0.71
2.0227507472074495e-11,7.1115229530974154e-09,6.078451077918744e-07,4.031427391111245e-07,1.5117337110594217e-07,1.4179413783203534e-08,3.3624855748885944e-12,2.5218641433243517e-09,4.728495161800114e-07,1.0572769638376058e-10,7.929521229318619e-08,1.4867530745975e-05,0.72
2.0207829938747668e-11,7.10465759854595e-09,6.07265515785801e-07,4.027495190301291e-07,1.5102620000188306e-07,1.416579314542283e-08,3.4152960753643173e-12,2.561472019899151e-09,4.802759932197463e-07,1.0568285636088737e-10,7.926162590047578e-08,1.4861238728341917e-05,0.73
2.0189235930257115e-11,7.098167658984139e-09,6.067172570502394e-07,4.023780027157198e-07,1.508871381132219e-07,1.415291392605741e-08,3.4680834646284854e-12,2.601062562932586e-09,4.876992202019861e-07,1.0563760899576157e-10,7.922772946254726e-08,1.4854888024406117e-05,0.74
2.017161287963278e-11,7.092014136834187e-09,6.061970769178475e-07,4.0202593536982965e-07,1.5075534292880016e-07,1.4140699105419399e-08,3.5208475456854054e-12,2.6406356247072347e-09,4.951191694315659e-07,1.0559199919616286e-10,7.919355713453962e-08,1.4848485095917031e-05,0.75
2.0154860144017987e-11,7.086162162088171e-09,6.057020654665043e-07,4.0169130095946894e-07,1.506300612667667e-07,1.4129079825829927e-08,3.573588143704548e-12,2.680191074096572e-09,5.025358163240583e-07,1.0554606711395241e-10,7.91591394527263e-08,1.4842035719979256e-05,0.76
2.0138887559259596e-11,7.080580497926916e-09,6.052296157626688e-07,4.0137229342065875e-07,1.5051061830143622e-07,1.411799439632166e-08,3.6263051032665566e-12,2.719728794555402e-09,5.099491390287534e-07,1.0549984871743773e-10,7.912450377300723e-08,1.4835545072009486e-05,0.77
2.012361423164866e-11,7.0752411176234606e-09,6.047773888940917e-07,4.0106729233943167e-07,1.5039640862783947e-07,1.410738747023498e-08,3.678998286167545e-12,2.7592486824363764e-09,5.17359118113174e-07,1.0545337627659514e-10,7.908967463783753e-08,1.4829017795154732e-05,0.78
2.0108967825660565e-11,7.070118960963326e-09,6.043432934248796e-07,4.0077484878478843e-07,1.5028689086153582e-07,1.409720955545424e-08,3.7316675700740645e-12,2.798750646000929e-09,5.247657363775735e-07,1.0540667864527514e-10,7.905467399197084e-08,1.4822458041108988e-05,0.79
2.009488343116712e-11,7.065191536630962e-09,6.039254524876389e-07,4.0049366240632875e-07,1.501815792484289e-07,1.4087416241306868e-08,3.784312846432599e-12,2.8382346038356008e-09,5.321689785580513e-07,1.0535978171640267e-10,7.901952152775941e-08,1.4815869535438224e-05,0.8
2.008130298029226e-11,7.0604387325247624e-09,6.035221874147154e-07,4.0022257032462916e-07,1.5008003914352204e-07,1.4077967798653193e-08,3.836934019387407e-12,2.8777004840628657e-09,5.395688311785496e-07,1.0531270864664667e-10,7.898423485727407e-08,1.480925561014662e-05,0.81
2.006817442436704e-11,7.055842512264952e-09,6.031319930012878e-07,3.999605296976521e-07,1.499818809720009e-07,1.406882861080055e-08,3.889531004215508e-12,2.917148223151915e-09,5.469652823279445e-07,1.0526548019844181e-10,7.89488297715708e-08,1.4802619252723896e-05,0.8200000000000001
2.0055451255995627e-11,7.051386761610809e-09,6.027535247689908e-07,3.9970660898320276e-07,1.4988675682705587e-07,1.4059966866935163e-08,3.942103726546634e-12,2.956577765304803e-09,5.543583215449619e-07,1.0521811491815143e-10,7.891332037452964e-08,1.4795963131463704e-05,0.8300000000000001
2.004309158929076e-11,7.047056971732166e-09,6.023855715424668e-07,3.994599691795996e-07,1.497943530747337e-07,1.4051353900801186e-08,3.9946521204904255e-12,2.995989061136039e-09,5.617479395704681e-07,1.0517062950862074e-10,7.887771937098254e-08,1.4789289649981056e-05,0.84
2.003105796751977e-11,7.042840164314174e-09,6.020270503792997e-07,3.9921985998002894e-07,1.497043894532379e-07,1.4042964088307027e-08,4.047176128437051e-12,3.0353820674290133e-09,5.69134128302037e-07,1.051230389056703e-10,7.884203811953511e-08,1.4782600957199004e-05,0.85
2.0019317190229713e-11,7.0387248371454745e-09,6.016770013322968e-07,3.9898561634292863e-07,1.4961661747112287e-07,1.4034774713022427e-08,4.099675700642638e-12,3.0747567468832555e-09,5.765168807463873e-07,1.0507535634634785e-10,7.880628668779101e-08,1.477589895779938e-05,0.86
2.000783839296497e-11,7.034700297040251e-09,6.013345320077007e-07,3.987566200184494e-07,1.4953080613465733e-07,1.4026764657587077e-08,4.1521507917014445e-12,3.114113065447287e-09,5.838961905194043e-07,1.0502759413564378e-10,7.877047443423973e-08,1.4769185422308349e-05,0.87
1.999659536246188e-11,7.030757462248434e-09,6.009988844941819e-07,3.9853234592534135e-07,1.4944675926187837e-07,1.401891598705194e-08,4.20460136483096e-12,3.1534509955374946e-09,5.912720524496006e-07,1.0497976272235526e-10,7.873460930572313e-08,1.4762461854185181e-05,0.88
1.998556404019194e-11,7.026887997577162e-09,6.006693631776137e-07,3.98312312143977e-07,1.4936429679382943e-07,1.4011212240545725e-08,4.25702738724269e-12,3.1927705125655155e-09,5.98644461927077e-07,1.0493187169546437e-10,7.869869859515726e-08,1.4755729633174729e-05,0.89
1.9974722573308823e-11,7.023084331953967e-09,6.003453362206644e-07,3.98096080937355e-07,1.4928325518256398e-07,1.4003638466503786e-08,4.309428830237836e-12,3.232071595009409e-09,6.060134149168435e-07,1.0488392976375221e-10,7.866274892599903e-08,1.4748990012368134e-05,0.9
1.996405196563653e-11,7.0193398840703425e-09,6.000262543778198e-07,3.978832717901597e-07,1.4920349225644553e-07,1.3996181667689037e-08,4.361805670410681e-12,3.2713542253177796e-09,6.133789081283373e-07,1.048359444959991e-10,7.862676605475145e-08,1.4742244080839472e-05,0.91
1.995353475856746e-11,7.015648605238294e-09,5.99711612865277e-07,3.97673534987737e-07,1.4912487735574024e-07,1.3988829899128128e-08,4.414157887207572e-12,3.3106183880761805e-09,6.207409386716548e-07,1.0478792284746984e-10,7.859075527120549e-08,1.4735492839366645e-05,0.92
1.9943155142521733e-11,7.012005018148702e-09,5.994009545733296e-07,3.9746655384617306e-07,1.4904729215850805e-07,1.3981572343885297e-08,4.46648546312789e-12,3.3498640701613118e-09,6.280995040864483e-07,1.0473987111532335e-10,7.855472136472648e-08,1.4728737194053093e-05,0.93
1.9932899202756252e-11,7.008404301977338e-09,5.990938771774434e-07,3.9726204963690066e-07,1.4897063252371688e-07,1.3974399481441961e-08,4.5187883841807955e-12,3.38909126108243e-09,6.354546024059374e-07,1.0469179484054729e-10,7.851866854960836e-08,1.4721977942205658e-05,0.9400000000000001
1.992275462999102e-11,7.004842192085613e-09,5.987900247748998e-07,3.970597757914704e-07,1.4889480632775481e-07,1.3967302889846668e-08,4.571066639350577e-12,3.428299952578883e-09,6.428062320814623e-07,1.0464369892350091e-10,7.848260055286086e-08,1.4715215788943042e-05,0.9500000000000001
1.9912710371089407e-11,7.001314859039979e-09,5.984890777816047e-07,3.9685951090328323e-07,1.4881973084769994e-07,1.3960275006569213e-08,4.623320219947035e-12,3.467490138134162e-09,6.501543918913684e-07,1.0459558776326836e-10,7.844652072026371e-08,1.4708451367259877e-05,0.96
1.9902756447899356e-11,6.997818845845662e-09,5.981907476944076e-07,3.966610550987599e-07,1.4874533140574991e-07,1.3953309004565822e-08,4.675549119269403e-12,3.5066618127238912e-09,6.574990808937565e-07,1.0454746532994708e-10,7.841043207134612e-08,1.4701685248428142e-05,0.97
