Time,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M,Effector_immune_cell_population__N,Tumor_Cell_Population__T,a,b,c1,mu,g,s,Kc,Kn,Kt,kt,p,alpha1,alpha2,beta,gamma,Vm,eta,Tumor_Microenvironment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14
5.0,16135279243.5657,0.47872392015062576,93670.78897357755,12940352.145119289,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5577291.038390794,413.3373513049745,4955884.885632852,12000.0,1405.0596412935868,3859.2365057113952,24.242659900585007,26905.468380619834,750000000.0,193623350.9227884,4634606479.322877,0.4308515281355632,0.45,0.01982353954253141
5.5,14242143195.01763,0.4783514842142855,85630.62971107909,13255572.124172866,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5713150.813061358,387.0632989671802,5072658.07976608,12000.0,1284.45748829754,3527.9819440964584,22.701659763470975,24576.923289899147,750000000.0,170905718.34021157,4087650201.437442,0.430516335792857,0.45,0.02029063231906432
6.0,12613492543.832466,0.4779233604866332,78766.16903393641,13580670.050378129,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5853267.980901589,364.76679729873075,5192415.574509512,12000.0,1181.4907781499742,3245.1661641981805,21.39394705564403,22586.515318414244,750000000.0,151361910.5259896,3616969646.412902,0.4301310244379699,0.45,0.020769662298038047
6.5,11212406235.122034,0.477454677563746,72906.40895196056,13916257.56631841,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5997906.159705362,345.97326853689145,5315505.815376477,12000.0,1093.5945468835341,3003.7440488207753,20.291687304216506,20885.70358709336,750000000.0,134548874.82146442,3212049482.2223554,0.4297092098073714,0.45,0.02126202326150591
7.0,10007074717.141947,0.47695448109334015,67905.01478227797,14262917.434952158,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,6147316.520141837,330.2665541672633,5442209.907251809,12000.0,1018.5737791688296,2797.686609029852,19.37047238517673,19432.560653470187,750000000.0,120084896.60570337,2863751477.3860326,0.42925903298400614,0.45,0.021768839629007233
7.5,8970120877.492064,0.47642816050674536,63636.90201422959,14621227.520322341,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,6301748.121437999,317.28332145613194,5572771.62548622,12000.0,954.5522114490211,2621.840362986259,18.6089924607702,18191.04730019244,750000000.0,107641450.52990477,2564170913.5120177,0.4287853444560708,0.45,0.02229108650194488
8.0,8077995735.899628,0.47587878444980103,59995.21838400085,14991775.125611199,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,6461454.091077875,306.7072745150826,5707414.178816497,12000.0,899.9270631933538,2471.8029974208353,17.988696452497514,17130.27095842721,750000000.0,96935948.83079554,2306488074.9543543,0.42829090600482095,0.45,0.02282965671526599
8.5,7310448995.2220745,0.4753079500466334,56888.71747943622,15375167.206094295,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,6626696.026583572,298.26367829482757,5846351.365082323,12000.0,853.3296410812153,2343.8151601527725,17.49347086773182,16223.795811559747,750000000.0,87725387.94266489,2084828715.503685,0.42777715504197006,0.45,0.02338540546032929
9.0,6650070377.065678,0.4747163341656997,54239.49974074242,15772038.26421968,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,6797747.39829232,291.71440568200495,5989795.34968921,12000.0,813.5914541058421,2234.667389318588,17.10934930686246,15449.025890343997,750000000.0,79800844.52478813,1894138218.8067183,0.42724470074912974,0.45,0.02395918139875684
9.5,6081893874.787352,0.47410402011244307,51981.07571710467,16183056.36971653,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,6974896.144021233,286.8535233645472,6137961.666071109,12000.0,779.7151625012144,2141.6203195447124,16.82425356976816,14786.66218034917,750000000.0,72982726.49744822,1730070201.560356,0.42669361810119877,0.45,0.024551846664284435
10.0,5593050624.894437,0.47347071901370075,50056.677324964025,16608928.449308887,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,7158446.948931767,283.5032302862603,6291073.035953112,12000.0,750.8492466816057,2062.335105788518,16.6277554420094,14220.222602692515,750000000.0,67116607.49873324,1588887420.5092783,0.4261236471123307,0.45,0.025164292143812442
10.5,5172479276.285489,0.47281587100502837,48417.86037804564,17050404.707769632,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,7348723.15100171,281.5105430547171,6449361.562313869,12000.0,726.2670452456937,1994.8158475754803,16.51088229059924,13735.639696107299,750000000.0,62069751.31542587,1467378176.5634294,0.4255342839045255,0.45,0.025797446249255472
11.0,4810670361.057397,0.47213872973146814,47023.27761992098,17508283.211109918,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,7546068.71637731,280.74422997072014,6613070.876057781,12000.0,705.3483505104775,1937.3590379407442,16.46593724168446,13320.906337967797,750000000.0,57728044.332688764,1362782276.0558774,0.4249248567583213,0.45,0.026452283504231126
11.5,4499447826.013038,0.4714384238676066,45837.63769594953,17983414.66027513,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,7750850.296833421,281.09218079519815,6782458.130558175,12000.0,687.5637931282618,1888.5106730731206,16.486344914674376,12965.774201515704,750000000.0,53993373.912156455,1272727554.8220694,0.4242945814808459,0.45,0.027129832522232698
12.0,4231781733.0164733,0.4707139738588535,44830.818768411664,18476707.032816377,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,7963459.230330843,282.45913340900285,6957795.3529942585,12000.0,672.4615463452137,1847.0297332585606,16.566518088504562,12661.495712295075,750000000.0,50781380.79619768,1195175277.630894,0.42364257647296816,0.45,0.027831181411977036
12.5,4001627211.675539,0.46996429639964493,43977.1115563128,18989130.53052649,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,8184313.673444003,284.7647050891369,7139370.695215919,12000.0,659.6559716247998,1811.8569961200872,16.70174223396697,12400.603374150744,750000000.0,48019526.54010647,1128373150.1932607,0.42296786675968046,0.45,0.028557482780863674
13.0,3803785853.016611,0.4691882212371501,43254.572485575285,19521723.212914173,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,8413861.0293844,287.94169298890984,7327490.071800946,12000.0,648.8179159227172,1782.0883864057018,16.888075835126674,12176.721554928265,750000000.0,45645430.236199334,1070814911.0063397,0.4222693991134351,0.45,0.029309960287203788
13.5,3633786509.2542486,0.4683845022501043,42644.471508335875,20075597.1145843,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,8652580.584587108,291.9346111455106,7522478.849510558,12000.0,639.6664289947744,1756.952226143438,17.1222645833144,11984.405736690393,750000000.0,43605438.111050986,1021205571.2521172,0.4215460520250939,0.45,0.030089915398042236
14.0,3487786515.468224,0.4675517959666149,42130.83825473593,20651944.630972497,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,8900986.26095746,296.69855496260317,7724683.041931425,12000.0,631.9619556888614,1735.7905360951204,17.40167477786529,11819.009454948447,750000000.0,41853438.18561869,978432509.5531858,0.4207966163699534,0.45,0.030898732167725696
14.5,3362479293.7290196,0.4666886647246364,41700.03805170312,21252045.782476775,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,9159629.746706178,302.19799117178405,7934471.095112742,12000.0,625.4999762398655,1718.0415677301687,17.724222356116368,11676.561046389514,750000000.0,40349751.524748236,941538583.0527807,0.4200197982521727,0.45,0.03173788438045096
15.0,3255020405.137855,0.4657935814288736,41340.4372946322,21877276.424951654,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,9429104.035065915,308.4059154100597,8152235.950310157,12000.0,620.1059868554813,1703.2260165388466,18.088323484460982,11553.666207181503,750000000.0,39060244.86165426,909700567.2799346,0.4192142232859863,0.45,0.03260894380124063
15.5,3162963507.0037513,0.46486493022545383,41042.11580862168,22529117.25802239,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,9710047.306867436,315.30314009329237,8378397.217753317,12000.0,615.6311851436528,1690.9351713152132,18.492852791395446,11447.424181007947,750000000.0,37955562.084045015,882210485.9933733,0.41837843720290846,0.45,0.03351358887101327
16.0,3084204977.880409,0.46390096437065326,40796.61876385931,23209163.167132508,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,10003146.956953919,322.8776851111793,8613402.540374892,12000.0,611.9487488508053,1680.8206930710037,18.937107631154205,11355.354472569732,750000000.0,37010459.73456491,858459398.1332945,0.41751086793358794,0.45,0.034453610161499566
16.5,3016935269.645656,0.4628998175765159,40596.74030482514,23919134.496340256,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,10309144.452746747,331.1242619892615,8857730.395955242,12000.0,608.9505903061972,1672.585700558796,19.420777829282198,11275.33420878285,750000000.0,36203223.235747874,837923271.5754786,0.4166098358188643,0.45,0.03543092158382097
17.0,2959598214.5863366,0.4618595125039177,40436.34516023586,24660889.62174603,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,10628840.753381845,340.0439194438597,9111893.166890036,12000.0,606.5446805762647,1665.9774206017175,19.943924894068015,11205.54639788801,750000000.0,35515178.57503604,820151153.1577863,0.41567356125352595,0.45,0.036447572667560144
17.5,2910855924.583433,0.46077794759796303,40310.21543680561,25436438.58064157,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,10963102.18386057,349.6437768235809,9376439.970711734,12000.0,604.6527513753667,1660.780875996391,20.50696638261471,11144.43500172181,750000000.0,34930271.0950012,804754931.2097553,0.41470015283816675,0.45,0.03750575988284694
18.0,2869558086.1640987,0.45965283504132803,40213.915960457205,26247957.453827087,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,11312866.633814314,359.9368059170138,9651958.446156623,12000.0,603.2082751876067,1656.813337570837,21.110663103637172,11090.66428760272,750000000.0,34434697.033969186,791400305.7726573,0.4136875515371952,0.45,0.03860783378462649
18.5,2834715950.960195,0.45848172895607975,40143.68333858971,27097806.20019991,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,11679151.244195623,370.94176118351265,9939079.230067546,12000.0,602.1548012038742,1653.919753549896,21.75611502542596,11043.087206245189,750000000.0,34016591.411522344,779799282.1773647,0.4126335560604718,0.45,0.039756316920270186
19.0,2805480171.9654527,0.4572620395855689,40096.33232285145,27988548.481931534,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,12063060.951910332,382.6832061375263,10238480.611110074,12000.0,601.4445507659588,1651.9688917014798,22.444762823315326,11000.718418708693,750000000.0,33665762.06358543,769703751.2698772,0.411535835627012,0.45,0.040953922444440294
19.5,2781121519.7996483,0.45599099968509094,40069.17388185584,28922972.941679027,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,12465797.660273707,395.19159450529884,10550892.276432844,12000.0,601.0371884593984,1650.8499639324605,23.178392639606965,10962.709592965906,750000000.0,33373458.23759578,760899829.2354966,0.41039189971658185,0.45,0.04220356910573138
20.0,2761014079.1967893,0.4546655661764954,40059.94275129836,29904115.961927872,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,12888670.04826202,408.50339615088916,10877097.451870007,12000.0,600.8987353670079,1650.4696413534925,23.959143469260358,10928.325931210236,750000000.0,33132168.95036147,753202817.7235699,0.40919900955884586,0.45,0.043508389807480036
20.5,2744621289.4082847,0.45328248600309107,40066.74175812562,30935290.82570648,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,13333106.138750302,422.6614212755982,11217940.42456388,12000.0,601.0007339328769,1650.7497604347757,24.789526174521882,10896.931386100225,750000000.0,32935455.47289942,746453256.7199979,0.40795423740278197,0.45,0.04487176169825552
21.0,2731483874.4935994,0.4518383202450281,40087.993452688635,32020119.98894041,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,13800667.20786184,437.7152249205932,11574333.783877667,12000.0,601.3195224458937,1651.6253302507719,25.67244720941895,10867.974974193912,750000000.0,32777806.493923195,740513451.3765415,0.4066544882205253,0.45,0.04629733513551067
21.5,2721209281.4302444,0.450329366064693,40122.396084821754,33162569.26198075,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,14293062.517166376,453.72155303975865,11947263.034259412,12000.0,601.8355746819541,1653.0427186946563,26.611234782390532,10840.97591632458,750000000.0,32654511.377162933,735264270.3815044,0.4052964294582237,0.45,0.047789052137037644
22.0,2713462372.872817,0.4487514949507275,40168.88320009485,34366984.75196195,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,14812165.235789321,470.7448381863811,12337788.627513425,12000.0,602.5328938486059,1654.957987843908,27.609667928820002,10815.507831926237,750000000.0,32561548.474473804,730602177.7915351,0.40387634545565476,0.45,0.0493511545100537
22.5,2707958272.251929,0.44710036903862227,40226.601616113534,35638144.47739874,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,15360034.686244847,488.85809111836716,12747062.038157372,12000.0,603.3986822302554,1657.3359865838777,28.672028804596312,10791.1970566404,750000000.0,32495499.267023146,726437485.7190163,0.40239033213476005,0.45,0.050988248152629485
23.0,2704455560.9731655,0.4453712802280837,40294.88218169115,36981307.52097592,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,15938937.529222298,508.1436834535712,13176329.820100406,12000.0,604.4229025763419,1660.1491458856754,29.803148589652267,10767.70995833975,750000000.0,32453466.731677987,722692101.3063474,0.40083415220527535,0.45,0.05270531928040162
23.5,2702750641.5738454,0.44355912650488244,40373.21899076214,38402274.309566475,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,16551373.744194584,528.6943897812152,13626943.398841755,12000.0,605.5979663105353,1663.3766224194003,31.008468608868927,10744.745849839672,750000000.0,32433007.698886145,719297828.2422032,0.3992032138543942,0.45,0.05450777359536702
24.0,2702672956.8159943,0.4416583759157833,40461.25220376653,39907455.750420585,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,17200106.427021064,550.6146204875913,14100369.674929393,12000.0,606.9184758519172,1667.0035907951813,32.29411263856841,10722.03056150066,750000000.0,32432075.481791932,716194889.2433159,0.39749253832420495,0.45,0.056401478699717573
24.5,2704080915.1330967,0.4396630263418394,40558.75401745313,41503952.222512715,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,17888195.835105356,574.021868830252,14598202.591437642,12000.0,608.3810141623695,1671.020665519069,33.666971778900404,10699.310721580609,750000000.0,32448970.981597163,713330639.1723768,0.39569672370765546,0.45,0.058392810365750565
25.0,2706858541.155158,0.43756657448041303,40665.61817530336,43199644.61974615,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,18619038.626881283,599.0484264146497,15122176.412026823,12000.0,609.9839874032099,1675.4234688224985,35.1348050683079,10676.349146457549,750000000.0,32482302.4938619,710658491.6737864,0.3938099170323717,0.45,0.06048870564810729
25.5,2710912439.550747,0.43536194130084405,40781.850272086165,45003300.68512006,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,19396413.691675756,625.8433937689715,15674179.480975581,12000.0,611.7274795037637,1680.21223120995,36.70635740580478,10652.919302577473,750000000.0,32530949.274608962,708136861.4276521,0.39182574717075963,0.45,0.06269671792390231
26.0,2716169436.8938756,0.43304142852129235,40907.5619548354,46924697.624607034,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,20224534.99609307,654.5750665740708,16256270.47383162,12000.0,613.6131651762164,1685.3915525392185,38.39149950581059,10628.801439747116,750000000.0,32594033.24272651,705728335.8350389,0.3897372856691631,0.45,0.06502508189532648
26.5,2722574567.5437055,0.43059665274636544,41042.96656857861,48974765.63754631,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,21108113.445375122,685.4337570491329,16870696.12205213,12000.0,615.6442446017112,1690.9702226254387,40.2013933753157,10603.778413926557,750000000.0,32670894.810524467,703398897.3820218,0.3875369874717289,0.45,0.0674827844882085
27.0,2730089446.975027,0.42801847123761994,41188.37678081229,51165755.1338125,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,22052428.953709546,718.6351306476512,17519910.633674268,12000.0,617.8254077976128,1696.9611233694661,42.148688014525,10577.631637489414,750000000.0,32761073.363700327,701117226.8617263,0.38521662411385793,0.45,0.07007964253469706
27.5,2738690990.310641,0.42529690719563723,41344.20424259809,53511432.945829086,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,23063415.01125033,754.4241760420194,18206597.54517427,12000.0,620.162829534062,1703.3812147950414,44.247752260529,10550.137316905028,750000000.0,32864291.883727692,698854084.7662034,0.38276721647607354,0.45,0.07282639018069707
28.0,2748370427.6195984,0.42242105914026623,41510.96095676919,56027316.06011889,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,24147759.42197503,793.0799757540995,18933694.552721497,12000.0,622.6641898571747,1710.2515914188905,46.51495458968324,10521.062455973208,750000000.0,32980445.131435182,696581728.1669143,0.3801789532262396,0.45,0.07573477821088599
28.5,2759132604.2710843,0.41937899502262144,41689.26214812447,58730937.87119762,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,25313019.05857212,834.9212676050911,19704417.3609271,12000.0,625.3387171420037,1717.5976005027283,48.968989302351375,10490.160517749031,750000000.0,33109591.251253013,694273355.2280133,0.3774410955203593,0.45,0.0788176694437084
29.0,2770995638.69585,0.41615768355726723,41879.83125858513,61642139.310557194,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,26567745.33837452,880.3127759258175,20522279.923996676,12000.0,628.197263019849,1725.4490478537075,51.631247854886645,10457.168138605211,750000000.0,33251947.6643502,691902675.688173,0.3745419152015405,0.45,0.0820891196959867
