Chemotherapeutic_drug_concentration__M_2_task1,Circulating_lymphocyte_population__C_1_task1,Effector_immune_cell_population__N_3_task1,Tumor_Cell_Population__T_4_task1,_1_task1
0.171237964997952,4115407650.145656,60214.47406603628,602398211.7107389,42.5
0.15414078627566732,4260995514.3583646,62034.7743359568,700177069.7934018,43.0
0.137246502936994,4420391605.323273,63979.80412182483,819386038.3560864,43.5
0.12085408556266455,4594049051.327738,66035.1110929176,965305566.980965,44.0
0.10525552778195202,4782147427.864082,68176.61155363957,1144520224.830517,44.5
0.09070645652406592,4984561599.076295,70368.83234648686,1365223248.107616,45.0
0.07740208750367782,5200861292.748146,72563.41275293061,1637589480.6091,45.5
0.06546195640928994,5430339952.139239,74697.84970186104,1974238412.167745,46.0
0.05492809571344711,5672068304.959641,76694.4773785428,2390813989.0023913,46.5
0.045774891259141484,5924960171.057031,78459.66218990102,2906703204.0556855,47.0
0.037924989638998374,6187839606.313727,79883.30477833726,3545934917.583484,47.5
0.03126717823824019,6459500400.458558,80838.98938638851,4338288274.217657,48.0
0.025672748791728733,6738754540.222395,81185.4050027739,5320682193.461451,48.5
0.021007986919449197,7024467295.321916,80770.03735927015,6538891026.716604,49.0
0.017142916196769505,7315580793.947562,79436.47578936577,8049683410.092717,49.5
0.013957006992311371,7611127449.230387,77036.78657310303,9923456519.95073,50.0
