Time,s21,s22,s25,s26,s27,s28,s29,s30,s31,s33,s34,s23,s24,s3,s123,s124,s125,s126,s127,s129,s142,s144,s147,kcatp_r8_s124,kM_r8_s124_s23,kcatn_r8_s124,kM_r8_s124_s24,kcatp_r8_s31,kM_r8_s31_s23,kcatn_r8_s31,kM_r8_s31_s24,kI_r8_s22,kI_r8_s29,kI_r8_s33,kcatp_r9,kM_r9_s25,kcatn_r9,kM_r9_s26,kcatp_r11,kM_r11_s29,kcatn_r11,kM_r11_s30,kcatp_r14,kM_r14_s27,kcatn_r14,kM_r14_s28,kass_r15,kdiss_r15,kass_r17_s3,kdiss_r17_s3,kI_re11_s142,kass_r6_s144,kdiss_r6_s144,kass_r7_s144,kdiss_r7_s144,kass_r4_s144,kdiss_r4_s144,Vp_re11,kM_re11_s129,kM_re11_s147,ki_re11_s129,default,c2,r8,r9,r11,r14,r15,r17,r6,r7,r4,re11
7.81,2.5000001457310823,2.4999998542689212,3.875675030432244,1.1243249695677617,3.001238631889028,0.3703335656613573,2.6122563871460427,2.38774361285396,5.0,5.0,2.6284278024496177,4.827708581650449,0.1722914183495515,5.0,0.7079403082914714,5.0,0.25000000000000017,0.25000000000000017,2.0,0.3161007564371607,0.5,1.8299290894170992,3.170070910582908,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017704383308475045,0.1916345374539016,0.0333053273591399,0.6155144256385339,0.5461634739414428,0.04333582850899825,0.0,5.333550870114638e-07,0.0,0.12172244693794343
7.82,2.500000140490205,2.499999859509799,3.873758617597344,1.1262413824026618,2.9950784021820884,0.37102724703766465,2.611924039026642,2.388075960973361,5.0,5.0,2.63389435078025,4.827531534676039,0.17246846532396198,5.0,0.7070740419903296,5.0,0.25000000000000017,0.25000000000000017,2.0,0.3153178637599321,0.5,1.8311451152448988,3.168854884755109,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017705025863315755,0.1916487872622781,0.03316294987181611,0.6165319844886669,0.5471463121175908,0.0432850778827637,0.0,5.145158972108154e-07,0.0,0.12148206670204277
7.83,2.500000135421158,2.4999998645788457,3.871842071463642,1.1281579285363634,2.9889080025688455,0.37172127107676634,2.611593098217353,2.3884069017826497,5.0,5.0,2.6393707263543913,4.827354481450807,0.17264551854919422,5.0,0.7062087906403731,5.0,0.25000000000000017,0.25000000000000017,2.0,0.3145368581941838,0.5,1.8323587464856252,3.167641253514382,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017705661967514632,0.19166269721380272,0.033021180664870614,0.617549336914242,0.5481291084033078,0.04323437552160664,0.0,4.962802795559668e-07,0.0,0.12124202452653657
7.84,2.5000001305237833,2.49999986947622,3.869925392110817,1.1300746078891892,2.9827274330957354,0.37241563773956005,2.6112635645739477,2.388736435426055,5.0,5.0,2.6448569291647077,4.827177421976282,0.17282257802371886,5.0,0.7053445542428441,5.0,0.25000000000000017,0.25000000000000017,2.0,0.31375773965974135,0.5,1.8335699832188321,3.166430016781175,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01770629161936782,0.19167626737621793,0.03288001960759357,0.6185664806147377,0.5491118627209317,0.04318370265259469,0.0,4.786489759320207e-07,0.0,0.12100232174109982
7.85,2.5000001257980804,2.499999874201923,3.8680085795388672,1.1319914204611383,2.976536693762757,0.37311034702604556,2.6109354380964263,2.3890645619035764,5.0,5.0,2.650352959211201,4.827000356252465,0.17299964374753596,5.0,0.7044813327977427,5.0,0.25000000000000017,0.25000000000000017,2.0,0.3129805081566049,0.5,1.8347788254445194,3.165221174555488,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017706914816511564,0.19168949781136507,0.03273946663136345,0.6195834133085383,0.5500945750704622,0.04313304006594881,0.0,4.616233018696418e-07,0.0,0.12076295970010732
7.86,2.5000001212440504,2.499999878755953,3.866091633747794,1.1339083662522118,2.9703357845699108,0.373805398936223,2.610608718784789,2.3893912812152136,5.0,5.0,2.6558588164938692,4.826823284279356,0.1731767157206455,5.0,0.7036191263050688,5.0,0.25000000000000017,0.25000000000000017,2.0,0.31220516368477413,0.5,1.8359852731626871,3.1640147268373204,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017707531556595553,0.19170238858107116,0.03259952166785807,0.620600132689596,0.5510772454518997,0.04308236857445191,0.0,4.452045752982915e-07,0.0,0.12052393975842726
7.87,2.500000116861692,2.4999998831383117,3.8641745547375965,1.135825445262409,2.964124705517198,0.3745007934700923,2.6102834066390357,2.389716593360967,5.0,5.0,2.661374501012713,4.826646206056954,0.17335379394304745,5.0,0.7027579347648226,5.0,0.25000000000000017,0.25000000000000017,2.0,0.31143170624424943,0.5,1.837189326373335,3.1628106736266726,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017708141837282875,0.19171493974714904,0.03246018464905438,0.6216166364271007,0.5520598738652438,0.04303166901344413,0.0,4.2939409943692633e-07,0.0,0.12028526327140511
7.88,2.5000001126443254,2.499999887355678,3.8622573466549874,1.1377426533450183,2.957903459355651,0.37519652852157215,2.6099594943164766,2.390040505683526,5.0,5.0,2.66690001212278,4.826469121663297,0.17353087833670466,5.0,0.7018977580192842,5.0,0.25000000000000017,0.25000000000000017,2.0,0.31066013172651225,0.5,1.838390989263841,3.161609010736166,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017708745690565332,0.1917271516823014,0.032321452362398695,0.6226329199304115,0.5530424561460585,0.04298094464582264,0.0,4.141686191670713e-07,0.0,0.12004693034531694
7.89,2.500000108566736,2.4999998914332675,3.860340025152127,1.1396599748478788,2.9516720564693144,0.3758925961410562,2.6096369541014255,2.390363045898577,5.0,5.0,2.6724353473896327,4.826292031392942,0.17370796860705837,5.0,0.7010385954731247,5.0,0.25000000000000017,0.25000000000000017,2.0,0.3098904246235663,0.5,1.839590277639867,3.1604097223601406,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017709343243686514,0.19173902562455272,0.03218331287079153,0.6236489723848639,0.5540249765752796,0.04293026092855007,0.0,3.994366176737887e-07,0.0,0.11980893761138502
7.9,2.500000104626495,2.4999998953735085,3.8584225917358235,1.1415774082641823,2.9454304978578425,0.37658899556324865,2.6093157833257368,2.390684216674266,5.0,5.0,2.6779805065789124,4.82611493527425,0.1738850647257519,5.0,0.7001804470690328,5.0,0.25000000000000017,0.25000000000000017,2.0,0.30912258344248145,0.5,1.8407871930229978,3.15921280697701,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01770993450687973,0.19175056175464691,0.032045764966097866,0.6246647905755508,0.5550074336396578,0.04287960692091586,0.0,3.8519021763974807e-07,0.0,0.11957128595325045
