Time,u,v,w,r_1,alpha_1,alpha_2,k_1,r_2,alpha_3,k_2,gamma_1,k_3,mu_1,alpha_4,k_4,compartment,Increase_in_density_of_glioma_cells,Decrease_in_density_of_glioma_cell,Increase_in_density_of_macrophage_population,Decrease_in_the_density_of_macrophage_population,Increase_in_density_of_glioma_specific_CD8__T_cell,decrease_in_density_of_glioma_specific_CD8__T_cell
105.0,0.0194115542782256,0.9817308726561874,0.09211549320068221,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.009178554443435172,0.006765705482751951,0.005931225645300624,0.007394743282440579,7.693201460910047e-05,0.0007576984596788568
108.0,0.028415723777220396,0.9769821283680277,0.0900988077727157,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.013312707996252574,0.009629275688622761,0.007436797876229358,0.009128451098455575,0.00010981018232776012,0.000773204499715226
111.0,0.04221192159094528,0.9716724391385448,0.0881380330887331,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.01949538229352808,0.013838705770822525,0.009102553928951552,0.010930743129312227,0.00015881959077217953,0.000801878013618253
114.0,0.06339368457055816,0.966150374728307,0.08624715993999467,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.028630588992740513,0.01996161477844428,0.010815155966115918,0.012643511576527537,0.0002317147282890216,0.0008476285563133633
117.0,0.09561989147405366,0.9608502943426905,0.08445645023888745,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.04169907815892385,0.02863138998832195,0.012439943951747292,0.01412319506172233,0.0003385366454997864,0.0009132637501567927
120.0,0.1432634389741745,0.9561678228140174,0.08282402150130813,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.05918475835044482,0.04028557225274374,0.013859940393809741,0.015286319384496722,0.0004895585367281539,0.0009978294443396228
123.0,0.209563275446175,0.952351742280915,0.08144402088358091,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.07987474665448087,0.05465374765895678,0.015006471945167608,0.016122657366393678,0.0006890466421652128,0.00109399523167635
126.0,0.29259796030839297,0.9494680335925068,0.08043302792239196,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.09980787475389519,0.07028110737995805,0.01586648557764506,0.016676551961614813,0.0009252114389877278,0.0011888985697816384
129.0,0.3817578706011618,0.9474425312940306,0.07988060485499551,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11380826479834714,0.08484101986404519,0.016467266419265294,0.017017085044231335,0.001166021559673672,0.0012702311427498097
132.0,0.4612701387489813,0.9461068708758691,0.07979333299683292,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11982669896205335,0.09642471672761817,0.016861949781752556,0.017213173126852954,0.0013737927524629695,0.0013325644698891615
135.0,0.5201791491060954,0.9452747711090151,0.08009098350736071,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12035364909612088,0.10451567207979033,0.017107236075308348,0.01731999899041392,0.0015280331381711694,0.0013776257329871134
138.0,0.5573494715831606,0.9447816337585271,0.08065650819313679,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11896406257622358,0.10971305592574415,0.017252386938251277,0.017375310734777227,0.0016309229403770806,0.0014102137979229508
141.0,0.5777650785763956,0.9445026541806696,0.08138514393448336,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11763394012954219,0.11293657292379723,0.017334431013990657,0.01740216758249226,0.0016958475230734473,0.0014348602863651218
144.0,0.587325759776965,0.9443527148376565,0.08220291547858036,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11687284487179501,0.11494940562870883,0.017378504854784916,0.017413655860087886,0.0017364229110543626,0.0014547353287115443
147.0,0.5904974386334728,0.9442779623825043,0.08306369032767397,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11660088499829652,0.11625681889540741,0.017400472371111413,0.017416907766253337,0.001762465976065666,0.0014717737142635476
150.0,0.5900988829155915,0.9442459959047833,0.0839405345234755,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1166355926435882,0.11715968281216926,0.01740986523703299,0.017415738923575463,0.0017800737032013703,0.001487081579716216
153.0,0.587752576837844,0.9442381095291807,0.08481799193985289,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11683681179156108,0.11782685998825222,0.01741218242526943,0.017412168412114383,0.0017927437643405193,0.0015012628137615633
156.0,0.584371733029746,0.9442435748352911,0.08568733260837176,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11711741622293173,0.11835303408916015,0.017410576604147465,0.017407287967374747,0.0018024608102639407,0.0015146530435977213
159.0,0.5804550437511979,0.944256428881376,0.08654362139756329,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11742871261785355,0.11879017848339986,0.017406799738975392,0.017401685210577385,0.001810321650337757,0.0015274349057908337
162.0,0.5762677027761187,0.9442734626667998,0.08738392303432692,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1177451571288909,0.11916604339978054,0.01740179458537608,0.017395672377126796,0.001816915025890477,0.0015397026199826585
165.0,0.5719614150721312,0.944292797375514,0.08820645007642083,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11805295369602171,0.1194968680947699,0.017396113103219528,0.01738943024660555,0.001822586754461662,0.0015515111171490801
168.0,0.5676222549281287,0.9443133543636097,0.08901009347306299,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11834501061385345,0.11979216706997729,0.017390072184465838,0.01738306388515466,0.0018275403176458492,0.0015628923606387027
171.0,0.5632934728276776,0.9443346358720512,0.08979413567916905,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1186182760826121,0.12005686296550674,0.017383818062224155,0.01737662848191557,0.0018318821408925177,0.0015738614466278159
174.0,0.5590000382938661,0.9443563585537574,0.0905580730444175,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11887145962109362,0.12029398443392283,0.017377433980867694,0.017370157606659734,0.0018356784242597403,0.0015844272314650542
177.0,0.554761774487178,0.9443782621935993,0.09130154976797153,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11910395359212846,0.12050619941344565,0.017370996401695767,0.01736367917411596,0.0018389872595399302,0.0015945989267476027
180.0,0.5505877629168576,0.944400260420523,0.09202433842026113,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11931599148880731,0.12069498757015992,0.017364530703573244,0.01735720838710805,0.001841841551445376,0.0016043816090507404
183.0,0.5464856916086845,0.9444222590976628,0.09272627895601239,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11950800460536436,0.12086176713988005,0.017358064553047843,0.01735075888303955,0.0018442725917703982,0.0016137810130245137
186.0,0.5424630145666673,0.9444441557695064,0.09340728280849309,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11968054151234388,0.12100804581613843,0.017351628067450785,0.017344344547001376,0.0018463131630274128,0.001622804323134836
189.0,0.5385218831339214,0.9444659440343737,0.09406733060582341,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11983444631145553,0.1211347011926282,0.017345223133114436,0.017337972633786114,0.001847982713531654,0.0016314564635625636
192.0,0.5346632181371265,0.9444876284206197,0.09470644778372869,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.11997061804289988,0.1212424892414687,0.017338848423461024,0.01733164871361393,0.0018492979649008447,0.0016397423281716674
195.0,0.5308906663759447,0.9445091500239045,0.09532469547475024,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1200898687176159,0.12133259134691186,0.017332521260740096,0.017325382191582885,0.0018502841718958617,0.0016476694680361802
198.0,0.5272061985911682,0.9445304825490826,0.09592218327110215,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12019308653401269,0.12140600822288705,0.01732624938300361,0.01731918045972944,0.001850962617140496,0.0016552451464031475
201.0,0.5236128263915365,0.9445515740709035,0.09649906229835656,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12028114188205109,0.12146393577913155,0.017320048065650812,0.017313052581493883,0.001851358346227911,0.0016624781809244015
204.0,0.5201112217975026,0.9445724171488372,0.0970555299339175,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12035496878901679,0.12150727598066993,0.017313919506582596,0.017307004443773737,0.00185149015137907,0.0016693764603009148
207.0,0.5167017519825757,0.9445930033552733,0.09759181695840155,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1204154910239996,0.12153690890637164,0.0173078661942448,0.017301041448157452,0.0018513761944017983,0.0016759481782246274
210.0,0.5133848209271139,0.9446133182647785,0.09810818294120491,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12046361221545082,0.12155373633509528,0.017301892381177436,0.0172951690232436,0.0018510349093404973,0.0016822019998395598
213.0,0.5101617977895734,0.9446333248136402,0.09860491546587283,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12050020699883274,0.12155882116880484,0.017296008978031047,0.017289394095804333,0.001850487835831893,0.0016881477855921383
216.0,0.5070330558569087,0.944653005260036,0.09908233515722473,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12052614851962623,0.12155309758302948,0.017290221214801314,0.017283722155780112,0.001849753716689877,0.001693795126547264
219.0,0.5039996620303084,0.9446723241658861,0.0995407898102019,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12054228610369681,0.12153761831728523,0.017284539526784642,0.01727815976985616,0.0018488535403802628,0.0016991545720651045
222.0,0.5010603838283217,0.9446912906109787,0.0999806564088543,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12054945780763508,0.12151309475478711,0.017278961257303216,0.017272709849631092,0.0018478012351800252,0.001704235208208628
225.0,0.4982160998633841,0.9447098645592853,0.10040232672558064,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12054846549508591,0.12148055912035034,0.017273498195463064,0.017267378520331104,0.001846617107991438,0.001709047996053884
228.0,0.49546646984665726,0.9447280308352334,0.10080621683046719,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12054008939371695,0.12144086058075651,0.017268154819519772,0.01726216994591317,0.0018453176368140743,0.0017136032051259815
231.0,0.4928107876815534,0.9447457790074621,0.10119275942524497,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12052507760209306,0.12139478580617304,0.01726293421260359,0.017257087567364864,0.0018439179417491418,0.0017179109539382244
234.0,0.4902480116151375,0.9447631033171644,0.10156240436854758,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12050414216400951,0.12134306221343297,0.017257838083485542,0.01725213411786655,0.0018424318644787532,0.0017219812268906313
237.0,0.48777715581122505,0.9447799933125388,0.10191561061702774,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1204779603229456,0.12128641148741053,0.017252869521420546,0.017247312228309455,0.0018408730658975995,0.0017258240636223688
240.0,0.48539710610300507,0.9447964398740244,0.10225284786983621,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12044717349719751,0.12122552195804366,0.0172480312238326,0.01724262414947152,0.001839254475173605,0.0017294494272611408
243.0,0.4831066850128387,0.9448124331065316,0.10257459451995052,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12041238779119662,0.12116105689207944,0.01724332611631731,0.01723807183423756,0.0018375884673165672,0.0017328672228181488
246.0,0.48090457451026614,0.9448279656111103,0.10288133249819448,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1203741728705715,0.12109363707446369,0.017238756390099894,0.017233656821600687,0.001835886528005741,0.0017360871399201994
249.0,0.4787892872383471,0.944843032482314,0.10317354587107923,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.1203330609512496,0.12102383462463133,0.017234323502656187,0.01722938015816158,0.0018341591410480883,0.001739118600331427
252.0,0.47675923373716683,0.9448576296795328,0.10345172498966268,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12028954776301158,0.12095218794627081,0.017230028656770664,0.01722524249757103,0.001832416090252749,0.0017419708857646398
255.0,0.4748127351342423,0.9448717537322537,0.10371636424588508,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12024409313423431,0.12087920193184486,0.017225872887204195,0.017221244113216825,0.0018306664728269793,0.0017446531113789322
258.0,0.47294792243405376,0.9448854057899362,0.1039679421795756,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12019711885491428,0.1208053127726305,0.017221855868991446,0.017217384741885198,0.001828918028312134,0.001747173799708764
261.0,0.47116288940990253,0.9448985848805234,0.10420696063253054,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12014901263166716,0.12073095066484019,0.017217977900951472,0.017213663787172585,0.0018271783484870674,0.0017495416794792514
264.0,0.4694556691403961,0.944911293380623,0.10443389258207372,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.12010012854559787,0.12065648745247609,0.017214238296101476,0.017210080366089377,0.001825453899114988,0.0017517647907467652
