Time,CDK1_active,a1,b1,k1,n1,compartment,R1_Cdk1_activation_by_cyclin_synthesis,R2_Cdk1_inactivation_by_APC_active
8.2,0.4305212917781903,0.1,1.0,0.5,8.0,1.0,0.1,0.0998933533093542
8.4,0.4305394418731581,0.1,1.0,0.5,8.0,1.0,0.1,0.09992344107299544
8.6,0.4305524585575982,0.1,1.0,0.5,8.0,1.0,0.1,0.09994502263391934
8.8,0.43056178790992566,0.1,1.0,0.5,8.0,1.0,0.1,0.0999604924519083
9.0,0.4305684798293829,0.1,1.0,0.5,8.0,1.0,0.1,0.09997158984940403
9.2,0.43057332880417853,0.1,1.0,0.5,8.0,1.0,0.1,0.09997963152997291
9.4,0.43057686654647737,0.1,1.0,0.5,8.0,1.0,0.1,0.09998549888420251
9.6,0.4305793095039136,0.1,1.0,0.5,8.0,1.0,0.1,0.09998955066295184
9.8,0.43058114123236846,0.1,1.0,0.5,8.0,1.0,0.1,0.09999258875348316
10.0,0.43058241539465164,0.1,1.0,0.5,8.0,1.0,0.1,0.09999470210374822
10.2,0.43058331725266297,0.1,1.0,0.5,8.0,1.0,0.1,0.09999619796010696
10.4,0.4305839336279269,0.1,1.0,0.5,8.0,1.0,0.1,0.0999972203119997
10.6,0.4305843859202173,0.1,1.0,0.5,8.0,1.0,0.1,0.09999797051161649
10.8,0.43058471265923626,0.1,1.0,0.5,8.0,1.0,0.1,0.09999851246313693
11.0,0.4305849559071956,0.1,1.0,0.5,8.0,1.0,0.1,0.09999891593193089
11.2,0.43058513572123003,0.1,1.0,0.5,8.0,1.0,0.1,0.09999921418525962
11.4,0.4305852657235428,0.1,1.0,0.5,8.0,1.0,0.1,0.0999994298174044
11.6,0.4305853612352359,0.1,1.0,0.5,8.0,1.0,0.1,0.09999958824086094
11.8,0.4305854289745571,0.1,1.0,0.5,8.0,1.0,0.1,0.09999970059890116
12.0,0.4305854786282739,0.1,1.0,0.5,8.0,1.0,0.1,0.09999978295871324
12.2,0.43058551424187497,0.1,1.0,0.5,8.0,1.0,0.1,0.09999984203044042
12.4,0.4305855401896436,0.1,1.0,0.5,8.0,1.0,0.1,0.0999998850696154
12.6,0.43058555921074215,0.1,1.0,0.5,8.0,1.0,0.1,0.09999991661963395
12.8,0.43058557289105565,0.1,1.0,0.5,8.0,1.0,0.1,0.09999993931097421
13.0,0.4305855829874128,0.1,1.0,0.5,8.0,1.0,0.1,0.09999995605765945
13.2,0.43058559020441145,0.1,1.0,0.5,8.0,1.0,0.1,0.09999996802839449
13.4,0.43058559550124864,0.1,1.0,0.5,8.0,1.0,0.1,0.09999997681418503
13.6,0.43058560288501213,0.1,1.0,0.5,8.0,1.0,0.1,0.09999998906153218
13.8,0.4305856091454564,0.1,1.0,0.5,8.0,1.0,0.1,0.09999999944564589
14.0,0.430585614271097,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000794747667
14.2,0.43058561826193387,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001456702423
14.4,0.43058562111796694,0.1,1.0,0.5,8.0,1.0,0.1,0.1000000193042881
14.6,0.4305856228391964,0.1,1.0,0.5,8.0,1.0,0.1,0.10000002215926843
14.8,0.4305856234256221,0.1,1.0,0.5,8.0,1.0,0.1,0.10000002313196503
15.0,0.4305856228772441,0.1,1.0,0.5,8.0,1.0,0.1,0.10000002222237768
15.2,0.4305856211940624,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001943050664
15.4,0.4305856192045362,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001613050609
15.6,0.43058561999717926,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001744525254
15.8,0.4305856205030027,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001828425513
16.0,0.43058562072200635,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001864751357
16.2,0.43058562065419015,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001853502773
16.4,0.4305856202995543,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001794679794
16.6,0.43058561965809866,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001688282409
16.8,0.4305856187298233,0.1,1.0,0.5,8.0,1.0,0.1,0.1000000153431062
17.0,0.4305856175147282,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001332764417
17.2,0.43058561601281325,0.1,1.0,0.5,8.0,1.0,0.1,0.10000001083643804
17.4,0.4305856148557596,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000891724865
17.6,0.43058561442296184,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000819937287
17.8,0.43058561399016404,0.1,1.0,0.5,8.0,1.0,0.1,0.100000007481497
18.0,0.4305856135573663,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000676362121
18.2,0.43058561312456856,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000604574542
18.4,0.4305856126917708,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000532786965
18.6,0.430585612258973,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000460999377
18.8,0.4305856118261753,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000389211802
19.0,0.4305856113933776,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000317424235
19.2,0.4305856109605798,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000245636648
19.4,0.43058561077666774,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000215131404
19.6,0.430585610763754,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000212989421
19.8,0.4305856107508403,0.1,1.0,0.5,8.0,1.0,0.1,0.1000000021084744
20.0,0.4305856107379266,0.1,1.0,0.5,8.0,1.0,0.1,0.10000000208705466
