Time,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts,P0,dG,bG,kGSH,kG,kS,bS,dS,k450,kN,kPSH,compartment,reaction_1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.14,1.6686592143516288e-15,3.2395248391523036e-15,4.337740244830315e-18,7.290443579910353e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.2964897276717612e-14,1.3663881771215493e-19,2.1798426303931955e-13,4.771514269313346e-16,2.2483547630269443e-14,6.479049678304607e-15,1.374e-14,2.7493500835301474e-14,3.3373184287032577e-15,2.65e-14
0.15,1.6337481327116428e-15,3.0929740843028646e-15,4.375009681108718e-18,7.027181787371946e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.213562263022163e-14,1.3781280495492464e-19,2.101127354424212e-13,4.812510649219591e-16,2.1650866499589448e-14,6.185948168605729e-15,1.374e-14,2.5946257978757854e-14,3.2674962654232856e-15,2.65e-14
0.16,1.6132958317094645e-15,2.9574101086019184e-15,4.406281886408012e-18,6.773846103755316e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.1337615226829248e-14,1.387978794218524e-19,2.0253799850228398e-13,4.846910075048814e-16,2.0849892147540136e-14,5.914820217203837e-15,1.374e-14,2.4697771965455458e-14,3.226591663418929e-15,2.65e-14
0.17,1.604426902982692e-15,2.8323075419124127e-15,4.4308647090495524e-18,6.529856675594095e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.0569048528121397e-14,1.395722383350609e-19,1.9524271460026344e-13,4.873951179954508e-16,2.0079314452215355e-14,5.6646150838248255e-15,1.374e-14,2.36772916538541e-14,3.208853805965384e-15,2.65e-14
0.18,1.6049297911169e-15,2.717167349964175e-15,4.448060559117821e-18,6.294712776838295e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.982834524704063e-14,1.4011390761221136e-19,1.8821191202746505e-13,4.892866615029603e-16,1.9337799875037337e-14,5.43433469992835e-15,1.374e-14,2.2831812860282643e-14,3.2098595822338e-15,2.65e-14
0.19,1.6130941684849538e-15,2.6115139775439914e-15,4.4569262853501664e-18,6.067975396191167e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.9114122498002174e-14,1.4039317798853024e-19,1.814324643461159e-13,4.902618913885183e-16,1.8622920465720288e-14,5.223027955087983e-15,1.374e-14,2.2121367540999895e-14,3.2261883369699075e-15,2.65e-14
0.2,1.6275893342179858e-15,2.514894191891186e-15,4.457268967076226e-18,5.849254137847879e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.842515053422082e-14,1.404039724629011e-19,1.748926987216516e-13,4.902995863783848e-16,1.7935295739194922e-14,5.029788383782372e-15,1.374e-14,2.151561504423508e-14,3.2551786684359716e-15,2.65e-14
0.21,1.6473732181865807e-15,2.426874010246004e-15,4.448207132974016e-18,5.6381973437731854e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.7760321632885535e-14,1.401185246886815e-19,1.6858210057881825e-13,4.893027846271418e-16,1.7272381253128847e-14,4.853748020492008e-15,1.374e-14,2.099136658474082e-14,3.2947464363731615e-15,2.65e-14
0.22,1.6716263561322173e-15,2.3470385651434163e-15,4.4294073330360486e-18,5.43448485019832e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.711862727812471e-14,1.3952633099063552e-19,1.6249109702092978e-13,4.872348066339654e-16,1.6633583730183446e-14,4.694077130286833e-15,1.374e-14,2.053080752315963e-14,3.3432527122644346e-15,2.65e-14
0.23,1.6997010949928825e-15,2.2749902760032795e-15,4.40065592040594e-18,5.237822356848015e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.6499140424071247e-14,1.386206614927871e-19,1.5661088846975566e-13,4.840721512446534e-16,1.601831908313564e-14,4.549980552006559e-15,1.374e-14,2.0120175213406865e-14,3.399402189985765e-15,2.65e-14
0.24,1.7310830603791157e-15,2.2103482993795893e-15,4.36172202663825e-18,5.0479370964512054e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.5901001853821297e-14,1.3739424383910488e-19,1.5093331918389106e-13,4.797894229302075e-16,1.5425479782314164e-14,4.420696598759179e-15,1.374e-14,1.9748780378408804e-14,3.4621661207582313e-15,2.65e-14
0.25,1.7653611751425163e-15,2.152747555327916e-15,4.312580471932822e-18,4.864574414322912e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.5323409405117173e-14,1.358462848658839e-19,1.4545077498825508e-13,4.743838519126104e-16,1.4854235308973267e-14,4.305495110655832e-15,1.374e-14,1.940827161848033e-14,3.5307223502850327e-15,2.65e-14
0.26,1.8022059248175815e-15,2.101838123167901e-15,4.2534452380131306e-18,4.687495227624537e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.476560996701729e-14,1.3398352499741361e-19,1.4015610730597366e-13,4.678789761814443e-16,1.4304085369700742e-14,4.203676246335802e-15,1.374e-14,1.9092099578220716e-14,3.604411849635163e-15,2.65e-14
0.27,1.8413522680317007e-15,2.057284388209824e-15,4.1844535213038936e-18,4.516473983756992e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.4226893048834526e-14,1.3181028592107264e-19,1.3504257211433408e-13,4.602898873434283e-16,1.3773777444108999e-14,4.114568776419648e-15,1.374e-14,1.8795108326503467e-14,3.6827045360634015e-15,2.65e-14
0.28,1.882585927759221e-15,2.018765043116906e-15,4.1061499330245924e-18,4.351296984328541e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.3706585500634904e-14,1.2934372289027466e-19,1.3010377983142338e-13,4.516764926327052e-16,1.3262963114538997e-14,4.037530086233812e-15,1.374e-14,1.8513220462647587e-14,3.765171855518442e-15,2.65e-14
0.29,1.9257328490703133e-15,1.985972213471716e-15,4.019020008617631e-18,4.191761052089285e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.320404731408125e-14,1.2659913027145537e-19,1.2533365545746964e-13,4.420922009479394e-16,1.2770659300002354e-14,3.971944426943432e-15,1.374e-14,1.8243199014823834e-14,3.851465698140627e-15,2.65e-14
0.3,1.970650826846787e-15,1.9586113185271642e-15,3.924020453534084e-18,4.037672434215861e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.2718668167779961e-14,1.2360664428632364e-19,1.2072640578305425e-13,4.316422498887492e-16,1.2297009399078324e-14,3.9172226370543284e-15,1.374e-14,1.798246409751416e-14,3.941301653693574e-15,2.65e-14
0.31,2.0172232935847586e-15,1.9363997811662146e-15,3.821394362861791e-18,3.888845942902694e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.2249864720143485e-14,1.2037392243014641e-19,1.1627649369279055e-13,4.20353379914797e-16,1.1839595532792604e-14,3.872799562332429e-15,1.374e-14,1.7728955603880128e-14,4.034446587169517e-15,2.65e-14
0.32,2.0653543959320793e-15,1.9190682995124845e-15,3.712869504667748e-18,3.745104239897488e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.1797078355677088e-14,1.1695538939703405e-19,1.119786167729349e-13,4.0841564551345224e-16,1.1400400266615193e-14,3.838136599024969e-15,1.374e-14,1.748102656151729e-14,4.130708791864159e-15,2.65e-14
0.33,2.1149648995141775e-15,1.9063579151156266e-15,3.597982892665555e-18,3.606277215500343e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.135977322882608e-14,1.1333646111896498e-19,1.0782768874346026e-13,3.95778118193211e-16,1.0974469065413756e-14,3.812715830231253e-15,1.374e-14,1.723735838686415e-14,4.229929799028355e-15,2.65e-14
0.34,2.16598883188029e-15,1.898023442910132e-15,3.479452523106613e-18,3.4722014517430036e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.0937434572990461e-14,1.0960275447785832e-19,1.0381882340711581e-13,3.8273977754172746e-16,1.0566531931758656e-14,3.796046885820264e-15,1.374e-14,1.6996894020321358e-14,4.33197766376058e-15,2.65e-14
0.35,2.218370842866196e-15,1.893827928693815e-15,3.3566300454577282e-18,3.342719768594812e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.0529567271073658e-14,1.0573384643191844e-19,9.994732108098489e-14,3.692293050003501e-16,1.0171007562209016e-14,3.78765585738763e-15,1.374e-14,1.6758786079382363e-14,4.436741685732392e-15,2.65e-14
0.36,2.2720641756637524e-15,1.893547127211387e-15,3.232831287575915e-18,3.217680840200953e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,1.0135694646633002e-14,1.0183418555864132e-19,9.620865712200849e-14,3.5561144163335067e-16,9.79442943575754e-15,3.787094254422774e-15,1.374e-14,1.6522356846572916e-14,4.544128351327505e-15,2.65e-14
0.37,2.3270290245208416e-15,1.8969633652479865e-15,3.104946760905891e-18,3.0969388587838386e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,9.755357405169092e-15,9.780582296853556e-20,9.259847187763678e-14,3.41544143699648e-16,9.423952410374199e-15,3.793926730495973e-15,1.374e-14,1.6287066542117565e-14,4.654058049041683e-15,2.65e-14
0.38,2.38323113719189e-15,1.9038749563584376e-15,2.978478555755966e-18,2.980353238714111e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,9.38811270194945e-15,9.382207450631292e-20,8.911256183755192e-14,3.2763264113315627e-16,9.073041168567092e-15,3.807749912716875e-15,1.374e-14,1.6052487642635207e-14,4.76646227438378e-15,2.65e-14
0.39,2.440640774471401e-15,1.9140831643154947e-15,2.851387767059816e-18,2.867788365536701e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,9.033533351440608e-15,8.98187146623842e-20,8.574687212954736e-14,3.136526543765798e-16,8.732469311782953e-15,3.8281663286309894e-15,1.374e-14,1.581828515151286e-14,4.881281548942802e-15,2.65e-14
0.4,2.4992317537705988e-15,1.9274018548318328e-15,2.7251407902025257e-18,2.759113484378184e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,8.69120747579128e-15,8.584193489137956e-20,8.24974931829077e-14,2.9976548692227783e-16,8.403906261942775e-15,3.8548037096636656e-15,1.374e-14,1.5584200713256987e-14,4.9984635075411976e-15,2.65e-14
0.41,2.558980416099088e-15,1.9436517540670896e-15,2.6004447365719413e-18,2.6542019354305304e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,8.36073609660617e-15,8.191400920201615e-20,7.936063786937286e-14,2.8604892102291355e-16,8.086974357748136e-15,3.887303508134179e-15,1.374e-14,1.5350034747294192e-14,5.117960832198176e-15,2.65e-14
0.42,2.6198654159093394e-15,1.96266217299844e-15,2.4778873709700736e-18,2.5529316343004484e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,8.041734648046413e-15,7.805345218555732e-20,7.63326558655834e-14,2.725676108067081e-16,7.781209299125626e-15,3.92532434599688e-15,1.374e-14,1.5115642293219316e-14,5.239730831818679e-15,2.65e-14
0.43,2.6818669361865108e-15,1.984269670087843e-15,2.3579866415356692e-18,2.4551843725026823e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,7.73383077338345e-15,7.427657920837358e-20,7.341001273783021e-14,2.5937853056892363e-16,7.486210200434437e-15,3.968539340175686e-15,1.374e-14,1.48809198073363e-14,5.3637338723730216e-15,2.65e-14
0.44,2.7449661280985005e-15,2.008316751237613e-15,2.2411775532277886e-18,2.3608451596611225e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,7.436662252932536e-15,7.059709292667534e-20,7.058927027386756e-14,2.4652953085505676e-16,7.201591076232152e-15,4.016633502475226e-15,1.374e-14,1.4645794393118475e-14,5.489932256197001e-15,2.65e-14
0.45,2.8091457918677413e-15,2.034655417223814e-15,2.127791620459807e-18,2.2698041199583327e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,7.149882977868747e-15,6.702543604448392e-20,6.786714318675416e-14,2.3405707825057875e-16,6.926916395667175e-15,4.069310834447628e-15,1.374e-14,1.4410236163795728e-14,5.6182915837354825e-15,2.65e-14
0.46,2.8743889836823273e-15,2.063143709034821e-15,2.018119978009783e-18,2.1819546799297205e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,6.87315724177862e-15,6.357077930730816e-20,6.524044492989865e-14,2.2199319758107614e-16,6.6618744587334005e-15,4.126287418069642e-15,1.374e-14,1.4174237478438038e-14,5.748777967364655e-15,2.65e-14
0.47,2.9406789734174836e-15,2.0936456755004585e-15,1.9123710952372244e-18,2.0971935990627647e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,6.606159837047709e-15,6.023968949997257e-20,6.270608861197667e-14,2.103608204760947e-16,6.406123957592784e-15,4.187291351000917e-15,1.374e-14,1.3937811251086114e-14,5.881357946834967e-15,2.65e-14
0.48,3.007999356730542e-15,2.1260317619929277e-15,1.8106876561030337e-18,2.015421165465399e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,6.348576671216007e-15,5.703666116724556e-20,6.026109284741544e-14,1.991756421713337e-16,6.1593271486777235e-15,4.2520635239858555e-15,1.374e-14,1.370099138652995e-14,6.015998713461084e-15,2.65e-14
0.49,3.076333257996186e-15,2.160177146890352e-15,1.7131565473306373e-18,1.9365403790245004e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,6.100102193927176e-15,5.3964431240915077e-20,5.790255733283257e-14,1.884472202063701e-16,5.921154596142757e-15,4.320354293780704e-15,1.374e-14,1.3463822475987079e-14,6.152666515992372e-15,2.65e-14
0.5,3.1456637094354383e-15,2.19596275448479e-15,1.6198335231357612e-18,1.8604574761998296e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,5.860441050029463e-15,5.102475597877648e-20,5.5627678538374906e-14,1.7818168754493372e-16,5.691350536435213e-15,4.39192550896958e-15,1.374e-14,1.3226364258775009e-14,6.291327418870877e-15,2.65e-14
0.51,3.2159734761470904e-15,2.2332747560508097e-15,1.5307150005502184e-18,1.787081689446861e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,5.6293073217576125e-15,4.821752251733188e-20,5.343374251446115e-14,1.6837865006052403e-16,5.469611471099367e-15,4.466549512101619e-15,1.374e-14,1.2988688527310473e-14,6.431946952294181e-15,2.65e-14
0.52,3.2872449100362896e-15,2.2720043955345986e-15,1.445758800327321e-18,1.7163251818855752e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,5.4064243229395616e-15,4.554140221031061e-20,5.1318122938378704e-14,1.590334680360053e-16,5.255632558762403e-15,4.544008791069197e-15,1.374e-14,1.2750877552952254e-14,6.574489820072579e-15,2.65e-14
0.53,3.3594598475255098e-15,2.3120477141460243e-15,1.3649331907093545e-18,1.6481028782766245e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,5.191524066571367e-15,4.299539550734467e-20,4.927827606047108e-14,1.5014265097802899e-16,5.049265061666564e-15,4.624095428292049e-15,1.374e-14,1.2513022103805087e-14,6.7189196950510196e-15,2.65e-14
0.54,3.432599500882692e-15,2.35330507474566e-15,1.2881281834216538e-18,1.5823322916775342e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,4.9843467187842324e-15,4.057603777778209e-20,4.7311735521158274e-14,1.4169410017638192e-16,4.850173745550538e-15,4.70661014949132e-15,1.374e-14,1.2275219458292886e-14,6.865199001765384e-15,2.65e-14
0.55,3.5066446367556984e-15,2.3956817951368035e-15,1.2152154396832484e-18,1.518933790406204e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,4.784641439779543e-15,3.8279286350022326e-20,4.54161203331455e-14,1.3367369836515732e-16,4.658031209629319e-15,4.791363590273607e-15,1.374e-14,1.2037575927155716e-14,7.013289273511397e-15,2.65e-14
0.56,3.5815750953831815e-15,2.4390866608160216e-15,1.1461188852147232e-18,1.4578298445918738e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,4.5921640104644025e-15,3.610274488426378e-20,4.358911235329703e-14,1.2607307737361956e-16,4.472773255418497e-15,4.878173321632043e-15,1.374e-14,1.1800199166214291e-14,7.163150190766363e-15,2.65e-14
0.57,3.657370291943455e-15,2.483433434621283e-15,1.0807042829535417e-18,1.3989458137039992e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,4.406679313167598e-15,3.4042184913036567e-20,4.182847982974958e-14,1.1887747112488958e-16,4.294171438760392e-15,4.966866869242566e-15,1.374e-14,1.1563206061520053e-14,7.31474058388691e-15,2.65e-14
0.58,3.734008625636526e-15,2.528638665198e-15,1.018812632049464e-18,1.3422088647321824e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,4.227957923906374e-15,3.2092597909558113e-20,4.0132045055492256e-14,1.1206938952544103e-16,4.121934422387868e-15,5.057277330396e-15,1.374e-14,1.1326712020993658e-14,7.468017251273052e-15,2.65e-14
0.59,3.811467949792721e-15,2.574623581609556e-15,9.602877949845364e-19,1.2875488773770789e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,4.055778963737799e-15,3.0249065542012895e-20,3.849771143357466e-14,1.05631657448299e-16,3.955807363358449e-15,5.149247163219112e-15,1.374e-14,1.1090839892606397e-14,7.622935899585442e-15,2.65e-14
0.6,3.889725180948084e-15,2.6213121490522976e-15,9.05020700100707e-19,1.2348974572390043e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,3.889926990302864e-15,2.850815205317227e-20,3.692343397144623e-14,9.955227701107776e-17,3.795746810108479e-15,5.242624298104595e-15,1.374e-14,1.0855710521803571e-14,7.779450361896168e-15,2.65e-14
