Cdc20_a_1_task1,Cdh1_a_2_task1,Clb2_3_task1,IE_a_4_task1,time_task1
6.681210253038279e-06,0.0033507144792211665,0.0606606103267305,0.0016931811325269512,89.0
7.556811221039295e-06,0.003109219847349595,0.06715764403813776,0.0019130157545049038,90.0
8.483844637157972e-06,0.0028977819587687245,0.07376574187086658,0.002145110197078001,91.0
9.466068389703315e-06,0.0027112125779178626,0.08048322439141957,0.0023902243287783984,92.0
1.0508754271733405e-05,0.0025452669347079196,0.087315267739065,0.002649460341229182,93.0
1.1618731851212693e-05,0.002396558418722243,0.09427273431228701,0.002924272902577727,94.0
1.2804515956857903e-05,0.0022622844440343434,0.1013715141973947,0.0032165033533043124,95.0
1.4076483207504688e-05,0.0021401969682918924,0.1086321758579026,0.0035284289101023747,96.0
1.5447165552919473e-05,0.0020284345654804675,0.11607985448942808,0.003862840658391638,97.0
1.693167558596423e-05,0.0019254664726591339,0.12374441745625853,0.004223149520148241,98.0
1.8548306983895382e-05,0.001830017419369566,0.13166073591237684,0.004613525892293932,99.0
2.0319337578001224e-05,0.0017410359443872138,0.1398690085046879,0.005039073243938609,100.0
2.227212157562247e-05,0.0016576358331031995,0.14841508505753803,0.0055060559716843096,101.0
2.4440559634079305e-05,0.001579091518236201,0.15735086115379002,0.006022195868701287,102.0
2.6867023387251525e-05,0.0015047770481634213,0.1667345415467224,0.006597054823110341,103.0
2.960480401721949e-05,0.0014342003113407352,0.17663081295301558,0.007242512875926447,104.0
3.27214186502644e-05,0.0013669501916910027,0.187110708513411,0.007973407673030158,105.0
3.6302847556707e-05,0.001302701796392941,0.19825106688858696,0.008808329989756539,106.0
4.045928651571878e-05,0.0012412105258176528,0.21013341795784035,0.009770674255308075,107.0
4.5332192349990196e-05,0.0011822883072294171,0.22284094199402724,0.010889832567598954,108.0
5.110400834129473e-05,0.001125820474889389,0.23645487634391252,0.012202755501190621,109.0
5.8009850420523315e-05,0.0010717507434955655,0.2510465877754004,0.013755585485781556,110.0
6.635191396546757e-05,0.0010200730521531308,0.26666546135173497,0.015605326363384861,111.0
7.651473519574804e-05,0.0009707985120342186,0.2833221339311234,0.017820834969852806,112.0
8.898193856172416e-05,0.0009238283995429404,0.30097358130853435,0.020482970439614882,113.0
0.00010435690706208972,0.00087882935499078,0.3195263496391111,0.023683953350016183,114.0
0.0001233880509999923,0.0008357894262236811,0.3388227899886334,0.02752547014082709,115.0
0.00014698592704421562,0.0007952155701075264,0.3586268784411233,0.03211243618852687,116.0
0.00017626469058485694,0.0007574649911518217,0.3787213224167112,0.03754854715972887,117.0
0.0002126390802611294,0.0007225828239844484,0.3989681239877086,0.04393735703275085,118.0
0.0002579655310702308,0.0006904436222629325,0.4192886682817979,0.05138273701555884,119.0
0.0003147425312866684,0.0006608622147969872,0.4396332327779718,0.0599866085907993,120.0
0.0003864247829110946,0.0006336496600207221,0.4599649520314109,0.06984564058920235,121.0
0.00047794971774856845,0.0006086326845586371,0.4802537822338594,0.08104837918811585,122.0
0.0005966632858721235,0.0005856510762060224,0.500474339554863,0.09367334488404362,123.0
0.0007540339506676701,0.0005645943826495983,0.5206048049248877,0.10778809957010972,124.0
0.000969025529033375,0.0005453933697436221,0.5406259347158952,0.12344908093386221,125.0
0.0012754921970195043,0.0005280606397753593,0.5605197650193859,0.14070193774439413,126.0
0.0017397213431095643,0.0005127807463120469,0.580267470370046,0.1595820872902192,127.0
0.002509493599084616,0.0005001301613545976,0.5998449708824725,0.1801151814473831,128.0
0.0039740807455246096,0.0004918227604783864,0.6192115161751507,0.20231690974960745,129.0
0.0073576076264579935,0.0004934365587950955,0.6382729786370441,0.2261907100784009,130.0
0.016463649396712843,0.000522289014505007,0.6567571360391592,0.25171824846104296,131.0
0.03863028195461199,0.0006116235521397067,0.6739387492665707,0.278829912097993,132.0
0.08017642150357733,0.0007920649478491194,0.6884833157324723,0.3073503340347372,133.0
0.1434357569093854,0.0010838768036785585,0.69867782431573,0.3369483967657614,134.0
0.22825964481618488,0.0015098551636153906,0.7027526289764963,0.3671175329615357,135.0
0.3332683844044371,0.002108399924512162,0.6991174925837791,0.39718372461504997,136.0
0.4562556890444103,0.0029487573715487173,0.6865463702269878,0.4263340152712848,137.0
0.5942991466854713,0.004160427157395362,0.6643192715618176,0.4536611973350043,138.0
0.7438232878213844,0.0060045481451121525,0.6322890858125583,0.4782189440122751,139.0
0.9006763186921144,0.009085914318201502,0.5908096667900206,0.4990768857530076,140.0
