T,M,P,PC
14.65,0.11965839,0.051858723,0.060221072
14.7,0.12407005,0.052340277,0.063230723
14.75,0.12786485,0.052946579,0.066293836
14.8,0.13098255,0.05367332,0.069376223
14.85,0.13336973,0.054514695,0.072442569
14.9,0.1349806,0.055463448,0.075456873
14.95,0.13577782,0.056510922,0.078382857
15.0,0.13573319,0.057647094,0.081184417
15.05,0.1348286,0.058860697,0.083826073
15.1,0.133057,0.06013931,0.086273462
15.15,0.13042417,0.061469473,0.088493861
15.2,0.12695257,0.062836841,0.090456806
15.25,0.12269355,0.064226352,0.092135049
15.3,0.11777459,0.065622464,0.093506709
15.35,0.11250865,0.067009591,0.094561398
15.4,0.10725707,0.068372853,0.095307082
15.45,0.10217325,0.069698811,0.095764093
15.5,0.097296864,0.070975773,0.095955901
15.55,0.092635758,0.072193772,0.095905818
15.6,0.088187844,0.073344439,0.095636114
15.65,0.083947286,0.074420862,0.095167764
15.7,0.079906702,0.075417474,0.09452039
15.75,0.07605812,0.076329879,0.093712278
15.8,0.072393388,0.07715477,0.092760429
15.85,0.068904422,0.077889808,0.091680631
15.9,0.065583296,0.078533486,0.090487495
15.95,0.062422343,0.079085082,0.089194551
16.0,0.059414145,0.079544514,0.087814279
16.049999,0.056551583,0.07991232,0.086358227
16.1,0.053827837,0.080189526,0.084837012
16.15,0.05123638,0.080377631,0.083260439
16.200001,0.048770979,0.080478489,0.081637487
16.25,0.046425685,0.080494307,0.079976425
16.299999,0.044194829,0.080427565,0.07828483
16.35,0.042073023,0.080280975,0.076569632
16.4,0.04005513,0.080057427,0.074837185
16.450001,0.038136281,0.079759993,0.073093273
16.5,0.036311854,0.07939183,0.071343161
16.549999,0.034577474,0.078956224,0.069591664
16.6,0.032929007,0.078456491,0.067843132
16.65,0.031362563,0.077896014,0.066101506
16.700001,0.029874491,0.077278174,0.064370364
16.75,0.028461393,0.076606363,0.062652938
16.799999,0.027120139,0.075883955,0.060952131
16.85,0.025847893,0.075114287,0.059270568
16.9,0.024642162,0.074300669,0.057610612
16.950001,0.023500877,0.073446356,0.055974402
17.0,0.022422532,0.072554529,0.05436388
17.049999,0.021406457,0.071628325,0.052780848
17.1,0.020453313,0.070670791,0.051227003
17.15,0.019566176,0.06968493,0.049704064
17.200001,0.018753039,0.06867367,0.048213903
17.25,0.018033579,0.06763991,0.046758946
17.299999,0.017459406,0.066586539,0.045343112
17.35,0.017163288,0.065516599,0.043974407
17.4,0.017363518,0.06443356,0.042669326
17.450001,0.018216923,0.063341781,0.041453328
17.5,0.019771807,0.062246729,0.040355448
17.549999,0.022024302,0.061155032,0.039404165
17.6,0.024949066,0.060074337,0.038625788
17.65,0.028509434,0.059013125,0.038043816
17.700001,0.032660943,0.057980537,0.037678592
17.75,0.037352767,0.056986187,0.03754716
17.799999,0.042528454,0.056039952,0.037663095
17.85,0.048126385,0.05515182,0.038036443
17.9,0.05408024,0.054331679,0.038673624
17.950001,0.060319483,0.053589161,0.039577417
18.0,0.066769861,0.052933484,0.040746924
18.049999,0.073354043,0.052373268,0.042177591
18.1,0.07999225,0.051916409,0.043861255
18.15,0.086603045,0.051569931,0.045786217
18.200001,0.093104057,0.051339865,0.047937341
18.25,0.099412896,0.05123112,0.050296225
18.299999,0.10544796,0.051247396,0.052841347
18.35,0.1111294,0.051391087,0.055548299
18.4,0.11637998,0.05166322,0.058390036
18.450001,0.12112605,0.052063391,0.061337136
18.5,0.12529844,0.052589726,0.064358138
18.549999,0.12883337,0.053238865,0.067419872
18.6,0.13167326,0.054005966,0.070487805
18.65,0.13376769,0.054884702,0.073526487
18.700001,0.13507409,0.055867326,0.076499887
18.75,0.13555858,0.056944691,0.079371899
18.799999,0.13519672,0.058106355,0.082106739
18.85,0.13397445,0.059340652,0.084669434
18.9,0.13188925,0.060634807,0.087026298
18.950001,0.12895238,0.061975073,0.089145496
19.0,0.12519461,0.06334687,0.090997748
19.049999,0.12068568,0.064735003,0.09255752
19.1,0.11560781,0.066123895,0.093806207
19.15,0.1103301,0.067498177,0.094739795
19.200001,0.10514413,0.068843484,0.095371984
19.25,0.10014607,0.070147052,0.095724851
19.299999,0.095359452,0.071397878,0.09582191
19.35,0.090787373,0.072586611,0.095686071
19.4,0.086426042,0.073705465,0.095339075
19.450001,0.082268953,0.074748062,0.094801351
19.5,0.078308471,0.075709291,0.094091974
19.549999,0.074536555,0.076585189,0.093228713
19.6,0.070945084,0.077372819,0.092228062
19.65,0.067526057,0.078070179,0.091105327
19.700001,0.064271651,0.07867606,0.089874677
19.75,0.061174314,0.079189993,0.088549219
19.799999,0.058226753,0.079612136,0.087141059
19.85,0.055421978,0.07994321,0.085661359
19.9,0.052753296,0.080184422,0.084120415
19.950001,0.050214298,0.080337413,0.082527675
20.0,0.047798872,0.08040417,0.080891855
