Time,auxin,TIR1,auxinTIR1,auxinTIR1VENUS,VENUS,kd,ka,mu,ld,lm,la,delta,lambda,TIR1T,alpha_tr,cell,auxin_TIR1association,auxin_TIR1dissociation,auxin_TIR1_VENUSassociation,auxin_TIR1_VENUSdissociation,auxin_TIR1_VENUSdissociationleadingtoubiquitination,auxinproduction,auxindecay,VENUSproduction,VENUSphotobleachingdecay
0.23,12.561156163790052,15.392263326029987,0.2811930881461765,2.7865435858238357,40.36389040300254,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1589292803957066,0.09391849144082295,13.052554040816215,12.511580700349022,0.4876451275191712,30.5,9.923313369394142,0.486,0.12754989367348804
0.24,12.76543723199866,15.391600258960382,0.2813109386016889,2.787088802437928,40.36205283712619,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.16150697675874548,0.0939578534929641,13.057430012628368,12.514028722946296,0.48774054042663734,30.5,10.084695413278942,0.486,0.12754408696531877
0.25,12.968098499565299,15.390912131153904,0.2814308755082928,2.7876569933378033,40.360191341788145,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.16406369063129572,0.0939979124197698,13.062394582751907,12.516579900086738,0.48783997383411554,30.5,10.244797814656586,0.486,0.12753820464005053
0.26,13.169143615753642,15.390199003862762,0.28155284049797047,2.7882481556392666,40.35830590900374,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.16659945906656964,0.09403864872632214,13.067445016320931,12.519234218820309,0.4879434272368716,30.5,10.403623456445377,0.486,0.12753224667245183
0.27,13.36858191253068,15.389461032873793,0.281676796697155,2.7888621704290495,40.356396629485836,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.16911439227510663,0.09408005009684978,13.072579608158447,12.521991145226433,0.4880508798250836,30.5,10.561179710899237,0.486,0.12752621334917524
0.28,13.56642625974098,15.388698432494726,0.28180276867837145,2.789498798826902,40.354463702958036,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.17160864614965735,0.09412212473857608,13.077799540028082,12.52484960673279,0.4881622897947078,30.5,10.717476745195375,0.486,0.1275201053013474
0.29,13.762689551613802,15.38791141771238,0.28193075495100844,2.790157827336611,40.352507303800515,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1740823772009407,0.09416487215363682,13.083104775575544,12.527808644741384,0.4882776197839069,30.5,10.872524745774903,0.486,0.12751392308000964
0.3,13.95738432568709,15.387100197780438,0.28206073599976184,2.7908390662197977,40.350527583804464,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.17653573765922406,0.09420828582392046,13.088494434506565,12.530867407326893,0.48839683658846456,30.5,11.026333617292803,0.486,0.12750766716482212
0.31,14.150521915182617,15.38626496193651,0.28219269345245984,2.7915423446110297,40.34852467955728,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1789688645791584,0.09425235961312159,13.093967684580914,12.534025127303524,0.48851991030693015,30.5,11.178912312994267,0.486,0.12750133798740101
0.32,14.342118557949336,15.385405981441494,0.2823266049096587,2.792267413648847,40.34649879083832,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1813819582846698,0.09429708603982602,13.099523527150387,12.537280687283324,0.4886467973885482,30.5,11.330273660779977,0.486,0.12749493617904908
0.33,14.532179240348112,15.384523339848984,0.2824624634981114,2.7930141966529023,40.34444997932929,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.18377507487704764,0.0943424628083692,13.105161639083333,12.540633742971531,0.4887774844142579,30.5,11.48042159987501,0.486,0.12748846193468055
0.34,14.720718805069776,15.383617285370962,0.2826002490208614,2.7937824656081762,40.34237842825453,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.18614839730398608,0.0943884831729677,13.110881118406338,12.544083270580712,0.4889119314814308,30.5,11.629367856005123,0.486,0.1274819158332843
0.35,14.907751026756314,15.382688048265898,0.2827399427830602,2.7945720089510395,40.34028430758306,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1885020950746542,0.09443514088954211,13.116681128525178,12.547628320190167,0.48905010156643186,30.5,11.777123311137489,0.486,0.12747529841196248
0.36,15.093289680049716,15.381735858792279,0.28288152608985917,2.7953826151178616,40.33816778728392,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.19083633797118085,0.09448242971401297,13.122560832836024,12.5512679418792,0.48919195764562573,30.5,11.923698847239276,0.486,0.1274686102078172
0.37,15.277348460880106,15.380760945909795,0.28302498034487805,2.7962140737453263,40.33602903636907,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.19315129503173942,0.09453034343518928,13.128519398990102,12.555001191116515,0.48933746290543206,30.5,12.069105284095285,0.486,0.12746185175492625
0.38,15.459937497949516,15.379763479717266,0.28317029141432093,2.797066228868414,40.33386818047591,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.19544708971059327,0.0945788773323832,13.134556187511995,12.55882736761918,0.4894865900519724,30.5,12.21335062338012,0.486,0.12745502345030388
0.39,15.641067173794976,15.378743634501893,0.28331744484684573,2.79793892065126,40.3316853483283,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.1977238489578408,0.09462802657884647,13.140670545143639,12.562745753724158,0.48963931111397047,30.5,12.356443067298033,0.486,0.12744812570071742
0.4,15.82074932064125,15.377701608471392,0.28346642437755826,2.7988319671510467,40.32948068627706,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.19998171859025357,0.09467778574210446,13.146861740214163,12.5667555325082,0.48979559425143315,30.5,12.498391963306588,0.486,0.1274411589686355
0.41,15.998995770713101,15.37663759983348,0.2836172137415642,2.799745186424955,40.327254340673036,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.20222084466042464,0.09472814938968244,13.15312904104145,12.57085588704805,0.4899554076243671,30.5,12.639206658863351,0.486,0.1274341237165268
0.42,16.175818343114894,15.37555180658279,0.28376979738714125,2.8006783960300656,40.32500645840833,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.20444137328361375,0.09477911232730518,13.159471749188349,12.575045998174994,0.49011871930526146,30.5,12.778896491060767,0.486,0.12742702040857032
0.43,16.35122825135393,15.3744444168793,0.2839241926803661,2.801631390440333,40.32273721135696,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.20664344301627727,0.0948306803552423,13.165890700806644,12.579324943077095,0.49028549332705823,30.5,12.917470318569606,0.486,0.127419849587888
0.44,16.525236486680196,15.373315615486886,0.28408039537801966,2.80260398913509,40.32044674719751,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.20882718977910195,0.09488285205625857,13.172385721826592,12.583691911216555,0.4904556980986407,30.5,13.054936824477355,0.486,0.12741261172114413
0.45,16.697854336570003,15.37216559228497,0.28423833634408224,2.8035960713709462,40.318135153066414,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2109927535198336,0.09493560433892348,13.178953609463976,12.58814636045555,0.49062931248991554,30.5,13.191304925890304,0.486,0.12740530708368988
0.46,16.869093743931927,15.370994548011867,0.28439799116461584,2.804607460823515,40.315802569625426,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.21314028282959632,0.0949889290489817,13.185593252439336,12.592687499097584,0.49080630564411515,30.5,13.326584057706222,0.486,0.12739793612001635
0.47,17.03896343951625,15.369802629336915,0.28455936246388136,2.805638008199202,40.313449120051395,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.21526988517070672,0.09504282706293637,13.192304787370235,12.597314656814417,0.4909866514348603,30.5,13.46078111721784,0.486,0.1273904992193624
0.48,17.20747768878805,15.368590076034025,0.28472244610074526,2.8066874778652284,40.31107499736527,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.21738173943170058,0.09509729699764892,13.199088059930496,12.602026775614876,0.4911703086264149,30.5,13.59390737414256,0.486,0.12738299699167424
0.49,17.374643111172734,15.36735699949654,0.2848872266752412,2.80775577382822,40.30868027785392,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.21947592629800888,0.09515233370953056,13.205942355591311,12.606823424488708,0.49135726041993844,30.5,13.72596805782646,0.486,0.12737542967801838
0.5,17.540477803597483,15.366103704286497,0.28505367824289773,2.808842617470606,40.306265186263325,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2215526743832134,0.09520792853312784,13.21286651971472,12.61170335244302,0.491547458057356,30.5,13.856977464842013,0.486,0.1273677979885921
0.51,17.704982828849186,15.364830208366945,0.2852217993513081,2.8099479922817476,40.30382973597715,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.22361199321601707,0.09526408098333691,13.219860463750784,12.616666485345048,0.4917408986493058,30.5,13.986936434790858,0.486,0.1273601019656878
0.52,17.86817160410653,15.36353673771599,0.28539157263480586,2.811071689649204,40.30137409574957,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.22565405153966456,0.09532078526002516,13.226923412409034,12.621711886524928,0.4919375456886107,30.5,14.115855567244159,0.486,0.12735234214256866
0.53,18.030056207633958,15.362223495695712,0.2855629825403488,2.812213521763939,40.29889841747753,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2276790010495388,0.0953780361684765,13.234054668963239,12.626838712720087,0.4921373663086893,30.5,14.243744404030828,0.486,0.127344518999229
0.54,18.19064870057756,15.360890685379038,0.2857360135380693,2.813373301082891,40.29640285284242,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.22968699340464885,0.09543582852171516,13.241253537759569,12.632046121862182,0.49234032768950586,30.5,14.370612473456275,0.486,0.12733663301498205
0.55,18.3499600724562,15.359538491938128,0.2859106515358577,2.814550856526014,40.29388754032459,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.23167816664402022,0.09549415761297649,13.248519385501798,12.637333345801805,0.49254639989205246,30.5,14.496468457240397,0.486,0.12732868462742572
0.56,18.507998611899442,15.3581670554287,0.2860868860652751,2.8157460585060243,40.291352585132955,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.23365262419450555,0.09555301994580188,13.255851735904573,12.64269980269205,0.4927555602385542,30.5,14.62131890340056,0.486,0.12732067416902015
0.57,18.664774465111172,15.356776546935935,0.28626470416565236,2.8169587488984127,40.28879811535932,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.23561049356444708,0.09561241119132789,13.263250004735482,12.648144782553874,0.49296778105722217,30.5,14.745171827437826,0.486,0.12731260204453546
0.58,18.820297916458887,15.355367139852937,0.28644409269095195,2.8181887674561104,40.28622426079749,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.23755190420305838,0.09567232695877796,13.270713599777604,12.653667565877937,0.4931830343048193,30.5,14.868035354002522,0.486,0.12730446866412007
0.59,18.97457913361615,15.353939005680859,0.2866250385271325,2.8194359557920072,40.2836311497709,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.23947698421567787,0.09573276286806226,13.278241929863258,12.659267441506113,0.49340129226360124,30.5,14.989917515556758,0.486,0.12729627443327604
0.6,19.127627695900475,15.35249230638187,0.2868075287214732,2.8207001648966554,40.28101890318959,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.24138585428741333,0.09579371459297205,13.285834408907764,12.664943740385983,0.49362252885691466,30.5,15.110825879761377,0.486,0.1272880197340791
0.61,19.279453486466764,15.351027208844238,0.2869915502379445,2.821981240917816,40.278387645792,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.24327863916485132,0.09585517777947346,13.293490448283324,12.670695771720995,0.4938467171606178,30.5,15.230768254308744,0.486,0.12727970496070273
0.62,19.43006645341266,15.349543881009144,0.28717709002271,2.8232790289681446,40.27573750313489,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.24515546457809187,0.09591714806758515,13.301209458869128,12.67652284006697,0.4940738300694253,30.5,15.349752498196002,0.486,0.12727133050990627
0.63,19.57956320035566,15.34804395553416,0.2873640144050243,2.8245920300608134,40.27306969057712,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.24701757322921702,0.09597958081127812,13.308985625502181,12.682418214973053,0.4943036052606423,30.5,15.467854928280973,0.486,0.1272629002222237
0.64,19.727727417528044,15.346523776469164,0.2875526234093397,2.825923600121494,40.270381487154104,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.24886217512815093,0.09604257621871946,13.316831918674978,12.688396964545507,0.49453663002126136,30.5,15.584904659847155,0.486,0.12725440549940698
0.65,19.87473428560877,15.344986304853357,0.28774267318287244,2.827271021963769,40.26767509597383,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2506915258995687,0.0961060528430794,13.324737746221121,12.694446888617325,0.4947724288436596,30.5,15.701040085630929,0.486,0.1272458533032773
0.66,20.02058380459784,15.343431540686737,0.28793416372562275,2.8286342955876393,40.26495051703628,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.25250562366257234,0.096170010684358,13.332703082762887,12.700567987188501,0.49501100172783685,30.5,15.816261205632296,0.486,0.12723724363383465
0.67,20.165276079837007,15.341859485770383,0.2881270929829388,2.8300134212466763,40.26220774979126,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2543044679932906,0.09623444905630157,13.34072780742588,12.706760261397577,0.4952523487181683,30.5,15.930568103071236,0.486,0.12722857648934038
0.68,20.30881420939743,15.340270193041006,0.2883214043937063,2.8314084025652866,40.259446781871524,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.256088097157935,0.0962993490674979,13.348809271702308,12.713023727518138,0.49549647044892514,30.5,16.04396322542397,0.486,0.12721985183071402
0.69,20.451205813857488,15.338663791341261,0.2885171214423864,2.8328190872163495,40.25666774331441,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.25785660782736525,0.09636471856175706,13.356948580588186,12.71935770160141,0.4957433402628611,30.5,16.156452592947417,0.486,0.12721107006887353
0.7,20.592460072487608,15.337040435803313,0.2887142720068414,2.8342452921898436,40.25387079023702,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2596101168852231,0.09643056685028503,13.365147050759852,12.725761361932399,0.4959929261332226,30.5,16.26804345726521,0.486,0.127202231697149
0.71,20.7325864139516,15.335400286093499,0.2889128409466739,2.835686872959825,40.25105603972219,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.26134874455490464,0.0964968888761891,13.373403994270902,12.732234059589613,0.4962452027679693,30.5,16.378743267021765,0.486,0.1271933370855221
0.72,20.87159342143577,15.333743487641051,0.2891128072216893,2.8371437051372563,40.248223591230676,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.26307260027556395,0.09656367761204424,13.381718444368959,12.738775236066282,0.49650014839901985,30.5,16.488558802934257,0.486,0.12718438654828895
0.73,21.00948993651974,15.332070190255383,0.2893141538050053,2.83861565593961,40.2453735518792,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2647817969306479,0.09663092737087178,13.39008962278751,12.745384295168849,0.4967577397894317,30.5,16.597497049850595,0.486,0.12717538042393828
0.74,21.146284403283374,15.330380537028535,0.2895168683359846,2.8401025946354803,40.24250602791408,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2664764423878769,0.09669863402421887,13.398516967072716,12.752060649913307,0.497017954061209,30.5,16.705564678593866,0.486,0.1271663190482085
0.75,21.281983957486013,15.328674648963045,0.28972094064668374,2.8416044103902722,40.239621109557284,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2681566277503158,0.09676679417599238,13.40700001099615,12.758803802652324,0.4972807718182976,30.5,16.81276732641395,0.486,0.127157202706201
0.76,21.41659884463071,15.326952699711784,0.2899263558873325,2.8431209444008823,40.23671892593657,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2698224843288534,0.09683540286636906,13.4155380847186,12.765613040359963,0.4975461652701544,30.5,16.91911308725826,0.486,0.12714803180595957
0.77,21.55013907797837,15.32521485898341,0.2901330995206686,2.8446520414959204,40.23379960321301,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.27147414054423635,0.09690445523990332,13.424130532029682,12.772487666316684,0.49781410726178604,30.5,17.024609871602912,0.486,0.1271388067461531
0.78,21.68261460210268,15.32346129532841,0.29034115711792186,2.846197547553666,40.230863266703295,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.273111724033485,0.0969739464773859,13.43277670161366,12.779426988515961,0.4980845708218915,30.5,17.12926553566112,0.486,0.12712952792278243
0.79,21.814032849425057,15.321692134938917,0.2905505182182946,2.8477573468427875,40.227910010842834,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.27473533013415546,0.0970438730849104,13.4414761155627,12.786430487324116,0.49835753569748775,30.5,17.233085951045798,0.486,0.12712019563426336
0.8,21.94440142537936,15.319907506924286,0.29076117208771446,2.8493313209879996,40.22493993219381,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2763450565081993,0.09711423147729663,13.450228284118968,12.793497631236118,0.4986329811728999,30.5,17.336077126049695,0.486,0.12711081018573245
0.81,22.073728844156804,15.31810755571678,0.29097310655671643,2.8509193377265034,40.22195313848959,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.27794101262940896,0.09718501758994329,13.459032654957733,12.800627826392,0.4989108841021381,30.5,17.438245786883876,0.486,0.1271013719176271
0.82,22.202023619948616,15.316292425748664,0.2911863094558354,2.8525212647955,40.21894973746349,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.2795233080617528,0.09725622735824903,13.467888675877994,12.807820478931795,0.49919122133921245,30.5,17.539598659759406,0.486,0.12709188117038464
0.83,22.3292940972566,15.314462258521578,0.29140078783308376,2.8541369536453387,40.21592985364144,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.28109205026715295,0.09732786313624998,13.476796689209822,12.815074921867572,0.4994739668879342,30.5,17.640142336832714,0.486,0.12708233833750696
0.84,22.455548233578895,15.312617189007153,0.29161656827354776,2.8557662427193002,40.212893625791004,0.334,0.000822,0.79,4.49,0.175,1.15,0.486,0.00316,18.5,30.5,1.0,0.28264734180120527,0.09739993380336495,13.485757945427753,12.822390429809658,0.4997590924758775,30.5,17.73988310452733,0.486,0.1270727438574996
