C_1_task1,E_5_task1,H_3_task1,I_4_task1,T_2_task1,_1_task1
2605477.178120559,2433.822034364153,13626898.180128787,11277.177938286506,8014582.062730748,2.25
2626840.915836471,2442.3896131520737,13554153.799602564,11304.250252153728,8034079.677252674,2.28
2647757.4135098513,2450.705054345002,13482083.967341544,11329.785801044409,8053979.043615258,2.31
2668226.51581565,2458.775773906603,13410665.365162473,11353.818128300778,8074271.951682868,2.34
2688248.4092199663,2466.608937936459,13339875.663963437,11376.379743625263,8094950.033131618,2.37
2707824.0398694836,2474.2115163414987,13269693.326489635,11397.502737135124,8116004.668283307,2.4
2726955.023646512,2481.590283573917,13200097.604572002,11417.218744584845,8137427.02846214,2.43
2745643.5658362806,2488.751820371021,13131068.532684863,11435.558924869549,8159208.115786248,2.46
2763892.4291255698,2495.7025200289663,13062586.90391086,11452.553992429604,8181338.788068976,2.49
2781704.7425415567,2502.448564036582,12994634.332365647,11468.23385530569,8203809.770569862,2.52
2799084.107648688,2508.995954970432,12927193.154042719,11482.62799017186,8226611.692321476,2.55
2816034.607573969,2515.3505306715824,12860246.380477594,11495.765576455662,8249735.114422577,2.58
2832560.7290312243,2521.5179616632267,12793777.699702926,11507.675414760586,8273170.55113845,2.61
2848667.3306176993,2527.50375747379,12727771.452071212,11518.385959908204,8296908.494798139,2.64
2864359.6041806783,2533.3132520747426,12662212.657901771,11527.92509045112,8320939.370328114,2.67
2879643.044325776,2538.9516138554327,12597086.984242143,11536.320187792366,8345253.572452353,2.7
2894523.42377565,2544.423873229669,12532380.667878486,11543.598437780998,8369841.562294663,2.73
2909006.757410373,2549.734916131561,12468080.52298754,11549.786701900708,8394693.849060236,2.76
2923099.2702695928,2554.889489451258,12404173.919161255,11554.911539115188,8419801.01194329,2.79
2936807.427866561,2559.8921918833253,12340648.79760557,11558.999062529387,8445153.636922637,2.82
2950137.9611715265,2564.7474660230446,12277493.68407353,11562.074810181904,8470742.260838393,2.85
2963097.6567793237,2569.4596454336356,12214697.557942856,11564.164238316507,8496557.636204723,2.88
2975693.4061359996,2574.032941067154,12152249.88000121,11565.292527907512,8522590.642172594,2.91
2987932.1785948835,2578.471445517094,12090140.573566984,11565.484593107605,8548832.299534263,2.94
2999820.9915623646,2582.7791379523005,12028360.00382715,11564.765097410673,8575273.789702954,2.97
3011366.8813876556,2586.959888937656,11966898.957484938,11563.158468647844,8601906.47292273,3.0
3022577.1921893167,2591.0174168708036,11905748.754804315,11560.688415393353,8628721.57751471,3.03
3033459.3844996346,2594.9553174935163,11844901.16169464,11557.378196394746,8655710.385959435,3.06
3044020.737346868,2598.7771096198117,11784348.257420123,11553.251057114436,8682864.531237246,3.09
3054268.5046651373,2602.486211723985,11724082.491502732,11548.329953792068,8710175.823083716,3.12
3064209.891687168,2606.085945923846,11664096.66566144,11542.637559810797,8737636.260505658,3.15
3073852.0313370465,2609.5795419639585,11604383.915751467,11536.19627206353,8765238.044297194,3.18
3083201.986871973,2612.970138630065,11544937.70306668,11529.028199962564,8792973.56878646,3.21
3092267.177660457,2616.260743753982,11485751.95657653,11521.154874658538,8820835.078779398,3.24
3101054.8524122452,2619.4542874380163,11426820.87538499,11512.597588113229,8848815.080198916,3.27
3109572.0571535765,2622.5536268619608,11368138.907667236,11503.377405031739,8876906.359261217,3.3
3117825.73574421,2625.5615381191255,11309700.776884563,11493.515087153997,8905101.89677958,3.33
3125822.7133629587,2628.4807195054523,11251501.466253662,11483.03109493107,8933394.875068296,3.36
3133569.67999322,2631.3137948086296,11193536.20321589,11471.94558920146,8961778.68484661,3.39
3141073.2547824136,2634.063309024679,11135800.477417402,11460.278406923604,8990246.876380078,3.42
3148340.3300567176,2636.7316978893505,11078290.174567044,11448.048947196887,9018792.917799613,3.45
3155377.4736861372,2639.321345579754,11021001.320112979,11435.276359357396,9047410.602687994,3.48
3162191.0804538117,2641.834572283881,10963930.133276151,11421.97949079826,9076093.941227948,3.51
3168787.407759756,2644.2736326003283,10907073.033156674,11408.176871894713,9104837.131101614,3.54
3175172.5654466012,2646.6407182337584,10850426.625830216,11393.886715646484,9133634.560022898,3.57
3181352.505625342,2648.937960690353,10793987.691444416,11379.12691732022,9162480.808269845,3.6
3187333.15384886,2651.1674199331874,10737753.237593716,11363.9150323276,9191370.565639853,3.63
3193120.545113663,2653.331072558006,10681720.554958202,11348.268253360051,9220298.54548171,3.66
3198720.387577488,2655.4308568140473,10625887.004596438,11332.203475641883,9249259.745209469,3.69
3204138.243311687,2657.468656334737,10570250.094568033,11315.737267174443,9278249.333240824,3.72
3209379.531089421,2659.4463015455826,10514807.473108165,11298.885866382598,9307262.6436815,3.75
3214449.521264015,2661.3655718577597,10459556.918093178,11281.665180979147,9336295.175798597,3.78
3219353.3308697776,2663.228197836132,10404496.326650089,11264.09078688893,9365342.59338206,3.81
3224096.088584565,2665.0358438548715,10349623.814663373,11246.177972737762,9394400.638716374,3.84
3228682.852556946,2666.790119142085,10294937.656389907,11227.941718048114,9423465.170787646,3.87
3233118.448980637,2668.4925979283903,10240436.17279897,11209.39665017556,9452532.243331203,3.9
3237407.571620276,2670.1448096194003,10186117.788742678,11190.557071244493,9481598.051698465,3.93
3241554.780107555,2671.748240596702,10131981.024632793,11171.436957929358,9510658.930612136,3.96
3245564.498237355,2673.304336018828,10078024.488117559,11152.049961235887,9539711.351921413,3.99
3249441.01934107,2674.8145005227675,10024246.872113707,11132.409410357446,9568751.91972333,4.02
3253188.6380313607,2676.28007929336,9970647.066317476,11112.528389297511,9597777.318453697,4.05
3256811.502760165,2677.702382505057,9917224.018011505,11092.419652733219,9626784.364880227,4.08
3260313.607231635,2679.082688192211,9863976.717560686,11072.09562183316,9655770.00841938,4.11
3263698.8270428884,2680.422238093121,9810904.224521687,11051.568406117894,9684731.31462122,4.14
3266970.920093974,2681.722239122612,9758005.66121796,11030.84980445833,9713665.462137941,4.17
3270133.526997846,2682.9838648446203,9705280.206314743,11009.951306074134,9742569.739692373,4.2
3273190.1855411897,2684.208253704088,9652727.107243903,10988.884105577963,9771441.540773988,4.23
3276144.3984145485,2685.3964949728465,9600345.764091752,10967.659171269936,9800278.349719454,4.26
3278999.527433093,2686.549654713646,9548135.580716765,10946.287139984815,9829077.755855566,4.29
3281758.8234010064,2687.6687704593805,9496095.997838944,10924.778347534295,9857837.445703967,4.32
3284425.436633826,2688.754850353355,9444226.500180991,10903.142839814145,9886555.198314153,4.35
3287002.4185330044,2689.8088743532694,9392526.611605654,10881.390374966784,9915228.882043624,4.38
3289492.7231604736,2690.8317954351987,9340995.8902531,10859.530425543871,9943856.451338058,4.41
3291899.222146103,2691.8245349200934,9289633.957679546,10837.572209395345,9972435.948467093,4.44
3294224.721722154,2692.787976862641,9238440.53342012,10815.524725141226,10000965.50605072,4.47
3296471.921878886,2693.722987954615,9187415.321950257,10793.396662940138,10029443.328072928,4.5
3298643.4365817774,2694.6304105106947,9136558.055365188,10771.19644681855,10057867.693591058,4.53
3300741.7967274394,2695.5110630635095,9085868.492039986,10748.93223980955,10086236.954029404,4.56
3302769.4522137325,2696.3657413491705,9035346.413030677,10726.611947183115,10114549.530143555,4.59
3304728.7740129796,2697.1952192870976,8984991.618506586,10704.24321969858,10142803.90899608,4.62
3306622.061630975,2698.000240058164,8934803.978462305,10681.833495410749,10170998.660627117,4.65
3308451.542624013,2698.781521784034,8884783.40338801,10659.389984624122,10199132.425682524,4.68
3310219.369294666,2699.539768393293,8834929.786506549,10636.919634651656,10227203.892725272,4.71
3311927.6243649893,2700.275663982777,8785243.036487462,10614.429158837293,10255211.808375621,4.74
3313578.3231261233,2700.9898736569535,8735723.074649243,10591.925040355287,10283154.974566178,4.77
3315173.415587901,2701.683044367304,8686369.832161594,10569.413536009512,10311032.245796924,4.8
3316714.788628457,2702.35580575171,8637183.247247681,10546.900680032779,10338842.52639026,4.83
3318204.2672009193,2703.0087690242563,8588163.272399275,10524.39229365158,10366584.772768613,4.86
3319643.6087896335,2703.6425119076716,8539309.953275844,10501.894035926642,10394258.031689515,4.89
3321034.5165652283,2704.2576022277444,8490623.309038712,10479.411340259303,10421861.378878312,4.92
3322378.6395025537,2704.854594552005,8442103.351127809,10456.949430613475,10449393.927105216,4.95
3323677.5729569932,2705.434027776141,8393750.097170895,10434.513334934856,10476854.831820741,4.98
3324932.860724704,2705.9964257786014,8345563.569134856,10412.107889496709,10504243.28888679,5.01
3326145.9971028487,2706.5422980751987,8297543.791476953,10389.737743245609,10531558.532307722,5.04
3327318.4289498404,2707.0721404737105,8249690.789296133,10367.40736214721,10558799.831961447,5.07
3328451.5463453797,2707.5864304015154,8202004.6115610795,10345.121036938275,10585966.51032364,5.1
3329546.676465415,2708.0856237354574,8154485.347266494,10322.882889918103,10613057.95383582,5.13
3330605.1170619964,2708.570170137891,8107133.054471259,10300.696869906427,10640073.558290156,5.16
3331628.1235733256,2709.040506725512,8059947.7913353415,10278.566761056161,10667012.751468139,5.19
3332616.9104499156,2709.497058380944,8012929.615885821,10256.49618741847,10693874.99209465,5.22
3333572.6529441723,2709.9402382808735,7966078.584763518,10234.48861736941,10720659.768019963,5.25
3334496.488899977,2710.370448424183,7919394.751969629,10212.547368036563,10747366.594401758,5.28
3335389.51975678,2710.7880798703804,7872878.168820615,10190.67560927195,10773995.012963535,5.31
3336252.7876449344,2711.193504160092,7826528.920679685,10168.876353814792,10800544.624017503,5.34
3337087.3024552935,2711.5870831668744,7780347.086817549,10147.152476320363,10827015.05000298,5.37
3337894.048744149,2711.9691715119807,7734332.73129057,10125.506720741345,10853405.926658314,5.4
3338673.9786498975,2712.340113820013,7688485.91533578,10103.941699629297,10879716.913362317,5.43
3339428.0133921243,2712.7002451399158,7642806.696564358,10082.459898393474,10905947.691714339,5.46
3340157.044770682,2713.049891365965,7597295.128155124,10061.063679559682,10932097.964114385,5.49
3340861.936664777,2713.3893696587643,7551951.258048021,10039.75528702909,10958167.452343214,5.52
3341543.5202105073,2713.71898685986,7506775.135208451,10018.536843098735,10984155.903667416,5.55
3342202.5761871478,2714.039033846578,7461766.8301990945,9997.410330835653,11010063.112170845,5.58
3342839.873265261,2714.349797616683,7416926.393268335,9976.37764041439,11035888.873589735,5.61
3343456.156707623,2714.6515576473985,7372253.867858918,9955.440558721584,11061632.999127353,5.64
3344052.1474840245,2714.944585559657,7327749.292468339,9934.600770884716,11087295.316872288,5.67
3344628.5434944644,2715.229145451533,7283412.700150919,9913.85986421506,11112875.670706956,5.7
3345186.02079235,2715.505494231673,7239244.1180198705,9893.219332150615,11138373.919216111,5.73
3345725.234805534,2715.773881952167,7195243.566751121,9872.680578195204,11163789.934597597,5.76
3346246.80451277,2716.0345477777623,7151411.073896165,9852.244889575908,11189123.619324816,5.79
3346751.3207164,2716.2877221240665,7107746.667672852,9831.91345371023,11214374.897713289,5.82
3347239.3658261336,2716.5336317427614,7064250.361430184,9811.68739512406,11239543.695498545,5.85
3347711.5030517452,2716.772496975049,7020922.162897157,9791.56775802102,11264629.951274257,5.88
3348168.2773676906,2717.0045320188765,6977762.073894338,9771.555509766016,11289633.615670038,5.91
3348610.2164777163,2717.2299451961658,6934770.090045427,9751.651544368766,11314554.650529278,5.94
3349037.831779474,2717.44893922004,6891946.200488827,9731.856685967321,11339393.02808696,5.97
3349451.6167586735,2717.661710784487,6849290.389318969,9712.171686181693,11364148.732690604,6.0
3349852.026213092,2717.8684451008025,6806802.649927958,9692.59717575138,11388821.781487571,6.03
3350239.5102474354,2718.0693248715334,6764482.962489836,9673.133746787942,11413412.19092378,6.06
3350614.5089457757,2718.2645288990916,6722331.297906398,9653.781941253212,11437919.982146813,6.09
3350977.4485074854,2718.4542310801585,6680347.620768156,9634.542242927637,11462345.184961077,6.12
3351328.742064119,2718.6386006339694,6638531.889165324,9615.415080541492,11486687.837151786,6.15
3351668.7904962986,2718.817802330601,6596884.054498798,9596.400830906137,11510947.983808937,6.18
3351997.9832505966,2718.9919967192573,6555404.061291133,9577.499822045225,11535125.676651286,6.21
3352316.699156421,2719.1613403565593,6514091.84699753,9558.71233632596,11559220.973350331,6.24
3352625.306491307,2719.325985843015,6472947.342242974,9540.038611561768,11583233.937553896,6.27
3352924.12998217,2719.4860734211716,6431970.489807054,9521.47875287495,11607164.669687174,6.3
3353213.4866286037,2719.6417401379367,6391161.224585925,9503.032830310427,11631013.273691215,6.33
3353493.6966131497,2719.79312264882,6350519.467680212,9484.700909209096,11654779.846951531,6.36
3353765.0697934213,2719.94035379037,6310045.134328302,9466.483014676438,11678464.492956202,6.39
3354027.906282352,2720.083562748073,6269738.133851492,9448.379134075069,11702067.32084011,6.42
3354282.4970284402,2720.222875224246,6229598.369599152,9430.389219517305,11725588.444929196,6.45
3354529.124396001,2720.358413605933,6189625.73889388,9412.513190357702,11749027.984284706,6.48
3354768.062745412,2720.490297132799,6149820.132976652,9394.750935685614,11772386.06224744,6.51
3354999.5790133597,2720.618642065024,6110181.436951985,9377.10231681774,11795662.805982003,6.54
3355223.918479659,2720.7435580764823,6070709.535699837,9359.56711711763,11818858.358992003,6.57
3355441.3083999804,2720.86514920046,6031404.312591243,9342.145055342127,11841972.877991477,6.6
3355651.9820858235,2720.983519985686,5992265.639967949,9324.835871693398,11865006.5118723,6.63
3355856.1654363675,2721.0987720844523,5953293.384746166,9307.639280358675,11887959.41354951,6.66
3356054.0773269804,2721.2110043716502,5914487.4084389545,9290.554971321073,11910831.739673426,6.69
3356245.9300405215,2721.3203130747124,5875847.567161377,9273.582612322496,11933623.650304338,6.72
3356431.929698642,2721.4267919035537,5837373.711635643,9256.721850826578,11956335.308587167,6.75
3356612.2766930815,2721.5305321805076,5799065.687196269,9239.972315981611,11978966.880426144,6.78
3356787.1661169734,2721.6316229702707,5760923.333795226,9223.333620583471,12001518.534159465,6.81
3356956.7819287847,2721.7301495120287,5722946.4879930215,9206.805337553518,12023990.445531607,6.84
3357121.2877591546,2721.826190742146,5685134.986013548,9190.386962765448,12046382.805503277,6.87
3357280.8535972475,2721.919826536549,5647488.655429818,9174.078023769476,12068695.797733419,6.9
3357435.6449687597,2722.011134792173,5610007.318734936,9157.878035995864,12090929.607765974,6.93
3357585.822370563,2722.100191286908,5572690.793663057,9141.786500665125,12113084.423547003,6.96
3357731.541588082,2722.187069778678,5535538.893230642,9125.802906287712,12135160.435195664,6.99
3357872.9540126733,2722.2718421045233,5498551.4257777035,9109.926730163716,12157157.83477515,7.02
3358010.2069590087,2722.3545782796764,5461728.195009052,9094.157439882543,12179076.816063682,7.05
3358143.4439824508,2722.4353465966433,5425069.000035552,9078.494494822628,12200917.574325453,7.08
3358272.802776157,2722.514213105596,5388573.635902599,9062.937337658708,12222680.307925643,7.11
3358398.4016164164,2722.591238167386,5352241.896423992,9047.485338589097,12244365.228670603,7.14
3358520.3630583673,2722.6664825287526,5316073.569516813,9032.137893355703,12265972.54376666,7.17
3358638.8080905573,2722.7400058460207,5280068.43848335,9016.894399299754,12287502.460286591,7.2
3358753.8539056573,2722.811866133184,5244226.282565006,9001.754246347282,12308955.186880903,7.23
3358865.6141184215,2722.882119835571,5208546.877003572,8986.716818098352,12330330.933624566,7.26
3358974.1989836525,2722.95082190351,5173029.99310248,8971.781492916301,12351629.911863703,7.29
3359079.715614162,2723.0180258659975,5137675.398288079,8956.947645016979,12372852.334062321,7.32
3359182.2681987328,2723.0837839043606,5102482.85617089,8942.214645557979,12393998.41364901,7.35
3359282.03658034,2723.148174476913,5067452.158133799,8927.582242727374,12415068.311625158,7.38
3359378.91812387,2723.211176917723,5032582.983836942,8913.048823502142,12436062.38078676,7.41
3359473.129340823,2723.2728823002763,4997875.137360014,8898.61433131915,12456980.75581273,7.44
3359564.754498921,2723.3333347995676,4963328.366200113,8884.278082062454,12477823.660062185,7.47
3359653.876252919,2723.3925777359455,4928942.414851441,8870.039394520583,12498591.317024285,7.5
3359740.575644602,2723.450653575111,4894717.024805322,8855.897590386554,12519283.95031822,7.53
3359824.9321027887,2723.507603928117,4860651.934550192,8841.851994257855,12539901.783693232,7.56
3359907.023443327,2723.5634695513713,4826746.879571594,8827.901933636458,12560445.041028593,7.59
3359986.925869099,2723.6182903466333,4793001.592352189,8814.046738928817,12580913.946333617,7.62
3360064.713968186,2723.672105360461,4759415.802371856,8800.285743435821,12601308.723749032,7.65
3360140.454530166,2723.7249509125145,4725989.236459954,8786.618249422725,12621629.602180513,7.68
3360214.210864874,2723.776861902769,4692721.618549298,8773.043551816247,12641876.812062584,7.71
3360286.0491030696,2723.8278737186106,4659612.669317232,8759.56097277641,12662050.580637416,7.74
3360356.033456503,2723.8780208001463,4626662.106455655,8746.169835688477,12682151.135506552,7.77
3360424.2262179176,2723.9273366402044,4593869.644671,8732.869465162943,12702178.704630883,7.8
3360490.6877610474,2723.975853784331,4561234.995684257,8719.659187035535,12722133.51633067,7.83
3360555.4765406176,2724.0236038307935,4528757.86823096,8706.538328367207,12742015.79928553,7.86
3360618.6490923455,2724.070617430579,4496437.968061191,8693.50621744416,12761825.782534434,7.89
3360680.2600329383,2724.1169242873957,4464274.997939576,8680.562183777814,12781563.695475722,7.92
3360740.362060097,2724.162553157669,4432268.657645293,8667.705558104833,12801229.76786709,7.95
3360799.005781419,2724.207532181792,4400418.6466445485,8654.9356675668,12820824.23015802,7.98
3360856.2394774808,2724.2518893428105,4368724.667791349,8642.251829035238,12840347.31395013,8.01
3360912.109854601,2724.2956510090335,4337186.415569144,8629.653370319897,12859799.250534536,8.04
3360966.6617086492,2724.338842584922,4305803.581342273,8617.139620696837,12879180.2715451,8.07
3361019.9378984473,2724.381488562578,4274575.853771373,8604.70991015917,12898490.609010076,8.1
3361071.9793457724,2724.423612521746,4243502.918813361,8592.363569417072,12917730.495352134,8.13
3361122.825035355,2724.465237129809,4212584.459721456,8580.099929897768,12936900.163388347,8.16
3361172.512014881,2724.5063841417928,4181820.157045165,8567.918323745549,12955999.846330192,8.19
3361221.075394989,2724.5470744003646,4151209.6886302824,8555.818083821752,12975029.77778356,8.22
3361268.5483492725,2724.5873278358313,4120752.729618901,8543.79854370478,12993990.191748735,8.25
3361314.963756382,2724.6271641408593,4090448.9539184263,8531.859043803333,13012881.321618492,8.28
3361360.368350261,2724.666608584606,4060298.046860353,8519.998984035112,13031703.391544381,8.31
3361404.7993084528,2724.7056823931844,4030299.6842562146,8508.217736669436,13050456.630721271,8.34
3361448.2889860873,2724.7444046947903,4000453.5366325825,8496.514663950997,13069141.270498935,8.37
3361490.868368914,2724.782793938508,3970759.2723201527,8484.889130954843,13087757.542275196,8.4
3361532.5670733005,2724.820867894307,3941216.55745375,8473.340505586404,13106305.677495917,8.43
3361573.4133462375,2724.858643653046,3911825.0559723196,8461.868158581477,13124785.907655017,8.46
3361613.4340653336,2724.896137626468,3882584.429618935,8450.471463506236,13143198.464294452,8.49
3361652.6547388183,2724.933365547205,3853494.3379407916,8439.149796757218,13161543.579004234,8.52
3361691.0995055414,2724.970342468776,3824554.4382892093,8427.902537561338,13179821.483422417,8.55
3361728.7911898387,2725.0070827891236,3795764.3858795115,8416.729068143204,13198032.409202212,8.58
3361765.7607541806,2725.043604305805,3767123.8441065187,8405.628802552043,13216176.582346868,8.61
3361802.0385021516,2725.0799244420646,3738632.474944524,8394.601159834177,13234254.228481848,8.64
3361837.6480973014,2725.116057680923,3710289.9324201844,8383.645545792855,13252265.576439466,8.67
3361872.6122542834,2725.1520180066755,3682095.868823138,8372.761370343997,13270210.854848092,8.7
3361906.9527388513,2725.187818904889,3654049.9347060127,8361.948047516198,13288090.292132128,8.73
3361940.6903678593,2725.223473362405,3626151.7788844286,8351.204995450731,13305904.116512025,8.76
3361973.845009263,2725.258993867339,3598401.0484369895,8340.531636401547,13323652.556004284,8.79
3362006.4355821204,2725.294392409079,3570797.3887052857,8329.927396735271,13341335.838421442,8.82
3362038.480056589,2725.3296804782876,3543340.443293902,8319.391706931208,13358954.19137208,8.85
3362069.995453928,2725.3648690668992,3516029.8540704045,8308.924001581336,13376507.84226084,8.88
3362101.000611256,2725.399970081478,3488865.265575108,8298.523721933634,13393997.016555754,8.91
3362131.518259485,2725.434997405464,3461846.328335349,8288.190317803585,13411421.936486067,8.94
3362161.565585544,2725.4699620745455,3434972.683812348,8277.923238892296,13428782.826956736,8.97
3362191.1588561046,2725.5048746403277,3408243.9717759998,8267.721939039899,13446079.912650814,9.0
3362220.3136305683,2725.5397452792085,3381659.8306445763,8257.585876421479,13463313.417895978,9.03
3362249.0447610654,2725.5745837923814,3355219.8974847323,8247.51451354707,13480483.56666452,9.06
3362277.3663924555,2725.609399605836,3328923.808011511,8237.507317261663,13497590.582573352,9.09
3362305.2919623293,2725.6442017703553,3302771.1965883328,8227.563758745198,13514634.688884009,9.12
3362332.8342010067,2725.678998961518,3276761.6962270006,8217.683313512567,13531616.108502638,9.15
3362360.005131537,2725.7137994796976,3250894.9385877056,8207.86546141362,13548535.063980015,9.18
3362386.816953747,2725.748611652142,3225170.5552047193,8198.109687669212,13565391.777033996,9.21
