X_10_p_MET_MET_8_task1,X_1_EGFR_1_task1,X_2_ErbB3_3_task1,X_3_MET_6_task1,X_4_EGFR_EGFR_2_task1,X_5_EGFR_ErbB3_5_task1,X_6_ErbB3_ErbB3_4_task1,X_7_MET_MET_7_task1,X_8_p_EGFR_ErbB3_9_task1,X_9_p_ErbB3_ErbB3_10_task1,_1_task1
1.8482743234199193e-12,3.3622883026212627e-12,2.540206323987514e-14,1.0170146612326783e-12,1.0484877167378695e-13,2.040645151348943e-14,5.674835237698301e-16,1.343218345963744e-12,7.607702517674842e-15,2.2440784071046324e-16,41.0
1.8566871407729136e-12,3.362207941721173e-12,2.5311262058639835e-14,1.014308693681807e-12,1.0484365815467034e-13,2.0334962194229454e-14,5.634564369948705e-16,1.3361585123861855e-12,7.769779775257865e-15,2.28541548941552e-16,42.0
1.8645646115029724e-12,3.3621295932873123e-12,2.5222775471026105e-14,1.0117692997138806e-12,1.0483867070622243e-13,2.0265342831587604e-14,5.595459222654338e-16,1.32955073864009e-12,7.927722468656296e-15,2.325336920995638e-16,43.0
1.8719409170246173e-12,3.3620532431341485e-12,2.51365865174493e-14,1.009386503774404e-12,1.048338086406243e-13,2.0197575178840317e-14,5.557501235185853e-16,1.3233658310881835e-12,8.081564405763739e-15,2.3638682545473503e-16,44.0
1.878848042802878e-12,3.361978873584254e-12,2.5052674216008698e-14,1.0071508954286767e-12,1.0482907102964145e-13,2.0131638213205917e-14,5.520670499758081e-16,1.3175765094827863e-12,8.231346143258209e-15,2.4010366378777724e-16,45.0
1.8853159209920877e-12,3.3619064638746103e-12,2.4971014032238464e-14,1.0050535994718045e-12,1.048244567318958e-13,2.0067508477397236e-14,5.48494598677347e-16,1.3121572792720128e-12,8.377114184201737e-15,2.436870544039328e-16,46.0
1.8913725636346463e-12,3.361835990528579e-12,2.489157830929803e-14,1.0030862505764815e-12,1.048199644178494e-13,2.0005160391918346e-14,5.450305746702105e-16,1.3070843110771154e-12,8.51892024380447e-15,2.4713995281936464e-16,47.0
1.897044187045544e-12,3.3617674276961175e-12,2.4814336661544737e-14,1.0012409679531337e-12,1.0481559259267044e-13,1.9944566540313433e-14,5.416727090605649e-16,1.3023353289778918e-12,8.656820578228915e-15,2.504654008958916e-16,48.0
1.9023553280037777e-12,3.361700747464637e-12,2.4739256334236303e-14,9.995103287773056e-13,1.0481133961714107e-13,1.988569792942607e-14,5.384186751247294e-16,1.297889507607572e-12,8.790875371655708e-15,2.5366650721622847e-16,49.0
1.9073289523164982e-12,3.361635920142745e-12,2.4666302531925463e-14,9.978873431947423e-13,1.0480720372675539e-13,1.9828524226584502e-14,5.35266102657368e-16,1.2937273760861329e-12,8.921148177160804e-15,2.56746429507247e-16,50.0
1.9119865562562782e-12,3.361572914518951e-12,2.4595438717933505e-14,9.963654318129537e-13,1.0480318304914583e-13,1.9773013975494362e-14,5.32212590720801e-16,1.2898307278372473e-12,9.047705407263814e-15,2.597083589333583e-16,51.0
1.9163482613432217e-12,3.3615116980972742e-12,2.452662688712391e-14,9.949384039133891e-13,1.0479927561996684e-13,1.9719134792495e-14,5.292557189456939e-16,1.286182536700086e-12,9.170615870298058e-15,2.6255550609582166e-16,52.0
1.9204329029275305e-12,3.3614522373115467e-12,2.445982781404173e-14,9.936004356991953e-13,1.0479547939735528e-13,1.9666853544717715e-14,5.263930575207105e-16,1.2827668792228742e-12,9.289950349025962e-15,2.652910885865864e-16,53.0
1.9242581129930863e-12,3.3613944977200897e-12,2.4395001278338128e-14,9.923460496606831e-13,1.047917922750788e-13,1.9616136511573297e-14,5.236221759969281e-16,1.2795688621765747e-12,9.40578121818021e-15,2.679183199572566e-16,54.0
1.927840397562354e-12,3.3613384441823065e-12,2.433210626926222e-14,9.911700955260424e-13,1.0478821209447514e-13,1.9566949530892414e-14,5.209406510218719e-16,1.2765745546746273e-12,9.518182097851656e-15,2.704403999749871e-16,55.0
1.9311952090583044e-12,3.361284041018629e-12,2.4271101170873732e-14,9.900677320797677e-13,1.0478473665527819e-13,1.951925813094577e-14,5.183460731079259e-16,1.2737709249018138e-12,9.627227539869549e-15,2.7286050604755144e-16,56.0
1.934337013961942e-12,3.3612312521551518e-12,2.4211943929509796e-14,9.890344094650384e-13,1.0478136372541948e-13,1.9473027649480715e-14,5.158360525305942e-16,1.2711457813055411e-12,9.732992744529318e-15,2.7518178570949326e-16,57.0
1.9372793560800708e-12,3.3611800412541815e-12,2.4154592204926976e-14,9.880658523783019e-13,1.0477809104988699e-13,1.9428223340826537e-14,5.134082244435246e-16,1.2686877177307804e-12,9.835553305218974e-15,2.7740735007023504e-16,58.0
1.940034915711507e-12,3.361130371831846e-12,2.4099003506434738e-14,9.871580443866032e-13,1.0477491635871761e-13,1.938481047204209e-14,5.110602532893315e-16,1.2663860620951936e-12,9.93498497867784e-15,2.7954026813333767e-16,59.0
1.9426155649804916e-12,3.3610822073638168e-12,2.404513531523887e-14,9.863072130630409e-13,1.0477183737419346e-13,1.9342754409006326e-14,5.087898365780276e-16,1.2642308284879902e-12,1.003136347879118e-14,2.81583561903789e-16,60.0
1.9450324195911068e-12,3.36103551138012e-12,2.3992945194122352e-14,9.855098157210993e-13,1.0476885181730721e-13,1.9302020693284297e-14,5.065947080982657e-16,1.262212672548346e-12,1.0124764291982257e-14,2.835402022072852e-16,61.0
1.947295887239337e-12,3.3609902475499394e-12,2.3942390885506462e-14,9.847625258887066e-13,1.0476595741355642e-13,1.9262575110538148e-14,5.044726406205416e-16,1.260322849816312e-12,1.0215262512410322e-14,2.8541310515199646e-16,62.0
1.949415712901243e-12,3.3609463797572418e-12,2.3893430398856187e-14,9.84062220627194e-13,1.0476315189812286e-13,1.9224383751193657e-14,5.024214481459673e-16,1.2585531767851623e-12,1.0302932695319567e-14,2.8720512916933344e-16,63.0
1.95140102120085e-12,3.3609038721679963e-12,2.384602208832078e-14,9.834059685572928e-13,1.0476043302048755e-13,1.9187413064018536e-14,5.004389877491674e-16,1.256895994520506e-12,1.0387848727010823e-14,2.8891907257576954e-16,64.0
1.9532603560491527e-12,3.360862689289698e-12,2.380012472143235e-14,9.82791018463514e-13,1.047577985485297e-13,1.915162990321816e-14,4.985231610592457e-16,1.2553441347190922e-12,1.0470083710025285e-14,2.9055767160286316e-16,65.0
1.955001717733027e-12,3.3608227960238496e-12,2.3755697539622236e-14,9.82214788512752e-13,1.0475524627215259e-13,1.9117001569607485e-14,4.966719154185641e-16,1.2538908880105986e-12,1.0549709862238573e-14,2.921235988472959e-16,66.0
1.9566325976199108e-12,3.3607841577120073e-12,2.3712700311256462e-14,9.816748561279783e-13,1.0475277400647728e-13,1.9083495846374505e-14,4.948832447552507e-16,1.2525299743161019e-12,1.0626798428664482e-14,2.9361946209703183e-16,67.0
1.9581600106328868e-12,3.360746740175947e-12,2.367109337783725e-14,9.81168948448119e-13,1.0475037959464108e-13,1.90510810299103e-14,4.93155190201868e-16,1.2512555151430556e-12,1.0701419604861445e-14,2.9504780349364085e-16,68.0
1.9595905256411854e-12,3.3607105097524655e-12,2.3630837693967278e-14,9.806949332958642e-13,1.0474806091023528e-13,1.9019725956143533e-14,4.914858404895063e-16,1.2500620077108845e-12,1.0773642470921326e-14,2.964110989944308e-16,69.0
1.9609302939016788e-12,3.3606754333232904e-12,2.359189486162681e-14,9.802508106502071e-13,1.0474581585941367e-13,1.8989400022782695e-14,4.898733321436931e-16,1.2489443007732198e-12,1.084353493510045e-14,2.977117581013354e-16,70.0
1.9621850756775523e-12,3.360641478340534e-12,2.3554227159270642e-14,9.798347046331682e-13,1.0474364238270108e-13,1.8960073207837568e-14,4.883158495058948e-16,1.2478975720058655e-12,1.0911163686226966e-14,2.989521238265254e-16,71.0
1.9633602651518683e-12,3.360608612848094e-12,2.3517797566211866e-14,9.794448559713826e-13,1.0474153845652872e-13,1.8931716084761733e-14,4.868116246020147e-16,1.2469173068624424e-12,1.0976594154087433e-14,3.0013447286747773e-16,72.0
1.964460913746269e-12,3.3605768054993693e-12,2.3482569782722576e-14,9.790796148828613e-13,1.0473950209452102e-13,1.8904299834530763e-14,4.853589368771444e-16,1.2459992788123019e-12,1.1039890477058862e-14,3.0126101596676344e-16,73.0
1.9654917519479576e-12,3.3605460255716307e-12,2.3448508246247312e-14,9.787374343733157e-13,1.0473753134855679e-13,1.8877796254945402e-14,4.839561128138738e-16,1.2451395308653863e-12,1.1101115476311305e-14,3.0233389843412665e-16,74.0
1.9664572097411266e-12,3.3605162429773636e-12,2.341557814409351e-14,9.78416863937384e-13,1.0473562430962553e-13,1.8852177767425802e-14,4.826015254497046e-16,1.2443343582901833e-12,1.1160330635960225e-14,3.0335520081053574e-16,75.0
1.9673614357326388e-12,3.360487428272865e-12,2.3383745422934024e-14,9.781165436390919e-13,1.0473377910849819e-13,1.882741742154126e-14,4.812935938075064e-16,1.2435802924478174e-12,1.1217596088598089e-14,3.0432693965581675e-16,76.0
1.9682083150560042e-12,3.36045955266436e-12,2.335297679542961e-14,9.778351985384884e-13,1.0473199391623011e-13,1.8803488897500007e-14,4.800307822515172e-16,1.2428740856747536e-12,1.1272970605680888e-14,3.052510684432379e-16,77.0
1.969001486132301e-12,3.3604325880118834e-12,2.3323239744254522e-14,9.775716334468293e-13,1.0473026694451211e-13,1.8780366506805263e-14,4.788115997800728e-16,1.2422126971442861e-12,1.1326511592288051e-14,3.0612947854601807e-16,78.0
1.969744356232777e-12,3.3604065068286593e-12,2.3294502525922428e-14,9.773247389048988e-13,1.0472859644580013e-13,1.8758025186442942e-14,4.776345964346644e-16,1.2415932743147758e-12,1.137827509329846e-14,3.069640007334295e-16,79.0
1.970440116439777e-12,3.360381282285199e-12,2.3266734159959985e-14,9.770934464674812e-13,1.0472698071351483e-13,1.8736440510453023e-14,4.764983709149717e-16,1.2410131603264846e-12,1.1428315777319134e-14,3.077564052189666e-16,80.0
1.97109175533717e-12,3.360356888209253e-12,2.3239904440814536e-14,9.768767743632974e-13,1.047254180820735e-13,1.8715588673882854e-14,4.754015627776131e-16,1.2404698574811832e-12,1.1476686952717667e-14,3.08508403514869e-16,81.0
1.971702071770385e-12,3.360333299079685e-12,2.3213983931123442e-14,9.76673804940461e-13,1.0472390692677092e-13,1.8695446488930834e-14,4.743428512772183e-16,1.2399610257593866e-12,1.1523440577843093e-14,3.0922164977410734e-16,82.0
1.9722736868946736e-12,3.360310490020655e-12,2.318894395213015e-14,9.764836741531557e-13,1.0472244566349839e-13,1.8675991381300988e-14,4.733209557584895e-16,1.2394844760287506e-12,1.1568627271048347e-14,3.0989774200177915e-16,83.0
1.972809055494689e-12,3.3602884367968217e-12,2.3164756576230546e-14,9.763055710870132e-13,1.0472103274840832e-13,1.865720138356714e-14,4.723346354054112e-16,1.2390381589618063e-12,1.1612296322795581e-14,3.1053822329796386e-16,84.0
1.973310476569393e-12,3.360267115807807e-12,2.3141394620002683e-14,9.76138736239946e-13,1.0471966667757003e-13,1.8639055126931187e-14,4.713826883172648e-16,1.2386201553106358e-12,1.165449571012277e-14,3.1114458315442183e-16,85.0
1.9737801032299534e-12,3.3602465040811205e-12,2.3118831635932112e-14,9.759824580890085e-13,1.04718345986587e-13,1.862153183259957e-14,4.704639503962268e-16,1.2382286677255444e-12,1.1695272113107056e-14,3.117182587844107e-16,86.0
1.974219951965107e-12,3.3602265792638824e-12,2.3097041902631337e-14,9.75836069830438e-13,1.0471706925014522e-13,1.8604611302898023e-14,4.695772943041118e-16,1.2378620131196763e-12,1.1734670932930141e-14,3.1226063646614454e-16,87.0
1.9746319113175727e-12,3.3602073196138526e-12,2.3076000414047336e-14,9.756989465980105e-13,1.0471583508149441e-13,1.8588273911902603e-14,4.687216285068763e-16,1.2375186153834242e-12,1.1772736311257081e-14,3.1277305288962145e-16,88.0
1.9750177500088075e-12,3.360188703989983e-12,2.3055682868032203e-14,9.755705028853053e-13,1.0471464213188148e-13,1.8572500595534105e-14,4.678958963544552e-16,1.237196998548542e-12,1.1809511150721032e-14,3.1325679650188355e-16,89.0
1.9753791245470486e-12,3.3601707118425273e-12,2.3036065654407396e-14,9.754501900848245e-13,1.0471348908995144e-13,1.8557272841223066e-14,4.670990751635202e-16,1.2368957804105414e-12,1.1845037136347745e-14,3.1371310884738345e-16,90.0
1.9757175863516243e-12,3.360153323202717e-12,2.3017125842561576e-14,9.753374941694552e-13,1.04712374681122e-13,1.8542572677266524e-14,4.663301752989349e-16,1.2366136665636504e-12,1.1879354757773339e-14,3.141431859003531e-16,91.0
1.9760345884243544e-12,3.3601365186720605e-12,2.299884116863366e-14,9.752319335233159e-13,1.0471129766693358e-13,1.8528382661951912e-14,4.655882392603659e-16,1.23634944481399e-12,1.1912503332121342e-14,3.1454817938618687e-16,92.0
1.976331491596879e-12,3.3601202794113382e-12,2.298119002235389e-14,9.751330569093181e-13,1.0471025684437708e-13,1.8514685872492853e-14,4.648723407796586e-16,1.2361019799484643e-12,1.1944521027415713e-14,3.1492919808912455e-16,93.0
1.976609570380921e-12,3.3601045871293613e-12,2.296415143361633e-14,9.750404415622633e-13,1.0470925104520329e-13,1.850146589381578e-14,4.641815839314974e-16,1.2358702088379496e-12,1.1975444886417181e-14,3.15287309143867e-16,94.0
1.976870018446788e-12,3.360089424071546e-12,2.2947705058846603e-14,9.749536914001313e-13,1.0470827913521803e-13,1.848870680723822e-14,4.63515102258249e-16,1.2356531358531487e-12,1.2005310850780527e-14,3.1562353930908593e-16,95.0
1.977113953753788e-12,3.360074773008349e-12,2.293183116721953e-14,9.74872435346842e-13,1.0470734001356636e-13,1.847639317907895e-14,4.628720579095777e-16,1.2354498285727932e-12,1.203415378544022e-14,3.159388762210806e-16,96.0
1.9773424233547284e-12,3.3600606172236065e-12,2.291651062677547e-14,9.747963257596672e-13,1.0470643261200879e-13,1.8464510049236397e-14,4.622516407975227e-16,1.2352594137654407e-12,1.2062007503140925e-14,3.1623426962608943e-16,97.0
1.977556407895235e-12,3.3600469405028125e-12,2.2901724890479775e-14,9.74725036954785e-13,1.0470555589419205e-13,1.8453042919767034e-14,4.61653067767761e-16,1.2350810736273752e-12,1.2088904789037696e-14,3.1651063258999574e-16,98.0
1.9777568258273196e-12,3.3600337271213777e-12,2.2887455982265682e-14,9.746582638249438e-13,1.0470470885491674e-13,1.844197774349193e-14,4.61075581787679e-16,1.234914042260211e-12,1.2114877425298297e-14,3.167688426843753e-16,99.0
1.9779445373553696e-12,3.36002096183289e-12,2.2873686483096936e-14,9.745957205435667e-13,1.0470389051940395e-13,1.8431300912656503e-14,4.605184511517365e-16,1.2347576023728497e-12,1.2139956215647063e-14,3.1700974314802196e-16,100.0
1.978120348131579e-12,3.360008629857414e-12,2.2860399517082436e-14,9.745371393499672e-13,1.0470309994256262e-13,1.842099924766599e-14,4.599809687044788e-16,1.23461108219344e-12,1.2164171009796116e-14,3.17234144023258e-16,101.0
1.9782850127167597e-12,3.3599967168698497e-12,2.284757873767186e-14,9.744822694106608e-13,1.0470233620825958e-13,1.841105998591669e-14,4.594624510814412e-16,1.2344738525779125e-12,1.2187550727715609e-14,3.174428232664873e-16,102.0
1.978439237821444e-12,3.3599852089883733e-12,2.2835208313957905e-14,9.744308757520562e-13,1.0470159842859365e-13,1.8401470770740672e-14,4.589622379681112e-16,1.2343453243025307e-12,1.2210123383700042e-14,3.176365278325866e-16,103.0
1.9785836853412484e-12,3.3599740927629785e-12,2.2823272917108003e-14,9.743827382601023e-13,1.0470088574317518e-13,1.83922196404796e-14,4.584796913770369e-16,1.234224945528703e-12,1.2231916110192636e-14,3.178159747328507e-16,104.0
1.9787189751995736e-12,3.359963355164141e-12,2.281175770694557e-14,9.743376507427318e-13,1.0470019731841216e-13,1.8383295017701363e-14,4.580141949431063e-16,1.2341121994290628e-12,1.2252955181334236e-14,3.179818520663176e-16,105.0
1.9788456880098855e-12,3.359952983571614e-12,2.280064831869856e-14,9.742954200511959e-13,1.0469953234680416e-13,1.8374685698571383e-14,4.575651532369628e-16,1.234006601964519e-12,1.2273266036207357e-14,3.181348200243964e-16,106.0
1.9789643675690355e-12,3.359942965763373e-12,2.2789930849930758e-14,9.742558652566236e-13,1.0469889004624471e-13,1.8366380842388977e-14,4.571319910964721e-16,1.2339076998026552e-12,1.2292873301749729e-14,3.182755118688059e-16,107.0
1.979075523192362e-12,3.359933289904722e-12,2.2779591847669204e-14,9.742188168783629e-13,1.0469826965933323e-13,1.83583699612976e-14,4.567141529761103e-16,1.2338150683684588e-12,1.231180081531517e-14,3.184045348829103e-16,108.0
1.9791796319006164e-12,3.3599239445375678e-12,2.2769618295739387e-14,9.74184116160873e-13,1.046976704526971e-13,1.8350642910176482e-14,4.563111023141031e-16,1.2337283100189494e-12,1.2330071646862733e-14,3.185224712966039e-16,109.0
1.9792771404681264e-12,3.3599149185698743e-12,2.275999760231801e-14,9.741516143961332e-13,1.0469709171632445e-13,1.834318987671995e-14,4.559223209171142e-16,1.2336470523338091e-12,1.2347708120757915e-14,3.186298791849575e-16,110.0
1.97936846734101e-12,3.3599062012653026e-12,2.2750717587711684e-14,9.741211722887245e-13,1.0469653276290828e-13,1.8336001371709647e-14,4.555473083622514e-16,1.2335709465146296e-12,1.2364731837172401e-14,3.1872729334089146e-16,111.0
1.979454004433691e-12,3.359897782233042e-12,2.2741766472368468e-14,9.740926593609112e-13,1.0469599292720222e-13,1.832906821948385e-14,4.551855814161326e-16,1.2334996658858556e-12,1.2381163693071064e-14,3.1881522612218525e-16,112.0
1.979534118811439e-12,3.35988965141784e-12,2.2733132865127882e-14,9.7406595339522e-13,1.046954715653884e-13,1.832238154860709e-14,4.548366734707386e-16,1.2334329044909528e-12,1.239702390277723e-14,3.1889416827317266e-16,113.0
