A_1_task1,C1_2_task1,C2_3_task1,M_4_task1,T_5_task1,_1_task1
3440624.0280840835,1871841.9734073197,987499.7629643668,1008875.82569843,192326.04836398768,18.25
3438697.7138838647,1839197.3501398272,964338.6870176753,1008825.5149108609,192361.34741560445,18.5
3436503.129485731,1808066.568919052,941862.9205536199,1008855.3114678282,192377.80490513152,18.75
3434049.5978806256,1778383.6452864895,920058.7211818092,1008962.208774729,192375.9442629758,19.0
3431346.2264390183,1750085.4525891894,898912.2407186474,1009143.3128742859,192356.2847250524,19.25
3428401.9182670186,1723111.6897433333,878409.4795444752,1009395.9318496719,192319.34565260186,19.5
3425225.3629588606,1697404.6688779227,858536.3975721621,1009717.49756915,192265.64132043105,19.75
3421825.048889363,1672909.3418526186,839278.8571021773,1010105.5868540843,192195.68381373247,20.0
3418209.2467210093,1649572.9619972846,820622.7957595284,1010557.8671193196,192109.97653498343,20.25
3414386.019596124,1627345.0949373643,802554.1840636352,1011072.1041600817,192009.016191764,20.5
3410363.247386634,1606177.8070305034,785058.8662344684,1011646.2415629561,191893.300101929,20.75
3406148.5757200285,1586024.885641393,768123.0186464287,1012278.1900330558,191763.3070954894,21.0
3401749.4526373935,1566842.1888921687,751732.8884415637,1012965.953269068,191619.50914993478,21.25
3397173.1644450063,1548587.9952333476,735874.5322785614,1013707.7752517691,191462.38334137987,21.5
3392426.756498722,1531221.8402060643,720534.5191671234,1014501.7742912022,191292.38169832432,21.75
3387517.089588719,1514705.1366316238,705699.4977993459,1015346.1762468716,191109.95052535535,22.0
3382450.86653981,1499001.462871039,691355.9960909369,1016239.4149089643,190915.538802415,22.25
3377234.5677149203,1484075.4859113996,677491.0316155751,1017179.833293255,190709.5735132147,22.5
3371874.497754458,1469893.5286402374,664091.7384635663,1018165.8723704871,190492.47537430876,22.75
3366376.795353668,1456423.7060680639,651145.2892503048,1019196.0773550652,190264.66084327069,23.0
3360747.406168464,1443635.205602887,638639.2285912714,1020268.997643336,190026.5315345463,23.25
3354992.105300337,1431498.6270186075,626561.2783743101,1021383.2459604546,189778.48080207803,23.5
3349116.5006242325,1419986.0588060867,614899.3056880267,1022537.4795083373,189520.89366411758,23.75
3343126.0278557483,1409070.5967231914,603641.4870787791,1023730.3976712385,189254.1439323003,24.0
3337025.9587299298,1398726.5337443273,592776.2219812497,1024960.7376203926,188978.59581441153,24.25
3330821.407611117,1388929.4667109726,582292.0745233677,1026227.2877556985,188694.6055739622,24.5
3324517.3275989355,1379655.8725797571,572177.9204081154,1027528.8584665613,188402.51811203297,24.75
3318118.517814797,1370883.249987289,562422.8759208409,1028864.2938896704,188102.66880467674,25.0
3311629.6318929717,1362590.265280631,553016.2185196085,1030232.5003694264,187795.3861608065,25.25
3305055.172923634,1354756.3502884016,543947.53496567,1031632.3953701626,187480.9874921201,25.5
3298399.500973369,1347361.814025416,535206.6568936615,1033062.9291611626,187159.78104810984,25.75
3291666.839225916,1340387.9840623457,526783.5931253993,1034523.1016113294,186832.06796143786,26.0
3284861.2736337716,1333816.88477335,518668.63283701113,1036011.9340514569,186498.1396510556,26.25
3277986.757866917,1327631.29154315,510852.30990305054,1037528.4777390409,186158.27892053575,26.5
3271047.1157884425,1321814.8476777829,503325.35851191194,1039071.8144780713,185812.76074412014,26.75
3264046.0465326263,1316351.8380896861,496078.7635527425,1040641.0547503327,185461.85173635845,27.0
3256987.127595233,1311227.1914986384,489103.7490008147,1042235.3364436845,185105.81042761027,27.25
3249873.8148917803,1306426.5783153162,482391.74895486,1043853.8204832667,184744.887464807,27.5
3242709.449720191,1301936.2482554785,475934.4310785998,1045495.6931447572,184379.325774072,27.75
3235497.2619311805,1297743.0026914526,469723.6937598228,1047160.1646256685,184009.36070390308,28.0
3228240.3692960157,1293834.2871905148,463751.64049503754,1048846.469994443,183635.2203111024,28.25
3220941.7838449,1290198.064035919,458010.5960025882,1050553.8653191875,183257.12536903305,28.5
3213604.415630068,1286822.7657797611,452493.1069357992,1052281.625969646,182875.28949206334,28.75
3206231.072036793,1283697.3887521138,447191.9152702765,1054029.0531535123,182489.9196546673,29.0
3198824.4632831626,1280811.3916371367,442099.9699490271,1055795.4681088945,182101.2161173782,29.25
3191387.2066560593,1278154.6338100974,437210.43074788887,1057580.20870924,181709.37246849437,29.5
3183921.825282686,1275717.4655545952,432516.6446504039,1059382.6352859228,181314.5760796021,29.75
3176430.7531895754,1273490.651887902,428012.1511129262,1061202.1273359405,180917.00816943424,30.0
3168916.3403115487,1271465.3022296908,423690.68561895087,1063038.0811077622,180516.84391648902,30.25
3161380.8501806916,1269632.9504221354,419546.16372627945,1064889.9109070133,180114.2525981301,30.5
3153826.464527038,1267985.5005584476,415572.68101768533,1066757.047954377,179709.39777994578,30.75
3146255.2893234235,1266515.1551613973,411764.5130127686,1068638.940154684,179302.43761618788,31.0
3138669.3515426945,1265214.4834008308,408116.10652636574,1070535.0511057046,178893.52474324324,31.25
3131070.6030865647,1264076.3836528368,404622.0768963188,1072444.8595907988,178482.80649607856,31.5
3123460.927575589,1263094.0124343587,401277.2050198768,1074367.8589090493,178070.42528358632,31.75
3115842.1367670773,1262260.8444029584,398076.4322011444,1076303.5573859108,177656.5184609632,32.0
3108215.973722124,1261570.6472988361,395014.85637567093,1078251.477983123,177241.21852501476,32.25
3100584.1198929437,1261017.410718878,392087.7284602231,1080211.155490935,176824.6534347906,32.5
3092948.191578316,1260595.4013539988,389290.4481705285,1082182.1390221901,176406.94655445573,32.75
3085309.7423371784,1260299.147206535,386618.5601776301,1084163.9915523683,175988.21680887937,33.0
3077670.2702712356,1260123.366922737,384067.74968758534,1086156.2866840563,175568.57899159592,33.25
3070031.2130140727,1260063.034532364,381633.840627662,1088158.611213017,175148.14362490945,33.5
3062393.949624619,1260113.3680419556,379312.79240122944,1090170.5644150306,174727.01707045903,33.75
3054759.813351535,1260269.7126422632,377100.68957575166,1092191.7552579707,174305.30219183693,34.0
3047130.08502681,1260527.6146892104,374993.7431719385,1094221.8039469186,173883.0980659872,34.25
3039505.9977052845,1260882.784929227,372988.2852177192,1096260.340953688,173460.50024684495,34.5
3031888.715731975,1261331.2991709,371080.78317320877,1098307.0103490388,173037.59965387246,34.75
3024279.3753111567,1261869.231377278,369267.8054630409,1100361.463129822,172614.4847966348,35.0
3016679.0721968533,1262492.7747571897,367546.02904609474,1102423.3591483843,172191.24113108212,35.25
3009088.857130177,1263198.2913634875,365912.24082663946,1104492.3677817192,171767.9508360442,35.5
3001509.736655804,1263982.3097347624,364363.335459629,1106568.1678520804,171344.69287726562,35.75
2993942.640599347,1264841.8176024642,362896.3433131941,1108650.4536606858,170921.5412399243,36.0
2986388.5124167777,1265773.473564698,361508.3454211696,1110738.918139516,170498.5699230408,36.25
2978848.2408315954,1266774.2151169146,360196.5344091454,1112833.2655593755,170075.84919964027,36.5
2971322.680219227,1267841.0858808511,358958.19379641133,1114933.2077109606,169653.4467608487,36.75
2963812.632835719,1268971.3819263102,357790.7172893572,1117038.4678857324,169231.42671621704,37.0
2956318.8635309404,1270162.5398671941,356691.59006246104,1119148.7776543212,168809.8504547904,37.25
2948842.1303805113,1271411.8984165553,355658.3514116694,1121263.8701154317,168388.7784180167,37.5
2941383.1491390835,1272716.9860085393,354688.63484804705,1123383.487817881,167968.26808187817,37.75
2933942.6062989486,1274075.4220471696,353780.15131493047,1125507.3799058606,167548.37472318314,38.0
2926521.135548794,1275485.0683112817,352930.7274103355,1127635.3072356796,167129.14995257696,38.25
2919119.36665328,1276943.7228044695,352138.22359228594,1129767.0318508474,166710.64479215918,38.5
2911737.8983553904,1278449.2936294226,351400.578294965,1131902.3228669392,166292.90798531985,38.75
2904377.3014978957,1279999.7819377843,350715.8019652072,1134040.9558296506,165875.98620290894,39.0
2897038.1187698236,1281593.2804569504,350081.97842249775,1136182.7126294833,165459.92401462494,39.25
2889720.8569235043,1283228.011047633,349497.2812685896,1138327.3827865738,165044.76335374315,39.5
2882426.0174658285,1284902.1800318712,348959.9082127927,1140474.7582504156,164630.54563966452,39.75
2875154.072858713,1286614.0916116515,348468.13165279746,1142624.6373843972,164217.31013620936,40.0
2867905.474423755,1288362.1111235851,348020.2816149545,1144776.823606373,163805.09450005443,40.25
2860680.6431020135,1290144.7144612542,347614.7637921224,1146931.1268574735,163393.93415746157,40.5
2853479.982326077,1291960.4221619873,347250.0335690309,1149087.3614754486,162983.86318146792,40.75
2846303.8839882966,1293807.7695033788,346924.5837890945,1151245.3451905753,162574.91470060628,41.0
2839152.717636493,1295685.3640837204,346636.9659054187,1153404.9008487908,162167.1201695009,41.25
2832026.8355675996,1297591.8604802983,346385.77948840574,1155565.8555498093,161760.50971824152,41.5
2824926.5532864574,1299526.0734013722,346169.7077066329,1157728.0443825636,161355.11087464372,41.75
2817852.1930250362,1301486.7311744264,345987.436699984,1159891.3020878853,160950.95142869098,42.0
2810804.0535123763,1303472.6498617958,345837.71074099786,1162055.4688402996,160548.05745268808,42.25
2803782.4181950637,1305482.6880745136,345719.31660054566,1164220.3886685618,160146.45384707302,42.5
2796787.5512842904,1307515.7683838764,345631.0911614303,1166385.9102393896,159746.16407865094,42.75
2789819.694746929,1309570.8940126537,345571.9270984193,1168551.8874528203,159347.2099827008,43.0
2782879.091541251,1311647.0307084029,345540.7258592632,1170718.1748418845,158949.61333073687,43.25
2775965.965571944,1313743.2109483702,345536.43755298754,1172884.6315406144,158553.39448648453,43.5
2769080.528244398,1315858.5015047945,345558.04742708325,1175051.119986159,158158.57285136875,43.75
2762222.9699986596,1317992.0374752022,345604.59569336846,1177217.5074109163,157765.16626107524,44.0
2755393.474564672,1320142.966140041,345675.14381612046,1179383.6632922066,157373.19200606772,44.25
2748592.217245529,1322310.4542074432,345768.778434709,1181549.4596436047,156982.6667105406,44.5
2741819.360125314,1324493.7072631686,345884.6225327423,1183714.7718534286,156593.60599156347,44.75
2735075.054365895,1326691.960699045,346021.8300191132,1185879.47825563,156206.02462327402,45.0
2728359.4312900365,1328904.5097310974,346179.6083424166,1188043.4616068772,155819.93587700138,45.25
2721672.6247676485,1331130.6342987125,346357.1616594936,1190206.6053081632,155435.35317848762,45.5
2715014.754911282,1333369.6538911047,346553.7321992729,1192368.7961221929,155052.28890117028,45.75
2708385.9329694523,1335620.9111894153,346768.5878275259,1194529.9233318735,154670.7547285551,46.0
2701786.2581533343,1337883.784359416,347001.0296099006,1196689.8793338686,154290.76142486822,46.25
2695215.8188736485,1340157.6826610907,347250.3887510662,1198848.55939488,153912.31892570257,46.5
2688674.7022505,1342442.0107627911,347516.00360478665,1201005.859837301,153535.43702893352,46.75
2682162.98490038,1344736.2038812542,347797.2417862291,1203161.6797794125,153160.12472714277,47.0
2675680.736239778,1347039.7155730394,348093.4921324783,1205315.9204992906,152786.39044822243,47.25
2669228.0116935107,1349352.0459331856,348404.18030406337,1207468.4868132577,152414.24157346544,47.5
2662804.865732333,1351672.6886927255,348728.7384801199,1209619.284420836,152043.6853670303,47.75
2656411.346375547,1354001.1541237603,349066.6179635458,1211768.2210199262,151674.7285861538,48.0
2650047.4943450424,1356336.972920343,349417.29101773276,1213915.2064758318,151307.37742243486,48.25
2643713.34343738,1358679.694704596,349780.2499992323,1216060.1527292205,150941.63752859048,48.5
2637408.9157684534,1361028.905997255,350155.0188047174,1218202.9746960655,150577.51367556985,48.75
2631134.2359448597,1363384.17780274,350541.1184314169,1220343.5875554334,150215.01077867328,49.0
2624889.3201981587,1365745.106303341,350938.09323834174,1222481.9088155928,149854.13311268922,49.25
2618674.17967527,1368111.300908927,351345.5028869036,1224617.8576784318,149494.88455097144,49.5
2612488.817713923,1370482.392719216,351762.9294426645,1226751.3555140053,149137.2683621166,49.75
2606333.2326239306,1372858.0260662916,352189.9700774387,1228882.3253530413,148781.28741820698,50.0
2600207.4214553838,1375237.8470242503,352626.2271902487,1231010.6912034163,148426.94447682714,50.25
2594111.375277212,1377621.5180080417,353071.3207316409,1233136.3788808761,148074.24182847157,50.5
2588045.081036411,1380008.7121494839,353524.8833172492,1235259.3156660018,147723.18143586398,50.75
2582008.516991623,1382399.126276696,353986.5724738468,1237379.4311858092,147373.76458805625,51.0
2576001.6623884095,1384792.45350272,354456.0446724317,1239496.655523284,147025.99263356574,51.25
2570024.4916322962,1387188.3997799363,354932.9709565027,1241610.9203443371,146679.86653896852,51.5
2564076.9753012606,1389586.681057189,355417.0342189303,1243722.1586935008,146335.38696569044,51.75
2558159.0796773997,1391987.0248701633,355907.9303800729,1245830.305102776,145992.55423548765,52.0
2552270.765135389,1394389.1753742145,356405.3725715917,1247935.2959443545,145651.36821006893,52.25
2546411.993040244,1396792.8722269395,356909.07311045047,1250037.0679118503,145311.82880779167,52.5
2540582.7201529755,1399197.8678607054,357418.7580780942,1252135.5592489813,144973.93558510003,52.75
2534782.9004067318,1401603.9221046565,357934.1626621943,1254230.709357222,144637.6878697761,53.0
2529012.482762688,1404010.8091405132,358455.03664310835,1256322.4592618006,144303.08460208031,53.25
2523271.4143017335,1406418.3077242547,358981.1364110837,1258410.750934835,143970.12456475873,53.5
2517559.6409502225,1408826.1989695693,359512.2230699129,1260495.5271349016,143638.80643732988,53.75
2511877.1054002456,1411234.2730978713,360048.0677577616,1262576.7318589778,143309.12864200733,54.0
2506223.7480566436,1413642.3265074852,360588.4491837041,1264654.3101331794,142981.08941439574,54.25
2500599.5037491126,1416050.1715324456,361133.1623078243,1266728.2086640908,142654.6865567426,54.5
2495004.3092030464,1418457.6144799243,361681.9985590398,1268798.3743427321,142329.9179994341,54.75
2489438.09767681,1420864.4715065227,362234.7600041739,1270864.7553100116,142006.78139837636,55.0
2483900.8005059385,1423270.564129992,362791.2552447402,1272927.3006436054,141685.2742512555,55.25
2478392.345628271,1425675.7230579595,363351.30346829677,1274985.9606280946,141365.3937847742,55.5
2472912.6575552076,1428079.7882796524,363914.7345230058,1277040.686753886,141047.13695252643,55.75
2467461.6633984605,1430482.5935092338,364481.3723397046,1279091.4305804404,140730.50089615854,56.0
2462039.286998964,1432883.9813750894,365051.0510727881,1281138.144830909,140415.4824962649,56.25
2456645.450843138,1435283.7984853333,365623.60982603463,1283180.783026273,140102.0785190689,56.5
2451280.076201121,1437681.8950880354,366198.89226798434,1285219.299452948,139790.28562707212,56.75
2445943.0832649977,1440078.12473145,366776.74624731694,1287253.6491303889,139480.10038970405,57.0
2440634.386840582,1442472.3553984046,367357.03564514214,1289283.788905652,139171.5189532989,57.25
2435353.894781726,1444864.4735635158,367939.6446796584,1291309.677852858,138864.53692119668,57.5
2430101.529005423,1447254.3299802593,368524.4200671154,1293331.271949538,138559.15096390835,57.75
2424877.203817112,1449641.7956298755,369111.23066769866,1295348.529572742,138255.35715853175,58.0
2419680.832743632,1452026.7441057237,369699.94867660775,1297361.4097698592,137953.1515123287,58.25
2414512.328653095,1454409.0513209035,370290.4492899772,1299369.8722308772,137652.52997196725,58.5
2409371.603874745,1456788.5952158768,370882.61037079827,1301373.8772606421,137353.48843276402,58.75
2404258.564835107,1459165.269682556,371476.3271586094,1303373.3863752906,137056.02232917421,59.0
2399173.1060695965,1461539.0001074912,372071.52869250794,1305368.362969768,136760.12617759078,59.25
2394115.146011642,1463909.6506074409,372668.0796237679,1307358.7682301106,136465.79630939028,59.5
2389084.5917826253,1466277.1153293385,373265.87680416513,1309344.565127059,136173.02818228366,59.75
2384081.349957667,1468641.2905585018,373864.81974638725,1311325.717176567,135881.81720251087,60.0
2379105.3266494474,1471002.0745197076,374464.81038884545,1313302.1884161665,135592.15873133056,60.25
2374156.427592026,1473359.367178265,375065.7528604865,1315273.9433813265,135304.04809150964,60.5
2369234.5547192125,1475713.079086263,375667.5628851419,1317240.9486507657,135017.48030472104,60.75
2364339.5984231895,1478063.1513751715,376270.18906466325,1319203.1763251717,134732.44949734004,61.0
2359471.4699125076,1480409.4722791512,376873.5238937426,1321160.5895584666,134448.9513844283,61.25
2354630.0708815246,1482751.9554150144,377477.4871605011,1323113.1561468681,134166.98094149446,61.5
2349815.30257883,1485090.5164001214,378082.0010047464,1325060.8444839725,133886.53310067806,61.75
2345027.0658612805,1487425.0727303016,378686.98976468004,1327003.623550446,133607.6027549529,62.0
2340265.2612480386,1489755.5436577736,379292.379823606,1328941.4629037166,133330.18476233055,62.25
2335529.787741154,1492081.8530985948,379898.1028962896,1330874.3326170149,133054.27385531735,62.5
2330820.5379011645,1494403.9417383156,380504.10975872783,1332802.2030646277,132779.864262704,62.75
2326137.4146179594,1496721.7258510524,381110.3234776738,1334725.045598063,132506.95099785578,63.0
2321480.3160461164,1499035.1343110278,381716.6814179238,1336642.8319148952,132235.5287015879,63.25
2316849.140047096,1501344.0976925716,382323.1228520467,1338555.5342286564,131965.591983441,63.5
2312243.784229414,1503648.5481820882,382929.58884574793,1340463.1252579591,131697.13542481966,63.75
2307664.1459888173,1505948.4194900244,383536.02214323456,1342365.5782156184,131430.15358213105,64.0
2303110.1222000555,1508243.647462474,384142.368057228,1344262.8666925684,131164.64096282277,64.25
2298581.6066761767,1510534.1751759213,384748.5817965749,1346154.9638676327,130900.59182776284,64.5
2294078.4977603476,1512819.9376844277,385354.60657563224,1348041.8447770278,130638.00078179683,64.75
2289600.6917641433,1515100.8751891253,385960.3925368728,1349923.4843099061,130376.86226334696,65.0
2285148.0848947056,1517376.9291608478,386565.89119492535,1351799.8577672942,130117.17069433337,65.25
2280720.5732892137,1519648.042263553,387171.0553383872,1353670.9408494923,129858.92048286894,65.5
2276318.053049355,1521914.1582777454,387775.83893163665,1355536.709643476,129602.10602595437,65.75
2271940.4200494387,1524175.2225093122,388380.197657824,1357397.1407731378,129346.72169448179,66.0
2267587.566356676,1526431.1894634513,388984.09905821783,1359252.2139867642,129092.76155345833,66.25
2263259.389838883,1528682.0022386226,389587.4953169257,1361101.9052573794,128840.22011290892,66.5
2258955.786064858,1530927.6098932582,390190.3462033045,1362946.1926218749,128589.09169484099,66.75
2254676.650632587,1533167.9624503413,390792.6124765397,1364785.054518277,128339.37061520931,67.0
2250421.8791970583,1535403.0108351053,391394.2558063179,1366618.469777937,128091.05118609064,67.25
2246191.3674980756,1537632.7068127347,391995.23869349895,1368446.4176177217,127844.12771785833,67.5
2241985.01132391,1539857.0030815054,392595.5245697714,1370268.8776700285,127598.5945163813,67.75
2237802.701297924,1542075.865908766,393195.0923398105,1372085.8330649773,127354.4454787438,68.0
2233644.335777114,1544289.2438856084,393793.9003961274,1373897.262834517,127111.67509354687,68.25
2229509.8102065553,1546497.0937238594,394391.9163155251,1375703.148197221,126870.27761536173,68.5
2225399.02012114,1548699.3729885884,394989.10848332325,1377503.4707971632,126630.24729753283,68.75
2221311.8611650737,1550896.040055957,395585.44603723235,1379298.2127010124,126391.57839370746,69.0
2217248.229111373,1553087.0540710683,396180.8988112265,1381087.3563951259,126154.26515936543,69.25
2213208.0198813565,1555272.3749058167,396775.43727941666,1382870.8847826421,125918.30185334863,69.5
2209191.125654392,1557451.9727071912,397369.04348023154,1384648.7808248098,125683.68243772392,69.75
2205197.444106197,1559625.80524179,397961.6850698198,1386421.0283769388,125450.40129061289,70.0
2201226.8711509127,1561793.8357048738,398553.33570413466,1388187.611523291,125218.4526462136,70.25
2197279.3027175125,1563956.0283685797,399143.9700486141,1389948.5147340423,124987.83073188948,70.5
2193354.634874123,1566112.3482826403,399733.5634276625,1391703.7228719136,124758.52977778688,70.75
2189452.763841272,1568262.7612475597,400322.09178606997,1393453.2211886973,124530.5440178826,71.0
2185573.586005137,1570407.2337877857,400909.53165043134,1395196.9953217804,124303.86769103147,71.25
2181716.996221862,1572545.736500586,401495.8650570987,1396935.0300470116,124078.49490922302,71.5
2177882.89172441,1574678.2363380715,402081.06819791585,1398667.3121087626,123854.41996117817,71.75
2174071.169283487,1576804.7022146517,402665.11967113166,1400393.8281406981,123631.63709175939,72.0
2170281.725717184,1578925.1039996636,403247.99900018174,1402114.5650235491,123410.14054159024,72.25
2166514.4580256795,1581039.4122506408,403829.6862421442,1403829.5099700217,123189.92455754023,72.5
2162769.263401555,1583147.5981922694,404410.1619576653,1405538.6505191922,122970.9833935449,72.75
2159046.039240122,1585249.6336953451,404989.4071808851,1407241.9745309025,122753.31131142598,73.0
2155344.6815173435,1587345.4932017091,405567.4082230075,1408939.47145651,122536.90245101432,73.25
2151665.0885635684,1589435.1492168359,406144.14549848344,1410631.1293907037,122321.75113228636,73.5
2148007.158471629,1591518.5753909058,406719.6012003158,1412316.937100556,122107.851647838,73.75
2144370.789359644,1593595.7461967743,407293.75852236425,1413996.8838225016,121895.19828391973,74.0
2140755.8795906752,1595666.6366593798,407866.60100941267,1415670.9590930569,121683.78533801714,74.25
2137162.327783774,1597731.2223338347,408438.11252494634,1417339.1527426455,121473.60711972917,74.5
2133590.03282503,1599789.4792835163,409008.27721892914,1419001.4548894267,121264.6579516463,74.75
2130038.8938786136,1601841.3840581588,409577.079495581,1420657.8559331237,121056.93217022874,75.0
2126508.810397827,1603886.913671944,410144.503981155,1422308.3465488493,120850.42412668475,75.25
