_1_task1,z_a_1_task1
49.0,737486.3331272289
49.5,701934.8164760782
50.0,668091.6472722399
50.5,635875.9993110499
51.0,605210.7903488246
51.5,576022.4623198924
52.0,548240.8420586
52.5,521799.07425120234
53.0,496633.396450768
53.5,472683.0021979227
54.0,449889.9494819708
54.5,428199.02663293615
55.0,407557.6136150336
55.5,387915.57059430913
56.0,369225.1348456856
56.5,351440.80885162385
57.0,334519.2553002574
57.5,318419.2017607393
58.0,303101.3479709689
58.5,288528.2746477873
59.0,274664.3563132218
59.5,261475.68140034686
60.0,248929.97257093506
60.5,236996.5113143656
61.0,225646.06923361373
61.5,214850.8399161014
62.0,204584.37340478826
62.5,194821.51397582272
63.0,185538.34029353823
63.5,176712.11098917577
64.0,168321.2120204103
64.5,160345.10661450968
65.0,152764.2867450129
65.5,145560.22821579716
66.0,138715.34744090308
66.5,132212.96164506517
67.0,126037.2517016747
67.5,120173.22577432125
68.0,114606.68766437052
68.5,109324.20462296142
69.0,104313.07934404499
69.5,99561.32390849308
70.0,95057.63686640158
70.5,90791.38276617693
71.0,86752.56973219992
71.5,82931.84648578295
72.0,79320.4829232396
72.5,75910.36018863584
73.0,72693.96145103833
73.5,69664.37896655753
74.0,66815.32210576137
74.5,64141.13069741438
75.0,61636.79367672085
75.5,59297.969338567535
76.0,57121.02754996213
76.5,55103.09998965796
77.0,53242.15581371845
77.5,51537.09189002757
78.0,49987.83970268323
78.5,48595.514891540166
79.0,47362.58920142125
79.5,46293.15290215682
80.0,45393.22462067862
80.5,44671.15658357062
81.0,44138.13999339944
81.5,43808.87908920101
82.0,43702.52172330461
82.5,43843.906753014686
83.0,44265.02185697682
83.5,45006.98890329523
84.0,46123.71954364296
84.5,47685.168559631515
85.0,49783.03243751191
85.5,52538.52597278382
86.0,56113.34121157964
86.5,60724.732564958744
87.0,66667.50972506573
87.5,74345.46234844344
88.0,84314.42897436082
88.5,97343.71289868781
89.0,114498.45494211125
89.5,137244.2128263781
90.0,167562.27967756745
90.5,208039.83832974717
91.0,261837.90178004478
91.5,332368.76847928594
92.0,422457.51660267793
92.5,532891.3155899604
93.0,660769.252349032
93.5,798805.9336184375
94.0,936718.1989562388
94.5,1064380.89622739
95.0,1174764.569187018
95.5,1264923.271302717
96.0,1335142.5043454203
96.5,1387454.2259365506
97.0,1424449.5831717427
97.5,1448627.8552345142
98.0,1462152.4403413094
98.5,1466818.0647834723
99.0,1464096.082586745
99.5,1455198.2733344128
100.0,1441132.812182266
100.5,1422748.6261017465
101.0,1400767.9781679257
101.5,1375811.1048130663
102.0,1348414.0768724917
102.5,1319042.1274369657
103.0,1288100.530518482
103.5,1255942.86178832
104.0,1222877.6828769809
104.5,1189174.2370170485
105.0,1155067.1130017159
105.5,1120760.307053276
106.0,1086430.7401283304
106.5,1052231.2983385052
107.0,1018293.5427030544
107.5,984730.0918021882
108.0,951636.7705860808
108.5,919094.4999194551
109.0,887170.9452247445
109.5,855922.0473605519
110.0,825393.41052569
110.5,795621.5045852679
111.0,766634.7320745896
111.5,738454.4140128639
112.0,711095.6679342553
112.5,684568.2067264474
113.0,658876.9954570719
113.5,634022.9735689305
114.0,610003.572512853
114.5,586813.1395484983
115.0,564443.4437638677
115.5,542884.0925229706
116.0,522122.87252789293
116.5,502146.09782761027
117.0,482938.87300992553
117.5,464485.3683359914
118.0,446768.97068513423
118.5,429772.53402387974
119.0,413478.5730845415
119.5,397869.43601455505
120.0,382927.44165348564
120.5,368634.964656343
121.0,354974.561113042
121.5,341929.0200871674
122.0,329481.5344857524
122.5,317615.8159286584
123.0,306316.18679315655
123.5,295567.6207693816
124.0,285355.70174501307
124.5,275666.7178341744
125.0,266487.701119377
125.5,257806.6946643111
126.0,249612.91350742226
126.5,241896.64659825043
127.0,234649.13700494383
127.5,227862.85551662007
128.0,221531.6081827529
128.5,215650.65368767094
129.0,210216.9380174148
129.5,205229.1437890633
130.0,200687.89419691934
130.5,196595.91066358
131.0,192958.30161926127
131.5,189782.86162724777
132.0,187080.36871695428
132.5,184865.0147378707
133.0,183154.8200800359
133.5,181972.16338065334
134.0,181344.32564985077
134.5,181304.25596161603
135.0,181891.33183858285
135.5,183152.19263643457
136.0,185141.73166128388
136.5,187924.16083735955
137.0,191574.07559142046
137.5,196177.49528175098
138.0,201832.93072399168
138.5,208652.04648978164
139.0,216759.81987897918
139.5,226294.40129043424
140.0,237405.19616238849
140.5,250249.96764279171
141.0,264988.7474718363
141.5,281775.5589272144
142.0,300747.3139547682
142.5,322008.329236603
143.0,345611.56523671985
143.5,371537.9949939158
144.0,399676.25135069044
144.5,429805.6403204401
145.0,461586.4270395232
145.5,494560.71572630137
146.0,528171.6213741654
146.5,561790.8117451906
147.0,594758.4330792346
147.5,626429.5570301262
148.0,656216.8337441374
148.5,683624.4950051849
149.0,708269.5938856951
149.5,729890.2679793944
150.0,748341.0838870069
150.5,763580.1841922936
151.0,775651.6614862521
151.5,784666.1658002754
152.0,790782.5148079677
152.5,794191.5278418032
153.0,795102.8435726983
153.5,793734.59103188
154.0,790305.7131886265
154.5,785030.4625366263
155.0,778114.8053012309
155.5,769754.0251096657
156.0,760131.3514193053
156.5,749417.3328580967
157.0,737769.6596335009
157.5,725333.3793795462
158.0,712241.2716993261
158.5,698614.369962782
159.0,684562.6368197701
159.5,670185.6818923036
160.0,655573.4357291758
160.5,640806.8277899286
161.0,625958.4570605952
161.5,611093.2505638102
162.0,596269.0953362607
162.5,581537.4343379027
163.0,566943.8237599263
163.5,552528.4545673828
164.0,538326.6423979332
164.5,524369.2873098688
165.0,510683.3035846458
165.5,497292.01711715135
166.0,484215.5316994256
166.5,471471.0585966615
167.0,459073.25897251704
167.5,447034.4927978863
168.0,435365.190214122
168.5,424073.9846916227
169.0,413168.0077661727
169.5,402653.1084351583
170.0,392533.9948780862
170.5,382814.49644467066
171.0,373497.69794082246
171.5,364586.11073440657
172.0,356081.8630158386
172.5,347986.79042696214
173.0,340302.616059709
173.5,333031.06697162794
174.0,326174.0003376552
174.5,319733.5465282892
175.0,313712.2177300959
175.5,308113.0311992625
176.0,302939.63618137816
176.5,298196.4150253057
177.0,293888.6143059964
177.5,290022.45417330414
178.0,286605.2496451512
178.5,283645.5227793526
179.0,281153.113071137
179.5,279139.2756114813
180.0,277616.7894653702
180.5,276600.0201377359
181.0,276105.0098026465
181.5,276149.5115300961
182.0,276752.95478471555
182.5,277936.5061615039
183.0,279722.8483340299
183.5,282136.02768514695
184.0,285201.2369245025
184.5,288944.26261219993
185.0,293391.23471974814
185.5,298567.6939275424
186.0,304497.59487147856
186.5,311202.7878896461
187.0,318700.83128335193
187.5,327004.41799558944
188.0,336118.6832650641
188.5,346039.7435099213
189.0,356752.8289379045
189.5,368230.3374641787
190.0,380430.05223234673
190.5,393293.6172840792
191.0,406745.52735572564
191.5,420692.91457632574
192.0,435026.1043173616
192.5,449620.0490423593
193.0,464336.83503014385
193.5,479028.80436375196
194.0,493542.5135202438
194.5,507723.37176664226
195.0,521420.1943919644
195.5,534489.7142435196
196.0,546800.6208536469
196.5,558236.8808134054
197.0,568700.3561441852
197.5,578112.245228248
198.0,586413.694113084
198.5,593565.6013948268
199.0,599547.7002247021
199.5,604357.1434982363
200.0,608006.5197468938
200.5,610521.7997718083
201.0,611940.261162804
201.5,612308.5205330654
202.0,611680.3495615558
202.5,610114.9410057561
203.0,607675.1648492869
203.5,604426.1513618617
204.0,600434.1290091104
204.5,595765.3927996699
205.0,590485.5078842903
205.5,584658.5911585053
206.0,578346.8203360197
206.5,571610.0138019768
207.0,564505.3478551497
207.5,557087.19397687
208.0,549406.9796530575
208.5,541513.1429100446
209.0,533451.1166231453
209.5,525263.3693090017
210.0,516989.46264414047
210.5,508666.15149061976
211.0,500327.4992494862
211.5,492004.99533506285
212.0,483727.67696040415
212.5,475522.2556830675
213.0,467413.32083251176
213.5,459423.3951568221
214.0,451573.1630220648
214.5,443881.5584109994
215.0,436365.95534860226
215.5,429042.26417450636
216.0,421925.0642661004
216.5,415027.74472290464
217.0,408362.6231291033
217.5,401941.04075834266
218.0,395773.51170593285
218.5,389869.7940957376
219.0,384239.0247186488
219.5,378889.7830611682
220.0,373830.2062020514
220.5,369068.0612554392
221.0,364610.8106609255
221.5,360465.7185969378
222.0,356639.8640809704
222.5,353140.25442373886
223.0,349973.8199741357
223.5,347147.50135530025
224.0,344668.24816494127
224.5,342543.04774195544
225.0,340778.95591632795
225.5,339383.03041673434
226.0,338362.40528121544
226.5,337724.1353277769
227.0,337475.2553435415
227.5,337622.5963069847
228.0,338172.7522234621
228.5,339131.9329593563
229.0,340505.736330563
229.5,342299.1270774755
230.0,344515.96662826155
230.5,347159.03270313947
231.0,350229.4784411919
231.5,353726.73532862344
232.0,357648.02658281056
232.5,361988.0753561588
233.0,366738.7604488347
233.5,371888.6802800838
234.0,377422.89131610555
234.5,383322.54061773675
235.0,389564.59573887824
235.5,396121.6985927297
236.0,402962.0348743317
236.5,410049.2334767194
237.0,417342.8904103525
237.5,424798.05072957365
238.0,432366.6672635139
238.5,439996.99620349286
239.0,447635.36437228153
239.5,455226.02963492216
240.0,462712.7006239615
240.5,470039.17954617646
241.0,477150.2583061744
241.5,483992.9252961457
242.0,490516.9764087599
242.5,496675.97397393105
243.0,502427.9831264416
243.5,507735.975555218
244.0,512568.37575451436
244.5,516899.4397707092
245.0,520708.8181757876
245.5,523982.6226498654
246.0,526711.9182667517
246.5,528893.8273236438
247.0,530530.0851266237
247.5,531627.4180543588
248.0,532196.5162378018
248.5,532251.9353361946
249.0,531811.5325430977
249.5,530895.9948755507
250.0,529528.3996589354
250.5,527733.6130143778
251.0,525538.0212268856
251.5,522969.08180051425
252.0,520054.94587247964
252.5,516824.09947246284
253.0,513305.30272148026
253.5,509527.00863548386
254.0,505517.53553521493
254.5,501304.5514199491
255.0,496915.2246256583
255.5,492375.8708256491
256.0,487711.9906615056
256.5,482948.18051678414
257.0,478107.9975712104
257.5,473214.07912840607
258.0,468287.9411733482
258.5,463350.15830643056
259.0,458420.2150159509
259.5,453516.6296464554
260.0,448656.91283140134
260.5,443857.615358956
261.0,439134.3767362953
261.5,434501.9191097393
262.0,429974.13887423225
262.5,425564.101917771
263.0,421284.1201454727
263.5,417145.77046261576
264.0,413159.9505621589
264.5,409336.91060334037
265.0,405686.29895167047
265.5,402217.1898215725
266.0,398938.1294939202
266.5,395857.151993242
267.0,392981.82161844266
267.5,390319.24351127143
268.0,387876.0878036827
268.5,385658.6091168386
269.0,383672.6331244734
269.5,381923.5968024616
270.0,380416.4970332943
270.5,379155.92850693763
271.0,378146.02297241986
271.5,377390.4572706872
272.0,376892.4049929996
272.5,376654.4873321795
273.0,376678.7622626388
273.5,376966.60995801573
274.0,377518.73817046307
274.5,378335.0436098161
275.0,379414.5941237419
275.5,380755.5030463658
276.0,382354.86866038846
276.5,384208.6809563688
277.0,386311.71644194075
277.5,388657.47537543526
278.0,391238.089688691
278.5,394044.2452179209
279.0,397065.130028513
279.5,400288.3784780661
280.0,403700.0324961852
280.5,407284.58635488333
281.0,411024.8907434877
281.5,414902.3681980865
282.0,418896.88334321085
282.5,422987.0626254305
283.0,427150.24200483144
283.5,431362.7818730216
284.0,435600.1986823675
284.5,439837.3566548702
285.0,444048.8485632092
285.5,448209.05330414907
286.0,452292.63883043046
286.5,456274.64860134246
287.0,460130.9243919437
287.5,463838.2788943664
288.0,467374.8201461254
288.5,470720.10816347395
289.0,473855.4768917478
289.5,476764.0467714288
290.0,479431.0693918007
290.5,481843.8164965174
291.0,483991.8509076598
291.5,485866.9148828516
292.0,487462.98577737634
292.5,488776.3071797457
293.0,489805.1529701373
293.5,490550.0010299921
294.0,491013.14410606725
294.5,491198.815489136
295.0,491112.8600063218
295.5,490762.7147288577
296.0,490157.1912191077
296.5,489306.3287407692
297.0,488221.26754098316
297.5,486914.0565376188
298.0,485397.52924110944
298.5,483685.15588386834
299.0,481790.9028470047
299.5,479729.1139208457
300.0,477514.3990934932
300.5,475161.49938955443
301.0,472685.2458465303
301.5,470100.39397088706
302.0,467421.6348286772
302.5,464663.4447301236
303.0,461840.09309652424
303.5,458965.5477711901
304.0,456053.44696216536
304.5,453117.0841726543
305.0,450169.3252955011
305.5,447222.65540644905
306.0,444289.093877658
306.5,441380.2368765339
307.0,438507.20589100965
307.5,435680.66874686006
308.0,432910.826413703
308.5,430207.4071361988
309.0,427579.6840659712
309.5,425036.45662025805
310.0,422586.0749127078
310.5,420236.42963257193
311.0,417994.9655643143
311.5,415868.66919280915
312.0,413864.09821814485
312.5,411987.3574864955
313.0,410244.110580383
313.5,408639.59276169585
314.0,407178.59715702356
314.5,405865.4709191383
315.0,404704.1052870012
315.5,403697.9742393638
316.0,402850.03372996213
316.5,402162.79718309187
317.0,401638.3163130531
317.5,401278.0440135764
318.0,401083.0104547925
318.5,401053.6676714297
319.0,401189.85960968497
319.5,401490.9215962904
320.0,401955.5286699108
320.5,402581.73580267286
321.0,403366.9737463964
321.5,404307.970216279
322.0,405400.7827487506
322.5,406640.7578990532
323.0,408022.535620893
323.5,409539.9884246407
324.0,411186.3090439095
324.5,412953.9551867467
325.0,414834.57308898255
325.5,416819.31769554556
326.0,418898.4577852029
326.5,421061.6522715373
327.0,423298.1827341153
327.5,425596.4708180203
328.0,427944.6440118539
328.5,430330.4842956882
329.0,432741.1645544044
329.5,435163.9777662984
330.0,437585.8110438878
330.5,439993.4701070022
331.0,442374.10399455
331.5,444714.69013008877
332.0,447002.5949421141
332.5,449225.62892547896
333.0,451371.9247982068
333.5,453430.24421089183
334.0,455390.0028703009
334.5,457241.36313205294
335.0,458975.16237691534
335.5,460583.29829381406
336.0,462058.5045437803
336.5,463394.327525407
337.0,464585.6205448487
337.5,465627.94306838396
338.0,466517.97307805315
338.5,467253.6204587745
339.0,467833.2668930881
339.5,468256.7905638433
340.0,468524.85578666645
340.5,468638.7620291122
341.0,468601.0733267506
341.5,468414.909465114
342.0,468084.14346526616
342.5,467613.5430724242
343.0,467008.22201886645
343.5,466274.09785983525
344.0,465417.55047383165
344.5,464445.30583581235
345.0,463364.5954156358
345.5,462182.93664112216
346.0,460908.10801371944
346.5,459548.10859812034
347.0,458111.1407591991
347.5,456605.4771591241
348.0,455039.4549779272
348.5,453421.5246624534
349.0,451760.0123419366
349.5,450063.25218205724
350.0,448339.53643430676
