Time,M,Tc,N,Tr,sm,rm,km,dm,anm,bnm,acm,bcm,acnm,amm,bmm,arm,brm,rc,kc,dc,amc,bmc,anc,bnc,sn,rn,kn,dn,acn,bcn,rr,kr,dr,amr,bmr,compartment,M_breakup,M_decay,M_source,M_growth,Tc_growth,Tc_death,Tc_stimulation,N_source,N_growth,N_stimulation,N_death,Tr_death,Tr_growth,Tr_stimulation
1203.0,5.09791290452768,594.1575921264126,276.39957752967473,47.740623852119825,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453417438559719,0.010195825809055361,0.001,0.04373322286047217,1.9874209780696954,11.883151842528253,9.895731645362414,0.03,4.265162971535196,2.6148265068366094,6.909989438241869,3.613965225605471,1.5997609486472184,2.014208372062943
1206.0,5.097922624295844,594.1575944821423,276.39957765071216,47.74063668647,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453421583264174,0.010195845248591687,0.001,0.04373321952938928,1.9874209632047553,11.883151889642845,9.89573169184846,0.03,4.265162970429192,2.6148265101700257,6.909989441267804,3.613966197165779,1.5997607422559874,2.0142095349092743
1209.0,5.097932157531417,594.157596792603,276.39957776942623,47.7406492131842,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453425649824653,0.010195864315062834,0.001,0.04373321626191218,1.9874209486254661,11.88315193585206,9.895731737444251,0.03,4.265162969344418,2.614826513439372,6.909989444235656,3.613967145438044,1.5997605408115698,2.0142106766770635
1212.0,5.097941505775353,594.1575990581673,276.3995778858361,47.74066143313265,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.0345342963892509,0.010195883011550706,0.001,0.0437332130575313,1.987420934329479,11.883151981163346,9.895731782157197,0.03,4.2651629682807,2.614826516645173,6.909989447145903,3.613968070488142,1.5997603442999953,2.0142117975744878
1215.0,5.097950670322925,594.1576012791476,276.39957799995807,47.74067334672906,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534335511476624,0.01019590134064585,0.001,0.04373320991582077,1.9874209203148225,11.883152025582952,9.89573182599354,0.03,4.265162967237886,2.614826519787871,6.909989449998952,3.61396897234739,1.5997601527146337,2.0142128977830023
1218.0,5.0979596522237305,594.1576034557971,276.399578111805,47.74068495393064,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453437386972802,0.010195919304447462,0.001,0.04373320683643837,1.9874209065798984,11.883152069115942,9.895731868958336,0.03,4.265162966215862,2.614826522867825,6.909989452795125,3.6139698510125497,1.5997599660561963,2.014213977457336
1221.0,5.097968452281691,594.1576055883095,276.39957822138706,47.740696254238024,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453441146779195,0.010195936904563382,0.001,0.04373320381912568,1.9874208931234845,11.88315211176619,9.895731911055464,0.03,4.265162965214534,2.614826525885307,6.909989455534677,3.6139707064458184,1.5997597843327358,2.0142150367254987
1224.0,5.097977071055052,594.1576076768183,276.39957832871124,47.740707246695386,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453444830843776,0.010195954142110103,0.001,0.043733200863708084,1.9874208799447386,11.883152153536367,9.895731952287656,0.03,4.265162964233838,2.6148265288405064,6.909989458217781,3.613971538574841,1.5997596075596445,2.0142160756887755
1227.0,5.09798550885638,594.1576097213979,276.3995784337814,47.74071792989033,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453448439341732,0.01019597101771276,0.001,0.04373319797009478,1.9874208670431919,11.883152194427957,9.895731992656458,0.03,4.265162963273738,2.6148265317335277,6.909989460844535,3.613972347292698,1.599759435759657,2.014217094421731
1230.0,5.097993765752567,594.1576117220625,276.3995785365985,47.740728301953965,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534519723465044,0.010195987531505133,0.001,0.04373319513827886,1.9874208544187535,11.88315223444125,9.895732032162236,0.03,4.265162962334227,2.61482653456439,6.909989463414963,3.6139731324579154,1.599759268962848,2.0142180929722087
1233.0,5.098001841564828,594.157613678767,276.3995786371602,47.740738360560876,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534554298297916,0.010196003683129656,0.001,0.04373319236833733,1.9874208420717079,11.883152273575341,9.8957320708042,0.03,4.2651629614153235,2.6148265373330286,6.909989465929005,3.6139738938944586,1.599759107206633,2.0142190713613295
1236.0,5.0980097358687,594.1576155914067,276.39957873546126,47.74074810292912,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.0345345881166154,0.010196019471737401,0.001,0.04373318966043116,1.9874208300027179,11.883152311828136,9.895732108580383,0.03,4.2651629605170776,2.614826540039296,6.909989468386532,3.6139746313917342,1.5997589505357706,2.0142200295834978
1239.0,5.098017447994047,594.1576174598172,276.39957883149344,47.74075752582023,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.034534621176099546,0.010196034895988094,0.001,0.04373318701480529,1.9874208182128184,11.883152349196344,9.895732145487635,0.03,4.265162959639564,2.614826542682957,6.909989470787337,3.6139753447045915,1.5997587990023574,2.014220967606395
1242.0,5.098024977025052,594.1576192837741,276.39957892524535,47.740766625539216,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453465347341496,0.010196049954050103,0.001,0.04373318443178867,1.987420806703427,11.883152385675483,9.89573218152166,0.03,4.265162958782887,2.614826545263695,6.909989473131134,3.613976033553319,1.5997586526658343,2.014221885370986
1245.0,5.098032439001358,594.1576210917741,276.39957901816473,47.740775939519516,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453468541559452,0.010196064878002715,0.001,0.04373318187158103,1.9874207952947243,11.883152421835483,9.895732217225712,0.03,4.265162957933817,2.6148265478219233,6.909989475454118,3.6139767386216275,1.599758502883504,2.014222788980108
1248.0,5.0980397999396105,594.1576228754743,276.39957910982764,47.74078531261893,0.001,0.0175,10.0,0.002,5.0,150.0,5.0,375.0,8.0,0.5,3.0,0.5,25.0,0.013,800.0,0.02,5.0,3.0,1.0,150.0,0.03,0.04,450.0,0.025,1.0,375.0,0.0831,80.0,0.0757,2.0,3.0,1.0,0.03453471688292152,0.010196079599879221,0.001,0.04373317934584865,1.9874207840393574,11.883152457509487,9.895732252440618,0.03,4.265162957096228,2.6148265503458115,6.909989477745691,3.613977448165253,1.5997583521502705,2.0142236766010226
