data_set_T,data_set_M11,data_set_M12,data_set_M13,data_set_M14,data_set_M15,data_set_M16,data_set_M17,data_set_M18,data_set_M19,data_set_M20,data_set_M21,data_set_M22,data_set_M23,data_set_M24,data_set_M25,data_set_M26,data_set_M27,data_set_M28,data_set_M29,data_set_M30,data_set_PHIANG,data_set_R0,data_set_R1
13.0,4.8188519,5.2780719,4.1297359,5.3551497,4.8124175,4.1017375,3.5152385,2.9419239,2.8729641,1.6142914,1.4875505,1.1746383,1.4578034,1.2926818,1.3348204,1.6925033,1.6020695,1.2112116,2.7220173,2.2883711,0.90365142,2.7852025,0.95099777
14.0,4.4282541,4.2570801,5.1289239,5.2472801,3.5869021,4.4638672,4.0409927,3.2254934,2.0793729,1.8227127,1.5122851,1.1114898,1.1499609,0.73528248,0.78633279,1.0834553,1.2777336,1.7344375,2.6283751,2.4750092,0.93748975,2.638762,1.0120057
15.0,3.803874,4.8886313,4.4701333,4.4701352,3.4719875,3.9930811,4.0920796,2.6202433,2.5972655,1.8706378,1.2381579,0.91159433,1.0216963,0.73533273,1.0887835,1.0953974,1.4874327,1.9008911,2.1493866,2.7273283,0.90901822,2.5317035,0.91895813
16.0,3.2962341,3.9783199,3.5821698,3.7107186,4.1528563,3.8309283,3.0148647,3.6009619,2.6102338,2.0563426,1.8087162,1.1506042,1.1567296,2.1525178,1.0363779,1.4371489,1.049907,1.6443461,1.5662488,3.5390596,1.0717903,2.5187643,0.71321899
17.0,2.8367341,3.2229512,4.446053,4.161097,4.2530675,3.0806055,4.0208044,3.4551611,2.6791041,2.3143313,1.7251889,1.8568335,1.5930276,1.6043913,1.3358238,1.1136575,1.1483622,1.0740602,2.1382697,2.6621802,1.2401383,2.5360851,0.72833252
18.0,3.2364283,4.6455474,3.761411,3.8721581,4.1120677,3.8924034,3.2713518,3.283294,3.6493762,1.944312,1.6297643,1.0552564,1.0552557,1.1483878,0.93463695,1.019429,1.0504026,0.99390936,2.0345223,2.6104662,1.1420201,2.4600191,0.85248607
19.0,3.8052928,3.6754212,4.8485508,4.9846578,4.2355185,4.7310433,5.1449461,3.8693755,3.1772127,2.1167231,1.4157684,1.267921,1.0272069,0.69476098,0.86061502,0.42738485,0.69434667,1.08643,2.8987246,1.8134624,1.2102504,2.6387682,1.1069573
20.0,3.4379616,4.2620802,5.0331554,5.1128836,4.6424508,4.6511292,4.2625918,2.8664389,2.323035,1.5034139,1.6303149,1.3648108,0.60673541,0.50573438,0.97436816,0.91150582,0.31232983,1.6916188,2.31778,2.6003149,1.0374776,2.5505326,1.092991
21.0,3.5546272,4.854126,5.0224695,5.0561614,6.0974407,3.2072043,3.813518,3.4568698,3.401124,2.1673138,1.5058788,1.3442864,1.0651891,0.24988709,0.93153411,0.5914942,0.52838117,1.3627499,1.9288027,2.9499331,1.0999948,2.6544495,1.1372167
22.0,4.5205626,3.8680573,4.8782945,4.0222726,4.5561066,5.1411285,3.5677905,4.5350523,2.5000489,2.0110116,1.2093512,0.66497135,0.64773017,0.54579324,0.53139544,0.70725298,1.2150162,1.9788281,2.7013645,2.6118383,1.013096,2.6206934,1.0932716
23.0,4.072751,2.8112657,4.4581242,3.1251023,6.0002942,4.1850758,4.6838188,4.0688066,2.5699472,2.6215885,0.68348747,1.0781929,0.85962898,0.48431993,0.86311936,0.41677952,1.2546979,1.2150359,2.1276512,2.7738955,1.1703292,2.5176792,1.0437915
24.0,4.0288267,3.8920302,3.9382017,4.2099199,6.1984715,4.6584754,4.483892,3.0606878,2.1373045,3.1680422,1.1611422,0.82046044,0.71609527,0.87924832,1.0191007,0.59598392,0.77899432,0.93968385,2.2100651,2.4182942,1.1509202,2.5657461,1.0926273
25.0,4.9064031,4.3631539,5.9462724,5.1927495,6.7626362,5.2811031,4.7560277,4.5012727,2.6298988,1.9697554,1.7525429,0.55520684,0.61705619,0.95668799,0.64027309,0.48543265,0.49670646,1.7473121,2.5688534,2.2450964,1.0924816,2.9187222,1.3846033
26.0,3.8390975,4.2983451,5.5494838,5.1472173,5.690176,5.7107568,5.5463347,4.4774513,2.7823358,1.5304873,1.5417238,0.65383154,0.79588807,0.57701105,0.31375769,0.55518311,0.63814026,1.1033268,1.9540619,2.9377034,1.1570405,2.7821157,1.3835598
27.0,4.0235081,4.2202864,5.4036975,6.8925662,4.4045925,4.3172879,4.9746833,4.5794172,3.6810365,1.8097973,1.5365756,0.91658634,0.42139047,0.68659389,0.1422011,0.72642738,0.727961,1.0589483,2.7091367,2.9363708,1.1184834,2.8084533,1.3188742
28.0,3.2870388,3.5407186,3.7905245,7.4298105,5.6944513,4.9439464,4.1983461,4.758594,3.5070825,2.2949443,2.0823967,0.41128954,0.63539308,0.5156309,0.2261339,0.7094571,0.47949088,1.4656633,3.0882783,2.1159022,1.2206507,2.7587547,1.2962965
29.0,2.7620487,2.9931974,4.2539601,6.3990993,7.0273242,5.7537899,4.9906054,3.9535699,3.1786664,2.29913,1.4593835,0.74968374,0.55206656,0.2733683,0.41878626,0.77613461,0.61680192,1.4647397,1.7850696,1.6256993,1.2931751,2.6666563,1.366745
30.0,2.3104446,3.9612799,5.1967511,5.2276797,6.2607937,5.8784585,5.9506335,4.6312952,3.0040913,2.831491,1.9636528,0.6859678,0.54765463,0.61030722,0.78212172,0.27823332,0.43768361,1.3703443,1.0018258,1.8656206,1.37543,2.7398164,1.4091949
31.0,2.8569973,3.665916,4.9565248,5.4846129,6.9593487,6.511435,6.7653031,5.5669522,3.2085326,3.3446832,1.3757358,0.8833679,0.61571306,0.70097595,0.58648199,0.24405678,0.71505427,0.85738355,1.0442777,1.1961291,1.4432911,2.8769741,1.5682307
32.0,2.5749793,4.5308599,5.3350682,6.3049431,7.1599565,6.5353985,7.5278826,5.5083451,3.8032689,3.5450196,1.605515,1.5700161,0.85455066,0.33176446,0.66446012,0.2504684,0.64672261,0.74027014,1.5631994,1.717537,1.4372902,3.1385112,1.6712055
33.0,2.220726,3.7297385,5.0989285,6.5799751,7.6700578,8.2362728,7.3331122,6.0018992,4.0079818,3.4695272,1.7594551,1.4187719,0.59808463,0.44999048,0.47629315,0.23226272,0.44611314,0.69345951,1.1493486,1.2289407,1.5039815,3.1400471,1.8231575
34.0,2.5670948,4.3698359,5.5327206,5.7006931,8.1825914,8.7325811,7.7984538,6.4422998,4.6624947,3.3815217,1.850595,1.1078168,0.38432214,0.17509134,0.20542839,0.10559426,0.32591918,0.30983901,0.65278232,1.5230389,1.5011214,3.2005358,1.990701
35.0,3.2835021,4.422215,4.9015212,7.6826911,8.9056273,8.576889,7.2016354,7.3103819,4.7657485,2.7405393,1.4494569,0.57028556,0.1716703,0.13661067,0.13690595,0.29370287,0.17719008,0.42351404,0.82942295,1.2210481,1.4369193,3.2600279,2.10552
36.0,2.319608,4.7584057,5.5419879,8.8638115,8.9469738,9.1184311,7.519093,8.8481674,4.9978685,2.6073027,1.794106,0.66264206,0.36894444,0.14034083,0.11316384,0.22132647,0.12190799,0.15182382,1.0436049,1.4592804,1.4660356,3.4799395,2.283114
37.0,1.8012844,4.3334517,5.8159041,8.3426304,8.7218132,9.588624,7.8234005,7.6541905,5.5907359,3.3260045,1.717034,0.87771302,0.53914893,0.083205804,0.2879746,0.12512951,0.063384801,0.26188266,0.62548465,1.0033947,1.5238049,3.4291196,2.2691545
38.0,3.2805982,4.8889966,6.1889253,8.4373541,10.031948,9.726759,7.1556759,7.35218,5.35426,3.5562027,2.0082119,1.0187185,0.4486289,0.14046949,0.19169755,0.044857167,0.065636382,0.17460379,0.44122872,1.9124948,1.4510518,3.6209724,2.3301079
39.0,3.0781639,4.9704852,6.0239406,7.4261618,9.3799543,9.2077131,8.2908478,7.4694848,4.7531104,3.5090649,1.1169884,0.49881265,0.41401637,0.058638174,0.31886274,0.17286921,0.14113271,0.18129168,0.51420921,1.3754963,1.4467467,3.4450622,2.2719655
40.0,3.0055969,4.7624917,5.9125814,8.4286089,9.153758,8.5922146,8.0835171,7.1084819,5.1810904,3.6489255,1.4669298,0.79915673,0.17971671,0.072452225,0.11430781,0.061971176,0.21529208,0.084355623,0.25398853,1.734938,1.4542464,3.4430187,2.2721786
41.0,3.0341702,6.4111686,7.8478384,9.3733625,9.9250803,8.5452375,8.9945927,7.859427,4.2852616,3.3678896,1.3780549,0.604936,0.33231983,0.079020247,0.040977739,0.074168727,0.077179179,0.1177704,0.55626714,2.3374252,1.3596333,3.7621074,2.4983335
42.0,3.4975467,7.0132012,8.5631199,9.7729053,9.8580399,9.568903,9.1280985,7.2998705,4.7503901,3.3409753,1.9076387,0.44648191,0.21502319,0.2237583,0.017540386,0.057664663,0.027667651,0.080541402,0.30447936,1.9909652,1.3528701,3.9032404,2.6147261
43.0,4.3660583,6.628808,7.9747252,9.1582909,11.337337,9.5474262,10.090786,7.4556513,5.0418849,2.3420951,1.4309456,0.16330142,0.19192839,0.080214202,0.0062879813,0.020671969,0.0099184634,0.036334667,0.37940687,1.6695151,1.3412057,3.8965793,2.7090003
44.0,3.5601349,6.5775723,8.6055431,10.018948,10.906899,9.2713671,10.367868,7.5625482,5.5752301,1.9056318,1.6086153,0.49464348,0.18294007,0.028755661,0.020577827,0.11354979,0.0035556294,0.74966639,0.67791402,1.3834693,1.3452761,3.9807715,2.7102635
45.0,3.5312262,5.8853192,8.2415972,10.010095,10.173518,9.7821579,8.8213644,6.0568972,4.5463099,2.6697407,1.4383142,0.37525049,0.20139216,0.21179186,0.029465714,0.22252449,0.099999934,0.37015599,1.0207248,1.4838799,1.3164076,3.7585862,2.5261345
46.0,4.1443701,5.9202895,7.8768826,9.1046143,10.648162,10.594342,10.248947,5.9747458,5.4165983,2.4538493,1.2471621,0.17682528,0.25984952,0.07605543,0.010563044,0.093503118,0.10221104,0.36960438,0.55461383,1.235202,1.3497607,3.8254194,2.6439869
47.0,4.2273364,5.1198459,9.0248938,10.16725,12.774634,11.602312,9.980114,6.26753,6.4897556,3.0990574,1.5285094,0.5564633,0.13046402,0.027264802,0.0037867026,0.054742519,0.036641218,0.42901126,0.4872584,1.7042046,1.3713816,4.1855536,2.8910143
48.0,3.2990677,4.7398596,8.2072287,9.7309065,12.809898,11.130507,10.074451,8.715045,7.3411884,3.1261787,1.7905746,0.66336119,0.29682314,0.0097740479,0.0013574796,0.019624423,0.013135361,0.1537945,0.24705561,1.5475627,1.466822,4.1958694,2.9267628
49.0,2.8685977,5.1242423,8.4267673,11.314775,11.705853,11.165455,10.079618,7.9601593,5.7353854,2.5464978,1.7811458,0.35767099,0.15564628,0.16197999,0.040871304,0.0070350794,0.0047088419,0.05513316,0.32465836,1.3503414,1.4111913,4.0583272,2.8936255
50.0,3.3168032,4.8355703,8.2062006,11.290738,10.336905,12.235143,10.078424,8.6118336,6.503653,3.3615277,1.3792869,0.18847574,0.055796999,0.058067545,0.017907707,0.0025219768,0.0016880536,0.019764462,0.24105269,1.5337402,1.4378916,4.1137552,2.9329283
51.0,2.3537872,4.8670387,8.3284597,10.085241,10.478669,11.533314,10.926015,9.5446138,7.2519789,4.023499,1.9123743,0.57758516,0.05930163,0.13260184,0.0064196605,0.00090409321,0.0022157629,0.0070852814,0.29355881,0.77102494,1.5268319,4.1577845,2.9493632
52.0,2.4021945,5.3338428,6.7053623,8.8036337,11.491355,11.344801,9.8006573,8.9782915,8.3708267,4.336421,1.2264144,0.33558965,0.29743358,0.15848731,0.13926516,0.00032410468,0.0770512,0.27847287,0.82435501,0.95405257,1.5305681,4.0929418,2.8129244
53.0,2.6291907,4.1126709,7.8057451,8.2969875,10.103591,9.6953096,8.9044647,8.9154615,7.1956267,3.856277,1.6885135,0.90500301,0.21315175,0.088085227,0.091568761,0.03186702,0.33233809,0.12851271,0.95024925,0.8355943,1.525592,3.8390105,2.5599337
54.0,2.7804086,4.7035065,8.1131277,8.9295616,9.8842106,9.916151,9.8445053,9.1601133,6.9708405,4.0904427,2.1121931,1.1114616,0.17891319,0.031577315,0.032826111,0.011423878,0.13762198,0.046069995,0.98714697,1.0325642,1.5207214,4.0037332,2.6690187
55.0,3.0060246,5.0073833,7.5140939,9.7370138,9.4884462,9.4162683,8.8929186,9.0998268,6.8398762,4.3894343,2.0221121,0.71698719,0.15083964,0.024764815,0.014944472,0.0040952996,0.049335547,0.016515445,0.50747967,1.2528634,1.504469,3.9075611,2.624964
56.0,2.8237972,3.86777,7.0992942,9.4351311,10.290699,10.874796,10.29731,8.3495436,6.8332539,4.9071536,1.6865445,0.88629818,0.88869172,0.008877838,0.0053573828,0.053828016,0.017686099,0.13944392,0.2147586,1.2561011,1.5544429,3.9968169,2.7122545
57.0,2.5817983,4.7393174,7.1863122,7.9220009,11.076192,9.427002,9.4009275,8.2811689,5.3294721,3.9113598,1.7970488,0.81808901,0.69691914,0.041471288,0.0036089339,0.04252648,0.15089881,0.41535619,0.15157053,0.88352638,1.5061324,3.7428284,2.5281203
58.0,2.3865707,3.9985931,8.1416245,8.8087463,10.627048,9.7700281,8.4477472,8.0781183,6.9250622,4.6858087,1.7388397,1.0025429,0.30763453,0.25035834,0.001293752,0.015245144,0.054095101,0.31815028,0.49989736,1.5113537,1.5167539,3.878438,2.5704153
59.0,2.438262,3.5071924,7.0018339,8.3113327,9.6100864,11.191008,8.531044,7.5728526,6.3007407,3.8133955,1.7288376,1.3675094,0.49918661,0.08974994,0.00046379186,0.039082192,0.019392332,0.18385883,0.47838208,0.8112005,1.5453615,3.6747706,2.4932508
60.0,2.696116,4.0559802,6.5840912,8.7143469,10.069961,11.230743,9.4061365,8.4409208,7.2825937,4.1139007,2.3371227,1.2922146,0.19176127,0.045140635,0.00016626285,0.014010416,0.0069518783,0.18314396,0.2813575,0.45648381,-1.560766,3.8701572,2.6643262
61.0,2.1514177,4.6257038,6.6698871,8.166461,9.8286924,11.35775,9.2019253,8.0346842,7.6240277,4.3250189,1.8083467,0.89384401,0.75083637,0.021326091,5.9602891e-05,0.005022537,0.0024921505,0.15658334,0.36096376,0.42498797,-1.5602709,3.8205016,2.6261055
62.0,2.5148785,5.3458891,6.365993,7.9402986,9.818861,10.927727,10.563605,8.3206902,7.3668227,3.4620721,1.7984982,0.6876356,0.5384686,0.079792805,2.1366797e-05,0.0018005088,0.12449174,0.05613292,0.14504246,0.70844007,1.5525528,3.8383582,2.6603637
63.0,2.4828286,5.561533,7.0949759,8.6048937,9.6232376,8.9716234,9.2568989,7.5657215,5.9338293,2.7265401,1.5715191,0.72209316,0.36455879,0.028604597,7.6596962e-06,0.00064545707,0.081158049,0.083373576,0.12031659,0.57218921,1.4701158,3.5683274,2.4813612
64.0,2.9772444,4.44943,6.6220007,8.7094297,9.5160837,8.5474224,7.6137753,7.6364384,5.7551918,2.4427316,1.565066,1.1415397,0.13751522,0.10401914,2.7458932e-06,0.059175141,0.19234498,0.045700606,0.48711538,0.89654726,1.4560198,3.4449387,2.3206544
65.0,2.9302561,4.995935,6.6295905,8.0546818,8.6373653,8.7530346,8.2087641,7.1195087,5.5553498,2.9105246,1.4939657,0.95117092,0.39172551,0.070823617,0.027789183,0.021213455,0.16826396,0.22311661,0.63683295,1.1880435,1.4484309,3.4483979,2.2641847
66.0,1.8684793,4.3208661,7.2236357,7.9351702,7.8014779,8.6133995,8.0753613,7.1802516,4.9564624,4.349225,1.1878682,1.2070248,0.41252592,0.26390049,0.15098597,0.08290606,0.39212433,0.19673352,0.42798448,1.3357359,1.5015988,3.399106,2.1816411
67.0,3.0809774,4.3157558,7.1020389,7.4825053,8.4632244,9.6412344,8.0545521,7.2209759,5.4520683,3.3377554,1.8923268,0.85676378,0.40888092,0.2395207,0.054126345,0.11783163,0.19422533,0.3102386,0.67415631,2.0278656,1.4560646,3.5463512,2.247946
68.0,3.1677952,4.1210537,6.3397875,7.2689614,8.3124123,9.0448637,8.1505804,6.6014109,5.0139489,3.0396581,1.230829,0.62420088,0.20538425,0.085864797,0.12656374,0.12128582,0.16450603,0.24660408,0.87858248,2.0737469,1.4194069,3.3409021,2.1582789
69.0,4.4475613,5.2952313,6.763021,6.8597903,8.4125195,9.2527714,7.7272072,7.030416,5.2222195,3.0649149,0.98164237,1.6634989,0.48054618,0.21472076,0.2069505,0.12768446,0.24553041,0.20140164,0.45678079,2.1901734,1.3990165,3.5422292,2.1735747
70.0,4.3086152,4.7351837,7.284481,8.8779688,7.2757125,9.9641304,7.9914651,5.6095929,3.5235693,3.2915194,1.0057993,1.1208988,0.1844755,0.28143016,0.074188843,0.06437467,0.13913172,0.19394253,0.9045499,2.8394332,1.3043901,3.4835231,2.2038548
71.0,4.5667682,4.7792854,6.8606029,8.5050459,7.8932247,10.448764,8.2103319,5.5652404,3.5842304,2.4293938,1.9340348,1.0431203,0.22295502,0.53733361,0.17556991,0.20028029,0.28216645,0.30863288,0.91152847,2.2655542,1.3227158,3.5362031,2.1923628
72.0,4.2059445,5.332664,6.2541213,8.1289492,7.0346074,8.5709829,8.1799479,5.6489658,4.2727566,2.6140318,1.9412665,1.1945692,0.40658957,0.20116889,0.1003655,0.36601567,0.30216786,0.68147886,0.92784643,2.6475017,1.329257,3.450597,2.0286965
73.0,3.153116,4.1181021,7.2574992,8.3914175,8.8271723,8.4376621,8.2598438,6.1039071,4.9060926,2.5016952,1.5105361,0.72403067,0.68308282,0.19171457,0.077104054,0.21526492,0.13498685,0.24430057,0.71533054,3.1042535,1.3650306,3.4778557,2.1879485
74.0,2.6026084,4.6168585,7.3086228,8.5511599,8.260273,8.8641539,8.3872137,7.5439339,5.015615,3.8360424,1.844013,0.67397934,0.93756843,0.10459939,0.050307047,0.14716561,0.26064479,0.54563427,0.73949778,2.1613026,1.4487594,3.6225598,2.2539282
75.0,2.7496898,5.0563445,6.6874533,8.6619101,8.8105402,8.7331371,8.2348852,7.3069916,5.5442209,3.6362262,2.5950203,0.60233253,0.45858696,0.037497412,0.018034367,0.099633589,0.093437485,0.47338572,0.80219334,1.4686238,1.4665422,3.6035073,2.2994435
76.0,2.811259,4.9092345,6.0762119,8.7250996,8.4638224,9.99891,9.6888313,7.0922265,6.3451114,4.4071584,2.7414453,0.43270415,0.25312918,0.069166273,0.0064650672,0.083531201,0.13318814,0.34100732,0.80979514,1.0908072,1.5258394,3.7239552,2.4322495
77.0,2.9411635,4.485651,6.7581148,9.2908974,9.164607,8.9696789,8.7231779,7.9833202,6.2604566,4.7008338,2.8243139,0.31081897,0.44180003,0.027454101,0.0023176356,0.029944761,0.21333314,0.34161118,0.78176594,1.0136849,1.5213722,3.7632473,2.4422774
78.0,2.5338573,4.7664528,7.115591,8.8843145,10.27375,10.089806,8.7847815,8.4504547,6.0002384,4.007021,1.9565825,0.9691295,0.34551838,0.40557027,0.015953656,0.010734775,0.2019501,0.24160579,0.5366717,1.3156811,1.504567,3.8452833,2.5402682
79.0,2.5553138,5.8226452,7.2754207,10.127275,10.838877,10.244067,9.7952347,7.7566562,5.6272464,4.4396935,1.7679815,0.38540229,0.29757318,0.15477356,0.0057191611,0.071280606,0.15456505,0.13289846,0.58936256,1.8273015,1.4443476,3.9934645,2.6930196
80.0,3.6203125,5.0812178,8.358716,10.294515,10.550323,11.24761,8.9245138,7.0225959,4.8581853,3.8853683,1.3966274,0.23631586,0.19217466,0.15595157,0.068121925,0.025553092,0.29757106,0.10796824,0.41661832,1.3340411,1.3859922,3.9037151,2.6902425
81.0,4.249166,5.0560355,8.3664207,10.835175,9.9492464,11.74692,9.9851675,8.114255,6.8318753,4.1811643,1.2624149,0.24148932,0.24922998,0.14434107,0.024420751,0.0091604237,0.12996161,0.038705096,0.94446021,1.6512055,1.4203902,4.2005405,2.8437696
82.0,3.8675199,5.2451334,7.7382593,10.977399,10.641638,10.249712,9.8082323,7.2929692,5.3114257,3.0949183,1.5547345,0.31565344,0.08934544,0.051744238,0.0087544955,0.003283883,0.046589408,0.060506988,0.41743523,2.3515444,1.3685292,3.9563398,2.7285523
83.0,4.0046015,4.952826,8.3137264,10.489662,10.099739,11.018571,8.4426241,6.4848146,4.2432284,3.22474,1.4845171,0.52392548,0.032029081,0.096439213,0.067251287,0.0011772258,0.060307279,0.34107864,0.56075877,1.4233638,1.3438298,3.7932692,2.6103063
84.0,3.5130804,4.95718,9.8433514,9.4465141,9.4215527,10.131382,8.7123804,8.1206055,5.3195124,3.30917,1.8564553,0.8568244,0.16728833,0.18702687,0.10692669,0.03066366,0.45735332,0.23368962,0.43456864,1.3638253,1.4018754,3.9234676,2.5923553
85.0,3.2512214,6.3440957,8.448287,10.858472,9.5580959,9.7125835,8.8209648,7.4056492,4.6998267,2.3510256,1.6915374,0.606363,0.081988461,0.15015504,0.15391317,0.010992491,0.1816507,0.60804898,0.52103674,2.3535173,1.3183452,3.8904712,2.5906487
86.0,4.121654,5.9825616,8.4272175,9.8045788,10.712767,8.7145004,7.6436796,5.818049,4.2611194,2.7846203,1.1643029,0.97487962,0.33230957,0.32869226,0.055175707,0.027711092,0.10924066,0.85086465,0.76317042,1.4968671,1.2813225,3.718698,2.4224184
87.0,4.2697105,6.1626053,8.151432,10.13803,11.1145,8.9409599,8.3768902,6.2406373,4.3857541,3.1220622,1.1215568,0.4931201,0.16391963,0.21323466,0.049623162,0.033696022,0.039161239,0.30502298,0.75443017,1.8741604,1.2921247,3.7975254,2.556555
88.0,4.4075861,6.6649432,7.5157661,9.3125238,10.691811,9.9658651,7.7774997,6.7985897,4.6438284,2.5826242,0.73869795,0.35120389,0.11336349,0.076441623,0.017789204,0.074402288,0.030173298,0.20191424,0.58621895,1.8069199,1.2914495,3.7179081,2.5564468
89.0,3.762924,5.7993288,7.1466246,9.2314405,9.8793402,9.6057949,7.7716632,7.0532942,3.5623398,3.8343,1.1637402,0.30111969,0.1519721,0.027403247,0.1487309,0.026672171,0.13480256,0.21296155,1.0089806,1.5344687,1.3359183,3.6178951,2.4214177
90.0,3.402102,5.6897311,7.5534601,8.7081099,9.440156,9.2844353,9.9427586,6.7733383,5.0623913,3.5093327,1.6751829,0.26589298,0.33264953,0.071049832,0.053317938,0.020512857,0.048324823,0.13818628,0.7872501,1.937524,1.3927889,3.7347853,2.483031
91.0,3.9167175,5.9901624,8.1299715,9.1452322,9.9615793,9.6259766,9.1105156,7.5080309,4.4920735,2.6703515,1.1328434,0.41763517,0.48093352,0.093190022,0.06958092,0.0073535703,0.017323768,0.13660169,0.38544136,1.545222,1.3518192,3.7418368,2.5581369
92.0,3.2773688,5.6019082,8.3271437,8.4552679,8.4050112,9.389101,10.060305,5.6043825,4.7243128,3.2678289,1.2663723,0.68837178,0.43748116,0.4153505,0.02494378,0.016167503,0.16874385,0.18027762,0.93998146,1.4567146,1.3726419,3.6353517,2.3756242
93.0,4.5076232,5.3007679,7.8715692,8.351696,8.2232914,8.1082087,8.526041,6.6629553,4.0604477,2.2971342,1.2753789,0.26985973,0.24728794,0.31385249,0.10516701,0.0071728462,0.060492296,0.39762509,0.5662995,1.2729825,1.3181913,3.4212925,2.2644079
94.0,4.32201,5.753149,6.9029813,8.8724051,8.8599844,9.3442621,8.1814547,6.6536174,4.5067983,1.9589376,1.5137078,0.42434534,0.13732883,0.1125117,0.056069534,0.0025713644,0.021685636,0.7279461,0.92168677,2.0989795,1.3011794,3.5686216,2.336585
95.0,3.5697789,5.9499898,8.3536558,8.995985,8.6519947,9.9608154,8.709403,5.1641512,4.5969429,2.1851878,1.5912981,0.3792485,0.2033896,0.04033386,0.057997085,0.00092179794,0.054473534,0.33316001,1.0804865,2.2323725,1.2863004,3.6055794,2.4006288
96.0,4.3908353,6.2301583,9.0142326,8.7779436,8.960043,9.1255732,8.4998846,5.5756345,4.6616306,2.4062653,1.4195975,0.21906321,0.20880368,0.014459121,0.020791139,0.023100184,0.019527996,0.52614582,1.1671958,2.3410482,1.2504103,3.6800966,2.4207735
