M,MEK,MKP3,M_MEK_T,M_MEK_Y,M_MKP3_T,M_MKP3_Y,MpT,MpT_MEK,MpT_MKP3_T,MpT_MKP3_Y,MpY,MpY_MEK,MpY_MKP3,Mpp,Mpp_MKP3,Time
516.0076898644148,6.367133962667864,9.50385348210281,163.84494776190573,8.065318456578193,35.101292911508786,53.87909744960197,2.181213016417729,0.03145752228554011,0.13040419705331158,0.17684930321859613,17.664855485321954,1.6911422965625278,1.2050488440192355,0.017229078615975668,0.0034538124953015217,2.03
515.8835495930302,6.368101283872038,9.461758286243562,163.83610581141954,8.061862915544838,35.1255660801723,53.89738193405543,2.192866550445084,0.031695971039460986,0.1305211675550707,0.17715637840503845,17.735992758707404,1.7022340181239621,1.2041262610940544,0.01745066793269398,0.0034898924745512113,2.04
515.7601483723516,6.369062680845722,9.420362030412418,163.82720737119058,8.0584637045785,35.14957048574217,53.91523005801941,2.2045184068726518,0.03193477478469073,0.13063827207145592,0.17746230935493812,17.80708408088694,1.7133314686003687,1.203210648192573,0.01767385114667968,0.003526196207043895,2.05
515.6374814439469,6.370016840998018,9.379661305196842,163.8182539044013,8.055120715127158,35.1733073593935,53.93264401000582,2.2161685436860905,0.03217393023976795,0.13075551728264667,0.17776712184686932,17.878129531669337,1.724434609233614,1.2023019607611691,0.017898626892450656,0.0035627255131589247,2.06
515.515530388946,6.370964616376216,9.339636940152456,163.80924658496514,8.051832112078257,35.19678343109905,53.949635133036324,2.2278167815670846,0.032413430817832746,0.13087299049209017,0.17807091258563063,17.949129389335386,1.735543255762382,1.2014011109832317,0.018124996679997563,0.003599481651230725,2.07
515.3942836535797,6.371905797082006,9.300277659358747,163.80018671167701,8.048596923378023,35.22000267619301,53.96621018440736,2.2394630097220896,0.03265327156869343,0.13099073872848993,0.178373742905136,18.020083832559017,1.746657296294129,1.200508532242901,0.018352960579704907,0.003636466164365745,2.08
515.2737296840785,6.372840173217079,9.261572186895208,163.7910755833316,8.045414176972681,35.24296907000957,53.9823759214154,2.2511071173575585,0.0328934475421583,0.13110880902054958,0.1786756741392994,18.09099304001415,1.7577766189363102,1.199624657924319,0.018582518661957162,0.0036736805956704296,2.09
515.1538571225769,6.373767746603827,9.223509235626596,163.78191431125876,8.042282879905656,35.26568659197112,53.998139107984684,2.2627489938568837,0.03313395371009338,0.13122724840021166,0.1789767675847831,18.161857194795626,1.7689011085215232,1.19874992194679,0.018813671000753682,0.003711126485832792,2.1
515.0346553679041,6.374689336849522,9.18607747510005,163.77270328269208,8.039201958481945,35.2881592372909,54.01350653363985,2.2743885292868837,0.033374784743307566,0.1313461039119295,0.17927708439436207,18.23267649707431,1.7800306372330108,1.1978847602967233,0.01904641768405635,0.0037488053661994787,2.11
514.9161136571023,6.375605433406205,9.149265736578561,163.76344316236617,8.036170385361153,35.310390944736575,54.02848489402598,2.286025614902067,0.03361593546075294,0.13146542177923662,0.17957668501749338,18.303451139211564,1.7911650834055546,1.19702959908827,0.01928075876873183,0.003786718773895962,2.12
