DUSP,cFOS,cFOSm,cFOSp,pRSKn,pcFOS,ppERKc,ppERKn,x1,x2,Time
0.7946606045052754,0.013728050896076078,0.05539243412541745,0.0800148322956247,0.05936750117195689,0.001100240036656728,0.8649285447945526,0.21219108803437728,0.8973193890762928,0.03239084428174018,5.32
0.796782699206707,0.013840953876692997,0.05574883329458432,0.08032741611058788,0.059490567072423735,0.00111268422150926,0.8654946059286599,0.2122277609288528,0.8979459921359223,0.0324513862072624,5.33
0.7989051578621067,0.013954479440106672,0.05610650992981635,0.08064007025667208,0.05961348488046858,0.0011252371699701205,0.866058630613693,0.2122638758080648,0.8985705574638233,0.03251192685013029,5.34
0.8010279748803922,0.014068628910076096,0.056465463351702806,0.0809527909553352,0.05973625425936593,0.0011378995188368404,0.8666206254763889,0.21229943743556906,0.8991930916867599,0.03257246621037103,5.3500000000000005
0.8031511447671328,0.01418340360296176,0.056825692862397144,0.08126557446024861,0.05985887488257057,0.0011506719062738583,0.8671805971219338,0.21233444646539956,0.8998136014099456,0.03263300428801179,5.36
0.8052746619852041,0.01429880482770145,0.05718719774604,0.08157841701659475,0.05998134641974289,0.0011635549718025178,0.8677385521340338,0.21236890763796418,0.9004320932171136,0.032693541083079744,5.37
0.8073985210941145,0.014414833885789903,0.05754997726848365,0.08189131490165961,0.060103668550712225,0.0011765493562910265,0.8682944970749845,0.2124028215847255,0.9010485736705866,0.03275407659560207,5.38
0.8095227166102307,0.014531492071255201,0.057914030677715306,0.08220426438459114,0.06022584095145901,0.0011896557019443826,0.8688484384857404,0.2124361930230835,0.9016630493113464,0.03281461082560594,5.39
0.8116472431465577,0.01464878067063909,0.058279357203582426,0.08251726176646564,0.06034786330812381,0.0012028746522942683,0.8694003828859851,0.21246902256368247,0.9022755266591036,0.03287514377311852,5.4
0.8137720952724883,0.014766700962973986,0.05864595605821575,0.08283030334078684,0.06046973530294179,0.0012162068521889065,0.8699503367741991,0.21250131489409707,0.9028860122123661,0.032935675438166986,5.41
0.8158972676540414,0.014885254219763987,0.05901382643575669,0.08314338543253569,0.060591456628297714,0.0012296529477828946,0.8704983066277303,0.2125330706102152,0.9034945124485088,0.0329962058207785,5.42
0.8180227549132907,0.015004441704962505,0.059382967512777364,0.08345650435935331,0.06071302697262816,0.001243213586526998,0.8710442989028615,0.21256429438419577,0.9041010338238418,0.03305673492098024,5.43
0.8201485517697735,0.015124264674953902,0.05975337844801002,0.08376965647145589,0.06083444603459416,0.0012568894171579154,0.8715883200348797,0.21259498670410326,0.9047055827736791,0.033117262738799384,5.44
