Time,M,Ma,Bn,Ba,Cy,J,c,b,d,k,e1,e2,Amax,kc,alpha,delta,g,f1,f2,Wmax,W,parameter_1,compartment1
0.41000000000000003,475619.5371886683,1429.2094540576036,89.1101787687184,1471.8528754650379,1.8928767180417822e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,11000.678528645634,8.198677777777778,1.0
0.42,475557.55714473187,1494.1585531634955,92.23502509468267,1508.3353913553556,2.0614758005115167e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,11212.561732956323,8.179599999999999,1.0
0.43,475494.2260390859,1560.580194470024,95.39373884845685,1545.365697475598,2.2404126298977788e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,11428.27203858511,8.160544444444445,1.0
0.44,475429.52648067416,1628.4944513540722,98.58748529697561,1582.9737714441612,2.4301074497352385e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,11647.873393108861,8.141511111111113,1.0
0.45,475363.4397800028,1697.9227317124205,101.8175267671077,1621.1895118487917,2.630999162783464e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,11871.430711728426,8.1225,1.0
0.46,475295.9460106581,1768.8877195691048,105.08520735312204,1660.0427921521728,2.8435462503145677e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,12099.009890036663,8.103511111111109,1.0
0.47000000000000003,475227.02396848385,1841.4134177234632,108.39195930321314,1699.5635088815973,3.0682282993744814e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,12330.677816921529,8.084544444444443,1.0
0.48,475156.6512334172,1915.5250889201475,111.7392881594371,1739.781634599989,3.3055469160984315e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,12566.502387605527,8.0656,1.0
0.49,475084.80411444296,1991.2493126601137,115.12878186406775,1780.7272656249866,3.5560279054875505e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,12806.552516821775,8.046677777777777,1.0
0.5,475011.4577153844,2068.613922400764,118.56209515296406,1822.4306751787244,3.820221618903407e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,13050.898152127937,8.027777777777779,1.0
0.51,474936.5858695877,2147.648072731821,122.04096000281896,1864.9223640896364,4.0987056899598605e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,13299.610287358984,8.0089,1.0
0.52,474860.1612025358,2228.3821795344584,125.56717146135657,1908.2331101415377,4.3920852768652066e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,13552.760976219135,7.990044444444444,1.0
0.53,474782.1550647187,2310.847989315008,129.14259688408805,1952.3940259446588,4.700995823582736e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,13810.423346014224,7.9712111111111135,1.0
0.54,474702.5375835263,2395.078529752655,132.76916495005804,1997.4366032868325,5.026103577289602e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,14072.671611525408,7.952400000000002,1.0
0.55,474621.2776025261,2481.10817297388,136.4488724538938,2043.392776516328,5.368108318932932e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,14339.58108902433,7.93361111111111,1.0
0.56,474538.34271242854,2568.972606848878,140.18377739144398,2090.294966875265,5.727744169719815e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,14611.228210431356,7.914844444444443,1.0
0.5700000000000001,474453.69920414453,2658.7088846392626,143.97600307455107,2138.176146520219,6.105782372940386e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,14887.690537617453,7.896100000000001,1.0
0.58,474367.31207709934,2750.355418982118,147.82773467318998,2187.0698869140465,6.50303245164494e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,15169.046776850315,7.877377777777777,1.0
0.59,474279.14500407205,2843.95201977608,151.7412214682577,2237.0104220930116,6.920344883382312e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,15455.376793385356,7.858677777777777,1.0
0.6,474189.16031837324,2939.539909456906,155.7187762878983,2288.0327029061646,7.358612890471613e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,15746.761626203104,7.840000000000002,1.0
0.61,474097.318989581,3037.1617499552276,159.762776101081,2340.1724587603235,7.818774769612962e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,16043.283502893102,7.8213444444444455,1.0
0.62,474003.5805904999,3136.8616784439578,163.87566397720497,2393.466260287576,8.30181647273828e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,16345.025854685082,7.802711111111112,1.0
0.63,473907.9032821554,3238.685324936806,168.05994847708862,2447.9515775848736,8.808773607275909e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,16652.073331628715,7.784099999999998,1.0
0.64,473810.2437621992,3342.6798669596515,172.31820751007092,2503.6668545722882,9.340734827151979e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,16964.511817921928,7.765511111111111,1.0
0.65,473710.55725708534,3448.8940397931715,176.653087106293,2560.651561912379,9.898843541449612e-05,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,17282.42844738956,7.746944444444444,1.0
0.66,473608.7974530824,3557.378209004246,181.06730672365987,2618.946285693796,0.00010484302254592473,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,17605.911619111717,7.728399999999999,1.0
0.67,473504.9164944023,3668.1843745234364,185.56365767377702,2678.592774158478,0.00011098373868108897,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,17935.051013203713,7.709877777777779,1.0
0.68,473398.86489695875,3781.366260959344,190.1450097669699,2739.63404304488,0.0001174238719280042,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,18269.937606748037,7.691377777777778,1.0
0.6900000000000001,473290.59155188384,3896.979316067513,194.81430943529998,2802.114415311297,0.0001241773773666536,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,18610.663689878344,7.6729,1.0
0.7000000000000001,473180.0436218396,4015.0808190914363,199.57458767931976,2866.0796460053066,0.00013125894520640475,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,18957.322882017204,7.654444444444446,1.0
0.71,473067.1665492714,4135.729874268568,204.4289579724263,2931.5769538136014,0.0001386840036942008,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,19310.01014826773,7.63601111111111,1.0
0.72,472951.9039351618,4258.987537366353,209.38062540076535,2998.655168588253,0.0001464688010066333,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,19668.821815959313,7.617599999999999,1.0
0.73,472834.19755120465,4384.916805035313,214.43288449429423,3067.3647538341397,0.00015463040352741342,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,20033.855591349344,7.599211111111109,1.0
0.74,472713.98720070696,4513.582759888188,219.58912947983103,3137.757979682972,0.0001631867929198811,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,20405.210576480258,7.580844444444445,1.0
0.75,472591.21073401783,4645.052556373014,224.85285212039733,3209.8889360800695,0.00017215685936135128,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,20782.987286193536,7.5625,1.0
0.76,472465.80389086483,4779.395585150202,230.22765312026576,3283.813733820619,0.00018156051601882418,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,21167.287665300322,7.544177777777778,1.0
0.77,472337.7003185613,4916.683455986276,235.71723996660995,3359.5905084814763,0.00019141868667743605,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,21558.2151059102,7.525877777777779,1.0
0.78,472206.8313947686,5056.990182469426,241.32543959740752,3437.279652454568,0.00020175343967760955,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,21955.87446491836,7.507600000000001,1.0
0.79,472073.12624693307,5200.392163541841,247.05619630432525,3516.943811020152,0.00021258797085802088,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,22360.372081651145,7.489344444444445,1.0
0.8,471936.5115595506,5346.968384333583,252.9135853909864,3598.6481419523343,0.00022394675438448352,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,22771.815795671664,7.471111111111109,1.0
0.81,471796.91158216336,5496.800409452531,258.90181203157937,3682.4603197664533,0.00023585553146875254,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,23190.314964744906,7.4529,1.0
0.8200000000000001,471654.2479383356,5649.972582123457,265.0252246839106,3768.450801207402,0.0002483414642421113,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,23615.980482963994,7.434711111111111,1.0
0.8300000000000001,471508.43959996704,5806.57205227633,271.2883164767327,3856.692868945723,0.00026143314978376665,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,24048.92479903678,7.416544444444444,1.0
0.84,471359.4027143686,5966.688957001953,277.69573724124194,3947.262879240908,0.00027516076256789114,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,24489.261934734484,7.398400000000001,1.0
0.85,471207.05053440435,6130.4164943317965,284.2522981200488,4040.24036356026,0.0002895561049890962,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,24937.107503502375,7.380277777777779,1.0
0.86,471051.2932657952,6297.85108277074,290.9629821265352,4135.708252120424,0.00030465273480444123,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,25392.57872923251,7.362177777777778,1.0
0.87,470892.0379494743,6469.092484539475,297.8329521912187,4233.753043475487,0.0003204860584227095,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,25855.794465199913,7.344100000000002,1.0
0.88,470729.1883300142,6644.243943236386,304.8675602150625,4334.4649994388365,0.0003370934404695398,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,26326.87521316214,7.3260444444444435,1.0
0.89,470562.6446858828,6823.412361013955,312.0723588608841,4437.938393727848,0.00035451434710498646,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,26805.943142621916,7.30801111111111,1.0
0.9,470392.3037201112,7006.7084132098325,319.45310901892947,4544.271673557963,0.00037279043458596716,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,27293.12211025511,7.289999999999998,1.0
0.91,470218.0583334389,7194.246784631411,327.01579573310465,4653.567799734994,0.0003919657508362823,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,27788.537679502257,7.272011111111111,1.0
0.92,470039.7975384855,7386.146259858071,334.76663396726894,4765.934369992249,0.0004120867996946522,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,28292.317140325824,7.254044444444444,1.0
0.93,469857.4061700643,7582.530024526679,342.7120891308479,4881.484064364746,0.00043320281015049567,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,28804.58952913194,7.2360999999999995,1.0
0.9400000000000001,469670.76482420164,7783.525729934099,350.85888101465844,5000.3347252131925,0.0004553657726411643,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,29325.48564885832,7.21817777777778,1.0
0.9500000000000001,469479.7494991525,7989.265865970778,359.2140094578539,5122.609923341662,0.0004786307868574765,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,29855.13808922821,7.200277777777779,1.0
0.96,469284.2315606241,8199.887798649443,367.78475630694095,5248.438989557516,0.0005030560660819507,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,30393.681247169647,7.182399999999999,1.0
0.97,469084.07730624283,8415.534222129778,376.5787168484069,5377.957718922268,0.0005287033761411669,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,30941.251347401903,7.164544444444442,1.0
0.98,468879.147958265,8636.353167884066,385.60379963668277,5511.308348606298,0.0005556380035082856,50000.0,0.1,0.09,0.5,0.4,1e-08,1e-08,20000000.0,1.0,5e-09,25.0,1e-05,1e-05,1e-05,40000000.0,31497.9864631885,7.146711111111111,1.0
