G,Ii,Ip,x1,x2,x3,Time
12281.143532652464,242.84903173762112,91.95428998736888,109.48335878343407,112.61193472257101,105.01500336655214,0.65
12280.204464989296,242.84188915965257,91.93277628898821,109.46874834895536,112.60932257637343,105.02133041819341,0.66
12279.265604376586,242.83473425573257,91.9112681979899,109.45413216648839,112.60670043337221,105.02765001944177,0.67
12278.326951025956,242.827567033074,91.88976572021448,109.43951024549446,112.6040682971105,105.03396216817754,0.68
12277.388505148749,242.82038749889156,91.8682688614897,109.42488259543185,112.60142617113637,105.0402668622858,0.6900000000000001
12276.45026695602,242.81319566040185,91.84677762763043,109.4102492257558,112.5987740590028,105.04656409965635,0.7000000000000001
12275.512236658544,242.80599152482324,91.82529202443881,109.39561014591854,112.59611196426773,105.05285387818368,0.71
12274.574414466808,242.79877509937597,91.80381205770418,109.38096536536922,112.59343989049398,105.05913619576702,0.72
12273.63680059102,242.7915463912821,91.78233773320312,109.36631489355396,112.59075784124926,105.06541105031033,0.73
12272.699395241105,242.78430540776552,91.76086905669948,109.3516587399158,112.58806582010618,105.07167843972226,0.74
12271.762198626704,242.77705215605187,91.7394060339443,109.33699691389475,112.58536383064225,105.07793836191621,0.75
12270.825210957175,242.76978664336863,91.71794867067598,109.32232942492769,112.58265187643987,105.08419081481028,0.76
12269.888432441598,242.76250887694505,91.69649697262012,109.30765628244843,112.5799299610863,105.09043579632731,0.77
12268.951863288767,242.75521886401214,91.67505094548967,109.2929774958877,112.57719808817366,105.09667330439484,0.78
12268.015503707196,242.74791661180268,91.65361059498487,109.27829307467312,112.57445626129896,105.10290333694515,0.79
12267.07935390512,242.74060212755123,91.63217592679327,109.2636030282292,112.57170448406404,105.10912589191521,0.8
12266.143414090488,242.73327541849406,91.61074694658974,109.24890736597733,112.56894276007561,105.11534096724675,0.81
12265.207684470972,242.72593649186922,91.58932366003654,109.23420609733579,112.56617109294521,105.1215485608862,0.8200000000000001
12264.272165253964,242.71858535491648,91.56790607278325,109.2194992317197,112.5633894862892,105.1277486707847,0.8300000000000001
12263.336856646576,242.7112220148773,91.5464941904668,109.20478677854103,112.5605979437288,105.13394129489812,0.84
12262.401758855636,242.7038464789949,91.52508801871154,109.19006874720866,112.55779646889003,105.14012643118707,0.85
12261.466872087696,242.6964587545142,91.50368756312919,109.17534514712824,112.55498506540374,105.14630407761686,0.86
12260.53219654903,242.68905884868175,91.48229282931888,109.1606159877023,112.55216373690558,105.15247423215752,0.87
12259.597732445625,242.68164676874585,91.46090382286714,109.14588127833018,112.54933248703601,105.1586368927838,0.88
12258.663479983199,242.67422252195647,91.43952054934795,109.13114102840805,112.54649131944028,105.16479205747521,0.89
12257.729439367185,242.66678611556523,91.41814301432271,109.11639524732888,112.54364023776843,105.17093972421593,0.9
