T,GABA,H,HG,N,NG,NMDA,Q,U,V,VGABA
20.0,0.18813737,0.54468232,0.98929769,1.9016114e-05,0.099975444,0.0,0.0042965696,111.47676,-83.761131,-69.074257
21.0,0.17023373,0.57839715,0.98783094,1.9203475e-05,0.094590202,0.0,0.0047183577,111.27103,-83.695618,-68.20343
22.0,0.15403384,0.60950559,0.98624176,1.939305e-05,0.090436667,0.0,0.0051364065,111.06607,-83.629974,-67.372223
23.0,0.13937558,0.63821697,0.98453069,1.9584864e-05,0.087353386,0.0,0.0055507342,110.86188,-83.564194,-66.579109
24.0,0.12611224,0.66472316,0.98269933,1.977893e-05,0.08520107,0.0,0.0059613576,110.65844,-83.498291,-65.82238
25.0,0.11411107,0.68920022,0.98074925,1.9975309e-05,0.083859108,0.0,0.0063682953,110.45576,-83.432259,-65.10022
26.0,0.10325197,0.71180952,0.97868323,2.0173991e-05,0.083222724,0.0,0.006771564,110.25384,-83.366104,-64.410789
27.0,0.093426242,0.73269928,0.97650433,2.0375002e-05,0.083200678,0.0,0.007171182,110.05266,-83.299828,-63.752193
28.0,0.084535562,0.75200546,0.97421563,2.0578378e-05,0.08371333,0.0,0.0075671664,109.85223,-83.233421,-63.122547
29.0,0.076490939,0.76985294,0.97182053,2.0784135e-05,0.084691107,0.0,0.0079595353,109.65254,-83.166901,-62.519955
30.0,0.069211863,0.78635633,0.96932214,2.0992313e-05,0.08607316,0.0,0.0083483076,109.45359,-83.100266,-61.942532
31.0,0.062625483,0.80162096,0.96672314,2.1202934e-05,0.087806337,0.0,0.0087334989,109.25537,-83.033508,-61.388397
32.0,0.056665879,0.81574363,0.96402609,2.1416017e-05,0.089844279,0.0,0.0091151297,109.05789,-82.966637,-60.855679
33.0,0.051273406,0.82881314,0.96123242,2.1631597e-05,0.092146672,0.0,0.0094932169,108.86114,-82.899651,-60.342503
34.0,0.046394095,0.84091139,0.95834321,2.1849664e-05,0.094678663,0.0,0.009867778,108.66511,-82.83255,-59.847004
35.0,0.041979112,0.85211349,0.95535737,2.2070382e-05,0.097410277,0.0,0.010238832,108.4698,-82.765335,-59.367298
36.0,0.037984271,0.86248851,0.95227343,2.2293621e-05,0.10031611,0.0,0.010606397,108.27521,-82.698013,-58.901474
37.0,0.034369588,0.87210011,0.9490878,2.2519454e-05,0.10337491,0.0,0.010970492,108.08134,-82.630585,-58.447578
38.0,0.031098891,0.88100684,0.94579494,2.2747923e-05,0.10656932,0.0,0.011331134,107.88817,-82.563049,-58.00359
39.0,0.028139438,0.8892625,0.94238657,2.2979057e-05,0.10988576,0.0,0.01168834,107.69571,-82.495407,-57.567375
40.0,0.025461616,0.89691675,0.93885183,2.3212848e-05,0.11331431,0.0,0.012042132,107.50396,-82.427666,-57.13665
41.0,0.023038622,0.90401524,0.9351756,2.3449456e-05,0.11684866,0.0,0.012392526,107.31291,-82.359818,-56.708908
42.0,0.020846209,0.91060007,0.93133855,2.3688764e-05,0.12048639,0.0,0.012739542,107.12256,-82.291862,-56.28133
43.0,0.018862428,0.9167099,0.92731494,2.3930843e-05,0.12422915,0.0,0.013083197,106.9329,-82.223816,-55.850639
44.0,0.017067431,0.92238063,0.92307109,2.417571e-05,0.12808329,0.0,0.01342351,106.74393,-82.15567,-55.412926
45.0,0.01544325,0.92764503,0.91856235,2.4423396e-05,0.13206071,0.0,0.0137605,106.55565,-82.087433,-54.963341
46.0,0.01397363,0.93253356,0.91372818,2.4674055e-05,0.13618031,0.0,0.014094184,106.36806,-82.019089,-54.495659
47.0,0.012643863,0.93707418,0.90848571,2.4927558e-05,0.14047037,0.0,0.014424583,106.18114,-81.950661,-54.001484
48.0,0.01144064,0.94129276,0.90271735,2.5183985e-05,0.14497243,0.0,0.014751714,105.9949,-81.882133,-53.468998
49.0,0.01035192,0.94521314,0.89624995,2.5443385e-05,0.14974801,0.0,0.015075595,105.80935,-81.813522,-52.880539
50.0,0.0093668047,0.94885731,0.88881463,2.5705767e-05,0.15489121,0.0,0.015396247,105.62446,-81.74482,-52.207775
51.0,0.008475435,0.95224559,0.87996298,2.5971172e-05,0.16055425,0.0,0.015713686,105.44024,-81.676025,-51.40073
52.0,0.007668891,0.95539677,0.86886328,2.6239642e-05,0.16700722,0.0,0.016027933,105.25668,-81.607147,-50.358334
53.0,0.0069390996,0.95832819,0.85368234,2.6511203e-05,0.17481178,0.0,0.016339006,105.07379,-81.538185,-48.824257
54.0,0.0062787575,0.96105576,0.82866633,2.6785887e-05,0.18559575,0.0,0.016646923,104.89156,-81.469139,-45.741539
55.0,0.94205576,0.96359438,0.59494871,2.7063739e-05,0.32574126,0.0,0.016951704,104.70999,-81.400009,52.350636
56.0,0.99999964,0.96595776,0.22054675,2.7344769e-05,0.665892,0.0,0.017253367,104.52907,-81.330803,29.039122
57.0,0.96397442,0.96815842,0.10863423,2.7629021e-05,0.73344177,0.0,0.017551929,104.34879,-81.261513,-22.883078
58.0,0.87224025,0.97020811,0.48789561,2.7916529e-05,0.66272449,0.0,0.017847411,104.16917,-81.192146,-76.723244
59.0,0.78923559,0.97211772,0.88098133,2.8207323e-05,0.57196581,0.0,0.018139832,103.99019,-81.122704,-84.212669
60.0,0.71412992,0.97389716,0.97809947,2.8501445e-05,0.49051514,0.0,0.01842921,103.81185,-81.053185,-85.353653
61.0,0.64617145,0.97555578,0.99530202,2.8798928e-05,0.42067951,0.0,0.018715562,103.63415,-80.983589,-85.06572
62.0,0.58468014,0.9771021,0.99813348,2.9099796e-05,0.36152443,0.0,0.01899891,103.45708,-80.913925,-84.247566
63.0,0.52904046,0.97854406,0.99847513,2.94041e-05,0.31164816,0.0,0.019279271,103.28065,-80.844193,-83.17173
64.0,0.47869557,0.97988909,0.99832541,2.9711871e-05,0.26968527,0.0,0.019556664,103.10485,-80.774391,-81.961884
65.0,0.43314168,0.98114395,0.99802607,3.0023135e-05,0.23442173,0.0,0.019831106,102.92967,-80.704514,-80.689163
66.0,0.39192277,0.98231488,0.99763477,3.0337957e-05,0.20481567,0.0,0.020102618,102.75512,-80.634575,-79.398323
67.0,0.35462639,0.98340791,0.99715853,3.0656367e-05,0.17998788,0.0,0.020371217,102.58118,-80.564568,-78.117867
68.0,0.32087922,0.98442835,0.99659431,3.0978354e-05,0.1592028,0.0,0.020636924,102.40787,-80.494499,-76.865524
69.0,0.29034352,0.98538125,0.99593669,3.1303989e-05,0.14184733,0.0,0.020899756,102.23517,-80.42437,-75.651848
70.0,0.2627137,0.98627126,0.99517953,3.1633321e-05,0.12741074,0.0,0.021159731,102.06308,-80.354172,-74.482697
71.0,0.23771317,0.98710269,0.99431759,3.1966414e-05,0.1154669,0.0,0.021416869,101.89159,-80.28392,-73.360886
72.0,0.21509178,0.98787969,0.99334639,3.230324e-05,0.10565923,0.0,0.021671187,101.72073,-80.213608,-72.287308
73.0,0.19462308,0.98860586,0.99226177,3.264386e-05,0.097688265,0.0,0.021922706,101.55045,-80.143234,-71.261642
74.0,0.17610225,0.98928469,0.99106038,3.2988301e-05,0.091301404,0.0,0.022171441,101.38078,-80.072807,-70.282852
75.0,0.1593439,0.98991936,0.98974001,3.333659e-05,0.086284518,0.0,0.022417415,101.21172,-80.002327,-69.349449
76.0,0.14418031,0.99051297,0.98829758,3.3688924e-05,0.082455307,0.0,0.022660643,101.04324,-79.931786,-68.459679
77.0,0.13045974,0.99106824,0.98673362,3.4045159e-05,0.079657711,0.0,0.022901144,100.87535,-79.861198,-67.611656
78.0,0.11804486,0.9915877,0.98504806,3.4405373e-05,0.07775756,0.0,0.023138937,100.70806,-79.790558,-66.803406
79.0,0.1068114,0.99207383,0.98324198,3.476963e-05,0.07663893,0.0,0.02337404,100.54135,-79.719864,-66.032921
80.0,0.096646957,0.99252874,0.98131675,3.5137971e-05,0.076201305,0.0,0.02360647,100.37523,-79.649124,-65.298195
81.0,0.087449782,0.99295467,0.97927493,3.5510424e-05,0.076357163,0.0,0.023836249,100.20969,-79.578339,-64.597206
82.0,0.079127833,0.99335337,0.97711891,3.5887067e-05,0.0770301,0.0,0.024063392,100.04472,-79.507507,-63.927967
83.0,0.071597822,0.99372679,0.97485191,3.6267927e-05,0.07815326,0.0,0.024287919,99.880341,-79.436623,-63.288494
84.0,0.064784385,0.99407643,0.9724772,3.6653011e-05,0.07966806,0.0,0.024509847,99.71653,-79.3657,-62.676826
85.0,0.058619339,0.99440402,0.96999794,3.7042391e-05,0.081523135,0.0,0.024729194,99.553291,-79.294739,-62.091026
86.0,0.05304097,0.99471092,0.967417,3.7436097e-05,0.083673522,0.0,0.02494598,99.390617,-79.223732,-61.529167
87.0,0.047993455,0.99499846,0.96473676,3.7834205e-05,0.086079903,0.0,0.025160221,99.228508,-79.152679,-60.989346
88.0,0.043426275,0.99526793,0.96195912,3.8236703e-05,0.088708043,0.0,0.025371935,99.066971,-79.081596,-60.469666
89.0,0.039293718,0.99552047,0.95908487,3.8643702e-05,0.091528319,0.0,0.02558114,98.905983,-79.010468,-59.968235
90.0,0.035554424,0.99575716,0.95611387,3.9055165e-05,0.094515301,0.0,0.025787856,98.74556,-78.939308,-59.48315
91.0,0.032170974,0.99597907,0.95304477,3.9471157e-05,0.097647458,0.0,0.025992099,98.585693,-78.868111,-59.012493
92.0,0.0291095,0.99618709,0.94987392,3.9891882e-05,0.10090686,0.0,0.026193887,98.426376,-78.796875,-58.55431
93.0,0.026339365,0.99638218,0.9465965,4.0317202e-05,0.104279,0.0,0.026393238,98.267616,-78.725601,-58.106579
94.0,0.023832843,0.99656504,0.943205,4.0747182e-05,0.10775276,0.0,0.026590168,98.109398,-78.654305,-57.667175
95.0,0.021564847,0.99673659,0.93968892,4.1181902e-05,0.11132021,0.0,0.026784698,97.951729,-78.58297,-57.233845
96.0,0.019512681,0.9968974,0.9360342,4.1621432e-05,0.11497677,0.0,0.026976842,97.794601,-78.511612,-56.804111
97.0,0.017655803,0.9970482,0.93222249,4.2065829e-05,0.11872134,0.0,0.02716662,97.638008,-78.440216,-56.375217
98.0,0.015975632,0.99718964,0.92822933,4.2515057e-05,0.1225566,0.0,0.027354049,97.481964,-78.368797,-55.943977
99.0,0.014455349,0.99732226,0.92402279,4.2969259e-05,0.12648955,0.0,0.027539145,97.326447,-78.297348,-55.506618
100.0,0.013079741,0.9974466,0.91956055,4.3428412e-05,0.13053237,0.0,0.027721927,97.171471,-78.225876,-55.058479
101.0,0.011835039,0.99756324,0.91478574,4.3892614e-05,0.13470374,0.0,0.027902411,97.017021,-78.154373,-54.593628
102.0,0.010708786,0.99767256,0.90962029,4.4361881e-05,0.13903105,0.0,0.028080614,96.863098,-78.082848,-54.104153
103.0,0.0096897101,0.99777508,0.90395445,4.4836266e-05,0.14355388,0.0,0.028256554,96.709709,-78.011299,-53.579006
104.0,0.0087676123,0.99787116,0.89762765,4.5315835e-05,0.14833014,0.0,0.02843025,96.556839,-77.939735,-53.001881
105.0,0.0079332637,0.99796116,0.89039367,4.5800651e-05,0.15344715,0.0,0.028601713,96.404488,-77.868141,-52.347015
106.0,0.0071783136,0.99804556,0.88184798,4.6290788e-05,0.15904385,0.0,0.028770966,96.252655,-77.796532,-51.569889
107.0,0.0064952071,0.9981246,0.87125766,4.6786212e-05,0.16536109,0.0,0.028938023,96.101341,-77.724899,-50.58313
108.0,0.0058771065,0.99819863,0.8570714,4.7287038e-05,0.17288065,0.0,0.029102903,95.950546,-77.653244,-49.176735
109.0,0.0053178263,0.99826795,0.83485901,4.7793292e-05,0.18287843,0.0,0.02926562,95.800262,-77.581581,-46.593395
110.0,0.44735953,0.9983328,0.71751636,4.8305068e-05,0.2254926,0.0,0.029426191,95.650482,-77.509895,28.739786
111.0,0.99999684,0.99839348,0.26517317,4.8822374e-05,0.62905216,0.0,0.029584633,95.501213,-77.438194,36.893665
112.0,0.98220783,0.99845022,0.11264937,4.9345283e-05,0.73366487,0.0,0.029740963,95.352448,-77.366478,-10.522813
113.0,0.888794,0.99850321,0.37658781,4.9873848e-05,0.67972469,0.0,0.029895198,95.204193,-77.294746,-72.913094
114.0,0.80421406,0.99855274,0.83827031,5.0408118e-05,0.58851242,0.0,0.030047353,95.056427,-77.223007,-83.614441
115.0,0.72768295,0.99859899,0.96985394,5.0948165e-05,0.50492591,0.0,0.030197445,94.909164,-77.151253,-85.298531
116.0,0.65843475,0.99864209,0.99390888,5.1494029e-05,0.4329471,0.0,0.030345488,94.762405,-77.079483,-85.172913
117.0,0.59577644,0.9986822,0.99791408,5.2045769e-05,0.37188935,0.0,0.030491503,94.616135,-77.007706,-84.425781
118.0,0.5390808,0.99871963,0.99846792,5.2603467e-05,0.32037756,0.0,0.030635502,94.470352,-76.935921,-83.386581
119.0,0.48778048,0.99875438,0.99836826,5.3167114e-05,0.27702555,0.0,0.030777501,94.325066,-76.86412,-82.195457
120.0,0.44136199,0.99878663,0.99809003,5.3736792e-05,0.24058785,0.0,0.030917518,94.18026,-76.792313,-80.93055
121.0,0.39936087,0.99881655,0.99771458,5.4312721e-05,0.20999053,0.0,0.031055568,94.035942,-76.720505,-79.640556
122.0,0.36135665,0.99884427,0.99725455,5.4894736e-05,0.18432505,0.0,0.031191666,93.892113,-76.648682,-78.356544
123.0,0.326969,0.9988699,0.99670732,5.5482986e-05,0.1628305,0.0,0.031325828,93.748756,-76.576851,-77.097946
124.0,0.29585379,0.9988935,0.9960674,5.6077533e-05,0.1448724,0.0,0.031458069,93.605888,-76.50502,-75.87645
125.0,0.26769957,0.9989152,0.99532944,5.6678429e-05,0.12992218,0.0,0.031588405,93.463486,-76.433182,-74.698662
126.0,0.24222459,0.99893516,0.9944877,5.7285743e-05,0.11753904,0.0,0.031716853,93.321564,-76.361343,-73.567848
127.0,0.21917386,0.99895334,0.99353772,5.7899517e-05,0.10735438,0.0,0.031843428,93.180115,-76.289497,-72.485207
128.0,0.19831671,0.99896997,0.99247456,5.851985e-05,0.099058844,0.0,0.031968139,93.039139,-76.217651,-71.450607
129.0,0.17944439,0.99898505,0.99129498,5.9146831e-05,0.0923917,0.0,0.03209101,92.898628,-76.145805,-70.46312
130.0,0.162368,0.9989987,0.98999655,5.9780428e-05,0.087132178,0.0,0.032212052,92.758583,-76.073952,-69.521324
131.0,0.14691664,0.99901092,0.98857731,6.0420774e-05,0.083092429,0.0,0.03233128,92.619003,-76.002106,-68.623505
132.0,0.13293567,0.99902183,0.98703647,6.1067876e-05,0.080111824,0.0,0.032448709,92.479881,-75.930252,-67.767792
133.0,0.12028516,0.99903148,0.98537415,6.1721817e-05,0.078052379,0.0,0.032564353,92.341225,-75.858406,-66.952225
134.0,0.10883851,0.99903989,0.9835903,6.2382816e-05,0.076794989,0.0,0.032678232,92.203026,-75.786552,-66.174805
135.0,0.098481163,0.99904716,0.98168725,6.3050713e-05,0.076236434,0.0,0.032790352,92.065285,-75.714706,-65.433517
136.0,0.089109436,0.99905336,0.97966737,6.3725631e-05,0.076286905,0.0,0.032900732,91.927994,-75.64286,-64.726349
137.0,0.08062955,0.99905854,0.97753233,6.4407839e-05,0.07686805,0.0,0.033009388,91.791161,-75.571022,-64.0513
138.0,0.072956637,0.99906266,0.97528601,6.5097156e-05,0.07791131,0.0,0.033116333,91.65477,-75.499176,-63.406387
139.0,0.066013888,0.99906582,0.97293127,6.5793749e-05,0.079356641,0.0,0.03322158,91.518829,-75.427345,-62.789646
140.0,0.059731837,0.99906808,0.97047144,6.6497669e-05,0.081151396,0.0,0.033325143,91.383339,-75.355515,-62.199135
141.0,0.054047603,0.99906945,0.96790934,6.7209017e-05,0.08324945,0.0,0.033427041,91.248291,-75.283684,-61.632927
142.0,0.048904289,0.99906999,0.96524775,6.7927795e-05,0.085610479,0.0,0.033527281,91.113686,-75.211868,-61.089111
143.0,0.044250432,0.99906963,0.96248817,6.865427e-05,0.08819934,0.0,0.033625882,90.979515,-75.140053,-60.565796
144.0,0.040039446,0.99906856,0.95963198,6.9388268e-05,0.090985574,0.0,0.033722859,90.845787,-75.068245,-60.061081
145.0,0.036229186,0.99906665,0.95667934,7.0129943e-05,0.093942992,0.0,0.033818219,90.712502,-74.996437,-59.573071
146.0,0.032781523,0.99906409,0.9536286,7.0879512e-05,0.097049333,0.0,0.033911981,90.579643,-74.924644,-59.099854
147.0,0.02966195,0.99906075,0.95047718,7.1636874e-05,0.10028602,0.0,0.034004159,90.44722,-74.852859,-58.639481
148.0,0.026839241,0.99905676,0.94722033,7.2402167e-05,0.10363793,0.0,0.034094762,90.315224,-74.781075,-58.189945
149.0,0.024285151,0.99905205,0.94385087,7.3175448e-05,0.1070933,0.0,0.034183808,90.183662,-74.709305,-57.749149
150.0,0.021974113,0.99904674,0.94035918,7.3956806e-05,0.11064359,0.0,0.034271307,90.052521,-74.637543,-57.314857
151.0,0.019882999,0.99904078,0.93673176,7.4746356e-05,0.1142836,0.0,0.03435728,89.921814,-74.565788,-56.884647
152.0,0.01799088,0.99903423,0.93295127,7.5544056e-05,0.11801156,0.0,0.034441728,89.791519,-74.494049,-56.455822
153.0,0.016278822,0.99902707,0.9289943,7.6350283e-05,0.12182939,0.0,0.034524672,89.661659,-74.42231,-56.025291
154.0,0.014729687,0.99901927,0.92483073,7.7164827e-05,0.12574324,0.0,0.034606121,89.532211,-74.350586,-55.589401
155.0,0.013327972,0.99901098,0.92042029,7.7987846e-05,0.12976421,0.0,0.034686096,89.403175,-74.27887,-55.143696
156.0,0.012059648,0.9990021,0.91570932,7.8819401e-05,0.13390966,0.0,0.034764599,89.274567,-74.207169,-54.682514
157.0,0.010912021,0.99899268,0.91062444,7.9659658e-05,0.1382051,0.0,0.034841649,89.146362,-74.135475,-54.198387
158.0,0.0098736044,0.99898273,0.90506291,8.0508609e-05,0.14268745,0.0,0.034917258,89.018578,-74.063789,-53.680984
159.0,0.0089340061,0.99897224,0.89887571,8.1366386e-05,0.14741057,0.0,0.034991439,88.891197,-73.992119,-53.115211
160.0,0.0080838231,0.99896127,0.89183664,8.2233106e-05,0.152455,0.0,0.035064202,88.764229,-73.920456,-52.477577
161.0,0.0073145456,0.99894977,0.88357943,8.3108716e-05,0.15794741,0.0,0.03513556,88.637672,-73.848808,-51.728226
162.0,0.0066184746,0.99893773,0.87345499,8.3993647e-05,0.16410317,0.0,0.035205528,88.511513,-73.777168,-50.791126
163.0,0.0059886435,0.99892527,0.86013746,8.4887644e-05,0.17133883,0.0,0.035274114,88.385757,-73.705544,-49.491959
164.0,0.0054187491,0.99891227,0.84012008,8.5790874e-05,0.18068095,0.0,0.035341334,88.260406,-73.633934,-47.265594
165.0,0.0049030944,0.9988988,0.79170716,8.6703512e-05,0.19775353,0.0,0.0354072,88.13546,-73.562332,-37.108624
166.0,0.99996954,0.99888486,0.31931365,8.7625573e-05,0.58142895,0.0,0.035471719,88.01091,-73.490746,43.517754
167.0,0.99742258,0.99887043,0.12612806,8.8557186e-05,0.72846931,0.0,0.035534911,87.886749,-73.419167,-0.70790231
168.0,0.90563166,0.99885559,0.27161455,8.9498441e-05,0.69602978,0.0,0.035596777,87.762985,-73.347603,-67.278358
169.0,0.81944937,0.99884021,0.78253549,9.044943e-05,0.60536623,0.0,0.035657339,87.639618,-73.276047,-82.785393
170.0,0.74146849,0.99882442,0.95854288,9.1410257e-05,0.5197351,0.0,0.035716604,87.51664,-73.204506,-85.189812
171.0,0.67090839,0.99880815,0.99200499,9.2380993e-05,0.44558409,0.0,0.035774585,87.394058,-73.13298,-85.260048
172.0,0.607063,0.9987914,0.99762297,9.3361756e-05,0.38257617,0.0,0.035831291,87.271858,-73.061462,-84.594147
173.0,0.54929334,0.99877417,0.99844819,9.4352719e-05,0.3293817,0.0,0.035886735,87.15004,-72.98996,-83.596169
174.0,0.49702117,0.99875653,0.99840653,9.5353927e-05,0.28459847,0.0,0.03594093,87.02861,-72.918472,-82.426399
175.0,0.44972333,0.99873841,0.99815011,9.6365431e-05,0.24695043,0.0,0.035993882,86.90757,-72.846992,-81.170959
176.0,0.40692651,0.99871987,0.99779147,9.7387368e-05,0.21533118,0.0,0.036045607,86.786903,-72.77552,-79.882874
177.0,0.36820233,0.9987008,0.99734735,9.8419885e-05,0.18880239,0.0,0.036096115,86.666618,-72.704071,-78.59597
178.0,0.33316323,0.99868131,0.99681687,9.9463046e-05,0.16657704,0.0,0.036145415,86.546707,-72.632622,-77.33152
179.0,0.30145857,0.9986614,0.99619478,0.00010051698,0.14799854,0.0,0.036193524,86.427177,-72.561195,-76.10244
180.0,0.27277097,0.99864095,0.99547577,0.00010158178,0.13251989,0.0,0.036240444,86.308022,-72.489777,-74.916122
181.0,0.24681339,0.99862009,0.99465382,0.00010265758,0.11968511,0.0,0.03628619,86.18924,-72.418365,-73.776352
182.0,0.22332598,0.99859875,0.99372488,0.0001037444,0.1091131,0.0,0.036330771,86.070824,-72.34697,-72.684654
183.0,0.20207369,0.99857694,0.99268281,0.00010484265,0.10048427,0.0,0.0363742,85.952782,-72.275581,-71.641098
184.0,0.18284383,0.99855465,0.99152547,0.00010595209,0.093529485,0.0,0.036416486,85.835106,-72.204208,-70.644867
185.0,0.16544394,0.99853188,0.99024945,0.00010707302,0.088021047,0.0,0.036457639,85.717804,-72.132835,-69.694618
186.0,0.14969987,0.99850863,0.98885316,0.00010820548,0.083765395,0.0,0.036497671,85.600861,-72.061485,-68.788689
187.0,0.13545404,0.99848491,0.98733503,0.00010934966,0.080597185,0.0,0.036536593,85.484283,-71.990135,-67.925224
188.0,0.12256388,0.99846071,0.9856956,0.00011050555,0.078374483,0.0,0.036574412,85.368065,-71.9188,-67.10228
189.0,0.11090039,0.99843597,0.98393422,0.00011167361,0.076974891,0.0,0.036611136,85.252205,-71.847473,-66.317856
190.0,0.10034682,0.99841082,0.98205328,0.00011285365,0.076292418,0.0,0.036646783,85.136703,-71.776154,-65.569939
191.0,0.090797558,0.99838513,0.9800548,0.00011404584,0.076234892,0.0,0.036681354,85.021568,-71.704842,-64.856522
192.0,0.082157023,0.99835891,0.97794122,0.00011525036,0.076721951,0.0,0.036714867,84.906776,-71.633537,-64.175598
193.0,0.074338749,0.9983322,0.97571558,0.00011646734,0.077683315,0.0,0.036747325,84.792343,-71.562248,-63.525181
194.0,0.067264482,0.99830496,0.97338104,0.00011769689,0.07905741,0.0,0.036778741,84.678268,-71.490959,-62.903305
195.0,0.06086342,0.99827725,0.97094065,0.0001189392,0.080790296,0.0,0.036809124,84.564537,-71.41967,-62.308018
196.0,0.055071499,0.99824893,0.96839762,0.00012019432,0.082834676,0.0,0.036838483,84.451157,-71.348396,-61.737396
197.0,0.049830753,0.99822015,0.96575463,0.0001214624,0.085149184,0.0,0.036866829,84.338127,-71.277122,-61.189526
198.0,0.045088731,0.99819076,0.96301329,0.00012274382,0.087697752,0.0,0.036894169,84.225441,-71.205856,-60.662506
199.0,0.040797967,0.9981609,0.96017522,0.0001240384,0.090449065,0.0,0.03692051,84.113098,-71.134598,-60.154446
200.0,0.03691553,0.99813044,0.9572407,0.0001253464,0.093376167,0.0,0.036945868,84.001106,-71.063332,-59.663448
201.0,0.033402551,0.99809945,0.95420855,0.00012666805,0.096456088,0.0,0.036970247,83.88945,-70.992081,-59.187603
202.0,0.030223878,0.99806786,0.95107633,0.00012800346,0.099669568,0.0,0.03699366,83.778137,-70.920822,-58.724972
203.0,0.027347695,0.99803567,0.94783968,0.00012935272,0.10300085,0.0,0.037016112,83.66716,-70.849571,-58.27356
204.0,0.024745218,0.99800295,0.94449204,0.00013071601,0.10643754,0.0,0.037037611,83.556519,-70.77832,-57.831287
205.0,0.022390399,0.99796963,0.94102418,0.00013209351,0.10997051,0.0,0.037058171,83.446213,-70.707062,-57.395958
206.0,0.020259671,0.99793571,0.93742341,0.00013348537,0.11359393,0.0,0.037077799,83.336243,-70.635811,-56.965179
207.0,0.018331708,0.99790114,0.93367314,0.00013489177,0.11730535,0.0,0.0370965,83.226608,-70.564552,-56.536316
208.0,0.016587215,0.99786597,0.9297514,0.00013631288,0.12110598,0.0,0.037114285,83.117302,-70.493294,-56.106361
209.0,0.015008733,0.99783021,0.92562932,0.00013774885,0.12500113,0.0,0.037131164,83.008331,-70.422035,-55.671787
210.0,0.013580463,0.99779379,0.92126888,0.00013919987,0.1290009,0.0,0.037147142,82.899681,-70.350769,-55.22831
211.0,0.012288111,0.99775672,0.91661918,0.00014066609,0.13312134,0.0,0.037162229,82.791359,-70.279495,-54.770531
212.0,0.011118743,0.99771899,0.9116112,0.00014214772,0.13738623,0.0,0.037176438,82.683365,-70.208221,-54.291389
213.0,0.010060654,0.9976806,0.90614873,0.00014364491,0.14183004,0.0,0.03718977,82.575699,-70.136932,-53.781197
214.0,0.0091032563,0.99764156,0.9000932,0.00014515789,0.14650285,0.0,0.037202235,82.468346,-70.065636,-53.225967
215.0,0.008236967,0.99760181,0.8932364,0.00014668675,0.15147913,0.0,0.037213843,82.36132,-69.994331,-52.604195
216.0,0.0074531157,0.9975614,0.88524562,0.00014823182,0.15687466,0.0,0.037224598,82.254616,-69.923019,-51.880062
217.0,0.0067438576,0.99752021,0.87554294,0.00014979304,0.16288273,0.0,0.037234515,82.148224,-69.851692,-50.987007
