Time,myu,N,gamma,p,gamma_0,a,myu_0,myu_1,K,compartment,export_of_mature_naive_T_cells,peripheral_prolieferation,cell_removal_due_to_death_or_phenotypic_changes
80.0,0.21701602043368068,35220615455.67541,532789833.0220562,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,532789833.0220562,5987504627.46482,7643437803.415664
82.0,0.2166441270271237,33044518895.938675,487908084.5975524,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,487908084.5975524,5617568212.309575,7158900949.241928
84.0,0.21623107114117174,31004991522.075775,446807135.3114531,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,446807135.3114531,5270848558.752882,6704242527.541393
86.0,0.2157743023171093,29096206795.92858,409168493.9590539,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,409168493.9590539,4946355155.307859,6278213721.465824
88.0,0.2152716365366974,27312243699.39824,374700498.7555059,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,374700498.7555059,4643081428.897701,5879551398.658562
90.0,0.21472139106462484,25647132402.737732,343136057.24900943,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,343136057.24900943,4360012508.465415,5506987946.33446
92.0,0.21412252044849106,24094892217.358627,314230576.62173814,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,314230576.62173814,4096131676.950967,5159259051.515561
94.0,0.21347474330986485,22649563013.73352,287760068.340399,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,287760068.340399,3850425712.3346987,4835109650.437372
96.0,0.2127786491802627,21305233784.71078,263519412.4693679,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,263519412.4693679,3621889743.400833,4533298865.180456
98.0,0.21203577185567105,20056065989.05725,241320768.19656423,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,241320768.19656423,3409531218.139733,4252603432.378027
100.0,0.2112486250842553,18896323348.618546,220992118.25523207,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,220992118.25523207,3212374969.265153,3991822326.5431786
102.0,0.21042067917660348,17820385458.99699,202375935.96235615,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,202375935.96235615,3029465528.0294886,3749777611.4710155
104.0,0.2095562901462936,16822772108.10097,185327964.54459086,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,185327964.54459086,2859871258.377165,3525317712.950182
106.0,0.2086605778736564,15898165362.559834,169716099.2927039,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,169716099.2927039,2702688111.635172,3317320371.682683
108.0,0.2077392585833397,15041427611.937723,155419363.88234952,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,155419363.88234952,2557042694.029413,3124695020.1389165
110.0,0.20679845256878604,14247623768.956856,142326972.92868194,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,142326972.92868194,2422096040.722666,2946386548.202533
112.0,0.20584446652135066,13512032008.209476,130337473.5105468,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,130337473.5105468,2297045441.3956113,2781377020.349294
114.0,0.20488360229495062,12830171779.148693,119357959.01192157,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,119357959.01192157,2181129202.455278,2628691812.1749997
116.0,0.20392197388056402,12197817772.7454,109303349.18866405,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,109303349.18866405,2073629021.366718,2487403077.253667
118.0,0.20296530860785644,11610983499.182705,100095730.88180688,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,100095730.88180688,1973867194.86106,2356626849.1523466
120.0,0.20201885174133868,11065947938.410542,91663754.26858552,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,91663754.26858552,1881211149.5297923,2235530095.9471316
122.0,0.20108725467217187,10559241780.537357,83942079.97275135,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,83942079.97275135,1795071102.691351,2123328941.067953
124.0,0.20017453219614317,10087650211.423056,76870872.74982628,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,76870872.74982628,1714900535.9419196,2019290662.029935
126.0,0.1992840529880988,9648210326.80838,70395337.82386811,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,70395337.82386811,1640195755.5574248,1922734458.0080032
128.0,0.19841854704212686,9238199653.123535,64465296.28282014,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,64465296.28282014,1570493941.031001,1833030152.4578521
130.0,0.19758013185607476,8855121755.524529,59034796.24218431,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,59034796.24218431,1505370698.43917,1749596124.0581326
132.0,0.19677038104985256,8496702696.615407,54061756.76392559,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,54061756.76392559,1444439458.4246192,1671899427.2803235
134.0,0.19599035216322616,8160863601.509817,49507641.77133568,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,49507641.77133568,1387346812.256669,1599450531.2159631
136.0,0.19524066987270836,7845715986.964287,45337161.43302269,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,45337161.43302269,1333771717.7839289,1531802844.9259245
138.0,0.1945215794695916,7549543245.099438,41517998.7020518,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,41517998.7020518,1283422351.6669044,1468549076.3107285
140.0,0.1938330118507246,7270788399.6731415,38020558.89118888,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,38020558.89118888,1236034027.9444342,1409318814.037955
142.0,0.19317463901088433,7008040042.433918,34817740.34370597,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,34817740.34370597,1191366807.213766,1353775605.3709946
144.0,0.19254592574384694,6760019587.97382,31884724.42267728,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,31884724.42267728,1149203329.9555495,1301614229.612958
146.0,0.19194617473918177,6525569023.047649,29198783.191392574,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,29198783.191392574,1109346733.9181004,1252558011.9704957
148.0,0.191374562265834,6303638189.366407,26739103.294603966,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,26739103.294603966,1071618492.1922894,1206355999.1721907
150.0,0.19083017381055317,6093275190.480984,24486624.67586209,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,24486624.67586209,1035856782.3817673,1162780763.6750176
152.0,0.19031203315395187,5893617170.791803,22423892.881162483,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,22423892.881162483,1001914919.0346067,1121626266.4044297
154.0,0.18981911884823635,5703878957.620481,20534923.804403298,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,20534923.804403298,969659422.7954818,1082705277.7525165
156.0,0.18935039330349007,5523349011.8772955,18805079.82656705,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,18805079.82656705,938969332.0191402,1045848307.7514092
158.0,0.18890480998591255,5351379133.483656,17220956.388829164,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,17220956.388829164,909734452.6922215,1010901258.3733073
160.0,0.188481328460659,5187379114.49781,15770278.120648365,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,15770278.120648365,881854449.4646279,977724106.7296242
162.0,0.1880789252858612,5030811483.0987015,14441803.717935625,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,14441803.717935625,855237952.1267793,946189617.0569732
164.0,0.18769659645863135,4881184425.929209,13225238.834202912,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,13225238.834202912,829801352.4079655,916181703.4337908
166.0,0.18733336706273854,4738048757.089422,12111156.30968503,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,12111156.30968503,805468288.7052019,887594626.9729848
168.0,0.18698829457609956,4600993515.361319,11090923.1202904,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,11090923.1202904,782168897.6114242,860331930.7931061
170.0,0.1866604680686286,4469640835.227608,10156633.480308138,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,10156633.480308138,759838941.9886934,834305250.4022413
172.0,0.18634901511018662,4343644667.812663,9301047.580484461,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,9301047.580484461,738419593.5281528,809433905.8355035
174.0,0.1860530993155822,4222686452.362275,8517535.486749817,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,8517535.486749817,717856696.9015868,785643901.8999218
176.0,0.1857719208464421,4106472506.9729,7800025.764868049,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,7800025.764868049,698100326.1853931,762867285.5234601
178.0,0.18550471806735377,3994732390.668629,7142958.432900093,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,7142958.432900093,679104506.413667,741041705.8855102
180.0,0.18525076472871058,3887215823.2475953,6541241.876910861,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,6541241.876910861,660826689.9520912,720109703.9221612
182.0,0.185009370635053,3783691381.7055306,5990213.396059226,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,5990213.396059226,643227534.8899403,700018361.2066143
184.0,0.18477988076465274,3683944855.0851383,5485603.071335002,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,5485603.071335002,626270625.3644736,680718891.0661877
186.0,0.18456167271754756,3587777105.715253,5023500.677961913,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,5023500.677961913,609922107.971593,662166143.9685285
188.0,0.1843541571313271,3495003416.801283,4600325.385070617,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,4600325.385070617,594150580.8562181,644318409.0755088
190.0,0.18415677562634747,3405451943.0507936,4212798.007844843,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,4212798.007844843,578926830.318635,627137049.382714
192.0,0.18396899888012344,3318962332.970348,3857915.5971222697,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,3857915.5971222697,564223596.6049591,610586177.7173938
194.0,0.18379032644769602,3235385264.675595,3532928.1695452845,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,3532928.1695452845,550015494.9948511,594632513.978793
196.0,0.18362028450113457,3154581131.244723,3235317.3979433267,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,3235317.3979433267,536278792.31160295,579245084.801067
198.0,0.1834584248118491,3076419368.592739,2962777.0968188066,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,2962777.0968188066,522991292.6607657,564395051.4226873
200.0,0.18330432371427152,3000777851.1899385,2713195.3517185817,0.17,18000000000.0,0.044,0.18,0.04,10000000000.0,1.0,2713195.3517185817,510132234.7022896,550055554.6291366
