Time,X1,APAP,NAPQI,GSH,NAPQIGSH,APAPconj_Glu,APAPconj_Sul,Vmax_2E1_APAP,Km_2E1_APAP,kNapqiGsh,kGsh,GSHmax,Vmax_PhaseIIEnzGlu_APAP,Km_PhaseIIEnzGlu_APAP,Vmax_PhaseIIEnzSul_APAP,Km_PhaseIIEnzSul_APAP,compartment,J0,J1,J2,J3,J4
0.1,0.0,0.09998493279836304,1.3691484616250619e-07,9.999999993040037,6.959985767133359e-09,9.090286460831072e-06,5.8330403441562705e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4386477211241436e-06,1.3691484606721395e-07,6.959963272379355e-13,9.089663850576685e-05,5.832747357172937e-05
0.11,0.0,0.09998342618002139,1.498672044723101e-07,9.999999991606026,8.394004074130699e-09,9.999246620004126e-06,6.4163121500278014e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4386276022700172e-06,1.4986720434651197e-07,8.393973516263031e-13,9.089539333082485e-05,5.8326887602795954e-05
0.12,0.0,0.09998191958019229,1.626904844422063e-07,9.99999999004314,9.95689953351238e-09,1.0908194327487203e-05,6.999578096216569e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.438607483619488e-06,1.6269048428021768e-07,9.956860225202035e-13,9.089414816777201e-05,5.832630163517683e-05
0.13,0.0,0.09998041299887561,1.7538597051857462e-07,9.999999988352661,1.1647387700934674e-08,1.1817129583399203e-05,7.582838182735717e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4385873651725551e-06,1.7538597031429663e-07,1.1647339093201482e-12,9.089290301660837e-05,5.832571566887206e-05
0.14,0.0,0.09997890643607123,1.8795493411605057e-07,9.999999986535864,1.3464197163797872e-08,1.2726052387859004e-05,8.16609240959839e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4385672469292185e-06,1.8795493386298548e-07,1.3464136472407519e-12,9.089165787733388e-05,5.832512970388176e-05
0.15,0.0,0.099977399891779,2.0039863433422752e-07,9.999999984594007,1.5406068824544793e-08,1.3634962740985512e-05,8.749340776817733e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4385471288894777e-06,2.003986340254935e-07,1.540599292582101e-12,9.089041274994856e-05,5.8324543740205977e-05
0.16,0.0,0.09997589336599881,2.127183176874187e-07,9.999999982528337,1.7471756170898368e-08,1.4543860642897624e-05,9.332583284406887e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4385270110533327e-06,2.1271831731576443e-07,1.7471663227297542e-12,9.088916763445241e-05,5.832395777784481e-05
0.17,0.0,0.09997438685873049,2.2491521766690516e-07,9.999999980340085,1.9660025713612725e-08,1.54527460937142e-05,9.915819932379007e-06,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4385068934207829e-06,2.2491521722472376e-07,1.9659914585190566e-12,9.088792253084543e-05,5.832337181679831e-05
0.18,0.0,0.09997288036997394,2.369905565794046e-07,9.999999978030477,2.1969655148007007e-08,1.6361619093554167e-05,1.0499050720747232e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4384867759918282e-06,2.3699055605874765e-07,2.1969523089637734e-12,9.088667743912762e-05,5.832278585706658e-05
0.19,0.0,0.099971373899729,2.489455436073474e-07,9.999999975600721,2.4399435293686187e-08,1.7270479642536404e-05,1.1082275649524717e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4384666587664679e-06,2.489455429999382e-07,2.439927904163142e-12,9.088543235929899e-05,5.832219989864967e-05
0.2,0.0,0.09996986744799556,2.6078137618972643e-07,9.999999973052013,2.6948168713693317e-08,1.8179327740779787e-05,1.1665494718724609e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4384465417447023e-06,2.6078137548697316e-07,2.69479869530187e-12,9.088418729135954e-05,5.832161394154766e-05
0.21,0.0,0.09996836101477347,2.7249924013078504e-07,9.999999970385542,2.9614669605821172e-08,1.9088163388403224e-05,1.2248707928360054e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4384264249265304e-06,2.724992393237933e-07,2.961445844107402e-12,9.088294223530927e-05,5.832102798576064e-05
0.22,0.0,0.09996685460006259,2.841003092143928e-07,9.999999967602477,3.2397764188236206e-08,1.9996986585525606e-05,1.2831915278444207e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4384063083119522e-06,2.841003082939782e-07,3.239752288664022e-12,9.088169719114817e-05,5.832044203128868e-05
0.23,0.0,0.0999653482038628,2.955857455765168e-07,9.999999964703985,3.52962903270071e-08,2.0905797332265818e-05,1.3415116768990213e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4383861919009672e-06,2.955857445332169e-07,3.5296014999630643e-12,9.088045215887624e-05,5.831985607813187e-05
0.24,0.0,0.09996384182617396,3.069566997920015e-07,9.999999961691215,3.830909744932541e-08,2.1814595628742757e-05,1.3998312400011227e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4383660756935755e-06,3.069566986160877e-07,3.8308785477170206e-12,9.08792071384935e-05,5.8319270126290255e-05
0.25,0.0,0.09996233546699594,3.182143109731536e-07,9.999999958565306,4.1435046444920396e-08,2.2723381475075316e-05,1.4581502171520402e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4383459596897764e-06,3.182143096546424e-07,4.143469389816801e-12,9.087796212999994e-05,5.8318684175763935e-05
0.26,0.0,0.0999608291263286,3.2935970689584865e-07,9.999999955327386,4.467300953995242e-08,2.3632154871382388e-05,1.516468608353089e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4383258438895694e-06,3.2935970542451276e-07,4.467261405238787e-12,9.087671713339556e-05,5.831809822655298e-05
0.27,0.0,0.09995932280417182,3.403940041202623e-07,9.999999951978571,4.802187017628177e-08,2.454091581778286e-05,1.5747864136055847e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4383057282929547e-06,3.403940024856417e-07,4.802142861137782e-12,9.087547214868035e-05,5.8317512278657466e-05
0.28,0.0,0.09995781650052545,3.513183081003787e-07,9.999999948519969,5.148052290196011e-08,2.5449664314395624e-05,1.6331036329108426e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4382856128999318e-06,3.51318306291791e-07,5.148003090482689e-12,9.087422717585434e-05,5.8316926332077466e-05
0.29,0.0,0.09995631021538935,3.621337132860003e-07,9.999999944952672,5.504787326922095e-08,2.635840036133957e-05,1.691420266270178e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4382654977104999e-06,3.62133711292551e-07,5.504732847327887e-12,9.08729822149175e-05,5.831634038681306e-05
0.3,0.0,0.09995480394876341,3.728413032357729e-07,9.999999941277764,5.872283772145449e-08,2.72671239587336e-05,1.749736313684907e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4382453827246595e-06,3.728413010463654e-07,5.872223596270487e-12,9.087173726586985e-05,5.831575444286432e-05
0.31,0.0,0.09995329770064748,3.8344215073373934e-07,9.99999993749632,6.250434347665371e-08,2.8175835106696598e-05,1.808051775156345e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4382252679424098e-06,3.834421483370848e-07,6.250368045357391e-12,9.08704923287114e-05,5.8315168500231326e-05
0.32,0.0,0.09995179147104143,3.939373178925322e-07,9.999999933609399,6.639132842422196e-08,2.9084533805347457e-05,1.866366650685808e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.43820515336375e-06,3.939373152771587e-07,6.639060146085286e-12,9.08692474034421e-05,5.831458255891416e-05
0.33,0.0,0.09995028525994512,4.0432785625462215e-07,9.999999929618054,7.038274102372454e-08,2.999322005480507e-05,1.924680940274612e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.438185038988681e-06,4.0432785340888405e-07,7.0381945604935936e-12,9.086800249006201e-05,5.831399661891288e-05
0.34,0.0,0.09994877906735843,4.146148068959383e-07,9.999999925523328,7.44775402012681e-08,3.090189385518833e-05,1.9829946439240726e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4381649248172018e-06,4.146148038080252e-07,7.447667194071529e-12,9.086675758857112e-05,5.8313410680227586e-05
0.35000000000000003,0.0,0.0999472728932812,4.247992005322031e-07,9.99999992132625,7.867469524316622e-08,3.1810555206616124e-05,2.0413077616355057e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4381448108493114e-06,4.247991971901485e-07,7.867375018122402e-12,9.08655126989694e-05,5.831282474285834e-05
0.36,0.0,0.09994576673771333,4.3488205762411276e-07,9.99999991702784,8.297318569075843e-08,3.271920410920734e-05,2.0996202934102276e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4381246970850105e-06,4.348820540158024e-07,8.297216069763636e-12,9.086426782125687e-05,5.831223880680521e-05
0.37,0.0,0.09994426060065466,4.448643884796804e-07,9.999999912629109,8.737200123806772e-08,3.3627840563080886e-05,2.1579322392495547e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4381045835242982e-06,4.4486438459286064e-07,8.737089096655383e-12,9.086302295543355e-05,5.8311652872068295e-05
0.38,0.0,0.09994275448210506,4.54747193354396e-07,9.999999908131059,9.187014163163978e-08,3.4536464568355644e-05,2.216243599154803e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4380844701671747e-06,4.5474718917668174e-07,9.186894089907582e-12,9.086177810149941e-05,5.8311066938647657e-05
0.39,0.0,0.0999412483820644,4.6453146255062176e-07,9.999999903534679,9.646661657114844e-08,3.5445076125150505e-05,2.2745543731272887e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.438064357013639e-06,4.6453145806950407e-07,9.646532106444283e-12,9.086053325945446e-05,5.831048100654335e-05
0.4,0.0,0.09993974230053256,4.742181765166898e-07,9.999999898840949,1.0116044561029743e-07,3.635367523358436e-05,2.3328645611683283e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4380442440636914e-06,4.7421817171954375e-07,1.011590509136795e-11,9.085928842929868e-05,5.83098950757555e-05
0.41000000000000003,0.0,0.09993823623750937,4.838083059453108e-07,9.99999989405084,1.0595065805841193e-07,3.7262261893776105e-05,2.3911741632792384e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.438024131317331e-06,4.838083008194024e-07,1.059491605559515e-11,9.085804361103212e-05,5.830930914628414e-05
0.42,0.0,0.09993673019299473,4.933028118708243e-07,9.999999889165313,1.1083629288318811e-07,3.817083610584463e-05,2.449483179461335e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.438004018774558e-06,4.93302806403318e-07,1.1083468720585189e-11,9.085679880465475e-05,5.8308723218129384e-05
0.43,0.0,0.0999352241669885,5.027026457652804e-07,9.999999884185321,1.1581639861461193e-07,3.907939786990883e-05,2.5077916097159358e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4379839064353719e-06,5.027026399432458e-07,1.1581467873611474e-11,9.085555401016658e-05,5.830813729129127e-05
0.44,0.0,0.09993371815949052,5.120087496333454e-07,9.999999879111805,1.2089003325005303e-07,3.9987947186087595e-05,2.5660994540443565e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4379637942997717e-06,5.12008743443764e-07,1.2088819545397201e-11,9.085430922756758e-05,5.8307551365769884e-05
0.45,0.0,0.09993221217050069,5.212220561064616e-07,9.999999873945697,1.2605626416010485e-07,4.0896484054499814e-05,2.6244067124479143e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.437943682367758e-06,5.212220495362333e-07,1.2605430299572618e-11,9.085306445685781e-05,5.830696544156531e-05
0.46,0.0,0.09993070620001886,5.303434885362273e-07,9.999999868687922,1.3131416799520493e-07,4.1805008475264385e-05,2.682713384927926e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4379235706393305e-06,5.303434815721768e-07,1.3131207765582076e-11,9.085181969803723e-05,5.8306379518677634e-05
0.47000000000000003,0.0,0.0999292002480449,5.393739610868024e-07,9.999999863339394,1.3666283059322922e-07,4.271352044850019e-05,2.7410194714857085e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4379034591144883e-06,5.393739537156852e-07,1.366606063868403e-11,9.085057495110582e-05,5.830579359710692e-05
0.48,0.0,0.09992769431457867,5.483143788262947e-07,9.999999857901017,1.4210134688810583e-07,4.3622019974326125e-05,2.7993249721225785e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4378833477932312e-06,5.483143710348031e-07,1.4209898324679672e-11,9.084933021606365e-05,5.8305207676853245e-05
0.49,0.0,0.09992618839962003,5.571656378172175e-07,9.999999852373687,1.4762882081935722e-07,4.4530507052861086e-05,2.8576298868398537e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.437863236675559e-06,5.571656295919866e-07,1.4762631295184293e-11,9.084808549291065e-05,5.830462175791669e-05
0.5,0.0,0.09992468250316887,5.659286252060912e-07,9.999999846758293,1.5324436524249904e-07,4.543898168422396e-05,2.915934215638851e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.437843125761472e-06,5.659286165337043e-07,1.5324170732355925e-11,9.084684078164689e-05,5.830403584029732e-05
0.51,0.0,0.09992317662522504,5.7460421931218e-07,9.999999841055713,1.5894710184030282e-07,4.634744386853365e-05,2.9742379585208877e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4378230150509687e-06,5.746042101791743e-07,1.5894428706531018e-11,9.084559608227229e-05,5.830344992399522e-05
0.52,0.0,0.09992167076578841,5.83193289715337e-07,9.999999835266815,1.647361610349512e-07,4.7255893605909044e-05,3.0325411154872808e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4378029045440492e-06,5.831932801082082e-07,1.647331853149581e-11,9.084435139478693e-05,5.830286400901047e-05
0.53,0.0,0.09992016492485883,5.916966973429569e-07,9.999999829392461,1.7061068190108543e-07,4.816433089646903e-05,3.090843686539348e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4377827942407133e-06,5.916966872481652e-07,1.70607538763079e-11,9.084310671919075e-05,5.8302278095343125e-05
0.54,0.0,0.09991865910243619,6.001152945560606e-07,9.999999823433505,1.765698120797205e-07,4.907275574033249e-05,3.149145671678406e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.437762684140961e-06,6.001152839600352e-07,1.7656649475839006e-11,9.084186205548378e-05,5.8301692182993285e-05
0.55,0.0,0.09991715329852034,6.084499252345312e-07,9.999999817390789,1.8261270769300908e-07,4.998116813761833e-05,3.2074470709057735e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4377425742447913e-06,6.084499141236752e-07,1.8260921130774934e-11,9.084061740366601e-05,5.830110627196102e-05
0.56,0.0,0.09991564751311115,6.167014248615068e-07,9.999999811265148,1.8873853325984872e-07,5.088956808844544e-05,3.265747884222767e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4377224645522043e-06,6.167014132222016e-07,1.887348517470855e-11,9.083937276373744e-05,5.830052036224639e-05
0.5700000000000001,0.0,0.09991414174620848,6.24870620606932e-07,9.999999805057412,1.9494646161233085e-07,5.179795559293271e-05,3.324048111630705e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4377023550631997e-06,6.248706084255424e-07,1.949425882941114e-11,9.083812813569811e-05,5.82999344538495e-05
0.58,0.0,0.09991263599781221,6.329583314102737e-07,9.999999798768398,2.0123567381302422e-07,5.270633065119902e-05,3.382347753130905e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4376822457777769e-06,6.329583186731518e-07,2.0123160204832405e-11,9.083688351954795e-05,5.8299348546770403e-05
0.59,0.0,0.0999111302679222,6.409653680624145e-07,9.999999792398917,2.0760535907308236e-07,5.3614693263363286e-05,3.440646808724685e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4376621366959355e-06,6.409653547559041e-07,2.0760108299100466e-11,9.0835638915287e-05,5.829876264100919e-05
0.6,0.0,0.0999096245565383,6.48892533286732e-07,9.999999785949772,2.1405471467116317e-07,5.452304342954439e-05,3.4989452784133625e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.437642027817676e-06,6.488925193971726e-07,2.140502282088619e-11,9.083439432291528e-05,5.829817673656593e-05
0.61,0.0,0.0999081188636604,6.567406218193733e-07,9.999999779421758,2.2058294587315568e-07,5.5431381149861223e-05,3.557243162198256e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4376219191429967e-06,6.567406073331042e-07,2.2057824189403164e-11,9.083314974243277e-05,5.8297590833440686e-05
0.62,0.0,0.09990661318928835,6.645104204887284e-07,9.999999772815663,2.2718926585270533e-07,5.633970642443268e-05,3.615540460080683e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4376018106718987e-06,6.645104053920925e-07,2.2718433712043408e-11,9.083190517383946e-05,5.829700493163356e-05
0.63,0.0,0.09990510753342204,6.722027082941147e-07,9.999999766132264,2.3387289561253083e-07,5.7248019253377645e-05,3.6738371720619624e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4375817024043809e-06,6.722026925734622e-07,2.338677358437735e-11,9.083066061713536e-05,5.829641903114462e-05
0.64,0.0,0.0999036018960613,6.798182564836762e-07,9.999999759372333,2.406330639065237e-07,5.815631963681502e-05,3.732133298143412e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4375615943404431e-06,6.798182401253681e-07,2.406276671251817e-11,9.082941607232048e-05,5.829583313197392e-05
0.65,0.0,0.09990209627720602,6.873578286315097e-07,9.999999752536633,2.4746900716262316e-07,5.9064607574863686e-05,3.790428838326349e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4375414864800847e-06,6.873578116219216e-07,2.4746336713121763e-11,9.082817153939482e-05,5.829524723412156e-05
0.66,0.0,0.09990059067685605,6.948221807140226e-07,9.99999974562592,2.543799694064576e-07,5.997288306764254e-05,3.8487237926120936e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4375213788233057e-06,6.948221630395474e-07,2.543740791338678e-11,9.082692701835837e-05,5.829466133758762e-05
0.67,0.0,0.09989908509501128,7.022120611855311e-07,9.999999738640946,2.6136520218574657e-07,6.0881146115270486e-05,3.9070181610019636e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4375012713701058e-06,7.022120428325831e-07,2.613590535105459e-11,9.082568250921112e-05,5.8294075442372145e-05
0.68,0.0,0.09989757953167155,7.095282110531063e-07,9.999999731582449,2.6842396449545466e-07,6.17893967178664e-05,3.965311943497278e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4374811641204848e-06,7.095281920081238e-07,2.6841755129680678e-11,9.08244380119531e-05,5.829348954847525e-05
0.6900000000000001,0.0,0.09989607398683674,7.167713639506756e-07,9.999999724451163,2.755555227036903e-07,6.269763487554919e-05,4.023605140099354e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4374610570744418e-06,7.167713442001241e-07,2.7554883708091894e-11,9.082319352658429e-05,5.829290365589698e-05
0.7000000000000001,0.0,0.09989456846050672,7.239422462123866e-07,9.999999717247814,2.827591504783418e-07,6.360586058843772e-05,4.081897750809511e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4374409502319768e-06,7.239422257427614e-07,2.827521861092919e-11,9.082194905310469e-05,5.829231776463744e-05
0.71,0.0,0.09989306295268134,7.310415769452409e-07,9.999999709973123,2.900341287144431e-07,6.45140738566509e-05,4.140189775629068e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.43742084359309e-06,7.310415557430704e-07,2.900268771810488e-11,9.082070459151433e-05,5.829173187469668e-05
0.72,0.0,0.09989155746336048,7.380700681010056e-07,9.9999997026278,2.973797454622631e-07,6.542227468030763e-05,4.1984812145593435e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4374007371577802e-06,7.380700461528537e-07,2.97372199753454e-11,9.081946014181316e-05,5.829114598607479e-05
0.73,0.0,0.099890051992544,7.450284245474091e-07,9.999999695212551,3.047952958561091e-07,6.63304630595268e-05,4.256772067601657e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4373806309260474e-06,7.450284018398778e-07,3.0478744861284216e-11,9.081821570400123e-05,5.829056009877184e-05
0.74,0.0,0.09988854654023176,7.51917344138628e-07,9.999999687728074,3.1228008204384017e-07,6.723863899442729e-05,4.315062334757327e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4373605248978915e-06,7.519173206583604e-07,3.122719256509754e-11,9.081697127807853e-05,5.8289974212787905e-05
0.75,0.0,0.09988704110642363,7.587375177850739e-07,9.99999968017506,3.1983341311708067e-07,6.8146802485128e-05,4.3733520160276725e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4373404190733121e-06,7.587374935187559e-07,3.198249398650432e-11,9.081572686404502e-05,5.828938832812308e-05
0.76,0.0,0.09988553569111948,7.654896295224841e-07,9.999999672554193,3.2745460504212894e-07,6.905495353174782e-05,4.431641111414013e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4373203134523085e-06,7.654896044568471e-07,3.274458073576625e-11,9.081448246190075e-05,5.828880244477741e-05
0.77,0.0,0.09988403029431918,7.721743565803262e-07,9.999999664866149,3.351429805915532e-07,6.996309213440564e-05,4.489929620917667e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.437300208034881e-06,7.721743307021497e-07,3.3513385133687733e-11,9.08132380716457e-05,5.828821656275098e-05
0.78,0.0,0.09988252491602259,7.787923694495217e-07,9.9999996571116,3.428978692764677e-07,7.087121829322035e-05,4.5482175445399544e-05,2e-05,1.29,0.1,0.0001,10.0,0.001,1.0,0.000175,0.2,1.0,1.4372801028210284e-06,7.787923427456348e-07,3.428884003398025e-11,9.081199369327988e-05,5.8287630682043895e-05
