I_1_task1,N_2_task1,_1_task1
123447048.61827876,27223798692.83395,206.0
123923838.00607358,27417363026.86493,208.0
124392293.38387202,27610891625.215836,210.0
124852441.80478235,27804387540.171352,212.0
125304311.01918288,27997854266.604355,214.0
125747929.47162819,28191295747.602634,216.0
126183326.28284298,28384716374.967773,218.0
126610531.23171596,28578120989.713966,220.0
127029574.7372939,28771514882.56689,222.0
127440487.84077542,28964903794.462563,224.0
127843300.03527562,29158292598.349667,226.0
128238043.40807654,29351687848.72699,228.0
128624751.29156078,29545096966.585835,230.0
129003456.6761026,29738527278.500896,232.0
129374193.04490283,29931986539.67499,234.0
129736994.35413863,30125482933.30785,236.0
130091895.01311284,30319025069.964874,238.0
130438929.86440371,30512621986.945946,240.0
130778134.16401432,30706283147.65419,242.0
131109542.62058628,30900017590.35243,244.0
131433189.60433085,31093834134.352142,246.0
131749112.60582341,31287744524.100025,248.0
132057348.02601637,31481759640.635742,250.0
132357932.545452,31675890756.68299,252.0
132650903.10276413,31870149534.528656,254.0
132936296.87317991,32064548023.901924,256.0
133214151.2470215,32259098659.85345,258.0
133484503.80820787,32453814260.634483,260.0
133747392.32245775,32648707986.414505,262.0
134002855.05268504,32843791977.20398,264.0
134250929.8356713,33039080991.19487,266.0
134491654.85077524,33234589212.766705,268.0
134725068.3675577,33430331182.35803,270.0
134951208.72448164,33626321793.54543,272.0
135170114.307612,33822576290.122562,274.0
135381823.5293157,34019110263.179203,276.0
135586374.8069616,34215939648.18024,278.0
135783806.54162037,34413080722.04475,280.0
135974159.6315536,34610550274.23596,282.0
136157472.2516362,34808365246.914635,284.0
136333782.16500884,35006542892.1731,286.0
136503127.8890996,35205100850.62293,288.0
136665547.8615633,35404057092.678635,290.0
136821080.42099667,35603429915.77505,292.0
136969763.78765327,35803237941.584694,294.0
137111636.04415888,36003500113.235146,296.0
137246735.11622638,36204235692.52644,298.0
137375100.62835005,36405464733.96346,300.0
137496772.66889405,36607207772.83442,302.0
137611786.77880806,36809484552.94157,304.0
137720180.6082037,37012315721.51838,306.0
137821991.61442745,37215722245.9613,308.0
137917257.04565546,37419725411.77953,310.0
138006013.924489,37624346820.544754,312.0
138088299.03154927,37829608387.8409,314.0
138164148.8890726,38035532341.21389,316.0
138233600.10173953,38242141333.54456,318.0
138296693.71501395,38449459854.48803,320.0
138353462.48912144,38657510121.91764,322.0
138403942.29817742,38866315768.25923,324.0
138448168.73817828,39075900747.77556,326.0
138486177.1136033,39286289335.48767,328.0
138518002.4240172,39497506126.09629,330.0
138543679.35067213,39709576032.9032,332.0
138563242.24311015,39922524286.732574,334.0
138576725.10576534,40136376434.85243,336.0
138584165.61167789,40351159864.12478,338.0
138585596.4093045,40566900514.69691,340.0
138581049.88752854,40783624687.511055,342.0
138570559.12307006,41001359406.883545,344.0
138554156.84435844,41220132032.33151,346.0
138531875.421117,41439970258.623,348.0
138503746.8539475,41660902115.82711,350.0
138469802.76391435,41882955969.36407,352.0
138430074.38212934,42106160520.05537,354.0
138384594.73990813,42330545781.6802,356.0
138333396.52250102,42556142132.26749,358.0
138276508.01053426,42782978515.93873,360.0
138213959.34229222,43011085229.32479,362.0
138145780.27734312,43240492932.83301,364.0
138072000.18912748,43471232652.03159,366.0
137992648.0575462,43703335779.03413,368.0
137907752.46154916,43936834073.88402,370.0
137817341.57172352,44171759665.93896,372.0
137721443.702859,44408145347.88064,374.0
137620090.85582498,44646026431.83836,376.0
137513307.23194423,44885434752.64365,378.0
137401119.83532256,45126404213.50954,380.0
137283555.28581244,45368969125.849884,382.0
137160639.81454787,45613164212.20356,384.0
137032399.25947925,45859024609.1587,386.0
136898859.06090838,46106585870.27688,388.0
136760044.2570231,46355883969.0174,390.0
136615979.47943243,46606955301.66148,392.0
136466692.89169082,46859839121.8908,394.0
136312207.32149568,47114572077.66305,396.0
136152545.86724275,47371191674.47057,398.0
135987732.0291499,47629736361.882645,400.0
135817788.93705472,47890245063.003746,402.0
135642739.3486792,48152757179.08112,404.0
135462605.64789402,48417312594.11236,406.0
135277409.84298304,48683951679.45288,408.0
135087173.56490764,48952715298.42359,410.0
134891920.05832386,49223646262.2586,412.0
134691671.72272328,49496787545.16695,414.0
134486447.78035662,49772180591.730965,416.0
134276268.80235475,50049868619.194214,418.0
134061155.02545601,50329895397.38973,420.0
133841126.35271375,50612305255.127045,422.0
133616202.35420416,50897143086.57913,424.0
133386402.26773387,51184454357.66944,426.0
133151744.99954768,51474285112.458855,428.0
132912249.70842503,51766682473.51717,430.0
132667937.9138055,52061696432.7658,432.0
132418825.59772322,52359373169.57934,434.0
132164930.75707258,52659761451.453575,436.0
131906271.10692339,52962910695.07553,438.0
131642864.08344911,53268870974.59075,440.0
131374726.84685518,53577693029.870636,442.0
131101876.2843074,53889428274.77971,444.0
130824329.01286013,54204128805.44298,446.0
130542101.3823847,54521847408.51319,448.0
130255212.73637213,54842640671.35845,450.0
129963677.8219794,55166561760.91811,452.0
129667512.11810464,55493665502.20257,454.0
129366731.35526769,55824007926.6363,456.0
129061351.0568904,56157645840.77625,458.0
128751386.54434,56494636836.59289,460.0
128436852.9419724,56835039301.75128,462.0
128117765.18217552,57178912429.892204,464.0
127794138.01041266,57526316230.9132,466.0
127465987.88581946,57877313493.09254,468.0
127133330.23594013,58231966961.39173,470.0
126796178.29992743,58590338151.39187,472.0
126454546.5302681,58952490857.12263,474.0
126108449.26231405,59318489786.172585,476.0
125757900.72143129,59688400572.1385,478.0
125402915.030149,60062289787.074646,480.0
125043506.21530858,60440224953.94211,482.0
124679688.21521266,60822274559.0581,484.0
124311475.61507757,61208508843.408806,486.0
123938885.14206892,61599001406.27701,488.0
123561928.72939125,61993821792.632416,490.0
123180620.43373354,62393042895.602646,492.0
122794974.30407527,62796738682.131836,494.0
122405004.3909977,63204984207.74244,496.0
122010724.75599524,63617855631.296936,498.0
121612149.48078693,64035430229.75967,500.0
121209292.6766277,64457786412.95856,502.0
120802168.49361981,64885003738.3469,504.0
120390794.8524197,65317166871.500465,506.0
119975184.50090088,65754356111.081154,508.0
119555351.81635116,66196654604.05084,510.0
119131311.65096861,66644147126.78987,512.0
118703078.99129157,67096919728.98498,514.0
118270668.96978284,67555059750.80024,516.0
117834096.8764138,68018655840.04797,518.0
117393378.17024866,68487797969.35967,520.0
116948528.49102846,68962577453.35692,522.0
116499566.05945405,69443089339.86331,524.0
116046507.78383486,69929428546.10175,526.0
115589368.92910698,70421689535.40125,528.0
115128166.44080581,70919969626.43074,530.0
114662917.55443832,71424367616.76244,532.0
114193639.80948897,71934983802.44968,534.0
113720351.06342572,72451919997.60475,536.0
113243069.50570598,72975279553.9768,538.0
112761813.67178261,73505167380.5297,540.0
112276603.513366,74041690879.28624,542.0
111787461.4926697,74584960901.97722,544.0
111294405.2779194,75135085421.07161,546.0
110797455.4060547,75692176184.33842,548.0
110296632.88356307,76256346641.0797,550.0
109791959.20304711,76827711963.93028,552.0
109283456.35979222,77406389070.65778,554.0
108771146.86833392,77992496645.96246,556.0
108255053.77902552,78586155163.27715,558.0
107735200.69460547,79187486906.56706,560.0
107211616.30184563,79796618984.2367,562.0
106684323.22490989,80413675953.16289,564.0
106153347.0588148,81038785815.9157,566.0
105618714.30277377,81672078662.02338,568.0
105080452.14730981,82313686537.71445,570.0
104538588.49342236,82963743469.44019,572.0
103993151.97175427,83622385487.39722,574.0
103444171.96175873,84289750649.04994,576.0
102891678.6108662,84965979062.65318,578.0
102335705.32905619,85651213620.66508,580.0
101776284.37223184,86345598751.18414,582.0
101213447.50032808,87049280624.70567,584.0
100647228.5711846,87762407916.0122,586.0
100077662.35544899,88485131482.34016,588.0
99504784.55804835,89217604387.56337,590.0
98928631.83966108,89959981926.37653,592.0
98349241.83818859,90712421648.47874,594.0
97766653.190227,91475083382.75696,596.0
97180906.55515604,92248128840.78888,598.0
96592044.94362809,93031721512.2074,600.0
96000108.62613097,93826028834.17102,602.0
95405140.83253478,94631219833.12659,604.0
94807185.94166575,95447465917.62495,606.0
94206289.50482689,96274940901.64487,608.0
93602498.26931845,97113821027.91675,610.0
92995860.20195857,97964284991.24652,612.0
92386424.51260386,98826513961.8395,614.0
91774241.6776699,99700691608.62411,616.0
91159363.96236925,100586996776.70866,618.0
90541844.18065575,101485622122.57535,620.0
89921736.79279082,102396758317.22755,622.0
89299097.6313082,103320598452.36705,624.0
88673983.91877106,104257338148.61186,626.0
88046454.29156391,105207175574.82295,628.0
87416568.82368453,106170311467.43083,630.0
86784389.05053589,107146949149.76224,632.0
86149977.99271818,108137294551.36676,634.0
85513398.20433277,109141546721.06424,636.0
84874715.60535061,110159916173.58743,638.0
84233998.3092986,111192619153.10867,640.0
83591315.18466274,112239870615.37999,642.0
82946736.66790871,113301888044.92068,644.0
82300334.78557567,114378891466.17218,646.0
81652183.17636998,115471103454.65273,648.0
81002357.11325899,116578749148.11227,650.0
80350933.52556477,117702056257.68718,652.0
79697989.17708148,118841249982.42084,654.0
79043600.62546434,119996552847.10649,656.0
78387851.59823722,121168205039.1947,658.0
77730824.8529278,122356441860.81076,660.0
77072604.77324948,123561500854.52625,662.0
76413277.38293774,124783621791.69118,664.0
75752930.35958676,126023046660.76624,666.0
75091653.0104427,127280019583.6154,668.0
74429529.3073543,128554773588.41,670.0
73766655.02260396,129847563020.68459,672.0
73103123.49019766,131158636542.61852,674.0
72439029.61158633,132488244680.52138,676.0
71774469.86017981,133836639795.51178,678.0
71109542.28586079,135204076054.1962,680.0
70444346.51949877,136590809399.34766,682.0
69778979.4679713,137997087516.49768,684.0
69113542.92297147,139423167457.27597,686.0
68448141.88241202,140869311702.90585,688.0
67782881.15281649,142335780237.17142,690.0
67117866.98325217,143822834299.64084,692.0
66453207.06056295,145330736334.80017,694.0
65789010.504602395,146859749941.18704,696.0
65125384.564932056,148410133411.33136,698.0
64462433.54340294,149982137596.68127,700.0
63800274.28135208,151576035958.2833,702.0
63139019.6141466,153192092376.65186,704.0
62478783.51385554,154830571102.59656,706.0
61819681.0684617,156491736675.22614,708.0
61161828.46107336,158175853839.95245,710.0
60505342.94913608,159883187466.49448,712.0
59850330.88341261,161613982440.54797,714.0
59196914.80075827,163368508981.0171,716.0
58545212.32999015,165147027272.5984,718.0
57895341.43513169,166949796197.93518,720.0
57247420.51505,168777073457.26315,722.0
56601568.161055006,170629114688.88455,724.0
55957900.72813803,172506163898.8216,726.0
55316538.35832889,174408477487.78467,728.0
54677599.91075025,176336304182.07394,730.0
54041204.27265289,178289890328.98807,732.0
53407470.293625146,180269479719.32727,734.0
52776516.056387365,182275312239.31677,736.0
52148456.30509894,184307619271.50708,738.0
51523410.420274675,186366637704.90533,740.0
50901495.31746118,188452597343.4543,742.0
50282827.354411446,190565724209.78342,744.0
49667522.2516211,192706240343.58563,746.0
49055693.64648472,194874361082.38092,748.0
48447451.455561966,197070291988.71362,750.0
47842910.08961974,199294243931.51215,752.0
47242180.45550623,201546418293.99124,754.0
46645372.17814583,203827011012.56534,756.0
46052593.503514305,206136212342.86813,758.0
45463949.604777455,208474202536.32135,760.0
44879542.676553614,210841152096.03552,762.0
44299476.91190383,213237234537.23425,764.0
43723852.82502657,215662611862.33887,766.0
43152768.858382694,218117438691.26627,768.0
42586321.27103379,220601861989.96423,770.0
42024603.45567633,223116017035.22775,772.0
41467706.317857236,225660030377.10553,774.0
40915719.00927579,228234025134.00662,776.0
40368727.5918,230838112655.4733,778.0
39826815.328281164,233472394902.20633,780.0
39290062.56688193,236136964148.18134,782.0
38758547.902007684,238831900225.94757,784.0
38232346.16591606,241557273871.27316,786.0
37711528.04062468,244313146949.53323,788.0
37196161.52350028,247099569114.69617,790.0
36686311.18612782,249916578715.13318,792.0
36182038.06278714,252764202487.75073,794.0
35683399.53892974,255642455252.12283,796.0
35190455.37656045,258551341102.02258,798.0
34703255.138979845,261490850058.415,800.0
34221844.82391895,264460959409.2795,802.0
33746267.7496118,267461633647.15482,804.0
33276563.262187976,270492823875.08795,806.0
32812766.638432417,273554467504.2516,808.0
32354908.988545157,276646487951.5615,810.0
31903025.582958665,279768801751.1543,812.0
31457137.518059287,282921302201.9182,814.0
31017265.38067826,286103871176.5603,816.0
30583425.80901956,289316375878.13855,818.0
30155631.34935729,292558668497.1404,820.0
29733897.304905772,295830594710.3812,822.0
29318228.362153545,299131976508.33344,824.0
28908626.21892508,302462621683.17206,826.0
28505089.577963687,305822323625.2048,828.0
28107613.32675505,309210860086.27234,830.0
27716190.411661513,312627999064.7744,832.0
27330808.788614925,316073488783.45105,834.0
26951452.17868931,319547059960.42487,836.0
26578101.099087007,323048428970.0838,838.0
26210732.372556057,326577296087.89557,840.0
25849322.581829943,330133352719.46454,842.0
25493844.106822327,333716272745.5113,844.0
25144263.029628087,337325707866.77106,846.0
24800543.75314771,340961297326.15924,848.0
24462647.424147055,344622664363.0957,850.0
24130534.63973086,348309422381.5857,852.0
23804164.349542487,352021172201.3233,854.0
23483488.021526836,355757488206.88654,856.0
23168456.52758257,359517934311.5485,858.0
22859018.10579184,363302059005.1509,860.0
22555120.005711548,367109400002.216,862.0
22256709.9489482,370939488343.6537,864.0
21963728.225817703,374791824799.24567,866.0
21676115.284665614,378665902098.6788,868.0
21393809.677007966,382561198634.3118,870.0
21116748.633095834,386477181140.26746,872.0
20844870.045362066,390413315080.9294,874.0
20578106.960869513,394369034019.56696,876.0
20316392.417995565,398343765630.8449,878.0
20059658.266593512,402336924767.5226,880.0
19807835.325734288,406347914378.80914,882.0
19560854.32362186,410376140886.44867,884.0
19318644.08731922,414420978726.1925,886.0
19081133.17994303,418481798612.422,888.0
18848249.619489532,422557960343.5658,890.0
18619921.00069924,426648813057.3021,892.0
18396073.74029868,430753709910.3415,894.0
18176635.01668195,434871978421.9693,896.0
17961531.636524763,439002941384.04047,898.0
17750690.3672518,443145913650.774,900.0
17544038.099515468,447300201725.6618,902.0
17341499.794567306,451465117058.2889,904.0
17143002.778666664,455639951420.2235,906.0
16948474.733378854,459823989945.36743,908.0
16757843.42196776,464016513797.858,910.0
16571037.188387923,468216798224.0068,912.0
16387985.065559685,472424112938.61127,914.0
16208613.857417747,476637736324.8788,916.0
16032854.42478282,480856927622.2792,918.0
15860637.508602954,485080946872.4615,920.0
15691894.61416643,489309051763.6948,922.0
15526557.860672045,493540498010.74207,924.0
15364557.012228264,497774543732.44476,926.0
15205827.171304679,502010440231.4102,928.0
15050302.796472088,506247440214.42523,930.0
14897919.372724475,510484796253.48096,932.0
14748612.946283849,514721761572.8724,934.0
14602319.501487,518957590918.7616,936.0
14458978.057033246,523191539486.52893,938.0
14318527.987958953,527422864863.3897,940.0
14180909.840096448,531650827147.2719,942.0
14046063.874913774,535874688890.03674,944.0
13913930.923128748,540093715924.711,946.0
13784455.17253522,544307178933.3135,948.0
13657580.892997881,548514352693.2715,950.0
13533253.484378247,552714516979.0535,952.0
13411418.772761794,556906956154.5275,954.0
13292024.040801344,561090960948.6249,956.0
13175018.060767502,565265828975.3824,958.0
13060350.512975695,569430864480.1537,960.0
12947972.23882671,573585379136.625,962.0
12837833.83896058,577728689438.9108,964.0
12729888.33949473,581860123003.0013,966.0
12624089.736265225,585979015840.7856,968.0
12520392.966233816,590084712759.6552,970.0
12418754.0263889,594176568036.8677,972.0
12319127.818039995,598253939141.7454,974.0
12221472.924915751,602316202117.6204,976.0
12125747.957684636,606362740619.0538,978.0
12031912.497534443,610392949315.55,980.0
11939926.882045744,614406232842.8677,982.0
11849751.498538114,618402001219.8418,984.0
11761348.883320635,622379685401.0231,986.0
11674681.943499878,626338725003.8937,988.0
11589714.42112713,630278572127.628,990.0
11506410.8136663,634198688459.1412,992.0
11424736.346750813,638098545066.9766,994.0
11344657.171091283,641977633717.3419,996.0
11266140.132245043,645835456233.7253,998.0
11189152.815713469,649671528009.3386,1000.0
11113663.678594345,653485368299.6135,1002.0
11039641.826562585,657276514375.4446,1004.0
10967056.932492968,661044526147.3789,1006.0
10895879.42807038,664788972424.4126,1008.0
10826080.407429222,668509436546.1934,1010.0
10757631.610466838,672205516655.1075,1012.0
10690505.406156942,675876825968.3671,1014.0
10624675.114191204,679522955280.6045,1016.0
10560114.23633991,683143557180.7113,1018.0
10496796.971374774,686738286977.3546,1020.0
10434698.11945395,690306811782.2902,1022.0
10373793.03812751,693848813830.9899,1024.0
10314057.626373552,697363990674.0524,1026.0
10255468.335986022,700852045444.747,1028.0
10198002.221316475,704312663210.8367,1030.0
10141636.665415805,707745604736.2502,1032.0
10086349.603213029,711150619905.7893,1034.0
10032119.435779952,714527473231.2854,1036.0
9978925.014658334,717875943937.4054,1038.0
9926745.626187054,721195826047.4563,1040.0
9875561.322657188,724486903275.542,1042.0
9825352.481866062,727748979967.9703,1044.0
9776099.512000347,730981901487.9319,1046.0
9727783.428611988,734185511251.1803,1048.0
9680385.62538191,737359666325.1298,1050.0
9633887.859811742,740504237415.5372,1052.0
9588272.238915576,743619108853.184,1054.0
9543522.237933075,746704144231.887,1056.0
9499620.456315352,749759260534.4321,1058.0
9456550.068562066,752784379402.1664,1060.0
9414294.698173143,755779430837.1123,1062.0
9372838.284312148,758744357146.4244,1064.0
9332165.069821773,761679112851.805,1066.0
9292259.82058564,764583659785.895,1068.0
9253108.648584548,767457949629.1537,1070.0
9214696.154892897,770301983008.2344,1072.0
9177007.981642354,773115756063.9563,1074.0
9140030.061059419,775899275734.7235,1076.0
9103748.606462419,778652559603.9126,1078.0
9068150.103258533,781375635747.2585,1080.0
9033221.414297335,784068532820.1456,1082.0
8998949.65140047,786731290101.2854,1084.0
8965322.025226455,789363969385.4503,1086.0
8932326.071670894,791966634739.678,1088.0
8899949.56143769,794539359300.1827,1090.0
8868180.49152365,797082225078.1277,1092.0
8837007.076703051,799595322765.399,1094.0
8806418.53322598,802078738745.1907,1096.0
8776403.415575804,804532581623.5752,1098.0
8746950.59988435,806956966014.4266,1100.0
8718049.297400033,809352011990.1327,1102.0
8689688.924999991,811717846841.2164,1104.0
8661859.098554797,814054604851.7432,1106.0
8634549.675476272,816362426153.0887,1108.0
8607751.014211912,818641451512.3615,1110.0
8581453.152232608,820891837387.0981,1112.0
8555646.516160449,823113742269.3002,1114.0
8530321.710821606,825307330289.425,1116.0
8505469.513409942,827472770976.8228,1118.0
8481080.867650602,829610239020.1725,1120.0
8457147.157618312,831719914357.728,1122.0
8433659.967872718,833801981661.7543,1124.0
8410610.594205463,835856629528.8508,1126.0
8387990.72633879,837884051052.407,1128.0
8365792.211901357,839884443311.568,1130.0
8344007.051890736,841858007133.2037,1132.0
8322627.396135905,843804946853.877,1134.0
8301645.724310912,845725475254.684,1136.0
8281054.467937514,847619802911.754,1138.0
8260846.204540126,849488143497.4489,1140.0
8241013.685756631,851330714452.5142,1142.0
8221549.796885841,853147735746.7933,1144.0
8202447.552815501,854939429654.1737,1146.0
8183700.128769434,856706021448.7482,1148.0
8165301.148353686,858447746908.3756,1150.0
8147243.855817167,860164830297.7325,1152.0
8129521.82034071,861857502884.4768,1154.0
8112128.732073829,863525997425.6401,1156.0
8095058.398821646,865170547962.653,1158.0
8078304.742731831,866791389616.37,1160.0
8061861.849421192,868388762998.6874,1162.0
8045723.933503648,869962911264.449,1164.0
8029885.214360873,871514069261.4542,1166.0
8014340.066641292,873042476866.5221,1168.0
7999082.9669856755,874548374382.1069,1170.0
7984108.490981022,876032002354.8253,1172.0
7969411.31011443,877493601393.9812,1174.0
7954986.424815058,878933421707.8915,1176.0
7940828.7058958495,880351704172.7339,1178.0
7926933.097447241,881748688627.9176,1180.0
7913294.693640766,883124616981.3634,1182.0
7899908.679427167,884479730712.4445,1184.0
7886770.328117767,885814270716.3408,1186.0
7873875.004927019,887128477951.1721,1188.0
7861218.249561695,888422604730.1427,1190.0
7848795.549639859,889696884378.5077,1192.0
7836602.5273410315,890951556539.3494,1194.0
7824634.8841248285,892186859899.0405,1196.0
7812888.398507547,893403032057.889,1198.0
7801358.923838745,894600309400.7811,1200.0
7790042.511428856,895778934567.9839,1202.0
7778935.333432115,896939151784.9125,1204.0
7768033.3408687925,898081186133.1261,1206.0
7757332.705643436,899205270355.7893,1208.0
7746829.668248223,900311635629.2264,1210.0
7736520.535784067,901400511448.39,1212.0
7726401.679981724,902472125512.3314,1214.0
7716469.535222906,903526703609.6699,1216.0
7706720.596561377,904564469504.0624,1218.0
7697151.677482089,905585668657.2028,1220.0
7687759.443099792,906590525455.077,1222.0
7678540.48624179,907579250257.562,1224.0
7669491.577164697,908552062383.335,1226.0
7660609.542956599,909509179109.0543,1228.0
7651891.265858449,910450815582.3907,1230.0
7643333.681585488,911377184735.056,1232.0
7634933.777648651,912288497195.8345,1234.0
7626688.591675982,913184961203.6117,1236.0
7618595.621067975,914066820120.2347,1238.0
7610651.861095323,914934264569.9773,1240.0
7602854.493274641,915787495430.0895,1242.0
7595200.797599285,916626715874.3297,1244.0
7587688.102478762,917452126863.4204,1246.0
7580313.783388242,918263927088.0696,1248.0
7573075.261518069,919062312911.9923,1250.0
7565970.002423268,919847478314.9327,1252.0
7558995.543328703,920619617959.9895,1254.0
7552149.7201506775,921378952035.886,1256.0
7545429.968746501,922125650162.9669,1258.0
7538833.954878455,922859900167.9908,1260.0
7532359.386262011,923581887682.1432,1262.0
7526004.011436436,924291796108.1648,1264.0
7519765.618635416,924989806587.4802,1266.0
7513642.034657664,925676097967.3259,1268.0
7507631.123737533,926350846767.8785,1270.0
7501730.849950244,927014234069.3939,1272.0
7495939.268670098,927666444671.9982,1274.0
7490254.276101254,928307639905.4218,1276.0
7484673.899262809,928937989303.4976,1278.0
7479196.199831882,929557660221.1564,1280.0
7473819.273158625,930166817817.284,1282.0
7468541.247281243,930765625037.577,1284.0
7463360.281941009,931354242597.3986,1286.0
7458274.567597282,931932828964.6356,1288.0
7453282.449574476,932501549442.2041,1290.0
7448382.225504215,933060561492.4396,1292.0
7443572.125453592,933610013346.5007,1294.0
7438850.480521849,934150056319.277,1296.0
7434215.650808527,934680839625.6859,1298.0
7429666.024587986,935202510375.1289,1300.0
7425200.0174839245,935715213565.9463,1302.0
7420816.071643897,936219092079.8724,1304.0
7416512.654913837,936714286676.4915,1306.0
7412288.490082957,937200949277.0042,1308.0
7408142.026490047,937679212485.3191,1310.0
7404071.788389286,938149209752.4745,1312.0
7400076.366724222,938611074943.6244,1314.0
7396154.377001474,939064939946.878,1316.0
7392304.458600155,939510934675.5479,1318.0
7388525.2740812935,939949187070.3972,1320.0
7384815.508497256,940379823101.8872,1322.0
7381173.868701167,940802966772.425,1324.0
7377599.107584706,941218742024.2347,1326.0
7374090.152443728,941627282607.1743,1328.0
7370645.663579061,942028698391.4637,1330.0
7367264.447925234,942423107042.1477,1332.0
7363945.332921837,942810624432.3584,1334.0
7360687.165923269,943191364653.2329,1336.0
7357488.813608505,943565440023.8315,1338.0
7354349.161390855,943932961101.0552,1340.0
7351267.112827725,944294036689.5634,1342.0
7348241.5890303785,944648773851.6924,1344.0
7345271.652749737,944997282832.1637,1346.0
7342356.371127517,945339671680.8517,1348.0
7339494.620657714,945676038597.4547,1350.0
7336685.415545049,946006484908.7325,1352.0
7333927.787676123,946331110370.0946,1354.0
7331220.7861703085,946650013181.0823,1356.0
7328563.476930645,946963290000.8496,1358.0
7325954.942194724,947271035963.645,1360.0
7323394.280085591,947573344694.2922,1362.0
7320880.604162627,947870308323.6719,1364.0
7318413.114979163,948162020974.5355,1366.0
7315990.940474727,948448571106.4043,1368.0
7313613.229489917,948730046059.6047,1370.0
7311279.162305192,949006532600.3062,1372.0
7308987.93338606,949278116126.0588,1374.0
7306738.750978879,949544880683.4397,1376.0
7304530.836706659,949806908985.698,1378.0
