A,AL,ALL,B,BL,BLL,D,DL,DLL,I,IL,ILL,L,Time
7.893777068431698e-12,2.298435081745103e-09,1.6073852484038394e-07,1.5795471768053932e-07,4.944835861800217e-08,3.796537599505682e-09,2.223549835107109e-14,1.3963699626131132e-11,2.192298566895007e-09,6.35243681474414e-12,3.963355123553576e-09,6.195795403403677e-07,8.371662084782763e-06,0.12
7.361380567593296e-12,2.1376030213924928e-09,1.4910241103545824e-07,1.472902131728554e-07,4.59757362540131e-08,3.520889663154449e-09,2.5594993629092166e-14,1.602572017515317e-11,2.508560090192345e-09,6.646581099085657e-12,4.137942585789354e-09,6.452965849003095e-07,8.346875801040394e-06,0.13
6.875799800207617e-12,1.9917235732302604e-09,1.3860682334829623e-07,1.3756336014275547e-07,4.282580804575357e-08,3.2722289985706766e-09,2.9104578152107497e-14,1.817367044223458e-11,2.837053801203388e-09,6.9160089953312565e-12,4.2969462020108295e-09,6.685740613043639e-07,8.324287013603688e-06,0.14
6.4329396195024054e-12,1.8593499439514934e-09,1.2913144625521674e-07,1.2869216216977778e-07,3.996738035876619e-08,3.047714022526825e-09,3.275066076878564e-14,2.039958044221311e-11,3.176620561453513e-09,7.162627396946682e-12,4.441726950004189e-09,6.896495718401831e-07,8.303700437808064e-06,0.15
6.0290348894060404e-12,1.7391823896052945e-09,1.2057048500604238e-07,1.2060119658772049e-07,3.737237814294551e-08,2.8448409995686648e-09,3.6520564896313206e-14,2.269613248976767e-11,3.5262135363021515e-09,7.388239626501119e-12,4.573535076308422e-09,7.087360183339345e-07,8.284937092506939e-06,0.16
5.660652323196783e-12,1.6300536581516957e-09,1.1282998114666969e-07,1.1322172874465874e-07,3.501565326249245e-08,2.6613913592593536e-09,4.040272319526376e-14,2.505667886984438e-11,3.884886636348674e-09,7.59451639317733e-12,4.693509712827296e-09,7.2602444322928e-07,8.267834321944523e-06,0.17
5.324711021009343e-12,1.5309179515360863e-09,1.0582571860746734e-07,1.0649206474184016e-07,3.2874648907381525e-08,2.4953749372765557e-09,4.4386596871240244e-14,2.747519413725405e-11,4.251785350715143e-09,7.782971889167368e-12,4.8026762315058796e-09,7.416861860086304e-07,8.25224615190724e-06,0.18
5.018345305045793e-12,1.4408312767326575e-09,9.948383356742079e-08,1.0035482428145502e-07,3.092901940882784e-08,2.345046717996844e-09,4.846232722707139e-14,2.9946126128070626e-11,4.62613609836862e-09,7.955059918502557e-12,4.901987198971064e-09,7.558753534565458e-07,8.238037476308655e-06,0.19
4.7389540316927345e-12,1.3589434514437144e-09,9.373825757373147e-08,9.475790690728268e-08,2.9160407770971184e-08,2.2088428474583656e-09,5.2620965959065027e-14,3.246444348483632e-11,5.007238331550421e-09,8.112111968607325e-12,4.992306936390573e-09,7.687307280507179e-07,8.225085743790772e-06,0.2
4.484158177451864e-12,1.2844861204078969e-09,8.852988808196929e-08,8.965366734868778e-08,2.755223694316466e-08,2.08536537333317e-09,5.685431901226057e-14,3.5025558596187146e-11,5.394455985113957e-09,8.255363607477911e-12,5.074426358560587e-09,7.803776518540598e-07,8.213279102430296e-06,0.21
4.251794396966533e-12,1.2167683573041434e-09,8.380612800174976e-08,8.499877623148161e-08,2.608959464755972e-08,1.9733695807672394e-09,6.115492517400713e-14,3.762531077019071e-11,5.787214503806988e-09,8.385954055478403e-12,5.149065183169255e-09,7.90928759280011e-07,8.202516003768506e-06,0.22
4.039887395542896e-12,1.1551654336261683e-09,7.95198329420834e-08,8.07536718051598e-08,2.475899978588574e-08,1.871739890575178e-09,6.551598203354542e-14,4.0259915178640776e-11,6.184992262348634e-09,8.504934975202043e-12,5.216880667511857e-09,8.004858469592754e-07,8.192703870089211e-06,0.23
3.846631938755449e-12,1.0991118781652065e-09,7.562871516986554e-08,7.688219623714254e-08,2.354824685396335e-08,1.7794752829982443e-09,6.993129805935634e-14,4.292593088973973e-11,6.5873153777495365e-09,8.613278529072176e-12,5.278473791063768e-09,8.091410096363938e-07,8.183758210611882e-06,0.24
3.670383138326672e-12,1.0480968351692964e-09,7.209487793822421e-08,7.335140250905657e-08,2.2446308154565282e-08,1.6956784960231822e-09,7.439525428922483e-14,4.562023735853416e-11,6.993754196487281e-09,8.711878879809415e-12,5.3343922320370824e-09,8.169774127438034e-07,8.175602135791772e-06,0.25
3.5096409458479214e-12,1.0016580051301425e-09,6.888427136422672e-08,7.013124458503717e-08,2.144320410967924e-08,1.619543282680085e-09,7.89027528739893e-14,4.834000318112093e-11,7.403918625430397e-09,8.801558855112767e-12,5.385135692152276e-09,8.240702942299262e-07,8.168165607185309e-06,0.26
3.3630349080534786e-12,9.59376067995386e-10,6.596622297732184e-08,6.719427168840728e-08,2.0529882258947724e-08,1.5503432492637533e-09,8.344917120650352e-14,5.1082657763785234e-11,7.817453817626356e-09,8.883076285962641e-12,5.431160838331208e-09,8.304878768839745e-07,8.161384704320568e-06,0.27
3.229320406622926e-12,9.208729607214116e-10,6.331327301694737e-08,6.451555265052937e-08,1.9698179452022957e-08,1.4874279150947294e-09,8.803033968046134e-14,5.38458799900511e-11,8.234038813501667e-09,8.957124977249433e-12,5.4728825353256085e-09,8.362916523001401e-07,8.15520143508055e-06,0.28
3.1073601419836375e-12,8.85804771047029e-10,6.090055500554199e-08,6.207230478855668e-08,1.8940667980187036e-08,1.4302080281552438e-09,9.264247332797305e-14,5.6627558913874196e-11,8.653380993698395e-09,9.02434193999784e-12,5.510679898369381e-09,8.415375466309718e-07,8.149562838474726e-06,0.29
2.9961155451743747e-12,8.538595635926056e-10,5.870564658712761e-08,5.984372592057661e-08,1.8250615450054435e-08,1.3781526195408227e-09,9.728215874557467e-14,5.94257839910804e-11,9.075214278989853e-09,9.085313574334702e-12,5.5448993811678375e-09,8.462762817036776e-07,8.1444206094425e-06,0.3
2.894635677353587e-12,8.247528054090383e-10,5.670817683813189e-08,5.781076748659915e-08,1.7621878267828818e-08,1.3307790529698496e-09,1.0194630550579199e-13,6.223881836600617e-11,9.49929558352135e-09,9.140578979282594e-12,5.5758582293512815e-09,8.505541157568571e-07,8.139730537416062e-06,0.31
2.8020559317020624e-12,7.982278183216887e-10,5.488991853512813e-08,5.5956108352517957e-08,1.7048910977823805e-08,1.2876551697758833e-09,1.066321413558211e-13,6.506509840394047e-11,9.925405057469852e-09,9.190632581367937e-12,5.603845028158597e-09,8.544127646417422e-07,8.135452464269039e-06,0.32
2.7175899431207055e-12,7.740523335153436e-10,5.32344635307948e-08,5.4263994476215065e-08,1.652669512162958e-08,1.2483918734421327e-09,1.1133717068550554e-13,6.790321191043604e-11,1.0353343343413296e-08,9.235926279947931e-12,5.629122235573565e-09,8.578899690201085e-07,8.131549891561833e-06,0.33
2.640525297895642e-12,7.52014925996021e-10,5.172680336882803e-08,5.2720154562548284e-08,1.6050665239928374e-08,1.2126334630154612e-09,1.160591332416867e-13,7.075187569890964e-11,1.0782928698627772e-08,9.276866755761781e-12,5.651927341677168e-09,8.610200870724896e-07,8.127989735410756e-06,0.34
2.5702130630658283e-12,7.319229433356313e-10,5.0353251190904754e-08,5.13115895450071e-08,1.5616661721079705e-08,1.1800556253129386e-09,1.2079599220362576e-13,7.360992647914336e-11,1.1213995274783902e-08,9.313824766491816e-12,5.672476830582875e-09,8.638344321086888e-07,8.12474186017912e-06,0.35
2.506048094462302e-12,7.136014644795143e-10,4.9101665450707675e-08,5.0026182520163237e-08,1.522091462155469e-08,1.1503712932815016e-09,1.2554594036662986e-13,7.647632049009928e-11,1.1646392125125062e-08,9.347158652380022e-12,5.690973836804041e-09,8.663614436147038e-07,8.121778288789014e-06,0.36
2.447476901831466e-12,6.968915216323851e-10,4.7961168863392915e-08,4.885283820979134e-08,1.485997945195662e-08,1.1233215240857116e-09,1.303073614062272e-13,7.935011741978222e-11,1.207998214317629e-08,9.377194969405168e-12,5.707602947926371e-09,8.686269102413826e-07,8.119073410416968e-06,0.37
2.3940214410905672e-12,6.816487634465344e-10,4.69213466073986e-08,4.7781979897201624e-08,1.4530738327668793e-08,1.0986594811479325e-09,1.3507874882015929e-13,8.223044937193847e-11,1.2514640595876653e-08,9.40420092913264e-12,5.722523240196076e-09,8.706542993365696e-07,8.11660496717731e-06,0.38
2.345224041113985e-12,6.677419923132475e-10,4.5973186756178496e-08,4.680444130698224e-08,1.4230360824640114e-08,1.0761717559573671e-09,1.3985879897416577e-13,8.511654802039373e-11,1.2950253905198192e-08,9.428448093765969e-12,5.735887800300785e-09,8.724649255794722e-07,8.114351816841092e-06,0.39
2.300671325608761e-12,6.550513051350337e-10,4.510837043541644e-08,4.5911940745361923e-08,1.3956256354387703e-08,1.0556610311454928e-09,1.446463269583811e-13,8.800771269305947e-11,1.3386718235225383e-08,9.4501798015265e-12,5.747835075217598e-09,8.740782636079602e-07,8.112294822933051e-06,0.4
2.259987386759499e-12,6.434679037981856e-10,4.431937022810041e-08,4.5096947683085e-08,1.3706074908789952e-08,1.0369487496003562e-09,1.4944027644443923e-13,9.090331305988776e-11,1.3823939308370662e-08,9.469615218357241e-12,5.758490173565696e-09,8.755119786887452e-07,8.110416589751133e-06,0.41
2.2228312953437156e-12,6.32893321178586e-10,4.359937318183998e-08,4.4352631458576714e-08,1.3477688341915222e-08,1.0198733546719673e-09,1.5423969958903733e-13,9.38027806808818e-11,1.426183163729155e-08,9.486956262524864e-12,5.767967438473148e-09,8.767820744581116e-07,8.1087013428539e-06,0.42
2.1888911599912006e-12,6.232375743988743e-10,4.294216987436306e-08,4.367274409336305e-08,1.326915334309845e-08,1.0042875969690447e-09,1.5904374727855152e-13,9.67056012138046e-11,1.4700317111153506e-08,9.502386647742374e-12,5.776371081016038e-09,8.779031634028663e-07,8.107134656429548e-06,0.43
2.1578821186879618e-12,6.1441863758655e-10,4.2342110328384236e-08,4.305157867741782e-08,1.3078697784451387e-08,9.900574591158184e-10,1.6385165950238105e-13,9.961130986142971e-11,1.5139324471181057e-08,9.516074353459273e-12,5.783796249966666e-09,8.788885672739005e-07,8.10570335695295e-06,0.44
2.129544631288976e-12,6.063618838557183e-10,4.1794061540031626e-08,4.248393578384241e-08,1.2904709675017629e-08,9.770612004813094e-10,1.6866275853239903e-13,1.0251948777365112e-10,1.557878884944283e-08,9.528172806667113e-12,5.790329687863673e-09,8.797504055114918e-07,8.104395445062572e-06,0.45
2.1036423727153735e-12,5.989994545154477e-10,4.1293361632909196e-08,4.196508056660348e-08,1.2745722492464977e-08,9.651882210182235e-10,1.7347643695611638e-13,1.0542975663413045e-10,1.6018651219175106e-08,9.538821962230313e-12,5.796050404170921e-09,8.804997003117337e-07,8.10319999512252e-06,0.46
2.0799599344772247e-12,5.922695593842737e-10,4.083577126492482e-08,4.1490698083628966e-08,1.2600402139349385e-08,9.543380013444109e-10,1.7829215576221305e-13,1.0834177616864369e-10,1.645885782578176e-08,9.548149566954416e-12,5.801030427138598e-09,8.811464845206189e-07,8.102107052872597e-06,0.47
2.058300960890088e-12,5.86115946420535e-10,4.041743344772955e-08,4.105685353319831e-08,1.2467531725086812e-08,9.444189800645184e-10,1.8310942841784681e-13,1.1125523770868386e-10,1.6899359679444253e-08,9.55627211975354e-12,5.8053354003690755e-09,8.816998983674663e-07,8.101107540740984e-06,0.48
2.0384863314310655e-12,5.804873422363875e-10,4.003484043565274e-08,4.06599599002481e-08,1.2346005896814485e-08,9.35348054611544e-10,1.8792782969274775e-13,1.1416986552180978e-10,1.734011217061036e-08,9.563295998101924e-12,5.809025189478947e-09,8.821682614346635e-07,8.100193187514851e-06,0.49
2.0203533123512406e-12,5.753372125683656e-10,3.968480763768338e-08,4.029675614807754e-08,1.2234817932577757e-08,9.270496173126825e-10,1.9274697312700572e-13,1.1708540900940945e-10,1.7781074747120292e-08,9.569317966819905e-12,5.812154213219881e-09,8.825591346641755e-07,8.099356471900021e-06,0.5
2.0037531164514264e-12,5.706230451599528e-10,3.9364428407352714e-08,3.996426083388449e-08,1.2133048359225484e-08,9.194546703993112e-10,1.9756651364436014e-13,1.2000164163581125e-10,1.8222210359569635e-08,9.574426541177991e-12,5.8147722177522146e-09,8.828794247188462e-07,8.09859051842387e-06,0.51
1.988549658177053e-12,5.66305989199554e-10,3.907105146189973e-08,3.9659748555133255e-08,1.2039859449265472e-08,9.125003988191989e-10,2.0238615045747908e-13,1.2291836086180876e-10,1.8663485180453834e-08,9.57870273725871e-12,5.816924685378811e-09,8.831354362804396e-07,8.097889044872049e-06,0.52
1.9746192389340318e-12,5.623507531946079e-10,3.880226803394145e-08,3.9380740786393836e-08,1.1954488038864668e-08,9.061296197128082e-10,2.0720561264543796e-13,1.258353832950687e-10,1.9104868448973806e-08,9.582220293860862e-12,5.818652988333646e-09,8.833329019021418e-07,8.097246336826751e-06,0.53
1.961849044665804e-12,5.587251729560052e-10,3.855588480815741e-08,3.912497739371968e-08,1.1876239272697825e-08,9.002903050456573e-10,2.1202466057839038e-13,1.2875254402604062e-10,1.954633213666462e-08,9.585046460516048e-12,5.819994840453566e-09,8.834770446061106e-07,8.09665718445789e-06,0.54
1.9501365393874016e-12,5.554000306479088e-10,3.832991043800838e-08,3.8890404101669486e-08,1.1804481849521347e-08,8.949352121105825e-10,2.1684308118368085e-13,1.3166969463643898e-10,1.9987850780757634e-08,9.587242392612898e-12,5.820984520687488e-09,8.835726091499447e-07,8.096116852742843e-06,0.55
1.939388309955357e-12,5.523487201039711e-10,3.812253257178234e-08,3.867514949278382e-08,1.1738640944422732e-08,8.900213421652421e-10,2.216606836448422e-13,1.345867009422846e-10,2.0429401197685657e-08,9.588863835200782e-12,5.82165326015874e-09,8.836239158571236e-07,8.095621028436839e-06,0.56
1.9295191487661833e-12,5.495469880794608e-10,3.793210009040554e-08,3.847750646109289e-08,1.1678192522008388e-08,8.855095234007512e-10,2.2647730242799683e-13,1.3750344317862667e-10,2.0870962254177686e-08,9.589961666099708e-12,5.822029546667008e-09,8.836349032128696e-07,8.095165777338339e-06,0.57
1.9204512762111026e-12,5.469726983841795e-10,3.775710631659177e-08,3.829591680878147e-08,1.1622658369600947e-08,8.813640112682679e-10,2.31292787008644e-13,1.404198122139231e-10,2.1312514668203418e-08,9.590582331712637e-12,5.822139383573537e-09,8.836091656049849e-07,8.094747508534112e-06,0.58
1.9121139858228787e-12,5.446057452109492e-10,3.759618387189071e-08,3.812896391006361e-08,1.157160401109708e-08,8.775523626914165e-10,2.3610700769475665e-13,1.43335711064598e-10,2.1754040926804274e-08,9.590768083640673e-12,5.822006408693583e-09,8.835499680634039e-07,8.094362957674333e-06,0.59
1.90444225624489e-12,5.424276380475093e-10,3.7448075218832576e-08,3.7975345121175344e-08,1.1524629953891796e-08,8.740447424564789e-10,2.4091984708127934e-13,1.4625105112371818e-10,2.219552493240502e-08,9.590557776357464e-12,5.821652359703174e-09,8.83460313062482e-07,8.094009123084862e-06,0.6
1.8973774800397795e-12,5.404217225796905e-10,3.7311648578325936e-08,3.7833886283567556e-08,1.1481376361945926e-08,8.708142977293057e-10,2.4573120379750434e-13,1.4916575391654366e-10,2.2636952189118337e-08,9.589986447888565e-12,5.8210968276151145e-09,8.833429048900672e-07,8.093683299423442e-06,0.61
1.8908655480374876e-12,5.385726227319878e-10,3.718585902418911e-08,3.7703503347388754e-08,1.1441511006497203e-08,8.678362361891305e-10,2.5054098680917663e-13,1.5207974779135206e-10,2.3078309321171014e-08,9.589086447355145e-12,5.820357899984301e-09,8.832002403010723e-07,8.09338298895773e-06,0.62
1.8848578156404316e-12,5.368665222189158e-10,3.706976808622861e-08,3.75832217501154e-08,1.1404735371579269e-08,8.650882919769566e-10,2.5534911756563167e-13,1.5499296936070658e-10,2.3519584314178478e-08,9.587886871401314e-12,5.819451838059717e-09,8.830345627624747e-07,8.093105946389044e-06,0.63
1.8793094926552587e-12,5.352907000278208e-10,3.6962511750496316e-08,3.7472144146903855e-08,1.1370774600568328e-08,8.625499651948006e-10,2.6015552549094595e-13,1.5790536081651532e-10,2.396076611376078e-08,9.586414508499721e-12,5.818393613389127e-09,8.828479378693132e-07,8.092850104327647e-06,0.64
1.874180119477337e-12,5.338336697998505e-10,3.686331018758006e-08,3.7369459950447166e-08,1.1339380509998794e-08,8.602027530992226e-10,2.649601484330372e-13,1.6081687045824773e-10,2.440184474496371e-08,9.584693566699894e-12,5.817196750125977e-09,8.826422307296897e-07,8.092613595368932e-06,0.65
1.869432598229539e-12,5.324848998662182e-10,3.677144839607869e-08,3.72744259272243e-08,1.131032554866896e-08,8.58029691398117e-10,2.6976293166031347e-13,1.637274515881715e-10,2.484281106887121e-08,9.582746241421206e-12,5.815873648165481e-09,8.824191514263649e-07,8.092394707286264e-06,0.66
1.8650332596862794e-12,5.312348366559462e-10,3.668627811991957e-08,3.718636753409335e-08,1.1283403297412654e-08,8.560153991514454e-10,2.7456383020482987e-13,1.6663706328490346e-10,2.528365680194905e-08,9.580592681585785e-12,5.8144355600183226e-09,8.821802511977407e-07,8.092191886205086e-06,0.67
1.860951304345401e-12,5.300747405413379e-10,3.660720630980258e-08,3.710466771950548e-08,1.1258424921316298e-08,8.541458051761984e-10,2.7936280263831224e-13,1.695456680499631e-10,2.5724374374228383e-08,9.578251319000031e-12,5.81289277935734e-09,8.819269491165938e-07,8.092003710679113e-06,0.68
1.85715881305562e-12,5.28996691309694e-10,3.653369568679109e-08,3.7028767134453744e-08,1.123521928399797e-08,8.524081609492081e-10,2.8415981244725433e-13,1.7245323223721864e-10,2.6164956933606543e-08,9.575738865335361e-12,5.811254637010085e-09,8.816605311821509e-07,8.091828892228429e-06,0.69
1.853629933099781e-12,5.279933550413667e-10,3.646524874323924e-08,3.6958147831906656e-08,1.1213627920379357e-08,8.507906618596728e-10,2.889548283414756e-13,1.753597254787054e-10,2.6605398141965852e-08,9.573070792471328e-12,5.809529772240542e-09,8.813821881923319e-07,8.091666237748046e-06,0.7
1.8503416812088744e-12,5.270582139694868e-10,3.6401423434699686e-08,3.689234936240248e-08,1.1193510016617888e-08,8.49282820648639e-10,2.937478250941214e-13,1.7826512160027248e-10,2.7045692374791635e-08,9.570260857653226e-12,5.807725864982256e-09,8.810929784399209e-07,8.091514686642687e-06,0.71
1.847272444213176e-12,5.261851375293826e-10,3.6341803909959556e-08,3.683093872078774e-08,1.1174733116546721e-08,8.478747708394421e-10,2.9853877907056565e-13,1.8116939603251176e-10,2.7485834348617263e-08,9.567321994436759e-12,5.805850136992926e-09,8.80793897329474e-07,8.091373241495097e-06,0.72
1.8444030152040997e-12,5.253686805940331e-10,3.6286021081460087e-08,3.677353109461536e-08,1.1157179547353592e-08,8.46557753298028e-10,3.0332766797907236e-13,1.8407252657849283e-10,2.7925819380792674e-08,9.564265705814067e-12,5.8039090070686125e-09,8.804858289318473e-07,8.091241015943588e-06,0.73
1.8417156844024104e-12,5.246038222751792e-10,3.623373461162479e-08,3.671977166467193e-08,1.1140740800885846e-08,8.453236909158948e-10,3.0811447119068843e-13,1.869744927715931e-10,2.8365643161154056e-08,9.561102598146227e-12,5.801908393762751e-09,8.801695884291814e-07,8.091117192704532e-06,0.74
1.839194271242914e-12,5.238859750857138e-10,3.618463345239274e-08,3.666933626834254e-08,1.112531776800844e-08,8.441652043172122e-10,3.1289917479033116e-13,1.8987527744598402e-10,2.8805301758206308e-08,9.557842354551108e-12,5.799853702428441e-09,8.798459206579692e-07,8.09100102513124e-06,0.75
1.836824270560055e-12,5.232110270175581e-10,3.613843867113276e-08,3.662193434560138e-08,1.1110821678436014e-08,8.43075681336485e-10,3.176817763630411e-13,1.9277486831902367e-10,2.9244791654133367e-08,9.554493641880972e-12,5.7977497743656e-09,8.795154932999662e-07,8.090891844038702e-06,0.76
1.8345921864579126e-12,5.225751522658829e-10,3.609489086155423e-08,3.657729552780264e-08,1.109716989465142e-08,8.420489690411563e-10,3.224622679201246e-13,1.956732522265694e-10,2.9684109584712483e-08,9.551064533295352e-12,5.795601116724808e-09,8.791789275220304e-07,8.090789026709434e-06,0.77
1.832485980949912e-12,5.219749413997144e-10,3.605375955200224e-08,3.65351785271306e-08,1.1084288545618512e-08,8.410795828602801e-10,3.272406162604339e-13,1.9857040945960524e-10,3.012325265986288e-08,9.547562281995387e-12,5.793411763592557e-09,8.788367767291917e-07,8.090692017292074e-06,0.78
1.830494447672952e-12,5.214072194266508e-10,3.601482983964448e-08,3.649535877451688e-08,1.1072108928729872e-08,8.401624158217765e-10,3.320168017339318e-13,2.01466325138682e-10,3.056221819109835e-08,9.543993619745992e-12,5.791185464904154e-09,8.784895563358472e-07,8.090600298496955e-06,0.79
1.8286075581197766e-12,5.208691427924199e-10,3.597790830759265e-08,3.64576355325871e-08,1.1060569933672684e-08,8.392929041345591e-10,3.367908585086343e-13,2.043610018837465e-10,3.100100376409458e-08,9.54036447077114e-12,5.788925547374691e-09,8.781377281029774e-07,8.090513408216657e-06,0.8
1.826816067313278e-12,5.203580901260801e-10,3.594281660480952e-08,3.642182376547692e-08,1.1049615259244237e-08,8.384668420494682e-10,3.415628227489051e-13,2.0725444357138193e-10,3.143960715933519e-08,9.53668028720434e-12,5.786635074918103e-09,8.77781717701289e-07,8.090430920517153e-06,0.81
1.8251115569984357e-12,5.198716763250313e-10,3.590939338376378e-08,3.638775473736251e-08,1.1039193218808525e-08,8.37680389638792e-10,3.463326724848242e-13,2.10146636865e-10,3.187802638312062e-08,9.532946143428676e-12,5.78431686988736e-09,8.774219123138526e-07,8.090352446657341e-06,0.82
1.8234864355914547e-12,5.194077528619762e-10,3.587749462124344e-08,3.635527591965974e-08,1.102925657358794e-08,8.369300672415791e-10,3.511003066936448e-13,2.1303754477167395e-10,3.23162596742157e-08,9.529166778314228e-12,5.7819735258623345e-09,8.770586605670321e-07,8.09027763474343e-06,0.83
1.8219335523946827e-12,5.189642929843978e-10,3.5846983327539244e-08,3.6324243915389005e-08,1.1019761269971321e-08,8.362126047695883e-10,3.558656915232416e-13,2.1592715131630163e-10,3.275430535749139e-08,9.52534653347651e-12,5.779607450369008e-09,8.766922914843896e-07,8.090206154286959e-06,0.84
1.8204466900194242e-12,5.185395360596969e-10,3.581773896182018e-08,3.6294534629642264e-08,1.1010670160828042e-08,8.355252094599317e-10,3.6062893003737305e-13,2.1881548349659564e-10,3.319216195011661e-08,9.521488916982123e-12,5.7772206533671316e-09,8.763230908506696e-07,8.090137720222093e-06,0.85
1.8190199569886846e-12,5.181318140500649e-10,3.578964826357666e-08,3.626603016718782e-08,1.100194747520471e-08,8.348652139185347e-10,3.653900507261886e-13,2.2170254560559553e-10,3.36298280736664e-08,9.517597390853545e-12,5.774815081606352e-09,8.759513293577824e-07,8.090072061265623e-06,0.86
1.817647983336632e-12,5.177396060703289e-10,3.5762607892008787e-08,3.623862306886037e-08,1.0993560593015308e-08,8.342301842129187e-10,3.701490807512641e-13,2.2458834193823162e-10,3.4067302479204873e-08,9.513675110277491e-12,5.772392509783456e-09,8.755772538527285e-07,8.09000893013286e-06,0.87
1.8163261106507266e-12,5.173615885381379e-10,3.573652903328723e-08,3.621221952892003e-08,1.0985479973656674e-08,8.336179433947066e-10,3.749059184488095e-13,2.2747283757004482e-10,3.4504584128670694e-08,9.509725078477637e-12,5.7699545627714405e-09,8.752010794460806e-07,8.089948109934575e-06,0.88
1.8150498444117977e-12,5.169964866360295e-10,3.571132495805595e-08,3.6186729555279226e-08,1.0977678159750214e-08,8.330264408255924e-10,3.7966057822065806e-13,2.3035603353543414e-10,3.49416719925153e-08,9.505749959069637e-12,5.767502734440153e-09,8.748230131785775e-07,8.089889393445666e-06,0.89
1.8138152012532936e-12,5.166431738711721e-10,3.5686919456924463e-08,3.616207339819606e-08,1.0970130933715146e-08,8.324538767805822e-10,3.84413068747435e-13,2.3323792959957137e-10,3.53785651746283e-08,9.501752112896878e-12,5.76503834607184e-09,8.744432377298271e-07,8.089832597140399e-06,0.9
1.8126185450843322e-12,5.163006240294248e-10,3.566324323120101e-08,3.613817831452839e-08,1.0962816355842976e-08,8.318986231699424e-10,3.8916340626464724e-13,2.3611852818294974e-10,3.581526286548182e-08,9.497733672889703e-12,5.762562595240784e-09,8.740619193466955e-07,8.089777553763585e-06,0.91
