Time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL,L,kf_0,kr_0,kf_1,kr_1,kf_2,kr_2,kf_3,kr_3,kf_4,kr_4,kf_5,kr_5,kf_6,kr_6,kf_7,kr_7,kf_8,kr_8,kf_9,kr_9,kf_10,kr_10,kf_11,kr_11,kf_12,kr_12,kf_13,kr_13,kf_14,kr_14,kf_15,kr_15,kf_16,kr_16,comp1,React0,React1,React2,React3,React4,React5,React6,React7,React8,React9,React10,React11,React12,React13,React14,React15,React16
0.1,4.442107348101954e-09,3.561335610634746e-09,2.6715972530468223e-09,9.117340429074433e-12,5.7504724965181995e-08,1.8246347470721638e-07,1.6017485463678252e-09,1.6026323733573073e-14,5.597335097542336e-07,1.0133034658291743e-11,5.68174263894641e-12,1.879965536711671e-07,8.428704370496735e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.341406294764623e-22,1.629831426105068e-22,1.6656328732416651e-22,-2.839012977067255e-27,1.2913506900665535e-23,6.2999707892964226e-27,1.5543777212536643e-23,1.2157626133859391e-26,2.474867589054208e-24,1.5836188898310674e-26,4.683448151047497e-24,3.306546930522413e-22,-7.7951643180994275e-31,-2.735344331826846e-28,2.8406790035884026e-29,1.7805462089014735e-26,2.798475338945604e-24
0.11,4.102393040298467e-09,3.771696240362138e-09,2.4758326550525116e-09,8.477462685155333e-12,5.3278412973869336e-08,1.6964641859677896e-07,1.889553377164143e-09,1.9040696426830536e-14,5.911574979323164e-07,1.1996303375354461e-11,6.031546592525844e-12,1.7365167083080882e-07,8.39885983146616e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.2236434204194406e-22,1.4833997467990297e-22,1.5156216273878582e-22,-3.0887893922387474e-27,1.1842484343653665e-23,5.2469042583046195e-27,1.4241221175913214e-23,1.1064935782601866e-26,2.2432223991893885e-24,1.444480306415134e-26,4.258252674456224e-24,2.994195843291e-22,-9.171386683376081e-31,-3.1364355111686593e-28,3.0155448079058e-29,1.8857041645405648e-26,2.9555607432563224e-24
0.12,3.796537599505682e-09,3.963355123553576e-09,2.298435081745103e-09,7.893777068431698e-12,4.944835861800217e-08,1.5795471768053932e-07,2.192298566895007e-09,2.223549835107109e-14,6.195795403403677e-07,1.3963699626131132e-11,6.35243681474414e-12,1.6073852484038394e-07,8.371662084782763e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.1161873916035983e-22,1.3501407574695556e-22,1.379160596901691e-22,-3.326884942251034e-27,1.0869656498517316e-23,4.275520842890146e-27,1.305744963586997e-23,1.0071583417720448e-26,2.0344149734505042e-24,1.3174929456096135e-26,3.8727698457657075e-24,2.712911069131981e-22,-1.0374959951086282e-30,-3.4823266534699267e-28,3.175951581391858e-29,1.9815099973812747e-26,3.0976346258738107e-24
0.13,3.520889663154449e-09,4.137942585789354e-09,2.1376030213924928e-09,7.361380567593296e-12,4.59757362540131e-08,1.472902131728554e-07,2.508560090192345e-09,2.5594993629092166e-14,6.452965849003095e-07,1.602572017515317e-11,6.646581099085657e-12,1.4910241103545824e-07,8.346875801040394e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,1.018044786671641e-22,1.2288294455744348e-22,1.2550021698126972e-22,-3.55313082630932e-27,9.985637703105575e-24,3.380498333432853e-27,1.1981343440627292e-23,9.168573752574249e-27,1.8461246110476114e-24,1.2016098387100757e-26,3.523139987536751e-24,2.4593579869399138e-22,-1.1410815476945388e-30,-3.7763329041374006e-28,3.32298340961928e-29,2.0687789842525754e-26,3.2261818972907246e-24
0.14,3.2722289985706766e-09,4.2969462020108295e-09,1.9917235732302604e-09,6.875799800207617e-12,4.282580804575357e-08,1.3756336014275547e-07,2.837053801203388e-09,2.9104578152107497e-14,6.685740613043639e-07,1.817367044223458e-11,6.9160089953312565e-12,1.3860682334829623e-07,8.324287013603688e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,9.286033491794034e-23,1.1184836872217906e-22,1.1420936133129397e-22,-3.765237720732123e-27,9.18258938407898e-24,2.557663484570169e-27,1.1003245529705054e-23,8.346835169736242e-27,1.6759529697954763e-24,1.0958738242155115e-26,3.2059026537121826e-24,2.23059147730939e-22,-1.2223184537705822e-30,-4.0030818561280053e-28,3.4576552427278035e-29,2.148255016960108e-26,3.342529860065675e-24
0.15,3.047714022526825e-09,4.441726950004189e-09,1.8593499439514934e-09,6.4329396195024054e-12,3.996738035876619e-08,1.2869216216977778e-07,3.176620561453513e-09,3.275066076878564e-14,6.896495718401831e-07,2.039958044221311e-11,7.162627396946682e-12,1.2913144625521674e-07,8.303700437808064e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,8.473061353654848e-23,1.0181487070400318e-22,1.0394082971530331e-22,-3.96224552844155e-27,8.453135025411688e-24,1.8019681054032133e-27,1.0114060021251259e-23,7.598587554790312e-27,1.5218928184584073e-24,9.99406840396168e-27,2.9179491494429854e-24,2.0240127719137866e-22,-1.2818919571833748e-30,-4.163734262230069e-28,3.5809206905441156e-29,2.220618680036788e-26,3.447866664733541e-24
0.16,2.8448409995686648e-09,4.573535076308422e-09,1.7391823896052945e-09,6.0290348894060404e-12,3.737237814294551e-08,1.2060119658772049e-07,3.5262135363021515e-09,3.6520564896313206e-14,7.087360183339345e-07,2.269613248976767e-11,7.388239626501119e-12,1.2057048500604238e-07,8.284937092506939e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,7.729729595339161e-23,9.26714293654089e-23,9.458904828302809e-23,-4.148341001217634e-27,7.789452263695136e-24,1.10693517838322e-27,9.304941106440963e-24,6.91898537449285e-27,1.3829412966903512e-24,9.11399711181848e-27,2.6564819400888444e-24,1.8373335252703602e-22,-1.335513443904104e-30,-4.303802278007893e-28,3.693681566471804e-29,2.286495184564334e-26,3.543256946045316e-24
0.17,2.6613913592593536e-09,4.693509712827296e-09,1.6300536581516957e-09,5.660652323196783e-12,3.501565326249245e-08,1.1322172874465874e-07,3.884886636348674e-09,4.040272319526376e-14,7.2602444322928e-07,2.505667886984438e-11,7.59451639317733e-12,1.1282998114666969e-07,8.267834321944523e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,7.043223715550947e-23,8.432812291919169e-23,8.607539751118252e-23,-4.326293773424102e-27,7.184996300721966e-24,4.688431590469947e-28,8.568790078837298e-24,6.302213691537078e-27,1.2578558279786027e-24,8.311135945649341e-27,2.4189858213991664e-24,1.6685198239176769e-22,-1.3809019229768347e-30,-4.42265768317891e-28,3.796773363910322e-29,2.3464541762672102e-26,3.629656029750038e-24
0.18,2.4953749372765557e-09,4.8026762315058796e-09,1.5309179515360863e-09,5.324711021009343e-12,3.2874648907381525e-08,1.0649206474184016e-07,4.251785350715143e-09,4.4386596871240244e-14,7.416861860086304e-07,2.747519413725405e-11,7.782971889167368e-12,1.0582571860746734e-07,8.25224615190724e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,6.424281832999313e-23,7.674552447612282e-23,7.832450930695333e-23,-4.488329132905831e-27,6.635834863037188e-24,-1.164066307215274e-28,7.898917075072181e-24,5.739502081157168e-27,1.1440479476071049e-24,7.578849224839808e-27,2.2032064695171085e-24,1.5157485614823561e-22,-1.403958093112245e-30,-4.473041912281913e-28,3.8909533054212293e-29,2.4010084134232925e-26,3.707920715801066e-24
0.19,2.345046717996844e-09,4.901987198971064e-09,1.4408312767326575e-09,5.018345305045793e-12,3.092901940882784e-08,1.0035482428145502e-07,4.62613609836862e-09,4.846232722707139e-14,7.558753534565458e-07,2.9946126128070626e-11,7.955059918502557e-12,9.948383356742079e-08,8.238037476308655e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,5.858857370761813e-23,6.984156613607173e-23,7.12718042710769e-23,-4.6387223362710774e-27,6.1362664169160355e-24,-6.524182508854207e-28,7.289482490013815e-24,5.2275724587225325e-27,1.0410310373971251e-24,6.910947841420255e-27,2.0071043116933598e-24,1.3774176350486137e-22,-1.4164146558292095e-30,-4.492389952219926e-28,3.9769484113245534e-29,2.4506342459719953e-26,3.778821630950925e-24
0.2,2.2088428474583656e-09,4.992306936390573e-09,1.3589434514437144e-09,4.7389540316927345e-12,2.9160407770971184e-08,9.475790690728268e-08,5.007238331550421e-09,5.2620965959065027e-14,7.687307280507179e-07,3.246444348483632e-11,8.112111968607325e-12,9.373825757373147e-08,8.225085743790772e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,5.343105965936973e-23,6.355425766872634e-23,6.485051221389247e-23,-4.7780446506980215e-27,5.6816870489048685e-24,-1.1433812348881967e-27,6.734795327047622e-24,4.761720594568679e-27,9.47706726433993e-25,6.301809566175547e-27,1.8288413441838135e-24,1.252093261753548e-22,-1.4186859023687617e-30,-4.481959319111256e-28,4.055424532712154e-29,2.4957638948734687e-26,3.843052771653804e-24
0.21,2.08536537333317e-09,5.074426358560587e-09,1.2844861204078969e-09,4.484158177451864e-12,2.755223694316466e-08,8.965366734868778e-08,5.394455985113957e-09,5.685431901226057e-14,7.803776518540598e-07,3.5025558596187146e-11,8.255363607477911e-12,8.852988808196929e-08,8.213279102430296e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,4.8728220204712805e-23,5.782858132446199e-23,5.900395426165967e-23,-4.906728506703505e-27,5.267998545976236e-24,-1.5927948188730195e-27,6.229883269376849e-24,4.33761858362227e-27,8.630780305591344e-25,5.746285620383433e-27,1.6667547626201336e-24,1.1384918636375973e-22,-1.4117316857039791e-30,-4.444610559904182e-28,4.126999551910809e-29,2.5367928725771396e-26,3.9012409245520856e-24
0.22,1.9733695807672394e-09,5.149065183169255e-09,1.2167683573041434e-09,4.251794396966533e-12,2.608959464755972e-08,8.499877623148161e-08,5.787214503806988e-09,6.115492517400713e-14,7.90928759280011e-07,3.762531077019071e-11,8.385954055478403e-12,8.380612800174976e-08,8.202516003768506e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,4.443895213620489e-23,5.261343519904311e-23,5.367978217923444e-23,-5.0255131352425624e-27,4.891439667971661e-24,-2.0040322238486853e-27,5.770200516941068e-24,3.95159714016798e-27,7.863361168865264e-25,5.239688145275148e-27,1.519347847377274e-24,1.0354702650181864e-22,-1.3967346045145564e-30,-4.3839695679801545e-28,4.1922431686371134e-29,2.5740810878553854e-26,3.9539493306595984e-24
0.23,1.871739890575178e-09,5.216880667511857e-09,1.1551654336261683e-09,4.039887395542896e-12,2.475899978588574e-08,8.07536718051598e-08,6.184992262348634e-09,6.551598203354542e-14,8.004858469592754e-07,4.0259915178640776e-11,8.504934975202043e-12,7.95198329420834e-08,8.192703870089211e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,4.0527756952807886e-23,4.7863475560176346e-23,4.883136577969597e-23,-5.1349016473423004e-27,4.5486534560157595e-24,-2.3801097076983805e-27,5.351668402944536e-24,3.600143581103256e-27,7.166989503492597e-25,4.77773248849394e-27,1.3852661496008812e-24,9.420031228046548e-23,-1.374884688625242e-30,-4.3036647620170005e-28,4.251681295816619e-29,2.6079572147737847e-26,4.0016870357248956e-24
0.24,1.7794752829982443e-09,5.278473791063768e-09,1.0991118781652065e-09,3.846631938755449e-12,2.354824685396335e-08,7.688219623714254e-08,6.5873153777495365e-09,6.993129805935634e-14,8.091410096363938e-07,4.292593088973973e-11,8.613278529072176e-12,7.562871516986554e-08,8.183758210611882e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,3.6961657996997886e-23,4.3536925252378564e-23,4.44157871041453e-23,-5.2354913749841205e-27,4.236568046205671e-24,-2.7238970501876703e-27,4.970554484256942e-24,3.280150051936581e-27,6.534906976512152e-25,4.35649874947524e-27,1.2632826385128395e-24,8.571700855918318e-23,-1.3473157357660217e-30,-4.207116936433122e-28,4.305800088959376e-29,2.6387217843612074e-26,4.044914570336639e-24
0.25,1.6956784960231822e-09,5.3343922320370824e-09,1.0480968351692964e-09,3.670383138326672e-12,2.2446308154565282e-08,7.335140250905657e-08,6.993754196487281e-09,7.439525428922483e-14,8.169774127438034e-07,4.562023735853416e-11,8.711878879809415e-12,7.209487793822421e-08,8.175602135791772e-06,300000000.0,8000.0,150000000.0,16000.0,30000.0,700.0,300000000.0,8.64,150000000.0,17.28,0.54,10800.0,130.0,2740.0,300000000.0,4.0,150000000.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,300000000.0,4.0,150000000.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,1e-16,3.37099668387198e-23,3.9595679699471367e-23,4.0394032393852216e-23,-5.327898839942567e-27,3.952391784649004e-24,-3.0380539037516604e-27,4.623473172961466e-24,2.9887744810395285e-27,5.960976858584282e-25,3.972412081454823e-27,1.1522879694366011e-24,7.801458544420035e-23,-1.3149476209077844e-30,-4.09707433432011e-28,4.355046696853237e-29,2.6666486731702386e-26,4.084047813215439e-24
