Time,AcCoA,AcP,OAc,HOAc,LacI,Acs,Pta,HOAc_E,S0,kTCA,k1,KM1,k2,KM2,kAck_f,kAck_r,C,H,Keq,k3,alpha0,alpha1,alpha2,alpha3,Kg1,Kg2,Kg3,n,kd,compartment,V_gly,V_TCA,V_out,V_Pta,V_Ack,V_Acs,V_Ace,R_LacI,R_Acs,R_Pta,R_dLacI,R_dAcs,R_dPta
0.1,0.0019483187021970447,0.04219207351312167,0.0017560051096306595,4.985160539044798e-10,5.131836554568132e-08,1.0263673109136267e-06,0.19940119813802093,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.01948318702197045,4.985160539044798e-12,0.501704765148406,0.04043606840349101,1.4169630502930423e-08,1.7535125293611373e-08,1.7801393778105012e-06,3.560278755621002e-05,1.9999999947328506,3.079101932740879e-09,6.15820386548176e-08,0.011964071888281256
0.11,0.0017583866188268813,0.04677179394409056,0.002181225786662334,6.946755718192006e-10,7.109009196576646e-08,1.4218018393153297e-06,0.2192755944292722,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.017583866188268814,6.946755718192006e-12,0.4994576991908685,0.04459056815742823,2.4280553000321053e-08,2.1777524088032378e-08,2.1875528538267317e-06,4.375105707653463e-05,1.9999999898923977,4.265405517945988e-09,8.530811035891978e-08,0.01315653566575633
0.12,0.0016036624424735884,0.05129240734840742,0.0026474822244092378,9.352864576398173e-10,9.510285813583807e-08,1.9020571627167627e-06,0.2391380695963459,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.016036624424735885,9.352864576398173e-12,0.4980181055117104,0.04864492512399818,3.924626240393403e-08,2.642805792121039e-08,2.6308418364863337e-06,5.2616836729726676e-05,1.9999999819108931,5.706171488150284e-09,1.1412342976300576e-07,0.014348284175780754
0.13,0.0014748246578174763,0.055761172326208946,0.0031538167972239954,1.2243758406970158e-09,1.2370882449520255e-07,2.4741764899040524e-06,0.2589886307516968,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.014748246578174763,1.224375840697016e-11,0.49706567962163745,0.05260735552898495,6.051622414317565e-08,3.14769491802051e-08,3.109211664215612e-06,6.218423328431224e-05,1.9999999693922539,7.422529469712153e-09,1.4845058939424315e-07,0.015539317845101808
0.14,0.001365697096283382,0.060182894156115954,0.0036993401813192324,1.565876324170643e-09,1.572518798747894e-07,3.145037597495789e-06,0.2788272849876228,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.01365697096283382,1.5658763241706428e-11,0.4964253731197175,0.05648355397479672,8.975612717174658e-08,3.691510799698379e-08,3.6218495663122056e-06,7.243699132624411e-05,1.9999999505436938,9.435112792487363e-09,1.8870225584974733e-07,0.01672963709925737
0.15,0.0012719770806899836,0.06456097211473939,0.0042832120956632375,1.9636318181844325e-09,1.9606758401259597e-07,3.921351680251921e-06,0.2986540393720111,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.012719770806899837,1.9636318181844326e-11,0.4959932566059177,0.06027776001907616,1.288489727976292e-07,4.273393936572315e-08,4.167945395471201e-06,8.335890790942402e-05,1.999999923115008,1.1764055040755758e-08,2.3528110081511523e-07,0.01791924236232067
0.16,0.0011905559967166207,0.06889794025373189,0.00490462978549633,2.4214018753282845e-09,2.404832502188121e-07,4.809665004376245e-06,0.3184689009434663,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.011905559967166208,2.4214018753282845e-11,0.4957040230931585,0.06399331046823556,1.7989388103810433e-07,4.8925227761196884e-08,4.7467008488219476e-06,9.493401697643894e-05,1.9999998843356193,1.4428995013128724e-08,2.8857990026257467e-07,0.019108134056607978
0.17,0.0011191237304683961,0.07319577230945364,0.005562820690870174,2.942865100805686e-09,2.908180942975559e-07,5.816361885951121e-06,0.33827187670580117,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.011191237304683962,2.942865100805686e-11,0.49551506823429436,0.06763295161858346,2.452028320804875e-07,5.5481063653661456e-08,5.357334058318331e-06,0.00010714668116636663,1.9999998308496862,1.7449085657853353e-08,3.4898171315706724e-07,0.020296312602348068
0.18,0.0010559232357971334,0.07745606539932284,0.006257037559925013,3.5316219586201526e-09,3.4738341764220755e-07,6.947668352844156e-06,0.3580629736218775,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.010559232357971335,3.5316219586201525e-11,0.495397653414611,0.07119902783939783,3.272955680747771e-07,6.239379450131911e-08,5.999082155685686e-06,0.00011998164311371372,1.9999997586495513,2.0843005058532453e-08,4.168601011706494e-07,0.021483778417312648
0.19,0.0009995921174307603,0.08168015495843296,0.0069865550605625855,4.191197170808939e-09,4.1048280962515196e-07,8.209656192503043e-06,0.3778421986067714,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.009995921174307603,4.191197170808939e-11,0.49533194600114233,0.07469359989787037,4.2889288273460176e-07,6.96559907470854e-08,6.671202634895531e-06,0.0001334240526979106,1.9999996630077828,2.4628968577509116e-08,4.925793715501826e-07,0.02267053191640628
0.2,0.0009490562734444546,0.08586918976722414,0.0077506673602596755,4.925041823016486e-09,4.804123594615503e-07,9.608247189231012e-06,0.39760955852027535,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.009490562734444546,4.925041823016486e-11,0.4953039393452406,0.07811852240696447,5.529085226350665e-07,7.726042151144593e-08,7.372974103725215e-06,0.0001474594820745043,1.9999995384080362,2.8824741567693017e-08,5.764948313538607e-07,0.02385657351121652
0.21,0.0009034567387242612,0.09002418188040474,0.008548686332975857,5.736535268617886e-09,5.574608741574823e-07,1.1149217483149653e-05,0.41736506015867836,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.009034567387242612,5.7365352686178866e-11,0.49530361171589965,0.08147549554742889,7.02439919570892e-07,8.520003656632768e-08,8.103696571033833e-06,0.00016207393142067666,1.9999993784749406,3.3447652449448934e-08,6.689530489889792e-07,0.025041903609520702
0.22,0.0008620978101072863,0.09414604111570427,0.009379940206925489,6.628986861403084e-09,6.419100961691857e-07,1.2838201923383714e-05,0.4371087102458621,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.008620978101072863,6.628986861403085e-11,0.49532365848776033,0.08476610090877877,8.807579611249444e-07,9.346795272618472e-08,8.862691515130735e-06,0.00017725383030261469,1.9999991759031965,3.8514605770151136e-08,7.702921154030228e-07,0.026226522614751727
0.23,0.0008244096786599523,0.09823559907778467,0.010243772500405925,7.605637616045119e-09,7.340349258154512e-07,1.4680698516309024e-05,0.45684051542371096,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.008244096786599523,7.605637616045119e-11,0.4953586818305885,0.08799182657737875,1.0912960058406036e-06,1.0205744312325701e-07,9.649301746077007e-06,0.0001929860349215401,1.999998922386036,4.4042095548927065e-08,8.808419109785414e-07,0.027410430925422658
0.24,0.0007899210387484739,0.10229362632861332,0.011139541197885107,8.669661662533265e-09,8.341036297558055e-07,1.668207259511611e-05,0.4765604822417734,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.007899210387484739,8.669661662533265e-11,0.49540469173360907,0.0911540851307282,1.3376383090049484e-06,1.109619288957244e-07,1.0462891151993945e-05,0.0002092578230398789,1.9999986085432377,5.0046217785348325e-08,1.0009243557069665e-06,0.028593628934506402
0.25,0.0007582384666948375,0.10632084488615864,0.012066618052735808,9.824167740730573e-09,9.423780586782612e-07,1.8847561173565222e-05,0.49626861714625725,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.007582384666948374,9.824167740730573e-11,0.4954586766566803,0.09425422683342284,1.6235080587510074e-06,1.2017497214032155e-07,1.1302844369983078e-05,0.00022605688739966154,1.9999982238487664,5.654268352069567e-08,1.1308536704139134e-06,0.029776117028775435
0.26,0.0007290309187154735,0.11031793717625334,0.013024387996674427,1.1072200631114423e-08,1.0591138619771054e-06,2.118227723954211e-05,0.5159649264681545,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.0072903091871547344,1.1072200631114423e-10,0.4955183755479519,0.09729354917957891,1.952755169470431e-06,1.2969026993518855e-07,1.2168566342548685e-05,0.00024337132685097368,1.999997756558171,6.354683171862631e-08,1.2709366343725265e-06,0.03095789558808927
0.27,0.0007020177157370951,0.11428555315158445,0.014012248678100745,1.2416742402026826e-08,1.184560682525695e-06,2.36912136505139e-05,0.5356494164109238,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.007020177157370951,1.2416742402026826e-10,0.49558205001441596,0.1002733044734837,2.329343950362971e-06,1.395016496609061e-07,1.3059481935720697e-05,0.00026118963871441393,1.9999971936359167,7.10736409515417e-08,1.421472819030834e-06,0.032138964984655426
0.28,0.0006769593014397963,0.11822431530790638,0.015029610025875568,1.3860713731940625e-08,1.3189623611742638e-06,2.6379247223485284e-05,0.5553220930372313,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.006769593014397963,1.3860713731940625e-10,0.4956483785668532,0.10319470528203081,2.7573408165494776e-06,1.4960306457215865e-07,1.3975035440894678e-05,0.00027950070881789356,1.9999965206826325,7.913774167045583e-08,1.582754833409117e-06,0.03331932558223388
0.29,0.0006536499444068528,0.12213482260712072,0.016075893873699943,1.540697514925718e-08,1.4625571317180356e-06,2.9251142634360715e-05,0.5749829622549815,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.006536499444068528,1.540697514925718e-10,0.49571635890975946,0.10605892873342078,3.2409021303672257e-06,1.5998858997953654e-07,1.491469008164677e-05,0.00029829380163293536,1.9999957218624242,8.775342790308213e-08,1.7550685580616428e-06,0.034498977735298884
0.3,0.0006319119319205054,0.12601765356356,0.01715053364582904,1.705832812638301e-08,1.6155778004553194e-06,3.231155600910639e-05,0.5946320298023221,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.006319119319205054,1.7058328126383013e-10,0.49578522301075645,0.10886711991773097,3.784262256345248e-06,1.7065242005197124e-07,1.5877927523481272e-05,0.00031755855046962546,1.9999947798303666,9.693466802731916e-08,1.938693360546383e-06,0.035677921788139326
0.31,0.0006115909230279223,0.12987336860016768,0.018252973958057885,1.8817516728041317e-08,1.7782519740600564e-06,3.556503948120112e-05,0.6142693012338666,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.006115909230279223,1.8817516728041317e-10,0.4958543713613115,0.1116203946421098,4.391722036169084e-06,1.8158886374417676e-07,1.686424736345878e-05,0.00033728494726917557,1.999993675659832,1.0669511844360338e-07,2.133902368872067e-06,0.036856158074031996
0.32,0.0005925522433517749,0.13370251193937935,0.019382670439747944,2.0687228217620497e-08,1.950802190618027e-06,3.9016043812360546e-05,0.6338947819029346,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.005925522433517749,2.0687228217620497e-10,0.49592335844447694,0.1143198414996314,5.067637480663801e-06,1.9279234298659837e-07,1.787316662698659e-05,0.0003574633325397318,1.9999923887705917,1.1704813143708163e-07,2.3409626287416325e-06,0.03803368691417607
0.33,0.0005746778147981753,0.13750561311044343,0.020539089455813658,2.2670094251411112e-08,2.1334461015327753e-06,4.2668922030655506e-05,0.6535084769448675,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.005746778147981753,2.2670094251411112e-10,0.49599183953531556,0.11696652365462977,5.8164090040984015e-06,2.0425738984556603e-07,1.8904219266111456e-05,0.00037808438532222903,1.9999908968568973,1.280067660919665e-07,2.5601353218393304e-06,0.03921050861669205
0.34,0.0005578636780025611,0.1412831881283628,0.021721707821165177,2.4768692168686925e-08,2.3263966591923503e-06,4.6527933183847006e-05,0.6731103912601409,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.0055786367800256115,2.4768692168686925e-10,0.49605955793519935,0.11956148030719763,6.642471179435647e-06,2.159786436032174e-07,1.9956955651920984e-05,0.0003991391130384196,1.99998917581575,1.39583799551541e-07,2.7916759910308203e-06,0.04038662347560845
0.35000000000000003,0.0005420179350208873,0.1450357405176857,0.022930012597409247,2.6985545906052907e-08,2.5298622656367913e-06,5.0597245312735854e-05,0.6927005294963515,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.005420179350208873,2.698554590605291e-10,0.4961263246804371,0.12210572792027645,7.550282948167144e-06,2.2795084867878982e-07,2.10309420918654e-05,0.00042061884183730797,1.9999871996757586,1.5179173593820747e-07,3.035834718764151e-06,0.04156203176978109
0.36,0.0005270590424197114,0.14876376205945332,0.024163500869696423,2.932312703736556e-08,2.7440469363763388e-06,5.48809387275268e-05,0.712278896027787,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.0052705904241971135,2.932312703736556e-10,0.4961920024735656,0.1246002611897569,8.544318427773998e-06,2.401688523450959e-07,2.2125760325976928e-05,0.0004425152065195385,1.9999849405262164,1.6464281618258033e-07,3.292856323651608e-06,0.04273673376166722
0.37,0.0005129143595210349,0.15246773355454488,0.0254216794708811,3.178385613086862e-08,2.9691504792784184e-06,5.9383009585568386e-05,0.7318454949388498,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.005129143595210349,3.178385613086862e-10,0.49625646661105355,0.12704605408366376,9.629058338681002e-06,2.5262760190226753e-07,2.3241007075519017e-05,0.0004648201415103803,1.9999823684463,1.781490287567051e-07,3.562980575134103e-06,0.04391072969633098
0.38,0.0004995190397662795,0.15614812529730396,0.02670406479194548,3.437010366882979e-08,3.205368638692247e-06,6.410737277384498e-05,0.7514003300033962,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004995190397662795,3.437010366882979e-10,0.4963196762958095,0.12944406050535848,1.0808981947060529e-05,2.653221427360133e-07,2.4376293548189545e-05,0.0004875258709637909,1.9999794514349043,1.9232211832153482e-07,3.846442366430699e-06,0.045084019800203774
0.39,0.00048681492759513153,0.15980539760723075,0.028010182718512706,3.708419032677295e-08,3.452893183460447e-06,6.905786366920897e-05,0.7709434046592109,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004868149275951315,3.7084190326772947e-10,0.4963815775962063,0.13179521488871804,1.2088559447044322e-05,2.782476176687884e-07,2.5531244995030058e-05,0.0005106248999006011,1.9999761553416144,2.0717359100762682e-07,4.143471820152538e-06,0.04625660427955265
0.4,0.0004747497639250968,0.16344000123167235,0.029339568292963827,3.992838870679034e-08,3.7119121099947104e-06,7.423824219989424e-05,0.7904747219912434,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004747497639250968,3.9928388706790343e-10,0.49644215361825356,0.13410043293870852,1.3472245226857637e-05,2.9139926349429873e-07,2.6705500260066024e-05,0.0005341100052013205,1.9999724437966526,2.227147265996826e-07,4.454294531993655e-06,0.0474284833194746
0.41000000000000003,0.0004632764345227392,0.16705237769251374,0.03069176563599528,4.2904923718560546e-08,3.982609733815211e-06,7.965219467630424e-05,0.8099942847054526,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004632764345227392,4.2904923718560545e-10,0.49650139566420354,0.13636061205651845,1.4964471430934515e-05,3.047724101740248e-07,2.789871133970914e-05,0.0005579742267941829,1.9999682781425625,2.3895658402891264e-07,4.779131680578254e-06,0.048599657082327156
0.42,0.00045235235754800807,0.17064295966418921,0.03206632758149256,4.6015974475165186e-08,4.2651668986797925e-06,8.530333797359587e-05,0.8295020951124861,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004523523575480081,4.601597447516519e-10,0.49655930819147975,0.13857663208269666,1.656964241740255e-05,3.183624770911673e-07,2.9110542978214468e-05,0.0005822108595642893,1.9999636173645128,2.5591001392078756e-07,5.118200278415752e-06,0.049770125706749165
0.43,0.0004419389489217627,0.17421217115910817,0.0334628157735005,4.9263673767732474e-08,4.559760990328832e-06,9.119521980657664e-05,0.848998155094481,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004419389489217627,4.926367376773247e-10,0.49661590455071125,0.14074935538560768,1.829212921741622e-05,3.3216497404661833e-07,3.0340672222183816e-05,0.0006068134444436763,1.9999584180239705,2.735856594197299e-07,5.471713188394598e-06,0.05093988930566885
0.44,0.00043200116636375437,0.17776042785810042,0.0348808002873075,5.2650110050030015e-08,4.866566145385719e-06,9.733132290771438e-05,0.8684824660886655,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004320011663637544,5.265011005003002e-10,0.49667120873117826,0.14287962757079292,2.0136265080348268e-05,3.461754973705735e-07,3.158878804390602e-05,0.0006317757608781204,1.9999526341896918,2.919939687231431e-07,5.8398793744628625e-06,0.05210894796531993
0.45,0.0004225071018601422,0.18128813731707147,0.03631985951869207,5.61773280120657e-08,5.185753350549932e-06,0.00010371506701099866,0.8879550290588868,0.0,0.5,10.0,80.0,0.06,0.8,0.1,1.0,1.0,100.0,1e-07,0.0005,0.01,0.0,0.1,2.0,2.0,10.0,10.0,0.001,2.0,0.06,1.0,0.5,0.004225071018601422,5.61773280120657e-10,0.4967252421715667,0.1449682777983794,2.2106341230756265e-05,3.603897287863174e-07,3.2854590942863715e-05,0.0006570918188572744,1.9999462173706988,3.111452010329959e-07,6.222904020659919e-06,0.053277301743533206
