Time,species_1,species_2,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,compartment_1
0.48,0.007979178087186766,0.020332553594334505,0.025,1.0501246723355284,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.49,0.008014772597379382,0.020332723256898267,0.025,1.0522327063431423,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.5,0.008050015101669142,0.020332899495318833,0.025,1.0543840177580466,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.51,0.008084907856152346,0.020333082362415218,0.025,1.0565785951440134,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.52,0.008119455529043395,0.02033327199703771,0.025,1.058816426836371,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.53,0.008153661717533067,0.020333468499837394,0.025,1.061097500942157,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.54,0.008187529999932965,0.02033367197079216,0.025,1.063421805340279,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.55,0.008221063935675505,0.020333882509206706,0.025,1.0657893276816723,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.56,0.008254267065313932,0.020334100213712538,0.025,1.0682000553894662,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.5700000000000001,0.008287142521032763,0.020334325168674557,0.025,1.0706539756591482,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.58,0.008319692913007397,0.02033455744022497,0.025,1.0731510754587363,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.59,0.00835192221080923,0.02033479714192535,0.025,1.0756913415289502,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.6,0.008383833713566269,0.020335044363924124,0.025,1.0782747603833867,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.61,0.00841543068793253,0.02033529919522206,0.025,1.0809013183086993,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.62,0.008446716368088048,0.02033556172367226,0.025,1.0835710013647795,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.63,0.008477693955738871,0.020335832035980175,0.025,1.086283795384941,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.64,0.008508366533826866,0.020336110215268308,0.025,1.0890396859761076,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.65,0.00853873710891282,0.02033639634227236,0.025,1.0918386585190032,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.66,0.008568808859975055,0.020336690502362812,0.025,1.0946806981683461,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.67,0.008598584829548813,0.02033699277682828,0.025,1.0975657898530444,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.68,0.008628068025311367,0.020337303245742434,0.025,1.1004939182763955,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.6900000000000001,0.008657261420082028,0.020337621987963996,0.025,1.1034650679162892,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.7000000000000001,0.008686167951822135,0.020337949081136755,0.025,1.1064792230254112,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.71,0.008714790673073451,0.020338284607828,0.025,1.1095363676314534,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.72,0.008743132598320366,0.020338628649258658,0.025,1.112636485537322,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.73,0.0087711964702367,0.02033898127570147,0.025,1.1157795603213545,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.74,0.008798985129297571,0.02033934256166345,0.025,1.118965575337534,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.75,0.008826501384514943,0.02033971258057612,0.025,1.1221945137157108,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.76,0.008853748013437622,0.020340091404795504,0.025,1.1254663583618232,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.77,0.008880727762151257,0.02034047910560214,0.025,1.1287810919581245,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.78,0.008907443534092901,0.02034087576072025,0.025,1.1321386969634109,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.79,0.008933898124861879,0.020341281443757086,0.025,1.1355391556132524,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.8,0.008960094106870339,0.020341696219609372,0.025,1.138982449920227,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.81,0.0089860341453826,0.02034212015704895,0.025,1.1424685616741581,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.8200000000000001,0.009011720877822087,0.020342553323916424,0.025,1.1459974724423545,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.8300000000000001,0.009037156913771332,0.02034299578712116,0.025,1.1495691635698522,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.84,0.009062344834971977,0.02034344761264126,0.025,1.1531836161796605,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.85,0.00908728732273269,0.02034390887077649,0.025,1.156840811173011,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.86,0.009111986942052912,0.020344379627247906,0.025,1.160540729229608,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.87,0.009136446155725966,0.020344859943779332,0.025,1.1642833508078823,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.88,0.009160667460461598,0.020345349883709538,0.025,1.1680686561452494,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.89,0.009184653327233887,0.020345849509532846,0.025,1.1718966252583682,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.9,0.009208406201281234,0.02034635888289912,0.025,1.1757672379434037,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.91,0.009231928502106366,0.02034687806461379,0.025,1.1796804737762927,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.92,0.009255222709668205,0.020347407118397224,0.025,1.1836363121130113,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.93,0.009278291198765836,0.020347946103661137,0.025,1.1876347320898466,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.9400000000000001,0.009301136297328205,0.020348495078050977,0.025,1.19167571262367,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.9500000000000001,0.009323760337587673,0.020349054099677952,0.025,1.1957592324122133,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.96,0.009346165627286369,0.020349623225863138,0.025,1.199885269934349,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.97,0.00936835444967618,0.020350202513137496,0.025,1.2040538034503714,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.98,0.009390329063518764,0.020350792017241846,0.025,1.2082648110022818,0.5,7.0,1.25,15.0,1.0,50.0,1.0
0.99,0.009412091884171053,0.020351391800855673,0.025,1.2125182704140762,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.0,0.00943364508180962,0.020352001916449217,0.025,1.2168141592920354,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.01,0.009454990813097308,0.02035262241617107,0.025,1.2211524550250177,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.02,0.009476131253151105,0.02035325335321258,0.025,1.2255331347847553,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.03,0.009497068552850919,0.02035389477998577,0.025,1.2299561755261523,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.04,0.009517804838839591,0.020354546748123353,0.025,1.2344215539875867,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.05,0.009538342213522876,0.0203552093084787,0.025,1.238929246691213,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.06,0.009558682755069466,0.020355882511125883,0.025,1.24347922994327,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.07,0.009578828517410966,0.020356566405359638,0.025,1.2480714798343895,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.08,0.009598781530241914,0.020357261039695387,0.025,1.2527059722399083,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.09,0.009618543972886109,0.02035796646910881,0.025,1.2573826828201837,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.1,0.009638118198010541,0.020358682756023247,0.025,1.2621015870209098,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.11,0.0096575058550996,0.020359409933812293,0.025,1.2668626600734378,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.12,0.009676708910952278,0.020360148049291992,0.025,1.2716658769950993,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.1300000000000001,0.009695729309945047,0.020360897148574638,0.025,1.2765112125895308,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.1400000000000001,0.009714568974031869,0.02036165727706874,0.025,1.2813986414470022,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.1500000000000001,0.009733229802744187,0.020362428479479066,0.025,1.286328137944747,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.16,0.009751713673190934,0.020363210799806596,0.025,1.2912996762472961,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.17,0.00977002244005853,0.020364004281348557,0.025,1.2963132303068132,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.18,0.009788157935610874,0.020364808966698414,0.025,1.3013687738634334,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.19,0.009806121969689356,0.020365624897745856,0.025,1.3064662804456044,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.2,0.00982391701047506,0.020366452143539757,0.025,1.3116057233704292,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.21,0.00984154454854461,0.02036729073333055,0.025,1.316787075744014,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.22,0.009859006247167627,0.020368140703650787,0.025,1.3220103104618162,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.23,0.0098763038715262,0.020369002095418167,0.025,1.3272754002089946,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.24,0.009893439166876542,0.020369874948948815,0.025,1.3325823174607658,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.25,0.009910413858548997,0.020370759303957268,0.025,1.3379310344827586,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.26,0.009927229651948028,0.02037165519955649,0.025,1.3433215233313738,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.27,0.00994388823255222,0.020372562674257858,0.025,1.348753755854146,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.28,0.00996039126591429,0.020373481765971178,0.025,1.3542277036901074,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.29,0.009976740397661072,0.02037441251200467,0.025,1.359743338270154,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.3,0.009992937494353834,0.020375354958731783,0.025,1.3653006308174158,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.31,0.010008984534372361,0.020376309157211888,0.025,1.3708995523476277,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.32,0.010024882766658527,0.020377275129426855,0.025,1.3765400736695035,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.33,0.010040633796692622,0.020378252911866183,0.025,1.3822221653851123,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.34,0.010056239212281461,0.020379242540508193,0.025,1.387945797890259,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.35,0.010071700583558399,0.02038024405082002,0.025,1.3937109413748636,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.36,0.010087019462983323,0.020381257477757625,0.025,1.3995175658233474,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.37,0.01010219738534265,0.020382282855765786,0.025,1.4053656410150175,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.3800000000000001,0.010117235867749335,0.0203833202187781,0.025,1.411255136524457,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.3900000000000001,0.010132136409642865,0.020384369600216983,0.025,1.4171860217219159,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.4000000000000001,0.01014690049278926,0.02038543103299367,0.025,1.4231582657737047,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.41,0.010161530100869834,0.02038650456974437,0.025,1.42917183764259,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.42,0.010176026427108329,0.020387590232496887,0.025,1.4352267060881945,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.43,0.010190390868549372,0.020388688051394276,0.025,1.441322839667396,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.44,0.010204624868451787,0.020389798058556608,0.025,1.4474602067347326,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.45,0.010218729854180418,0.020390920285662077,0.025,1.4536387754428066,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.46,0.010232707237206139,0.020392054763947003,0.025,1.4598585137426936,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.47,0.010246558413105844,0.020393201524205828,0.025,1.4661193893843527,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.48,0.01026028476156245,0.020394360596791117,0.025,1.4724213699170388,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.49,0.010273887646364905,0.020395532011613565,0.025,1.4787644226897179,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.5,0.010287368415408173,0.02039671579814199,0.025,1.4851485148514851,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.51,0.010300728582377284,0.020397911992282414,0.025,1.4915736133519828,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.52,0.010313969666256894,0.020399120630301446,0.025,1.498039684941824,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.53,0.010327092764495688,0.020400341732665025,0.025,1.504546696173016,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.54,0.01034009918730748,0.020401575328054915,0.025,1.5110946133993868,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.55,0.01035299023048231,0.020402821444766666,0.025,1.5176834027770143,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.56,0.01036576717538644,0.020404080110709624,0.025,1.5243130302646575,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.57,0.010378431288962358,0.020405351353406927,0.025,1.530983461624189,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.58,0.010390983823728776,0.020406635199995502,0.025,1.537694662421032,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.59,0.010403426017780628,0.020407931677226057,0.025,1.5444465980245958,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.6,0.010415759094789074,0.020409240811463104,0.025,1.5512392336087188,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.61,0.010427984264001497,0.020410562628684938,0.025,1.5580725341521082,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.62,0.0104401031371311,0.020411897169992792,0.025,1.564946464438786,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.6300000000000001,0.010452116660168822,0.020413244451872054,0.025,1.571860989058535,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.6400000000000001,0.010464025994263375,0.020414604498962804,0.025,1.5788160724073477,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.6500000000000001,0.010475832315234525,0.0204159773366013,0.025,1.5858116786878769,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.6600000000000001,0.010487536785816145,0.02041736298978736,0.025,1.5928477719098895,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.67,0.010499140555656232,0.02041876148318437,0.025,1.5999243158907217,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.68,0.010510644761316893,0.020420172841119272,0.025,1.607041274255736,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.69,0.010522050526274355,0.02042159708758258,0.025,1.6141986104387813,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.7,0.010533358960918962,0.020423034246228357,0.025,1.621396287682654,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.71,0.010544571162555172,0.020424484340374246,0.025,1.6286342690395617,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.72,0.010555688448791397,0.020425947401538393,0.025,1.6359125173715905,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.73,0.010566712068938987,0.020427423458883005,0.025,1.6432309953511712,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.74,0.010577642867361544,0.02042891252690027,0.025,1.6505896654615495,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.75,0.01058848191464943,0.02043041462849955,0.025,1.6579884899972597,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.76,0.010599230269318412,0.02043192978629076,0.025,1.665427431064597,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.77,0.01060988897776615,0.020433458022582774,0.025,1.672906450582095,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.78,0.010620459074228665,0.020434999359381843,0.025,1.6804255102810028,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.79,0.010630941580736825,0.020436553818389987,0.025,1.6879845717057669,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.8,0.010641337507072812,0.02043812142100342,0.025,1.6955835962145112,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.81,0.010651647850726607,0.020439702188310944,0.025,1.7032225449795226,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.82,0.01066187359685247,0.020441296141092365,0.025,1.7109013789877379,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.83,0.010672015718225408,0.020442903299816902,0.025,1.7186200590412304,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.84,0.010682075175197654,0.020444523684641586,0.025,1.7263785457577012,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.85,0.010692052915655155,0.02044615731540968,0.025,1.7341767995709705,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.86,0.010701949874974035,0.02044780421164908,0.025,1.742014780731473,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.87,0.01071176697597708,0.020449464392570723,0.025,1.7498924493067523,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.8800000000000001,0.010721505590098455,0.020451137893649423,0.025,1.7578097651819595,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.8900000000000001,0.010731166905479332,0.020452824743904162,0.025,1.7657666880603538,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.9000000000000001,0.01074075136382096,0.020454524945650476,0.025,1.773763177463803,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.9100000000000001,0.01075025987616591,0.02045623851821304,0.025,1.7817991927332877,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.92,0.010759693343219918,0.020457965480679123,0.025,1.7898746930294063,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.93,0.010769052655361558,0.020459705851898918,0.025,1.7979896373328832,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.94,0.010778338692651929,0.020461459650485854,0.025,1.8061439844450777,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.95,0.010787552324844334,0.020463226894816926,0.025,1.8143376929884942,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.96,0.010796694411393972,0.020465007603033013,0.025,1.8225707214072964,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.97,0.010805765801467604,0.020466801793039193,0.025,1.8308430279678207,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.98,0.010814767333953257,0.020468609482505076,0.025,1.8391545707590935,0.5,7.0,1.25,15.0,1.0,50.0,1.0
1.99,0.010823699837469886,0.02047043068886511,0.025,1.8475053076933492,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.0,0.010832564130377075,0.020472265429318914,0.025,1.8558951965065502,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.0100000000000002,0.010841361020784703,0.020474113720831594,0.025,1.8643241947589093,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.02,0.010850091306562637,0.020475975580134073,0.025,1.8727922598354114,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.0300000000000002,0.010858755775350419,0.02047785102372339,0.025,1.8812993489463423,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.04,0.010867355640761456,0.02047974008321707,0.025,1.889845419127812,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.05,0.010875891929402779,0.020481642783776205,0.025,1.8984304272422858,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.06,0.010884364983221548,0.020483559126588096,0.025,1.9070543299791138,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.07,0.010892775584119626,0.02048548912845257,0.025,1.9157170838550641,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.08,0.010901124506157217,0.020487432806019567,0.025,1.9244186452148555,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.09,0.010909412515628492,0.020489390175791784,0.025,1.933158970231693,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.1,0.01091764037113721,0.020491361254127313,0.025,1.941938014907807,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.11,0.010925808823672351,0.020493346057242283,0.025,1.9507557350749893,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.12,0.010933918616683731,0.020495344601213505,0.025,1.9596120863951367,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.13,0.010941970486157635,0.020497356901981113,0.025,1.968507024360789,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.14,0.010949965160692448,0.020499382975351203,0.025,1.977440504295678,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.15,0.010957903361574262,0.02050142283699848,0.025,1.9864124813552677,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.16,0.010965785802852521,0.020503476502468896,0.025,1.9954229105273058,0.5,7.0,1.25,15.0,1.0,50.0,1.0
2.17,0.010973613191415635,0.020505543987182302,0.025,2.004471746632368,0.5,7.0,1.25,15.0,1.0,50.0,1.0
