Time,Akt,DEPTOR,iIRS,IR,IRS,mTORC1,mTORC1_DEPTOR,mTORC2,mTORC2_DEPTOR,pAkt,pDEPTOR,pIR,pIRS,pmTORC1,pmTORC2
111.6,24.809531359787456,10.944335640824157,13.211519497297859,37.69971445822044,52.98506670979955,73.23473754986921,154.3199880317402,14.87444271367068,184.30908929419724,75.19046864021253,0.42658703323653874,12.300285541779644,33.8034137929026,22.445274418389538,0.8164679921295501
115.2,21.324960951511308,11.206163376763513,16.98942454820152,37.616325457328884,48.43157622697682,67.59659495732815,153.8004175549769,14.726894228753148,184.4563151342969,78.67503904848869,0.5371039339608218,12.383674542671212,34.578999224821665,28.602987487693895,0.8167906369474259
118.8,18.089909952545543,11.540837250950531,21.51082841454952,37.539005761033295,43.25106863582189,61.176741118470545,153.12198489941647,14.525358041265866,184.66082217590488,81.91009004745445,0.6763556737261924,12.460994238966789,35.238102949628605,35.70127398211187,0.8138197828267076
122.4,15.183831869444495,11.959018117503884,26.706835653061454,37.46730214010614,37.539609214074986,54.089869625031724,152.2610332967409,14.26279578927148,184.93008783989163,84.81616813055548,0.8498607458616335,12.532697859893943,35.75355513286358,43.649097078226276,0.8071163708343061
126.0,12.684401435746372,12.471564603569453,32.40426748445972,37.40079685093935,31.50096077539959,46.504512151936424,151.1939310502799,13.933445972131226,185.27027713325904,87.31559856425362,1.06422721288963,12.599203149060738,36.09477174014071,52.301556797782546,0.7962768946071398
129.6,10.652338468386347,13.08911871689211,38.31750917634373,37.33910462008466,25.45145609934967,38.64331921987333,149.89820029545228,13.533620071034639,185.68540061520235,89.34766153161364,1.3272803724511937,12.660895379915418,36.23103472430664,61.45848048467322,0.7809793137603704
133.2,9.1134122555009,13.821191746482057,44.07438207510078,37.281869920964795,19.787601556760634,30.78403704270009,148.35448726029097,13.062595525925945,186.17636871362032,90.88658774449908,1.6479522796046275,12.718130079035282,36.138016368138636,70.86147569700778,0.7610357604511272
136.8,8.047494090112501,14.674442289167553,49.29205002248825,37.22876450667681,14.900794276430908,23.267069308465487,146.55002719768117,12.523586083328249,186.73996215630729,91.95250590988748,2.035568356841999,12.771235493323266,35.80715570108089,80.18290349385221,0.7364517603618659
140.4,7.3944729176349036,15.649612932036913,53.68891014425427,37.17948517273093,11.057237411555542,16.520797932587197,144.48493441815558,11.924735954483586,187.36777436903935,92.60552708236507,2.4976782807661064,12.820514827269161,35.25385244419022,88.99426764925603,0.7074896764744603
144.0,7.074941023704498,16.736423795581167,57.17087794293283,37.13375172298765,8.311425428629148,11.094546398919665,142.18335274805645,11.280055958848127,188.04521179602767,92.92505897629549,3.0350116603326467,12.866248277012433,34.51769662843806,96.72210085302267,0.6747322451215964
147.6,7.012059984623527,17.907250980818148,59.82815482636517,37.09130511867518,6.5198131761466955,7.541217594427168,139.70769952186882,10.61003831720725,188.75082459801263,92.98794001537644,3.634224899298336,12.908694881324893,33.65203199748815,102.7510828837028,0.6391370847775134
151.2,7.143686658170512,19.11770879936391,61.85562245721001,37.05190579061349,5.4352615460595395,5.864185964560652,137.15485526720954,9.940783515096882,189.45716925746618,92.85631334182946,4.27026667595834,12.948094209386584,32.70911599673049,106.98095876822859,0.6020472274343242
154.8,7.424236783483711,20.324194531664954,63.46481035065301,37.01533209920782,4.805535211344758,5.30262976707462,134.61202862175566,9.299430854233716,190.13550765807193,92.57576321651628,4.9282691885054035,12.984667900792259,31.729654438002292,110.08534161116849,0.5650614876917475
158.4,7.821479763249138,21.500252991109814,64.82387791267183,36.981378926813186,4.435991058479745,5.1610062306147535,132.12391612381543,8.70718697796593,190.76310261614412,92.17852023675086,5.6127282689285725,13.0186210731869,30.740131028848488,112.71507764556856,0.5297104058873394
162.0,8.312676091531184,22.633345519330057,66.03958892350325,36.9498563899466,4.204689397405989,5.151112021811176,129.7054943307448,8.175703835719041,191.32717205342783,91.6873239084688,6.33398809649519,13.050143610053482,29.755721679090815,115.14339364744275,0.49712411085048047
165.6,8.881684957365362,23.716315247035396,67.1708132894689,36.92058865966211,4.044656977571904,5.187854583795139,127.36048742812389,7.708195875334817,191.82389230265582,91.11831504263462,7.099305022182778,13.079411340337977,28.784529732959264,117.4516579880797,0.467911822006725
169.2,9.5170375623563,24.743516748029762,68.24758955693481,36.893412880000085,3.9216375608536045,5.248265255047752,125.089292417175,7.302344479319342,192.2554167779836,90.48296243764366,7.911774056809579,13.106587119999995,27.830772882211658,119.66244232777599,0.442238742694474
172.8,10.210631655661635,25.710196796311934,69.28458078135651,36.86817817525605,3.8187500000794583,5.32608193274512,122.8913952399249,6.952891972953415,192.62713362208785,89.78936834433833,8.771274341673243,13.131821824744033,26.8966692185641,121.78252282732873,0.4199744049561309
176.4,10.956804420804065,26.612796768357416,70.28874961303674,36.84474473893423,3.727814191768414,5.419679632954715,120.76605861632449,6.6534024364278865,192.9457699261663,89.04319557919591,9.675374689149757,13.155255261065848,25.983436195194916,123.81426175071955,0.4008276374032426
