_1_task1,x_PCC_1_task1
56.5,1026020307.1250099
57.0,1033925029.717268
57.5,1041930351.5961442
58.0,1050037054.3799566
58.5,1058245932.9673977
59.0,1066557790.9237432
59.5,1074973432.7927725
60.0,1083493679.9234266
60.5,1092119364.8756874
61.0,1100851330.4334986
61.5,1109690427.6370258
62.0,1118637518.9394848
62.5,1127693477.320159
63.0,1136859186.2613325
63.5,1146135536.1516306
64.0,1155523430.163371
64.5,1165023780.5140254
65.0,1174637509.4792354
65.5,1184365548.1594038
66.0,1194208837.636468
66.5,1204168328.7860703
67.0,1214244981.9531608
67.5,1224439766.8581233
68.0,1234753663.418302
68.5,1245187660.9606915
69.0,1255742757.8057685
69.5,1266419961.479517
70.0,1277220288.6287837
70.5,1288144766.3283494
71.0,1299194431.8484666
71.5,1310370331.0364313
72.0,1321673519.131065
72.5,1333105060.7402418
73.0,1344666030.0472424
73.5,1356357511.038362
74.0,1368180596.8823533
74.5,1380136390.1733556
75.0,1392226002.9332182
75.5,1404450556.7576118
76.0,1416811183.3090434
76.5,1429309023.5421863
77.0,1441945227.951022
77.5,1454720956.6222117
78.0,1467637379.2684016
78.5,1480695675.5893881
79.0,1493897035.0589018
79.5,1507242656.5349786
80.0,1520733749.0282125
80.5,1534371531.3788018
81.0,1548157232.3373995
81.5,1562092090.6286852
82.0,1576177355.0189593
82.5,1590414284.3557324
83.0,1604804147.6313791
83.5,1619348224.0313916
84.0,1634047803.0101933
84.5,1648904183.5774536
85.0,1663918678.2492616
85.5,1679092606.316487
86.0,1694427299.369998
86.5,1709924099.889471
87.0,1725584358.320817
87.5,1741409440.2559216
88.0,1757400717.7652915
88.5,1773559576.7254293
89.0,1789887411.4444418
89.5,1806385630.0958438
90.0,1823055652.8081138
90.5,1839898907.9938369
91.0,1856916838.9301693
91.5,1874110899.4917314
92.0,1891482553.30756
92.5,1909033276.8303714
93.0,1926764558.9845965
93.5,1944677900.4753413
94.0,1962774814.2962103
94.5,1981056826.2882936
95.0,1999525474.2491403
95.5,2018182309.2808456
96.0,2037028895.2336938
96.5,2056066808.859129
97.0,2075297640.341552
97.5,2094722993.5791962
98.0,2114344486.280493
98.5,2134163750.1786313
99.0,2154182430.937355
99.5,2174402188.777914
100.0,2194824698.6060233
100.5,2215451650.4530845
101.0,2236284749.556011
101.5,2257325716.5785933
102.0,2278576288.2726645
102.5,2300038217.830584
103.0,2321713274.80122
103.5,2343603245.692738
104.0,2365709934.665354
104.5,2388035163.4481144
105.0,2410580771.8002057
105.5,2433348618.5681515
106.0,2456340581.609881
106.5,2479558558.2063947
107.0,2503004465.6535935
107.5,2526680242.2063484
108.0,2550587847.4484487
108.5,2574729262.761329
109.0,2599106492.084948
109.5,2623721562.3270173
110.0,2648576524.061448
110.5,2673673452.4550047
111.0,2699014447.8827705
111.5,2724601636.596252
112.0,2750437171.427575
112.5,2776523232.715244
113.0,2802862029.054636
113.5,2829455798.1304646
114.0,2856306807.575367
114.5,2883417355.8457046
115.0,2910789773.1270185
115.5,2938426422.189603
116.0,2966329699.03186
116.5,2994502034.1547484
117.0,3022945893.4310594
117.5,3051663778.9483547
118.0,3080658229.502934
118.5,3109931821.828479
119.0,3139487171.730437
119.5,3169326934.8197484
120.0,3199453806.680205
120.5,3229870523.5691395
121.0,3260579864.168871
121.5,3291584649.721956
122.0,3322887744.153986
122.5,3354492054.9987345
123.0,3386400533.774319
123.5,3418616176.197692
124.0,3451142022.5021753
124.5,3483981157.4452477
125.0,3517136710.3444257
125.5,3550611854.9198174
126.0,3584409809.0024896
126.5,3618533834.098452
127.0,3652987234.8193
127.5,3687773358.2017055
128.0,3722895592.702286
