H_c_1_task1,L_c_2_task1,_1_task1
0.0014660931719136167,0.015984834018051994,6.24
0.001469110514969355,0.015980232383035926,6.26
0.0014721141900031123,0.01597562049372211,6.28
0.0014751042425195286,0.015970998561316313,6.3
0.0014780807179927537,0.015966366791445696,6.32
0.001481043661866446,0.015961725384158822,6.34
0.0014839931195537743,0.015957074533925662,6.36
0.0014869291363825072,0.01595241443225679,6.38
0.0014898517569885287,0.015947745296633228,6.4
0.0014927610262862503,0.01594306732421699,6.42
0.0014956569893124826,0.015938380699298565,6.44
0.0014985396910548743,0.015933685601480434,6.46
0.001501409176451914,0.01592898220567704,6.48
0.0015042654903929308,0.0159242706821148,6.5
0.001507108677718092,0.015919551196332118,6.52
0.001509938783218405,0.015914823909179355,6.54
0.0015127558516357174,0.01591008897681886,6.56
0.001515559927662715,0.015905346550724953,6.58
0.001518351055942924,0.015900596777683924,6.6
0.0015211292808660702,0.01589583980882286,6.62
0.001523894645933575,0.015891075827604337,6.64
0.0015266471952148637,0.015886304985573287,6.66
0.0015293869728058534,0.01588152742624873,6.68
0.001532114022727964,0.01587674328957959,6.7
0.0015348283889281165,0.015871952711944668,6.72
0.001537530115278735,0.015867155826152654,6.74
0.0015402192455777433,0.015862352761442138,6.76
0.001542895823548569,0.0158575436434816,6.78
0.00154555989284014,0.015852728594369394,6.8
0.0015482114970268872,0.01584790773263379,6.82
0.001550850679608742,0.015843081173232926,6.84
0.001553477483574444,0.01583824904889714,6.86
0.0015560919512622648,0.015833411516935597,6.88
0.0015586941256943718,0.015828568694022896,6.9
0.0015612840498316835,0.01582372069261597,6.92
0.0015638617665488647,0.01581886762217621,6.94
0.0015664273186343244,0.01581400958916945,6.96
0.0015689807487902186,0.015809146697065967,6.98
0.0015715220996324474,0.0158042790463405,7.0
0.0015740514136906576,0.015799406734472207,7.02
0.0015765687334082406,0.015794529855944733,7.04
0.0015790741011423336,0.015789648502246133,7.06
0.0015815675591638195,0.01578476276186894,7.08
0.0015840491496573264,0.015779872720310114,7.1
0.0015865189147212279,0.015774978460071074,7.12
0.001588976896367643,0.01577008006065768,7.14
0.0015914231365224368,0.01576517759858024,7.16
0.001593857677025219,0.01576027114735352,7.18
0.0015962805596293457,0.01575536077749672,7.2
0.0015986918256089833,0.015750446577645537,7.22
0.001601091514800012,0.0157455287060837,7.24
0.0016034796681723223,0.01574060725253558,7.26
0.0016058563267507431,0.015735682296143742,7.28
0.0016082215314549599,0.015730753914070136,7.3
0.0016105753230995145,0.015725822181496072,7.32
0.0016129177423938037,0.015720887171622237,7.34
0.0016152488299420809,0.015715948955668677,7.36
0.0016175686262434549,0.015711007602874815,7.38
0.001619877171691891,0.015706063180499445,7.4
0.00162217450657621,0.01570111575382072,7.42
0.0016244606710800883,0.015696165386136173,7.44
0.0016267357052820591,0.015691212138762702,7.46
0.001628999649155511,0.015686256071036568,7.48
0.0016312525425686885,0.015681297240313422,7.5
0.0016334944252846917,0.015676335701968257,7.52
0.0016357253369614774,0.01567137150939546,7.54
0.0016379453171518575,0.015666404714008764,7.56
0.001640154405228862,0.01566143537097924,7.58
0.0016423526398114863,0.01565646358338153,7.6
0.0016445400598307958,0.015651489420235806,7.62
0.001646716704256998,0.015646512937489438,7.64
0.0016488826119470971,0.01564153418972875,7.66
0.0016510378216448927,0.015636553230179023,7.68
0.0016531823719809818,0.015631570110704502,7.7
0.001655316301472757,0.015626584881808382,7.72
0.0016574396485244073,0.015621597592632826,7.74
0.001659552451426919,0.015616608290958955,7.76
0.0016616547483580732,0.015611617023206837,7.78
0.0016637465773824485,0.015606623834435514,7.8
0.0016658279764514194,0.015601628768342984,7.82
0.001667898983403157,0.01559663186726619,7.84
0.0016699596359626284,0.015591633172181056,7.86
0.0016720099717415973,0.01558663272270245,7.88
0.0016740500282386233,0.015581630557084203,7.9
0.0016760798428390633,0.015576626712219101,7.92
0.0016780994528103296,0.01557162122457946,7.94
0.0016801088951545788,0.015566614159447944,7.96
0.0016821082068134874,0.015561605570284418,7.98
0.0016840974246798953,0.015556595496415467,8.0
0.001686076585531444,0.01555158397620242,8.02
0.0016880457260305766,0.015546571047041331,8.04
0.001690004882724539,0.01554155674536299,8.06
0.0016919540920453773,0.01553654110663293,8.08
0.0016938933903099408,0.015531524165351413,8.1
