Time,P,I,M,T,U,beta,gamma,beta0,mu,a,b,n,alpha,alpha0,Q0,delta_0,theta_0,delta_1,k1,n1,compartment,increase_in_the_amount_of_pathogenic_micro_organism,Decrease_in_the_amount_of_pathogenic_micro_organism,Increase_of_appropriate_immune_response_with_respect_to_pathogen,Reduction_of_immune_response,betterment_of_relative_characteristics_of_the_damaged_part_of_the_organ,removal_of_relative_characteristics_of_the_damaged_part_of_the_organ,Increase_in_the_concentration_of_toxicant_in_the_environment,Decrease_in_the_concentration_of_toxicant_in_the_environment,Increase_in_the_uptake_concentration_of_toxicant_by_the_body,Decrease_in_the_uptake_concentration_of_toxcant_by_the_body
5.0,2.2049038044588154,0.0031481818678883184,16.835276598051127,10.943644241123359,42.82321035059382,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.1024519022294077,0.9726672292922734,0.04208243145329056,0.04299782899035087,5.291769130701157,1.6835276598051128,5.0,4.377457696449343,13.13237308934803,0.9373533596221805
5.5,2.2638687660187915,0.0027457606391852554,18.63096390461473,11.225763675051825,48.97754680387073,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.1319343830093958,1.02533116003859,0.04186481252500459,0.04257187478547484,5.433285038445099,1.8630963904614732,5.0,4.49030547002073,13.47091641006219,1.0602393082081678
6.0,2.3120435998696554,0.0024309492640737975,20.401568344754775,11.456743541944205,55.22335912578466,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.1560217999348277,1.0693901445740275,0.041686138206282905,0.04224641698264986,5.548904639687173,2.0401568344754777,5.0,4.582697416777682,13.748092250333045,1.1850142930515988
6.5,2.351023571075643,0.0021788865101251306,22.13662868653979,11.645853865768572,61.53204682971603,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.1755117855378214,1.105718497027854,0.04153678406320088,0.04199012630911694,5.642456570581543,2.213662868653979,5.0,4.658341546307429,13.975024638922287,1.3110837446609143
7.0,2.382317587404983,0.001973152467963315,23.82801871223804,11.800684297491914,67.88031760461031,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.1911587937024914,1.1353224512431728,0.041410202748118165,0.0417834902158071,5.717562209771959,2.3828018712238044,5.0,4.720273718996766,14.160821156990297,1.4379692818168086
7.5,2.40728379232918,0.001802489218734911,25.469689941845054,11.927448728233712,74.24922175568017,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.20364189616459,1.1592200065162572,0.041301730924632594,0.0416137134046198,5.777481101590032,2.5469689941845055,5.0,4.770979491293485,14.312938473880454,1.565284488142046
8.0,2.427102283315855,0.0016589385855148033,27.057374745436785,12.031234676291179,80.62336279381852,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2135511416579274,1.1783664194168466,0.04120792408863513,0.041472045166342994,5.825045479958051,2.7057374745436786,5.0,4.812493870516472,14.437481611549414,1.6927167803359449
8.5,2.4427722686099234,0.001536729224198146,28.58828761021063,12.116207439729653,86.99025172931418,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2213861343049617,1.193614965234596,0.0411261638599701,0.041352291392861805,5.862653444663816,2.8588287610210634,5.0,4.8464829758918615,14.539448927675583,1.820013311817958
9.0,2.455123575073186,0.0014315832007045302,30.060846957350595,12.185777252134464,93.33977864329678,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.227561787536593,1.2057020894593147,0.04105441409971853,0.04124993784785921,5.892296580175646,3.0060846957350598,5.0,4.874310900853786,14.622932702561357,1.9469697683038696
9.5,2.4648353339952678,0.0013402690350227907,31.474428729397506,12.242736169908836,99.66378008740593,0.5,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,5.0,0.4,1.2,0.02,0.6,0.5,1.0,1.2324176669976339,1.2152478218660419,0.04099106274237518,0.0411616164497325,5.915604801588643,3.1474428729397506,5.0,4.897094467963535,14.691283403890603,2.0734213687668013
