Time,E,T,s,p,g,m,d,a,b,n,e1,e2,compartment,Fomation_of_activated_immune_effector_cell,Removal_of_activated_tumor_immune_cell,Formation_of_tumor_cell,Removal_of_tumor_cell
52.0,1535486.3407539767,8235659.339438849,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68386.39976085366,67589.41029614986,1458001.2905870895,1392296.240751521
54.0,1537619.0945670805,8365932.038784029,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69083.62897198075,67751.83638109926,1480671.792185206,1416284.2148199996
56.0,1540795.5192381262,8492504.169385996,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69798.00238522391,67958.53506607002,1502686.6047453452,1440681.8820802453
58.0,1544954.4119585338,8613252.600736022,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,70518.91314201121,68205.80544074555,1523677.744801413,1465109.7950109295
60.0,1550021.050202969,8726101.342487974,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71235.45351270285,68489.34153885051,1543286.097577662,1489173.0484533883
62.0,1555907.8579425493,8829070.742755588,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71936.55152711872,68804.28061841098,1561169.837230996,1512467.9822229473
64.0,1562515.3322472218,8920331.963900005,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72611.1496499555,69145.26848779443,1577013.7174573774,1534590.916402393
66.0,1569733.1836963845,8998259.55714079,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73248.39853985843,69506.53652646161,1590537.997264579,1555147.8151215091
68.0,1577441.682800609,9061480.712887045,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73837.86704082997,69881.98954832739,1601506.7725440594,1573764.7080226385
70.0,1585513.296353009,9108919.055746319,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,74369.76846230582,70265.3070713745,1609735.3637432475,1590098.5818396283
72.0,1593814.48888018,9139832.34651276,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,74835.20016205282,70650.05183048164,1615096.6696562467,1603848.4139008354
74.0,1602207.9085423215,9153837.240995396,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75226.37524950196,71029.7909460208,1617525.3183347029,1614765.1813556287
76.0,1610554.7167558,9150921.122078113,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75536.83583264504,71398.21818030566,1617019.633316362,1622660.3152581325
78.0,1618716.9875224095,9131443.885057097,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75761.65364550345,71749.2745119643,1613641.9230369367,1627412.6894421857
80.0,1626560.3998289744,9096121.572904209,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75897.58077585479,72077.27132192273,1607515.6891618983,1628972.5647910147
82.0,1633956.8207894943,9046004.578071624,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75943.18414130245,72377.00423408515,1598821.9524753548,1627363.9750237667
84.0,1640786.9797964653,8982434.370880948,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75898.88311403526,72643.85660590215,1587791.9009567844,1622682.57602421
86.0,1646942.8713694694,8906998.319021406,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75766.95604935294,72873.88671018925,1574699.234564035,1615091.8442880178
88.0,1652330.000028452,8821477.053151658,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75551.482591568,73063.900182792,1559851.224903557,1604816.6288613058
90.0,1656869.291147993,8727787.371386092,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,75258.2196506034,73211.50153923142,1543578.988785451,1592134.3965726085
92.0,1660498.759928793,8627925.572371216,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,74894.4319872652,73315.13186308768,1526227.8071411632,1577365.2344762038
94.0,1663174.5122124865,8523909.869254367,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,74468.65188630979,73374.07362959982,1508147.2422604843,1560860.1352473304
96.0,1664871.3674194694,8417731.437147329,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73990.42805441986,73388.4417222218,1489682.7057692613,1542989.8493214995
98.0,1665582.9848301609,8311309.880912023,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73470.04362093666,73359.15391146636,1471167.7446670076,1524133.7127546938
100.0,1665321.4383287262,8206456.749831314,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72918.22731923932,73287.88135532352,1452917.6793103695,1504669.3582390936
102.0,1664116.5502581345,8104843.491748084,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72345.86004610776,73176.99158509303,1435223.972825392,1484963.2015248775
104.0,1662014.3789668048,8007983.9473518785,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71763.71762036442,73029.46377805146,1418351.1000389617,1465363.2298204626
106.0,1659075.7202934376,7917219.414080127,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71182.2291071859,72848.80787312063,1402533.8437641754,1446192.841885193
108.0,1655374.2360186442,7833711.40804615,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,70611.2713670904,72638.97368952705,1387975.921055468,1427746.416505071
110.0,1650994.3825248715,7758440.461540234,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,70060.00425245591,72404.25682210008,1374849.6596549468,1410286.4922691414
112.0,1646029.2867562876,7692207.407417864,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69536.7372705252,72149.20568005893,1363296.113607671,1394042.0138327216
114.0,1640578.4550242594,7635642.291686343,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69048.85334850111,71878.52734107863,1353426.5205491695,1379208.4127647956
116.0,1634745.6874198474,7589210.915575016,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68602.7497210475,71597.00260444406,1345323.360767913,1365947.9226486634
118.0,1628637.0123009637,7553224.241915831,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68203.81577455284,71309.40471131905,1339041.9328233302,1354390.8079414906
120.0,1622358.7607484774,7527848.007875506,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67856.43528784678,71020.42511335496,1334611.982990908,1344637.005184094
122.0,1616015.7652696176,7513112.249901744,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67564.00756360899,70734.60507266855,1332039.3369376492,1336757.9934131736
124.0,1609709.8396750195,7508919.932548841,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67328.98467191661,70456.27917792942,1331307.391579557,1330798.7713132084
126.0,1603538.373395938,7515054.373411446,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67152.91372418904,70189.52301807122,1332378.4120093414,1326779.6550580363
128.0,1597593.1396425844,7531185.8001132505,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67036.48571787955,69938.10930995902,1335194.6905802872,1324697.9615165668
130.0,1591959.261648312,7556877.119532518,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,66979.58617955983,69705.46988571006,1339679.5804679561,1324529.481205539
132.0,1586714.353296972,7591588.764256522,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,66981.3445648913,69494.66402935481,1345738.378378563,1326229.6825087806
134.0,1581927.8734596903,7634682.708690898,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67040.18186977386,69308.35483462503,1353259.0707419035,1329734.6637470645
136.0,1577660.5384945355,7685426.82261804,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67153.85528399768,69148.78734477868,1362113.145310753,1334961.9076104648
138.0,1573963.8960618875,7742999.341182506,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67319.500639496,69017.77284033809,1372156.427445732,1341810.8752687722
140.0,1570879.9867932484,7806494.00153894,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67533.67184383656,68916.67636528201,1383230.0347824262,1350163.4778637008
142.0,1568441.129537213,7874926.151089721,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,67792.37932490463,68846.40926761022,1395161.5009175078,1359884.5232248467
144.0,1566669.8026592897,7947240.870851954,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68091.13142345527,68807.42619211374,1407766.2472679892,1370822.3217792644
146.0,1565578.578379192,8022322.758651385,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68424.97537407344,68799.72456220232,1420849.338077418,1382809.390242711
148.0,1565170.1618780796,8099008.0362360105,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,68788.54338087093,68822.84933046227,1434207.6313009162,1395663.461675925
150.0,1565437.4921310155,8176098.460675559,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69176.1005090732,68875.90101584788,1447632.2319476826,1409188.734773552
152.0,1566363.9520881828,8252378.268192821,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69581.60336286636,68957.54999229705,1460911.459325425,1423177.6849960748
154.0,1567923.665501522,8326633.450513058,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,69998.76688204409,69066.05589301839,1473834.2042294373,1437413.3730758636
156.0,1570081.8734911918,8397672.374088397,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,70421.13623983177,69199.2915400052,1486193.5028670016,1451672.1524655402
158.0,1572795.4281741006,8464348.169372883,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,70842.16967908008,69354.77350970972,1497790.4021114672,1465726.96016931
160.0,1576013.3615355073,8525581.536780486,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71255.32680758132,69529.69698390093,1508437.882025982,1479350.9888925944
162.0,1579677.6101653297,8580384.54909442,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71654.17079471514,69720.97893179739,1517964.9391932737,1492321.9736053105
164.0,1583723.8708092193,8627882.468590675,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72032.47185665277,69925.3070436787,1526220.3162252682,1504426.5945467814
166.0,1588082.5880484935,8667333.179779507,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72384.3125531718,70139.19430618646,1533075.8131585608,1515464.9439292722
168.0,1592679.6658530503,8698148.755805649,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72704.20306245804,70359.0236177228,1538429.9710048924,1525255.4483984269
170.0,1597438.1140265313,8719903.892589983,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72987.17970882339,70581.1275346645,1542209.4800636347,1533638.7018367378
172.0,1602278.4850937913,8732357.594603011,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73228.933523154,70801.8226143122,1544372.9021309346,1540482.7236473532
174.0,1607121.147397919,8735444.547962314,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73425.87336517405,71017.50889774087,1544909.1417110276,1545684.8349112251
176.0,1611886.5889011787,8729300.524494907,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73575.28891590665,71224.70130772286,1543841.8468561824,1549177.7332959422
178.0,1616498.346517587,8714219.158199366,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73675.2888747363,71420.1393149607,1541221.9068825196,1550925.9467323693
180.0,1620883.157526865,8690663.424511978,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73724.90253430349,71600.80349070531,1537129.469339222,1550929.151975136
182.0,1624972.5177384834,8659248.59370829,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73724.09814922303,71763.97795727555,1531671.015832742,1549221.612893478
184.0,1628703.796915489,8620727.669555882,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73673.7948465939,71907.29382084805,1524976.8801211058,1545871.368822567
186.0,1632021.3325483515,8575969.382808918,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73575.83239501607,72028.76655715687,1517197.4785978498,1540977.7643008267
188.0,1634877.643562559,8525931.5489333,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73432.91437680993,72126.83505467777,1508498.7356482393,1534667.9222765223
190.0,1637234.1329272012,8471637.108324146,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73248.53521785903,72200.37856223597,1499057.9707920977,1527092.8832508605
192.0,1639061.8592743042,8414148.434709867,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,73026.8898488991,72248.73480799796,1489059.476450497,1518423.206514369
194.0,1640341.681622701,8354542.171642414,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72772.75120548131,72271.69002782303,1478690.175932444,1508843.8434276679
196.0,1641064.4314361315,8293888.606919464,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72491.36086992735,72269.47224844608,1468136.0574848675,1498549.6955810897
198.0,1641230.8651517385,8233230.711637579,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,72188.3008081525,72242.73443916274,1457578.5364323854,1487740.8232604142
200.0,1640851.4863487163,8173564.98617187,13000.0,0.1245,20190000.0,3.422e-10,0.0412,0.18,2e-09,1.101e-07,1.0,0.0,1.0,71869.36214565698,72192.53289848253,1447191.1182609936,1476617.848821706
