Susceptible_Human_1_task1,_1_task1
529.7489037946578,2290.0
529.5715404047427,2300.0
529.3947020241469,2310.0
529.2183885970175,2320.0
529.0426000552616,2330.0
528.8673363176796,2340.0
528.6925972890966,2350.0
528.5183829658719,2360.0
528.3446938663394,2370.0
528.1715294517214,2380.0
527.9988896341908,2390.0
527.8267743153489,2400.0
527.655183385713,2410.0
527.4841167242054,2420.0
527.31357419764,2430.0
527.1435556602121,2440.0
526.9740609529844,2450.0
526.8050900109222,2460.0
526.6366428302531,2470.0
526.4687190779368,2480.0
526.3013185691328,2490.0
526.1344411066866,2500.0
525.968086480772,2510.0
525.8022544685318,2520.0
525.6369448337213,2530.0
525.4721573263483,2540.0
525.3078916823164,2550.0
525.1441478029614,2560.0
524.9809254568268,2570.0
524.8182242276365,2580.0
524.6560438091592,2590.0
524.4943838799231,2600.0
524.3332441028148,2610.0
524.1726241246778,2620.0
524.0125235759118,2630.0
523.8529420700718,2640.0
523.6938792034662,2650.0
523.5353345547568,2660.0
523.3773076845567,2670.0
523.21979813503,2680.0
523.06280542949,2690.0
522.9063290719989,2700.0
522.750368563843,2710.0
522.5949250201277,2720.0
522.4399966845128,2730.0
522.2855830423646,2740.0
522.1316835618442,2750.0
521.9782976935948,2760.0
521.8254248704282,2770.0
521.6730645070107,2780.0
521.5212159995509,2790.0
521.3698787254849,2800.0
521.2190520431639,2810.0
521.0687352915402,2820.0
520.9189277898541,2830.0
520.7696288373207,2840.0
520.6208377128157,2850.0
520.4725536745626,2860.0
520.32477719382,2870.0
520.177508133516,2880.0
520.0307445997548,2890.0
519.8844858668695,2900.0
519.7387311939466,2910.0
519.5934798247137,2920.0
519.4487309874271,2930.0
519.3044838947603,2940.0
519.1607377436909,2950.0
519.0174917153885,2960.0
518.874744975103,2970.0
518.732496672052,2980.0
518.5907459393084,2990.0
518.4494918936883,3000.0
518.3087336356391,3010.0
518.1684702491267,3020.0
518.0287028266815,3030.0
517.8894290799706,3040.0
517.7506480100595,3050.0
517.6123587156113,3060.0
517.4745602837927,3070.0
517.3372517903244,3080.0
517.2004322995332,3090.0
517.064100864401,3100.0
516.9282565266175,3110.0
516.7928983166294,3120.0
516.6580252536925,3130.0
516.5236363459217,3140.0
516.3897305903421,3150.0
516.2563069729401,3160.0
516.1233644687136,3170.0
515.990902304562,3180.0
515.8589196782225,3190.0
515.7274152215297,3200.0
515.596387891409,3210.0
515.4658366358084,3220.0
515.3357603938018,3230.0
515.2061580956923,3240.0
515.0770286631152,3250.0
514.9483710091421,3260.0
514.820184038383,3270.0
514.6924666470908,3280.0
514.5652177232636,3290.0
514.4384361467489,3300.0
514.3121207893463,3310.0
514.1862705149106,3320.0
514.060884179456,3330.0
513.9359605895224,3340.0
513.8114986093129,3350.0
513.6874970755682,3360.0
513.5639548121441,3370.0
513.4408706354473,3380.0
513.3182433545354,3390.0
513.1960717712165,3400.0
