Time,Glucose,Lysine,Schiff,Amadori,Glyoxal,CML,Fraction_Amadori,Fraction_CML,compartment,v1a,v1b,v2a,v2b,v3,v4,v5,v5b,v6,v7a,v7b,v7c
0.14,0.24999868687731636,0.0033988007016641265,1.1386868313020024e-06,2.006369261239818e-09,1.1116066444294259e-07,2.6509709097688958e-09,5.901086062470053e-07,7.796973264026164e-07,1.0,8.794350623068137e-06,4.0992725926872086e-07,2.818249907472456e-08,1.8057323351158362e-12,7.919985024073246e-07,1.7254775646662436e-13,7.178445941816352e-12,1.8897312955300238e-10,2.5535013391926913e-08,2.837223710214101e-08,2.8372237102141013e-09,5.674447420428202e-07
0.15,0.2499985952536535,0.0033987172850222657,1.2160984995986935e-06,2.2977608786863383e-09,1.1910732840155867e-07,2.909446866044097e-09,6.758120231430407e-07,8.55719666483558e-07,1.0,8.794131560620732e-06,4.3779545985552965e-07,3.009843786506767e-08,2.0679847908177045e-12,7.919983979120061e-07,1.976074355670251e-13,7.691430580412815e-12,2.0248245828264973e-10,2.6146845072804354e-08,2.905205008089372e-08,2.9052050080893725e-09,5.810410016178745e-07
0.16,0.2499985039100768,0.003398634155129707,1.2930715915734635e-06,2.6082550346165134e-09,1.270545180194234e-07,3.17393058202867e-09,7.671338337107393e-07,9.335089947143148e-07,1.0,8.793913250143186e-06,4.655057729664468e-07,3.2003521891443225e-08,2.347429531154862e-12,7.919982937360969e-07,2.2430993297702015e-13,8.204424665582748e-12,2.1599268063301978e-10,2.6730966891600696e-08,2.970107432400077e-08,2.970107432400077e-09,5.940214864800154e-07
0.17,0.2499984128450086,0.003398551310094532,1.3696143596857404e-06,2.937743587988665e-09,1.3500220187164941e-07,3.4441393015918626e-09,8.640422317613722e-07,1.0129821475270184e-06,1.0,8.793695686683163e-06,4.930611694868665e-07,3.389795540222208e-08,2.6439692291897987e-12,7.91998189877798e-07,2.5264594856702523e-13,8.717426290694272e-12,2.29503743181804e-10,2.729015050958793e-08,3.0322389455097693e-08,3.0322389455097695e-09,6.064477891019539e-07
0.18,0.2499983220569057,0.0033984687481079232,1.4457340064220067e-06,3.286120776289027e-09,1.4295035338069782e-07,3.719833888821461e-09,9.665061106732433e-07,1.0940687908298415e-06,1.0,8.793478865504572e-06,5.204642423119224e-07,3.578191665894467e-08,2.957508698660124e-12,7.919980863353497e-07,2.8260638676085634e-13,9.230433861410422e-12,2.430156007471863e-10,2.782674225528961e-08,3.091860250587734e-08,3.091860250587734e-09,6.183720501175468e-07
0.19,0.24999823154424772,0.0033983864674048464,1.5214372681160616e-06,3.6532823912258173e-09,1.5089894808405413e-07,4.0007942395418045e-09,1.0744948209487698e-06,1.1767041881005308e-06,1.0,8.793262781985439e-06,5.477174165217822e-07,3.765557238587252e-08,3.2879541521032355e-12,7.919979831070182e-07,3.141822856454203e-13,9.743445919175044e-12,2.56528211742892e-10,2.8342750956065008e-08,3.149194550673889e-08,3.1491945506738893e-09,6.298389101347779e-07
0.2,0.2499981413055313,0.0033983044662477986,1.5967306462716256e-06,4.039125403366546e-09,1.5884796255523633e-07,4.286809571459236e-09,1.18797805981369e-06,1.2608263445468342e-06,1.0,8.793047431575634e-06,5.748230326577851e-07,3.951908349522274e-08,3.635212863029891e-12,7.919978801910891e-07,3.4736478468952294e-13,1.0256461071510631e-11,2.700415363439018e-10,2.8839912641200775e-08,3.204434737911197e-08,3.2044347379111968e-09,6.408869475822394e-07
0.21,0.24999805133928457,0.003398222742966891,1.6716198505523028e-06,4.443548934689083e-09,1.6679737699684933e-07,4.577701758837801e-09,1.306926157261495e-06,1.346382870246412e-06,1.0,8.792832809901109e-06,6.01783146198829e-07,4.1372591301169494e-08,3.999194041220175e-12,7.919977775858839e-07,3.8214520838326114e-13,1.0769478159580402e-11,2.8355554089464385e-10,2.9319735609704264e-08,3.257748401078251e-08,3.257748401078251e-09,6.515496802156503e-07
0.22,0.24999796164406604,0.0033981412959572495,1.7461098374108395e-06,4.866454204185672e-09,1.7474717505978657e-07,4.8733237054706415e-09,1.4313100600546093e-06,1.4333305016090123e-06,1.0,8.792618912757117e-06,6.285995414679022e-07,4.321621847591828e-08,4.3798087837671045e-12,7.91997675289759e-07,4.185150615599678e-13,1.1282496246528097e-11,2.9707019760163717e-10,2.9783539192578866e-08,3.309282132508762e-08,3.3092821325087624e-09,6.618564265017525e-07
0.23,0.24999787221842512,0.003398060123565509,1.820206393489107e-06,5.3077417947031e-09,1.8269733646967745e-07,5.1734929906287826e-09,1.5611005278538531e-06,1.5216155854790537e-06,1.0,8.79240573581314e-06,6.552743016560785e-07,4.50501082388554e-08,4.77696761523279e-12,7.919975733010602e-07,4.564657943444667e-13,1.179551414104559e-11,3.1058547199845165e-10,3.023249372513825e-08,3.3591659694598054e-08,3.3591659694598053e-09,6.71833193891961e-07
0.24,0.2499977830609476,0.003397979224220951,1.8939143024773486e-06,5.767314797587917e-09,1.9064784556488142e-07,5.4780687018935875e-09,1.6962690581140934e-06,1.6111966770275259e-06,1.0,8.792193274953803e-06,6.818091488918455e-07,4.687437898631438e-08,5.1905833178291254e-12,7.919974716181748e-07,4.959890725925609e-13,1.2308530949067078e-11,3.241013374602984e-10,3.066763312540942e-08,3.407514791712157e-08,3.4075147917121576e-09,6.815029583424315e-07
0.25,0.24999769417025736,0.0033978985964396627,1.9672372869035812e-06,6.2450789122965975e-09,1.9859869156762675e-07,5.786953875115741e-09,1.8367879153813523e-06,1.7020452573869828e-06,1.0,8.79198152628969e-06,7.082054232852892e-07,4.868912285086364e-08,5.620571021066938e-12,7.919973702395335e-07,5.370767864575074e-13,1.2821546091315455e-11,3.3761777566496546e-10,3.108987469714955e-08,3.454430521905505e-08,3.454430521905505e-09,6.90886104381101e-07
0.26,0.2499976055449593,0.0033978182386705715,2.0401800983343324e-06,6.740938539062756e-09,2.065498588725818e-07,6.1000081028827965e-09,1.9826289820772814e-06,1.7941200302596462e-06,1.0,8.791770485756962e-06,7.344648354003596e-07,5.049445743377473e-08,6.06684468515648e-12,7.919972691635454e-07,5.79720714359397e-13,1.333455867576973e-11,3.5113476008338907e-10,3.150004723786117e-08,3.5000052486512404e-08,3.5000052486512406e-09,7.000010497302481e-07
0.27,0.2499975171836744,0.003397738149388309,2.112747266989703e-06,7.254799171407556e-09,2.1450133285227347e-07,6.417099776350416e-09,2.133764462178693e-06,1.8873822871618872e-06,1.0,8.791560149358864e-06,7.605890161162931e-07,5.2290494857995154e-08,6.5293192542668e-12,7.919971683886381e-07,6.239127287410498e-13,1.3847567872809379e-11,3.646522658488649e-10,3.189889654705349e-08,3.5443218385614984e-08,3.544321838561498e-09,7.088643677122997e-07
0.28,0.24999742908507272,0.003397658327180205,2.1849419444835395e-06,7.78656968603649e-09,2.2245310522453385e-07,6.7381543856254175e-09,2.290167554716615e-06,1.9818101134192406e-06,1.0,8.791350513391989e-06,7.865791000140742e-07,5.40773131259676e-08,7.007912717432842e-12,7.919970679132949e-07,6.696449929991382e-13,1.4360573262091404e-11,3.781702788817075e-10,3.2287090225079423e-08,3.587454469453269e-08,3.5874544694532687e-09,7.174908938906538e-07
0.29,0.24999734124781123,0.0033975787705821333,2.2567680968247234e-06,8.336158053996165e-09,2.3040516387748327e-07,7.063062956994196e-09,2.4518111923518134e-06,2.0773714579394696e-06,1.0,8.791141574019344e-06,8.124365148569004e-07,5.5855010396411905e-08,7.502542248596548e-12,7.919969677359843e-07,7.169095926436703e-13,1.487357417503006e-11,3.916887785917215e-10,3.266523889826234e-08,3.629470988695815e-08,3.6294709886958145e-09,7.258941977391629e-07
0.3,0.24999725367054745,0.0033974994781143593,2.3282300271698053e-06,8.90347228307795e-09,2.3835749508317823e-07,7.391701973022333e-09,2.6186683185523384e-06,2.1740299920653924e-06,1.0,8.790933327363578e-06,8.381628097811299e-07,5.7623693172452684e-08,8.013125054770154e-12,7.919968678551755e-07,7.656986163447037e-13,1.5386569837845134e-11,4.05207741641403e-10,3.3033900900438114e-08,3.670433433382013e-08,3.6704334333820126e-09,7.340866866764026e-07
0.31,0.24999716635198377,0.003397420448400007,2.3993307782174496e-06,9.488423461000813e-09,2.4631009091613696e-07,7.724000130584907e-09,2.790712782647298e-06,2.271764744289679e-06,1.0,8.79072576981508e-06,8.637590801582818e-07,5.938343676088188e-08,8.53958111490073e-12,7.919967682693887e-07,8.160044176460699e-13,1.5899559850989222e-11,4.187271545574328e-10,3.339358054112901e-08,3.710397837903223e-08,3.710397837903223e-09,7.420795675806446e-07
0.32,0.24999707929081963,0.0033973416800400624,2.470073797466506e-06,1.0090922473805221e-08,2.542629415287937e-07,8.059868829305084e-09,2.9679183746485947e-06,2.370549655677966e-06,1.0,8.790518897706862e-06,8.892265670879422e-07,6.113432648729603e-08,9.081830226424699e-12,7.919966689771408e-07,8.678193327472491e-13,1.6412543689961843e-11,4.322470005989493e-10,3.374474238291655e-08,3.74941582032406e-08,3.7494158203240605e-09,7.498831640648121e-07
0.33,0.24999699248575502,0.0033972631716259784,2.54046274316396e-06,1.0710880246278863e-08,2.6221603606216914e-07,8.399210366861903e-09,3.150258895964372e-06,2.4703559902535008e-06,1.0,8.790312707347308e-06,9.145665875390255e-07,6.287645289330801e-08,9.639792221650977e-12,7.919965699769495e-07,9.211357011799822e-13,1.6925520764151378e-11,4.4576726130568753e-10,3.4087814786962305e-08,3.787534976329145e-08,3.787534976329144e-09,7.57506995265829e-07
0.34,0.24999690593552118,0.0033971849218085676,2.6105006505763516e-06,1.1348209841987565e-08,2.7016936647934126e-07,8.741952434374932e-09,3.337708777055166e-06,2.57116248069851e-06,1.0,8.790107195199505e-06,9.397802342074865e-07,6.46098911017647e-08,1.0213388857788808e-11,7.91996471267368e-07,9.759460464109306e-13,1.7438490664625632e-11,4.592879230148801e-10,3.442318990040243e-08,3.824798877822491e-08,3.824798877822491e-09,7.649597755644983e-07
0.35000000000000003,0.24999681963885367,0.0033971069292392333,2.6801906316311515e-06,1.200282463164789e-08,2.781229243536489e-07,9.088019215324568e-09,3.5302425387199675e-06,2.672946828036638e-06,1.0,8.789902357728228e-06,9.648686273872144e-07,6.6334718132871e-08,1.08025421684831e-11,7.919963728469541e-07,1.0322429183217185e-12,1.7951452956539134e-11,4.72808971401203e-10,3.475123066876751e-08,3.8612478520852784e-08,3.861247852085278e-09,7.722495704170556e-07
0.36,0.24999673359449145,0.0033970291925719286,2.7495358087493654e-06,1.267463820615518e-08,2.8607670119174346e-07,9.437334293191522e-09,3.7278347665162296e-06,2.775686556821036e-06,1.0,8.789698191404988e-06,9.898328911497715e-07,6.80510112665468e-08,1.1407174385539661e-11,7.919962747142702e-07,1.0900188857293456e-12,1.8464407199997552e-11,4.863303920259638e-10,3.507227352253026e-08,3.8969192802811393e-08,3.89691928028114e-09,7.793838560562279e-07
0.37,0.2499966478011961,0.003396951710494762,2.8185390414457615e-06,1.3363565717291083e-08,2.9403068964230705e-07,9.789831526354341e-09,3.930460505085613e-06,2.8793622136336297e-06,1.0,8.789494692790477e-06,1.0146740549204742e-06,6.97588412757826e-08,1.2027209145561975e-11,7.919961768679037e-07,1.1492666516870331e-12,1.89773530282494e-11,4.998521723919219e-10,3.538662977648945e-08,3.931847752943272e-08,3.931847752943272e-09,7.863695505886544e-07
0.38,0.24999656225773578,0.003396874481703596,2.887203157498192e-06,1.4069522767402845e-08,3.0198488247231095e-07,1.0145445837365054e-08,4.138094931589072e-06,2.9839546580485454e-06,1.0,8.789291858465694e-06,1.0393931366993492e-06,7.145827814808026e-08,1.266257049066256e-11,7.919960793064501e-07,1.2099789579966446e-12,1.94902900814786e-11,5.133743002029286e-10,3.569458906274375e-08,3.9660654514159715e-08,3.966065451415972e-09,7.932130902831944e-07
0.39,0.24999647696287156,0.0033967975048775074,2.9555311931073816e-06,1.4792424464762523e-08,3.099392714879763e-07,1.0504103504070492e-08,4.3507130778713305e-06,3.0894422070795566e-06,1.0,8.78908968496797e-06,1.0639912295186573e-06,7.31493970294077e-08,1.331318201828627e-11,7.919959820284967e-07,1.272148503969577e-12,2.0003217937024292e-11,5.268967615295597e-10,3.599642242141392e-08,3.999602491268213e-08,3.999602491268213e-09,7.999204982536426e-07
0.4,0.2499963919154003,0.00339672077875428,3.023525670455961e-06,1.553218838613172e-08,3.178938507717409e-07,1.086575128452845e-08,4.568290701803447e-06,3.1958092013318974e-06,1.0,8.78888816898781e-06,1.088469241364146e-06,7.483226034378503e-08,1.3978969547518547e-11,7.919958850326713e-07,1.335768201207328e-12,2.0516136318737108e-11,5.404195463119596e-10,3.629238090162248e-08,4.0324867668469415e-08,4.032486766846942e-09,8.064973533693884e-07
0.41000000000000003,0.24999630711412293,0.0033966443020743155,3.0911891344610505e-06,1.6288732375662323e-08,3.258486142772872e-07,1.1230334778043824e-08,4.790803639900683e-06,3.3030396406011247e-06,1.0,8.788687307222645e-06,1.1128280884059782e-06,7.6506931077911e-08,1.465985913809609e-11,7.919957883176067e-07,1.4008309843069598e-12,2.102904494145142e-11,5.539426442713882e-10,3.658269959431434e-08,4.064744399368259e-08,4.064744399368259e-09,8.129488798736519e-07
0.42,0.24999622255785212,0.003396568073594495,3.158524020126214e-06,1.7061975088855718e-08,3.3380355642388485e-07,1.1597803772820992e-08,5.018227967310505e-06,3.4111187567120567e-06,1.0,8.788487096412973e-06,1.137068647245437e-06,7.81734694981238e-08,1.5355777579970146e-11,7.919956918819488e-07,1.4673298576415917e-12,2.1541943549431652e-11,5.674660459206042e-10,3.686759846826141e-08,4.096399829806823e-08,4.096399829806823e-09,8.192799659613647e-07
0.43,0.24999613824541128,0.0033964920920861305,3.225532673871128e-06,1.785183591815907e-08,3.4175867199985194e-07,1.1968111377312644e-08,5.250539975929138e-06,3.5200327580331306e-06,1.0,8.788287533337017e-06,1.1611917625936062e-06,7.983193367831042e-08,1.6066652326343162e-11,7.919955957243561e-07,1.5352578889616799e-12,2.205483191013774e-11,5.809897423997483e-10,3.714728373757303e-08,4.1274759708414473e-08,4.127475970841447e-09,8.254951941682895e-07
0.44,0.24999605417557721,0.003396416356226447,3.2922184835311594e-06,1.865823105121614e-08,3.497139510481527e-07,1.2341168000956742e-08,5.487715015063571e-06,3.629755294399042e-06,1.0,8.788088614527935e-06,1.1851986540712174e-06,8.14824074673962e-08,1.6792407946094525e-11,7.919954998434335e-07,1.6046078704045882e-12,2.2567709483469896e-11,5.945137167818596e-10,3.742195362284807e-08,4.1579948469831185e-08,4.157994846983118e-09,8.315989693966238e-07
0.45,0.2499959703472157,0.0033963408648550937,3.358583207294428e-06,1.9481082788269054e-08,3.5766939095568606e-07,1.2716950133285757e-08,5.72973023184384e-06,3.7402794509663996e-06,1.0,8.787890336942282e-06,1.209089954625994e-06,8.312493438053709e-08,1.7532974509442148e-11,7.919954042378878e-07,1.6753731197911388e-12,2.3080576203601957e-11,6.080379646246662e-10,3.769178828522003e-08,4.1879764761355584e-08,4.187976476135558e-09,8.375952952271117e-07
0.46,0.24999588675917458,0.0033962656167719216,3.4246290794719874e-06,2.0320312196653068e-08,3.656249869225241e-07,1.309541458638008e-08,5.976562410780314e-06,3.851592525405906e-06,1.0,8.787692697433023e-06,1.2328664686099154e-06,8.475956971693169e-08,1.828828097698776e-11,7.91995308906405e-07,1.747546848912164e-12,2.359343186263539e-11,6.21562477768291e-10,3.7956959550735426e-08,4.217439950081713e-08,4.217439950081713e-09,8.434879900163428e-07
0.47000000000000003,0.24999580341031233,0.003396190610790944,3.4903582485667246e-06,2.1175841070966716e-08,3.7358073450522466e-07,1.3476521379526974e-08,6.228188550284329e-06,3.9636827586844045e-06,1.0,8.787495692890149e-06,1.2565289694840208e-06,8.638636665202644e-08,1.9058256963870045e-11,7.919952138476835e-07,1.8211223321031376e-12,2.410627627508154e-11,6.350872486588819e-10,3.821762937468043e-08,4.24640326385338e-08,4.24640326385338e-09,8.492806527706761e-07
0.48,0.24999572029949796,0.00339611584574034,3.55577277727336e-06,2.2047591933071816e-08,3.81536629616831e-07,1.3860233739220588e-08,6.484585862668181e-06,4.076539335064879e-06,1.0,8.787299320240688e-06,1.2800781998184096e-06,8.800537623751566e-08,1.9842832739764633e-11,7.919951190604334e-07,1.8960929062441763e-12,2.4619109277869575e-11,6.486122703486127e-10,3.8473950586747096e-08,4.2748833985274545e-08,4.274883398527454e-09,8.54976679705491e-07
0.49,0.2499956374255434,0.0033960413203458785,3.6208757348596963e-06,2.293548337696112e-08,3.8949266364538315e-07,1.4246474177917166e-08,6.745730404988565e-06,4.1901394640932845e-06,1.0,8.787103576144691e-06,1.3035152645494906e-06,8.961667443777749e-08,2.0641935039265008e-11,7.919950245433002e-07,1.9724515704186564e-12,2.5131930414514704e-11,6.621375281971513e-10,3.8726071771084914e-08,4.302896863453878e-08,4.302896863453878e-09,8.605793726907757e-07
0.5,0.24999555478735314,0.003395967033488627,3.685668782256088e-06,2.3839440359788217e-08,3.974488342453508e-07,1.4635221590059586e-08,7.011600105820064e-06,4.30447693825282e-06,1.0,8.786908457667303e-06,1.3268407616121917e-06,9.122030236083818e-08,2.1455496323809393e-11,7.919949302950344e-07,2.0501918709417865e-12,2.564473963331824e-11,6.756630182170963e-10,3.897412844688355e-08,4.330458716320393e-08,4.330458716320394e-09,8.660917432640788e-07
0.51,0.24999547238381675,0.003395892984019869,3.7501539064133152e-06,2.4759386810981436e-08,4.0540513758736395e-07,1.5026441518953754e-08,7.282172591465128e-06,4.419541623221693e-06,1.0,8.78671396179609e-06,1.3500554063087935e-06,9.281630918372956e-08,2.2283448129883292e-11,7.919948363143698e-07,2.1293072657444035e-12,2.6157536785952237e-11,6.891887338985187e-10,3.9218250446537136e-08,4.35758338294857e-08,4.35758338294857e-09,8.715166765897142e-07
0.52,0.2499953902138296,0.0033958191707967253,3.8143330865075167e-06,2.56952470546961e-08,4.133615698498324e-07,1.5420099577627696e-08,7.557425604322382e-06,4.5353234051846164e-06,1.0,8.786520085533932e-06,1.373159911142706e-06,9.440474389106104e-08,2.312572234922649e-11,7.919947426000468e-07,2.2097912467038645e-12,2.667032172396712e-11,7.02714668744715e-10,3.945856109014452e-08,4.384284565571613e-08,4.384284565571613e-09,8.768569131143227e-07
0.53,0.249995308276296,0.003395745592687728,3.878208241700693e-06,2.6646946032430747e-08,4.213181274523866e-07,1.5816163549218836e-08,7.837337068361984e-06,4.651812808593776e-06,1.0,8.786326825913565e-06,1.3961549670122495e-06,9.598565398209215e-08,2.398225142918767e-11,7.919946491508159e-07,2.2916373587890442e-12,2.7183094313901875e-11,7.162408166690571e-10,3.969517744020381e-08,4.410575271133756e-08,4.410575271133756e-09,8.821150542267512e-07
0.54,0.24999522657008477,0.0033956722484929174,3.941782017098683e-06,2.76144062414383e-08,4.292748035224024e-07,1.621457159343313e-08,8.121884188658324e-06,4.768991645127392e-06,1.0,8.786134179789269e-06,1.4190415261555258e-06,9.75591049231924e-08,2.485296561729447e-11,7.919945559653871e-07,2.374838936763694e-12,2.769585420866716e-11,7.29767165988084e-10,3.992821358629212e-08,4.43646817625468e-08,4.43646817625468e-09,8.87293635250936e-07
0.55,0.24999514509412057,0.003395599137107867,4.005056170361444e-06,2.859755401945895e-08,4.3723159514840745e-07,1.6615297511322e-08,8.411045299840869e-06,4.886852209212353e-06,1.0,8.785942144264481e-06,1.44182022133012e-06,9.912514021644574e-08,2.5737798617513054e-11,7.919944630425343e-07,2.4593896456734697e-12,2.8208601316842346e-11,7.432937117522926e-10,4.015777505910019e-08,4.461975006566686e-08,4.461975006566687e-09,8.923950013133374e-07
0.56,0.2499950638473296,0.0033955262574261722,4.068032530817249e-06,2.959631580862563e-08,4.4518849906813796e-07,1.701831194723299e-08,8.704798767242833e-06,5.005385866833233e-06,1.0,8.78575071643759e-06,1.4644917110942094e-06,1.006838051377269e-07,2.6636684227763067e-11,7.919943703810328e-07,2.5452831595418043e-12,2.872133552371018e-11,7.568204484158345e-10,4.0383962766410585e-08,4.4871069740456195e-08,4.48710697404562e-09,8.974213948091241e-07
0.5700000000000001,0.24999498282864036,0.003395453608340644,4.130712987766306e-06,3.061061820102558e-08,4.531455117211226e-07,1.742358286195098e-08,9.003123000301642e-06,5.124583194691465e-06,1.0,8.785559893405039e-06,1.4870566755958703e-06,1.0223514644721609e-07,2.754955638092302e-11,7.919942779796609e-07,2.6325131652882e-12,2.923405669466021e-11,7.703473699259084e-10,4.060687325042033e-08,4.511874805602259e-08,4.5118748056022585e-09,9.023749611204517e-07
0.58,0.249994902036989,0.0033953811887533626,4.193099391554242e-06,3.164038832405472e-08,4.611026296934319e-07,1.783107953447011e-08,9.305996565898447e-06,5.2444351571970915e-06,1.0,8.785369672287542e-06,1.5095157809595272e-06,1.037792099409675e-07,2.8476349491649244e-11,7.919941858372053e-07,2.7210733958687056e-12,2.974676470396994e-11,7.838744704788342e-10,4.082659861784606e-08,4.536288735316228e-08,4.536288735316228e-09,9.072577470632456e-07
0.59,0.2499948214712971,0.003395308997540818,4.255193836801893e-06,3.268555229824235e-08,4.6905984847695634e-07,1.8240761399123726e-08,9.613397734777162e-06,5.3649298232716845e-06,1.0,8.785180050139091e-06,1.5318697812486815e-06,1.0531604746084687e-07,2.941699706841811e-11,7.919940939524364e-07,2.810957497648842e-12,3.0259459354459906e-11,7.974017424108257e-10,4.1043227794767827e-08,4.5603586438630906e-08,4.560358643863091e-09,9.120717287726182e-07
