CaER,CaM,CaPr,Ca_cyt,Pr,Time
0.7082410799869883,0.4784178499926038,84.95882104953856,0.29454323054260123,35.04117895046085,6.37
0.7082573719480088,0.47814534399569825,84.96063218538512,0.2937569508395753,35.03936781461429,6.38
0.7082837617658612,0.4778705689219998,84.96241500845613,0.2929676687919454,35.03758499154328,6.390000000000001
0.7083200341290738,0.4775936073609585,84.96416943835955,0.2921759956798459,35.03583056163986,6.4
0.7083659782304833,0.47731454286393077,84.96589541533997,0.2913825002818978,35.03410458465944,6.41
0.7084213877269298,0.47703345955991766,84.96759289883286,0.2905877120192801,35.032407101166555,6.42
0.7084860606806186,0.47675044181270715,84.96926186612646,0.2897921238997683,35.03073813387296,6.43
0.7085597994849857,0.4764655739160467,84.97090231112456,0.2889961952708365,35.02909768887485,6.44
0.7086424107775231,0.4761789398236427,84.97251424320345,0.28820035439141645,35.02748575679596,6.45
0.7087337053416884,0.47589062291096723,84.97409768615675,0.28740500083216014,35.025902313842664,6.46
0.7088334979997286,0.47560070576604124,84.97565267722234,0.2866105077141179,35.024347322777075,6.47
0.7089416074979928,0.47530927000654954,84.97717926618571,0.28581722379566077,35.02282073381371,6.48
0.7090578563860868,0.47501639612083263,84.97867751455459,0.2850254754172788,35.021322485444834,6.49
0.7091820708910216,0.47472216333047934,84.98014749479994,0.2842355683136071,35.01985250519949,6.5
0.709314080787344,0.47442664947242,84.98158928965879,0.28344778930169207,35.018410710340625,6.51
0.7094537192640801,0.4741299308985869,84.98300299149474,0.2826624078541254,35.016997008504674,6.5200000000000005
0.7096008227891969,0.4738320823913661,84.98438870171202,0.28187967756526716,35.015611298287396,6.53
0.7097552309721736,0.47353317709321446,84.98574653021963,0.2810998375183549,35.01425346977978,6.54
0.7099167864251682,0.4732332864489539,84.98707659494218,0.28032311356087,35.012923405057236,6.55
0.7100853346231858,0.47293248015938616,84.98837902137414,0.27954971949510576,35.011620978625274,6.5600000000000005
0.7102607237635735,0.4726308261449911,84.98965394217481,0.2787798581904657,35.010346057824606,6.57
0.7104428046251021,0.4723283905185839,84.99090149680119,0.27801372262361496,35.00909850319824,6.58
0.710631430426835,0.4720252375659092,84.99212183117635,0.27725149685222106,35.007878168823076,6.59
0.7108264566869369,0.47172142973324566,84.99331509739118,0.2764933569276436,35.00668490260826,6.6000000000000005
0.7110277410815266,0.4714170276211814,84.99448145343713,0.27573947175158414,35.0055185465623,6.61
0.7112351433036402,0.47111208998379955,84.99562106296841,0.2749900038813691,35.00437893703101,6.62
0.7114485249223385,0.47080667373258916,84.99673409509161,0.2742451102882275,35.00326590490782,6.63
0.7116677492420436,0.47050083394455944,84.99782072418124,0.2735049430718944,35.002179275818186,6.640000000000001
0.7118926811617583,0.47019462387360933,84.99888112971989,0.27276965013818183,35.00111887027953,6.65
0.7121231870344947,0.46988809496512157,84.99991549616146,0.27203937583961707,35.000084503837954,6.66
0.7123591345268084,0.4695812968732704,85.0009240128164,0.27131426158284294,34.999075987183026,6.67
0.7126003924782023,0.46927427748044276,85.00190687375773,0.27059444640724345,34.99809312624169,6.68
0.7128468307602659,0.4689670829183791,85.0028642777471,0.26988006753788046,34.99713572225233,6.69
0.7130983201354975,0.4686597575907954,85.00379642817961,0.26917126091477,34.99620357181981,6.7
0.7133547321157161,0.4683523441972468,85.00470353304709,0.26846816170061893,34.99529646695235,6.71
0.7136159388199056,0.46804488375794256,85.00558580491864,0.26777090476953863,34.99441419508081,6.72
0.7138818128313069,0.4677374156392415,85.00644346093817,0.26707962517920164,34.99355653906127,6.73
0.7141522270535887,0.46742997757961263,85.00727672283824,0.2663944586285292,34.992723277161204,6.74
0.7144270545659327,0.46712260571589187,85.00808581696955,0.26571554190271923,34.991914183029884,6.75
0.7147061684768572,0.4668153346096772,85.00887097434607,0.2650430133073714,34.99112902565338,6.76
0.7149894417765841,0.46650819727370885,85.00963243070494,0.2643770130934587,34.9903675692945,6.7700000000000005
0.7152767471877473,0.4662012251980965,85.01037042658139,0.2637176838748129,34.98962957341806,6.78
0.7155679570142353,0.46589444837627786,85.01108520739787,0.2630651710396531,34.98891479260157,6.79
