U,Vthresh,a,b,c,d,i,v,Time
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.74
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.75
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.76
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.77
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.78
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.79
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.8
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.81
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.82
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.83
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.84
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.85
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.86
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.87
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.88
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.89
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.9
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.91
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.92
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.93
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.94
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.95
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.96
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.97
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.98
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,0.99
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.0
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.01
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.02
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.03
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.04
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.05
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.06
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.07
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.08
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.09
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.1
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.11
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.12
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.13
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.14
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.15
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.16
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.17
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.18
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.19
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.2
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.21
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.22
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.23
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.24
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.25
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.26
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.27
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.28
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.29
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.3
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.31
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.32
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.33
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.34
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.35
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.36
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.37
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.38
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.39
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.4
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.41
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.42
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.43
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.44
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.45
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.46
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.47
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.48
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.49
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.5
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.51
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.52
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.53
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.54
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.55
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.56
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.57
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.58
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.59
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.6
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.61
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.62
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.63
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.64
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.65
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.66
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.67
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.68
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.69
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.7
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.71
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.72
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.73
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.74
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.75
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.76
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.77
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.78
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.79
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.8
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.81
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.82
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.83
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.84
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.85
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.86
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.87
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.88
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.89
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.9
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.91
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.92
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.93
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.94
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.95
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.96
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.97
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.98
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,1.99
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.0
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.01
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.02
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.03
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.04
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.05
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.06
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.07
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.08
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.09
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.1
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.11
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.12
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.13
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.14
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.15
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.16
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.17
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.18
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.19
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.2
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.21
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.22
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.23
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.24
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.25
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.26
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.27
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.28
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.29
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.3
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.31
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.32
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.33
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.34
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.35
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.36
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.37
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.38
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.39
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.4
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.41
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.42
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.43
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.44
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.45
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.46
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.47
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.48
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.49
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.5
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.51
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.52
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.53
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.54
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.55
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.56
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.57
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.58
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.59
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.6
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.61
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.62
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.63
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.64
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.65
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.66
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.67
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.68
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.69
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.7
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.71
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.72
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.73
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.74
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.75
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.76
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.77
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.78
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.79
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.8
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.81
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.82
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.83
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.84
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.85
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.86
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.87
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.88
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.89
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.9
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.91
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.92
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.93
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.94
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.95
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.96
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.97
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.98
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,2.99
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.0
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.01
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.02
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.03
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.04
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.05
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.06
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.07
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.08
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.09
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.1
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.11
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.12
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.13
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.14
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.15
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.16
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.17
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.18
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.19
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.2
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.21
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.22
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.23
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.24
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.25
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.26
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.27
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.28
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.29
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.3
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.31
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.32
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.33
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.34
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.35
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.36
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.37
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.38
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.39
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.4
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.41
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.42
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.43
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.44
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.45
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.46
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.47
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.48
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.49
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.5
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.51
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.52
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.53
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.54
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.55
-14.0,30.0,0.02,0.2,-65.0,8.0,0.0,-70.0,3.56
