T,DNK_B,DNK_G,H_HH,NCLI,NGL_C,NGL_C_E,NGL_C_G,NGL_C_I,NGL_E,NGL_E_G,NGL_E_I,NGL_REL,NKI,N_HH,R_AMPA,R_NMDA,V,_CLE,_CLI,_ECL,_EK,_ENA,_GL_C,_GL_E,_KE,_KI,_NAE,_NAI,_VL_E,_VL_G,_VL_I
18.4,-47.654186,28.757988,0.98318195,67.306229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.7842,0.060834985,0.0,0.0,-68.822624,121.60658,9.0532274,-69.20192,-90.105324,66.169678,0.0,0.0,4.8741255,143.49104,154.01845,12.84848,2484.9592,7580.5405,7434.5005
18.799999,-48.66,29.444057,0.98302162,67.320633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0823,0.061156258,0.0,0.0,-68.75811,121.42043,9.0566931,-69.150917,-90.060715,66.282585,0.0,0.0,4.8844824,143.55534,154.23929,12.812488,2484.1299,7582.6235,7433.2461
19.200001,-49.664448,30.131193,0.98286033,67.335526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.3779,0.061477978,0.0,0.0,-68.693794,121.23419,9.0602188,-69.099655,-90.016068,66.394844,0.0,0.0,4.8948526,143.61925,154.45993,12.776862,2483.2888,7584.7134,7431.9976
19.6,-50.667519,30.819345,0.98269784,67.350906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.6713,0.061800424,0.0,0.0,-68.629631,121.04787,9.0638046,-69.048141,-89.97139,66.50647,0.0,0.0,4.9052362,143.68275,154.68039,12.741596,2482.436,7586.8096,7430.7544
20.0,-51.669212,31.508463,0.98253441,67.366753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.9623,0.062123347,0.0,0.0,-68.565651,120.86147,9.0674477,-68.996384,-89.926682,66.617477,0.0,0.0,4.9156342,143.74586,154.90067,12.706682,2481.5723,7588.9111,7429.5166
20.4,-52.669525,32.198494,0.98236978,67.383041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.251,0.062447019,0.0,0.0,-68.501823,120.675,9.071146,-68.944382,-89.881935,66.727875,0.0,0.0,4.9260459,143.80859,155.12074,12.672112,2480.6975,7591.019,7428.2832
20.799999,-53.668446,32.889389,0.98220414,67.399773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.5375,0.062771201,0.0,0.0,-68.438164,120.48844,9.0748978,-68.892151,-89.837158,66.837677,0.0,0.0,4.9364729,143.87096,155.34064,12.63788,2479.8123,7593.1323,7427.0557
21.200001,-54.665977,33.5811,0.98203731,67.416916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.8219,0.063096158,0.0,0.0,-68.374649,120.30182,9.078701,-68.839691,-89.792336,66.946884,0.0,0.0,4.9469151,143.93294,155.56035,12.603978,2478.917,7595.2505,7425.8325
21.6,-55.662106,34.273582,0.98186946,67.434464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.1041,0.063421659,0.0,0.0,-68.311302,120.11512,9.0825548,-68.787018,-89.747482,67.055519,0.0,0.0,4.9573731,143.99457,155.77988,12.570399,2478.0117,7597.374,7424.6143
22.0,-56.656834,34.966789,0.98170036,67.452408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.3842,0.063747957,0.0,0.0,-68.248093,119.92837,9.0864563,-68.734123,-89.702591,67.163589,0.0,0.0,4.9678473,144.05583,155.99922,12.537137,2477.0967,7599.5024,7423.4009
