T,U,V
12.0,0.48070106,0.60652113
12.05,0.4788363,0.60066825
12.1,0.47741696,0.59507024
12.15,0.47644991,0.58977032
12.2,0.47593835,0.58480865
12.25,0.47588161,0.58022225
12.3,0.47627515,0.57604486
12.35,0.47711065,0.57230628
12.4,0.47837576,0.56903237
12.45,0.4800545,0.56624472
12.5,0.4821271,0.56396031
12.55,0.4845705,0.56219137
12.6,0.48735839,0.56094515
12.65,0.49046177,0.56022394
12.7,0.4938491,0.56002486
12.75,0.49748707,0.56033999
12.8,0.50134087,0.56115669
12.85,0.50537461,0.5624575
12.9,0.50955206,0.56422096
12.95,0.51383692,0.56642163
13.0,0.51819324,0.56903082
13.05,0.52258587,0.57201701
13.1,0.52698082,0.57534659
13.15,0.53134537,0.57898402
13.2,0.53564829,0.58289295
13.25,0.53986031,0.58703607
13.3,0.54395366,0.59137625
13.35,0.54790276,0.59587628
13.4,0.55168372,0.60049963
13.45,0.55527461,0.60521072
13.5,0.55865538,0.60997492
13.55,0.56180781,0.61475879
13.6,0.5647155,0.61953044
13.65,0.5673638,0.62425911
13.7,0.56973958,0.62891579
13.75,0.57183164,0.63347262
13.8,0.57363009,0.63790339
13.85,0.57512689,0.64218318
13.9,0.57631546,0.64628839
13.95,0.57719076,0.65019679
14.0,0.57774943,0.65388733
14.05,0.57798982,0.65734017
14.1,0.57791185,0.66053665
14.15,0.57751721,0.66345936
14.2,0.57680947,0.66609198
14.25,0.57579398,0.66841954
14.3,0.57447803,0.67042828
14.35,0.57287109,0.67210585
14.4,0.57098442,0.67344147
14.45,0.56883144,0.6744259
14.5,0.56642777,0.67505193
14.55,0.56379092,0.67531419
14.6,0.56094033,0.67520958
14.65,0.55789745,0.67473745
14.7,0.55468547,0.67389971
14.75,0.55132902,0.672701
14.8,0.54785419,0.67114896
14.85,0.5442881,0.66925395
14.9,0.54065889,0.66702968
14.95,0.53699517,0.66449267
15.0,0.53332579,0.6616624
15.05,0.52967972,0.65856105
15.1,0.5260855,0.65521371
15.15,0.52257133,0.65164751
15.2,0.51916432,0.64789188
15.25,0.51589066,0.64397788
15.3,0.5127753,0.63993812
15.35,0.5098415,0.63580626
15.4,0.50711101,0.63161665
15.45,0.50460356,0.62740391
15.5,0.50233716,0.6232028
15.55,0.50032735,0.61904764
15.6,0.49858773,0.61497217
15.65,0.49712938,0.61100906
15.7,0.49596113,0.60718983
15.75,0.49508923,0.60354435
15.8,0.49451745,0.60010082
15.85,0.49424705,0.59688532
15.9,0.49427667,0.59392178
15.95,0.49460247,0.59123176
16.0,0.49521816,0.58883405
16.049999,0.49611491,0.58674479
16.1,0.49728173,0.58497715
16.15,0.4987053,0.58354133
16.200001,0.50037038,0.58244437
16.25,0.50225973,0.58169025
16.299999,0.50435472,0.58127987
16.35,0.50663507,0.58121091
16.4,0.5090794,0.58147812
16.450001,0.51166552,0.58207327
16.5,0.51437044,0.58298558
16.549999,0.51717085,0.58420163
16.6,0.52004319,0.58570564
16.65,0.52296406,0.58747989
16.700001,0.52591026,0.58950484
16.75,0.52885902,0.59175944
16.799999,0.53178829,0.59422135
16.85,0.53467673,0.5968675
16.9,0.53750402,0.59967381
16.950001,0.54025066,0.60261613
17.0,0.54289842,0.6056698
17.049999,0.54543,0.60881031
17.1,0.54782963,0.6120134
17.15,0.55008245,0.61525506
17.200001,0.5521751,0.61851174
17.25,0.55409533,0.62176067
17.299999,0.55583233,0.62497962
17.35,0.55737656,0.62814718
17.4,0.55871969,0.63124275
17.450001,0.55985481,0.63424677
17.5,0.56077641,0.63714039
17.549999,0.56148016,0.63990593
17.6,0.5619632,0.64252651
17.65,0.56222397,0.64498639
17.700001,0.56226236,0.64727092
17.75,0.56207955,0.64936638
17.799999,0.56167823,0.65126044
17.85,0.56106246,0.65294164
17.9,0.56023771,0.65440005
17.950001,0.55921096,0.65562677
18.0,0.55799037,0.65661448
18.049999,0.55658579,0.65735722
18.1,0.55500817,0.65785038
18.15,0.55326986,0.65809131
18.200001,0.55138445,0.65807867
18.25,0.54936665,0.65781295
18.299999,0.54723221,0.65729666
18.35,0.54499787,0.65653384
18.4,0.5426811,0.65553051
18.450001,0.54030013,0.65429473
18.5,0.53787357,0.6528362
18.549999,0.53542048,0.65116656
18.6,0.53296006,0.64929926
18.65,0.53051162,0.64724934
18.700001,0.52809405,0.64503348
18.75,0.5257262,0.64266974
18.799999,0.52342629,0.64017743
18.85,0.5212118,0.63757712
18.9,0.51909947,0.63489002
18.950001,0.51710522,0.63213819
19.0,0.51524371,0.62934417
19.049999,0.51352841,0.62653071
19.1,0.51197159,0.62372071
19.15,0.51058412,0.62093675
19.200001,0.50937521,0.6182012
19.25,0.50835276,0.61553574
19.299999,0.50752288,0.61296135
19.35,0.50689024,0.61049795
19.4,0.50645751,0.60816449
19.450001,0.50622606,0.60597855
19.5,0.50619531,0.60395616
19.549999,0.50636303,0.60211194
19.6,0.50672561,0.6004588
19.65,0.50727755,0.59900767
19.700001,0.50801206,0.59776789
19.75,0.50892085,0.59674668
19.799999,0.50999427,0.59594935
19.85,0.51122147,0.59537911
19.9,0.51259059,0.5950374
19.950001,0.51408875,0.59492344
20.0,0.51570213,0.59503472
20.049999,0.51741642,0.59536672
20.1,0.51921666,0.59591329
20.15,0.52108753,0.59666651
20.200001,0.52301347,0.59761703
20.25,0.52497888,0.59875393
20.299999,0.52696806,0.60006517
20.35,0.52896559,0.60153759
20.4,0.53095627,0.60315698
20.450001,0.53292525,0.60490841
20.5,0.53485829,0.6067763
20.549999,0.53674155,0.60874456
20.6,0.538562,0.61079675
20.65,0.54030722,0.61291629
20.700001,0.54196548,0.61508644
20.75,0.54352611,0.61729056
20.799999,0.54497904,0.61951208
20.85,0.54631537,0.62173486
20.9,0.54752684,0.62394297
20.950001,0.54860634,0.62612087
21.0,0.54954773,0.62825358
21.049999,0.55034578,0.63032675
21.1,0.5509963,0.63232654
21.15,0.55149615,0.63423979
21.200001,0.55184323,0.63605422
21.25,0.5520364,0.63775814
21.299999,0.55207562,0.63934076
21.35,0.55196196,0.64079213
21.4,0.55169737,0.64210331
21.450001,0.55128491,0.6432662
21.5,0.55072874,0.6442737
21.549999,0.55003393,0.64511985
21.6,0.54920644,0.64579958
21.65,0.5482533,0.64630914
21.700001,0.54718244,0.64664584
21.75,0.54600257,0.64680821
21.799999,0.54472321,0.64679587
21.85,0.54335457,0.64660984
21.9,0.54190767,0.64625233
21.950001,0.54039395,0.64572686
22.0,0.53882533,0.64503807
22.049999,0.53721428,0.64419198
22.1,0.53557336,0.64319575
22.15,0.5339154,0.64205766
22.200001,0.53225344,0.64078724
22.25,0.53060025,0.639395
22.299999,0.52896869,0.63789231
22.35,0.52737123,0.63629156
22.4,0.52582008,0.63460594
22.450001,0.52432692,0.6328491
22.5,0.52290291,0.63103539
22.549999,0.5215587,0.62917954
22.6,0.52030396,0.62729651
22.65,0.51914787,0.6254015
22.700001,0.51809841,0.62350971
22.75,0.51716292,0.62163609
22.799999,0.51634759,0.61979544
22.85,0.51565754,0.61800218
22.9,0.51509696,0.61627018
22.950001,0.51466882,0.61461264
23.0,0.51437515,0.61304212
23.049999,0.51421666,0.61157018
23.1,0.51419306,0.61020762
23.15,0.51430297,0.60896409
23.200001,0.51454395,0.60784811
23.25,0.51491243,0.60686713
23.299999,0.51540399,0.60602731
23.35,0.51601315,0.60533357
23.4,0.51673365,0.60478956
23.450001,0.51755828,0.60439759
23.5,0.51847935,0.60415876
23.549999,0.51948828,0.60407287
23.6,0.52057606,0.60413837
23.65,0.52173311,0.60435265
23.700001,0.52294952,0.60471177
23.75,0.52421504,0.6052109
23.799999,0.52551937,0.60584396
23.85,0.52685189,0.60660404
23.9,0.528202,0.60748339
23.950001,0.52955925,0.6084733
24.0,0.53091329,0.6095646
24.049999,0.53225392,0.6107474
24.1,0.53357124,0.61201131
24.15,0.53485572,0.61334556
24.200001,0.53609824,0.61473906
24.25,0.5372901,0.61618054
24.299999,0.53842312,0.61765856
24.35,0.53948969,0.61916161
24.4,0.54048276,0.62067831
24.450001,0.54139596,0.62219733
24.5,0.54222357,0.62370747
24.549999,0.54296041,0.62519789
24.6,0.54360211,0.62665802
24.65,0.54414511,0.62807757
24.700001,0.54458636,0.6294468
24.75,0.54492378,0.63075644
24.799999,0.54515588,0.63199759
24.85,0.54528201,0.63316208
24.9,0.54530221,0.63424236
24.950001,0.54521734,0.63523132
25.0,0.54502892,0.63612282
25.049999,0.54473931,0.63691115
25.1,0.5443514,0.63759154
25.15,0.54386902,0.63815993
25.200001,0.5432964,0.6386131
25.25,0.54263866,0.63894856
25.299999,0.54190129,0.63916481
25.35,0.54109055,0.63926107
25.4,0.54021311,0.63923752
25.450001,0.53927606,0.63909507
25.5,0.53828698,0.63883573
25.549999,0.53725386,0.63846213
25.6,0.53618485,0.63797784
25.65,0.53508848,0.63738734
25.700001,0.53397328,0.6366958
25.75,0.532848,0.6359092
25.799999,0.53172141,0.6350342
25.85,0.53060216,0.63407809
25.9,0.52949888,0.63304889
25.950001,0.52841991,0.63195503
26.0,0.52737343,0.63080555
26.049999,0.52636731,0.62960976
26.1,0.52540898,0.62837738
26.15,0.52450538,0.62711835
26.200001,0.52366316,0.62584269
26.25,0.52288818,0.62456059
26.299999,0.52218586,0.62328219
26.35,0.52156103,0.62201756
26.4,0.52101767,0.62077647
26.450001,0.52055919,0.61956847
26.5,0.52018833,0.61840284
26.549999,0.51990706,0.61728829
26.6,0.51971656,0.61623317
26.65,0.51961732,0.61524516
26.700001,0.51960909,0.61433131
26.75,0.51969087,0.61349803
26.799999,0.51986098,0.61275101
26.85,0.52011704,0.61209506
26.9,0.52045602,0.61153442
26.950001,0.52087426,0.61107224
27.0,0.52136761,0.61071092
27.049999,0.52193117,0.61045218
27.1,0.52255982,0.61029661
27.15,0.52324778,0.61024415
27.200001,0.52398896,0.61029381
27.25,0.52477705,0.61044395
27.299999,0.52560532,0.61069196
27.35,0.52646685,0.61103463
27.4,0.5273546,0.61146802
27.450001,0.52826154,0.61198753
27.5,0.52918047,0.61258799
27.549999,0.53010416,0.61326367
27.6,0.53102565,0.61400837
27.65,0.5319379,0.61481547
27.700001,0.53283417,0.61567795
27.75,0.53370798,0.61658859
27.799999,0.53455293,0.61753976
27.85,0.53536308,0.6185239
27.9,0.53613281,0.61953306
27.950001,0.53685677,0.62055939
28.0,0.53753024,0.62159508
28.049999,0.53814864,0.62263227
28.1,0.53870809,0.62366325
28.15,0.53920507,0.6246804
28.200001,0.53963655,0.62567645
28.25,0.54000008,0.62664425
28.299999,0.54029363,0.62757701
28.35,0.54051572,0.62846822
28.4,0.54066551,0.6293118
28.450001,0.54074258,0.63010204
28.5,0.54074705,0.63083363
28.549999,0.54067957,0.63150179
28.6,0.54054141,0.63210231
28.65,0.54033417,0.6326313
28.700001,0.54006004,0.63308555
28.75,0.53972179,0.63346237
28.799999,0.5393225,0.63375968
28.85,0.53886563,0.63397592
28.9,0.53835517,0.63411021
28.950001,0.53779554,0.63416231
29.0,0.53719127,0.63413233
29.049999,0.53654742,0.63402134
29.1,0.53586924,0.63383073
29.15,0.53516209,0.63356256
29.200001,0.53443176,0.6332196
29.25,0.5336839,0.63280499
29.299999,0.53292447,0.63232237
29.35,0.53215933,0.63177609
29.4,0.53139448,0.63117081
29.450001,0.53063571,0.63051164
29.5,0.52988887,0.62980407
29.549999,0.52915967,0.62905395
29.6,0.52845341,0.62826747
29.65,0.52777547,0.627451
29.700001,0.52713072,0.62661117
29.75,0.52652389,0.62575465
29.799999,0.52595931,0.62488824
29.85,0.52544093,0.62401885
29.9,0.52497232,0.62315321
29.950001,0.52455658,0.62229806
30.0,0.52419639,0.62146002
30.049999,0.52389395,0.6206454
30.1,0.52365106,0.61986041
30.15,0.52346891,0.61911082
30.200001,0.52334827,0.61840212
30.25,0.52328938,0.6177395
30.299999,0.52329206,0.61712754
30.35,0.52335554,0.61657059
30.4,0.52347863,0.61607224
30.450001,0.52365977,0.61563587
30.5,0.52389675,0.61526412
30.549999,0.52418721,0.61495906
30.6,0.52452821,0.61472243
30.65,0.52491653,0.61455506
30.700001,0.5253486,0.61445761
30.75,0.52582049,0.61442983
30.799999,0.52632821,0.61447114
30.85,0.52686739,0.61458039
30.9,0.52743345,0.61475581
30.950001,0.52802169,0.61499518
31.0,0.52862746,0.61529601
31.049999,0.52924585,0.615655
31.1,0.529872,0.61606878
31.15,0.53050107,0.61653346
31.200001,0.53112817,0.61704487
31.25,0.53174865,0.61759841
31.299999,0.53235781,0.61818945
31.35,0.53295124,0.61881292
31.4,0.53352463,0.6194638
31.450001,0.53407383,0.6201368
31.5,0.53459501,0.62082654
31.549999,0.53508466,0.62152761
31.6,0.53553933,0.62223464
31.65,0.53595603,0.62294227
31.700001,0.53633207,0.62364513
31.75,0.53666514,0.62433803
31.799999,0.53695309,0.62501597
31.85,0.53719431,0.62567401
31.9,0.53738743,0.62630743
31.950001,0.53753161,0.62691182
32.0,0.53762621,0.62748301
32.049999,0.53767097,0.62801701
32.099998,0.53766614,0.6285103
32.150002,0.53761226,0.6289596
32.200001,0.53751016,0.62936205
32.25,0.53736115,0.62971497
32.299999,0.53716671,0.63001633
32.349998,0.53692883,0.63026434
32.400002,0.53664964,0.63045764
32.450001,0.53633177,0.63059533
32.5,0.53597784,0.63067681
32.549999,0.53559101,0.63070202
32.599998,0.53517443,0.63067132
32.650002,0.53473157,0.63058537
32.700001,0.53426611,0.63044536
32.75,0.53378171,0.63025284
32.799999,0.53328222,0.63000971
32.849998,0.53277177,0.6297183
32.900002,0.53225416,0.62938118
32.950001,0.53173357,0.62900144
33.0,0.531214,0.6285823
33.049999,0.53069931,0.62812734
33.099998,0.53019357,0.62764031
33.150002,0.52970046,0.62712532
33.200001,0.52922368,0.62658656
33.25,0.52876675,0.62602842
33.299999,0.52833307,0.62545532
33.349998,0.52792561,0.62487191
33.400002,0.52754736,0.62428278
33.450001,0.52720088,0.62369245
33.5,0.52688855,0.6231057
33.549999,0.52661246,0.62252682
33.599998,0.52637428,0.6219604
33.650002,0.5261755,0.62141061
33.700001,0.52601725,0.62088162
33.75,0.5259003,0.62037724
33.799999,0.52582508,0.61990118
33.849998,0.52579176,0.61945683
33.900002,0.52580017,0.61904728
33.950001,0.52584964,0.61867535
34.0,0.52593946,0.61834353
34.049999,0.52606845,0.61805391
34.099998,0.52623516,0.61780828
34.150002,0.52643788,0.61760807
34.200001,0.52667463,0.61745423
34.25,0.52694321,0.61734748
34.299999,0.52724111,0.61728811
34.349998,0.52756584,0.61727595
34.400002,0.52791446,0.61731058
34.450001,0.52828407,0.61739111
34.5,0.52867162,0.61751652
34.549999,0.52907389,0.61768514
34.599998,0.52948767,0.61789525
34.650002,0.52990961,0.61814469
34.700001,0.5303365,0.61843115
34.75,0.53076494,0.61875188
34.799999,0.53119165,0.61910409
34.849998,0.53161341,0.61948472
34.900002,0.53202713,0.61989051
34.950001,0.5324297,0.62031806
35.0,0.5328182,0.6207639
35.049999,0.53318989,0.62122434
35.099998,0.5335421,0.62169588
35.150002,0.53387243,0.62217468
35.200001,0.53417861,0.62265712
35.25,0.53445858,0.6231395
35.299999,0.53471047,0.62361819
35.349998,0.53493279,0.6240896
35.400002,0.53512406,0.62455028
35.450001,0.53528327,0.62499684
35.5,0.53540951,0.62542617
35.549999,0.5355022,0.62583518
35.599998,0.53556097,0.626221
35.650002,0.5355857,0.62658095
35.700001,0.53557664,0.62691265
35.75,0.53553408,0.6272139
35.799999,0.5354588,0.62748277
35.849998,0.53535163,0.62771744
35.900002,0.53521371,0.62791663
35.950001,0.5350464,0.62807912
36.0,0.53485125,0.62820405
36.049999,0.53463006,0.62829089
36.099998,0.53438467,0.62833929
36.150002,0.53411728,0.6283493
36.200001,0.53383005,0.62832117
36.25,0.53352547,0.62825549
36.299999,0.53320593,0.62815315
36.349998,0.53287405,0.62801522
36.400002,0.53253251,0.62784314
36.450001,0.53218395,0.62763852
36.5,0.53183115,0.6274032
36.549999,0.53147686,0.62713933
36.599998,0.53112382,0.62684911
36.650002,0.53077465,0.62653512
36.700001,0.53043205,0.6261999
36.75,0.53009856,0.62584621
36.799999,0.52977663,0.62547702
36.849998,0.52946866,0.62509531
36.900002,0.52917689,0.62470406
36.950001,0.52890331,0.62430644
37.0,0.52864993,0.6239056
37.049999,0.52841842,0.62350458
37.099998,0.5282104,0.62310654
37.150002,0.52802718,0.62271452
37.200001,0.52786994,0.62233144
37.25,0.52773958,0.62196016
37.299999,0.52763689,0.62160349
37.349998,0.52756226,0.62126404
37.400002,0.52751601,0.62094414
37.450001,0.52749819,0.62064618
37.5,0.52750862,0.62037218
37.549999,0.52754694,0.62012398
37.599998,0.52761251,0.61990321
37.650002,0.52770454,0.61971128
37.700001,0.52782208,0.61954933
37.75,0.52796382,0.61941838
37.799999,0.5281285,0.61931896
37.849998,0.52831453,0.61925155
37.900002,0.52852029,0.61921626
37.950001,0.52874398,0.61921304
38.0,0.52898365,0.6192416
38.049999,0.52923727,0.6193012
38.099998,0.52950281,0.61939108
38.150002,0.52977806,0.61951029
38.200001,0.53006083,0.61965752
38.25,0.53034884,0.61983126
38.299999,0.53063983,0.62002993
38.349998,0.53093159,0.62025172
38.400002,0.53122181,0.62049466
38.450001,0.53150839,0.62075663
38.5,0.53178918,0.62103546
38.549999,0.53206205,0.62132883
38.599998,0.53232503,0.6216343
38.650002,0.53257632,0.62194943
38.700001,0.53281403,0.62227172
38.75,0.53303653,0.62259859
38.799999,0.53324234,0.62292761
38.849998,0.53343004,0.62325627
38.900002,0.53359842,0.62358195
38.950001,0.53374642,0.62390232
39.0,0.53387314,0.62421501
39.049999,0.53397787,0.62451774
39.099998,0.53405994,0.62480831
39.150002,0.53411913,0.62508464
39.200001,0.53415507,0.62534487
39.25,0.53416783,0.62558711
39.299999,0.53415757,0.62580979
39.349998,0.53412455,0.62601137
39.400002,0.53406924,0.6261906
39.450001,0.53399235,0.62634635
39.5,0.53389466,0.6264776
39.549999,0.53377712,0.62658376
39.599998,0.5336408,0.6266641
39.650002,0.53348696,0.6267184
39.700001,0.53331691,0.62674648
39.75,0.53313214,0.62674838
39.799999,0.53293425,0.62672436
39.849998,0.5327248,0.62667483
39.900002,0.53250551,0.62660038
39.950001,0.53227818,0.62650192
40.0,0.53204465,0.62638038
