E_1_task1,T_2_task1,_1_task1
0.1927569762627989,220.54423604285037,14.75
0.19275689352487843,220.54430202726684,15.0
0.19275682814222192,220.5443567593688,15.25
0.19275677425821366,220.54440365846582,15.5
0.192756738333817,220.54443835071916,15.75
0.1927567148312724,220.5444639147357,16.0
0.19275670010886542,220.54447994008112,16.25
0.19275669182460106,220.54448897602015,16.5
0.19275668688628866,220.54449204508452,16.75
0.19275668838072496,220.5444874619955,17.0
0.1927566883973585,220.54448408718713,17.25
0.19275669083813032,220.5444777476844,17.5
0.19275669721572633,220.54446707974498,17.75
0.19275669804769044,220.54446357699175,18.0
0.192756699914082,220.54446008102528,18.25
0.19275670175497528,220.54445768786061,18.5
0.19275669809011547,220.54446193162545,18.75
0.19275669406631576,220.5444678818212,19.0
0.19275668864666426,220.54447582038858,19.25
0.19275668190683212,220.54448457874628,19.5
0.1927566744635305,220.54449458031442,19.75
0.192756667490233,220.54450362620943,20.0
0.19275666160490695,220.5445108928266,20.25
0.19275665054755045,220.54452414561442,20.5
0.1927566378218406,220.5445390149925,20.75
0.19275662444817412,220.54455427968594,21.0
0.192756611942071,220.54456814694208,21.25
0.19275660231417444,220.54457825253056,21.5
0.1927565980702508,220.5445816607432,21.75
0.1927566022111898,220.54457486439418,22.0
0.1927565942211426,220.5445823058381,22.25
0.1927565805612725,220.54459640106327,22.5
0.19275656809799668,220.54460910132596,22.75
0.19275655828740548,220.54461880083159,23.0
0.19275655286009086,220.54462358435978,23.25
0.1927565538211463,220.54462122726434,23.5
0.19275656345016673,220.54460919547336,23.75
0.1927565734234516,220.54459733533304,24.0
0.19275657098112778,220.5446006791521,24.25
0.19275656916353484,220.54460417197447,24.5
0.192756568118728,220.54460780955569,24.75
0.19275656801991098,220.54461156911628,25.0
0.19275656906543603,220.5446154093418,25.25
0.19275657147880387,220.54461927038278,25.5
0.19275657544773517,220.5446230190157,25.75
0.19275657826470488,220.54462387496147,26.0
0.19275658177738184,220.54462311670392,26.25
0.19275658600552192,220.54462033633132,26.5
0.19275659096983921,220.54461508562446,26.75
0.19275659669200598,220.54460687605635,27.0
0.19275660319465268,220.54459517879246,27.25
0.19275661050136794,220.54457942469054,27.5
0.1927566171752496,220.54456660518315,27.75
0.192756623006465,220.54455729448566,28.0
0.19275662839298358,220.54454887035823,28.25
0.1927566331104724,220.54454191178272,28.5
0.19275663691649936,220.54453705654916,28.75
0.1927566395505332,220.5445350012559,29.0
0.19275664073394352,220.5445365013094,29.25
0.1927566411801096,220.54453945202312,29.5
0.19275664330246717,220.5445368425819,29.75
0.19275664518324967,220.5445341845089,30.0
0.19275664689748753,220.54453123726947,30.25
0.19275664853529487,220.54452772324865,30.5
0.19275665020186966,220.54452332775153,30.75
