Time,f,k1,k2,a,compartment_,R1,R2,R3,R4
0.76,2.120505780382198e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.840735568689011e-10,5.916211127266332e-12,6.023796193942358e-16
0.77,2.1484085813067565e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.878115555947596e-10,5.994059941845851e-12,6.183368158390282e-16
0.78,2.1763114188158697e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.9154955922166797e-10,6.0719088584962765e-12,6.345026348848497e-16
0.79,2.204214292909537e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.952875677496261e-10,6.1497578772176084e-12,6.508770773522191e-16
0.8,2.232117203587759e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,2.9902558117863415e-10,6.227606998009848e-12,6.674601440616573e-16
0.81,2.2600201508505354e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.0276359950869195e-10,6.3054562208729935e-12,6.842518358336851e-16
0.8200000000000001,2.2879231346978662e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.065016227397996e-10,6.3833055458070466e-12,7.012521534888251e-16
0.8300000000000001,2.315826155129751e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.102396508719571e-10,6.461154972812005e-12,7.184610978476008e-16
0.84,2.3437292121461905e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.139776839051644e-10,6.539004501887871e-12,7.358786697305365e-16
0.85,2.3716323057471848e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.177157218394216e-10,6.6168541330346456e-12,7.535048699581586e-16
0.86,2.3995354359327327e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.214537646747285e-10,6.694703866252325e-12,7.713396993509928e-16
0.87,2.4274386027028356e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.2519181241108537e-10,6.772553701540911e-12,7.893831587295678e-16
0.88,2.4553418060574926e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.28929865048492e-10,6.850403638900405e-12,8.076352489144116e-16
0.89,2.4832450459967045e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.326679225869485e-10,6.928253678330806e-12,8.260959707260551e-16
0.9,2.5111483225204705e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.364059850264548e-10,7.006103819832112e-12,8.447653249850286e-16
0.91,2.5390516356287906e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.401440523670109e-10,7.0839540634043255e-12,8.63643312511864e-16
0.92,2.5669549853216657e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.438821246086169e-10,7.161804409047447e-12,8.827299341270955e-16
0.93,2.5948583715990948e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.476202017512727e-10,7.239654856761475e-12,9.020251906512564e-16
0.9400000000000001,2.622761794461078e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.513582837949783e-10,7.317505406546407e-12,9.21529082904882e-16
0.9500000000000001,2.650665253907616e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.5509637073973377e-10,7.395356058402248e-12,9.412416117085094e-16
0.96,2.6785687499387083e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.58834462585539e-10,7.473206812328995e-12,9.611627778826754e-16
0.97,2.706472282554355e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.6257255933239416e-10,7.55105766832665e-12,9.81292582247919e-16
0.98,2.7343758517545566e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.663106609802992e-10,7.628908626395213e-12,1.0016310256247803e-15
0.99,2.762279457539312e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.7004876752925393e-10,7.706759686534681e-12,1.0221781088337984e-15
1.0,2.790183099908622e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.7378687897925857e-10,7.784610848745056e-12,1.0429338326955167e-15
1.01,2.8180867788624865e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.77524995330313e-10,7.862462113026337e-12,1.063898198030477e-15
1.02,2.845990494400905e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.812631165824172e-10,7.940313479378525e-12,1.0850712056592233e-15
1.03,2.8738942465238782e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.8500124273557134e-10,8.01816494780162e-12,1.1064528564023016e-15
1.04,2.901798035231406e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.887393737897753e-10,8.096016518295624e-12,1.1280431510802572e-15
1.05,2.929701860523488e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.9247750974502907e-10,8.173868190860531e-12,1.149842090513637e-15
1.06,2.9576057224001245e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.9621565060133266e-10,8.251719965496347e-12,1.1718496755229897e-15
1.07,2.9855096208613154e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,3.999537963586861e-10,8.32957184220307e-12,1.1940659069288645e-15
1.08,3.0134135559070604e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.0369194701708934e-10,8.407423820980699e-12,1.2164907855518118e-15
1.09,3.0413175275373604e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.074301025765425e-10,8.485275901829235e-12,1.2391243122123834e-15
1.1,3.0692215357522145e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.111682630370454e-10,8.563128084748678e-12,1.261966487731131e-15
1.11,3.097125580551623e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.1490642839859817e-10,8.640980369739028e-12,1.2850173129286089e-15
1.12,3.1250296619355856e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.186445986612007e-10,8.718832756800284e-12,1.308276788625371e-15
1.1300000000000001,3.1529337799041032e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.223827738248532e-10,8.796685245932448e-12,1.3317449156419743e-15
1.1400000000000001,3.180837934457175e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.261209538895554e-10,8.874537837135517e-12,1.3554216947989745e-15
1.1500000000000001,3.208742125594801e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.298591388553075e-10,8.952390530409495e-12,1.37930712691693e-15
1.16,3.236646353316981e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.3359732872210933e-10,9.030243325754377e-12,1.4034012128163994e-15
1.17,3.264550617623716e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.373355234899611e-10,9.108096223170168e-12,1.4277039533179436e-15
1.18,3.2924549185150053e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.410737231588627e-10,9.185949222656865e-12,1.4522153492421232e-15
1.19,3.3203592559908487e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.44811927728814e-10,9.263802324214468e-12,1.4769354014095001e-15
1.2,3.348263630051247e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.485501371998153e-10,9.34165552784298e-12,1.5018641106406384e-15
1.21,3.3761680406961997e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.522883515718664e-10,9.419508833542397e-12,1.527001477756102e-15
1.22,3.4040724879257066e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.5602657084496727e-10,9.497362241312722e-12,1.5523475035764562e-15
1.23,3.431976971739768e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.59764795019118e-10,9.575215751153953e-12,1.5779021889222678e-15
1.24,3.459881492138384e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.635030240943186e-10,9.653069363066091e-12,1.6036655346141043e-15
1.25,3.487786049121554e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.672412580705689e-10,9.730923077049135e-12,1.629637541472534e-15
1.26,3.5156906426892784e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.709794969478692e-10,9.808776893103087e-12,1.6558182103181272e-15
1.27,3.5435952728415574e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.747177407262192e-10,9.886630811227946e-12,1.6822075419714545e-15
1.28,3.571499939578391e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.784559894056191e-10,9.96448483142371e-12,1.7088055372530878e-15
1.29,3.5994046428997784e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.821942429860688e-10,1.0042338953690382e-11,1.7356121969836e-15
1.3,3.627309382805721e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.859325014675684e-10,1.0120193178027961e-11,1.7626275219835656e-15
1.31,3.6552141592962176e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.896707648501178e-10,1.0198047504436447e-11,1.7898515130735593e-15
1.32,3.6831189723712682e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.93409033133717e-10,1.0275901932915838e-11,1.8172841710741566e-15
1.33,3.711023822030874e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,4.97147306318366e-10,1.0353756463466137e-11,1.8449254968059363e-15
1.34,3.7389287082750336e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.008855844040649e-10,1.0431611096087343e-11,1.8727754910894753e-15
1.35,3.766833631340298e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.04623867422503e-10,1.050946583143943e-11,1.900834154984092e-15
1.36,3.794738591989227e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.083621554758368e-10,1.0587320671649944e-11,1.9291014900909855e-15
1.37,3.8226435892381205e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.121004484322848e-10,1.0665175613974356e-11,1.95757749624564e-15
1.3800000000000001,3.850548623086975e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.158387462918466e-10,1.0743030658412659e-11,1.986262174268981e-15
1.3900000000000001,3.878453693535793e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.195770490545225e-10,1.0820885804964863e-11,2.015155524981941e-15
1.4000000000000001,3.906358800584573e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.233153567203123e-10,1.0898741053630959e-11,2.0442575492054473e-15
1.41,3.934263944233316e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.270536692892162e-10,1.0976596404410952e-11,2.0735682477604336e-15
1.42,3.962169124482022e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.30791986761234e-10,1.1054451857304841e-11,2.1030876214678316e-15
1.43,3.990074341330692e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.345303091363661e-10,1.113230741231263e-11,2.132815671148577e-15
1.44,4.017979594779324e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.382686364146122e-10,1.1210163069434314e-11,2.162752397623603e-15
1.45,4.045884884827919e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.420069685959722e-10,1.1288018828669895e-11,2.1928978017138447e-15
1.46,4.073790211476476e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.457453056804462e-10,1.136587469001937e-11,2.223251884240239e-15
1.47,4.101695574724996e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.494836476680341e-10,1.1443730653482739e-11,2.2538146460237243e-15
1.48,4.12960097457348e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.532219945587362e-10,1.152158671906001e-11,2.2845860878852416e-15
1.49,4.1575064110219255e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.569603463525523e-10,1.1599442886751171e-11,2.315566210645728e-15
1.5,4.1854118840703335e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.606987030494822e-10,1.167729915655623e-11,2.346755015126126e-15
1.51,4.213317393718706e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.644370646495264e-10,1.1755155528475189e-11,2.378152502147379e-15
1.52,4.241222939967039e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.681754311526844e-10,1.1833012002508039e-11,2.409758672530428e-15
1.53,4.269128522815337e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.719138025589567e-10,1.1910868578654791e-11,2.441573527096221e-15
1.54,4.297034142263597e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.756521788683427e-10,1.1988725256915435e-11,2.4735970666657e-15
1.55,4.3249397983118195e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.793905600808429e-10,1.2066582037289977e-11,2.5058292920598125e-15
1.56,4.352845490960005e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.83128946196457e-10,1.2144438919778413e-11,2.538270204099507e-15
1.57,4.380751220208153e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.868673372151852e-10,1.2222295904380748e-11,2.5709198036057325e-15
1.58,4.408656986056264e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.906057331370274e-10,1.2300152991096976e-11,2.603778091399437e-15
1.59,4.436562788504338e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.943441339619836e-10,1.2378010179927102e-11,2.6368450683015737e-15
1.6,4.464468627552374e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,5.980825396900538e-10,1.2455867470871123e-11,2.6701207351330926e-15
1.61,4.492374503200374e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.018209503212381e-10,1.2533724863929044e-11,2.7036050927149487e-15
1.62,4.520280415448337e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.055593658555364e-10,1.2611582359100859e-11,2.7372981418680953e-15
1.6300000000000001,4.548186364296262e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.092977862929487e-10,1.268943995638657e-11,2.771199883413487e-15
1.6400000000000001,4.576092349744149e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.130362116334749e-10,1.2767297655786176e-11,2.8053103181720797e-15
1.6500000000000001,4.603998371792e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.167746418771153e-10,1.284515545729968e-11,2.839629446964833e-15
1.6600000000000001,4.631904430439812e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.205130770238694e-10,1.2923013360927077e-11,2.8741572706127014e-15
1.67,4.659810525687588e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.242515170737377e-10,1.300087136666837e-11,2.908893789936648e-15
1.68,4.687716657535327e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.2798996202672e-10,1.3078729474523563e-11,2.943839005757633e-15
1.69,4.7156228259830295e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.317284118828165e-10,1.3156587684492652e-11,2.9789929188966185e-15
1.7,4.7435290310306935e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.354668666420268e-10,1.3234445996575634e-11,3.0143555301745642e-15
1.71,4.7714352726783216e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.392053263043513e-10,1.3312304410772516e-11,3.0499268404124378e-15
1.72,4.799341550925911e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.429437908697897e-10,1.3390162927083293e-11,3.0857068504312012e-15
1.73,4.827247865773465e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.466822603383422e-10,1.3468021545507968e-11,3.1216955610518228e-15
1.74,4.855154217220981e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.504207347100087e-10,1.3545880266046536e-11,3.1578929730952673e-15
1.75,4.883060605268459e-06,2.79e-06,2.29,5.85e-05,1.0,2.79e-06,6.54159213984789e-10,1.3623739088699e-11,3.1942990873825027e-15
