Time,D,N,v,d_D,d_N,d_v,k_D,k_N,k_D0,k_N0,p_v,v_0,K_D,K_N,K_v1,K_v2,I_0,n_1,n_2,n_3,n_4,f_D,f_N,f_v,I,compartment,Dyn_Secretion,NKB_Secretion,Firing_Rate,Dyn_Decay,NKB_Decay,FR_Decay
0.1,2.3335871677168027,0.09935388423835426,301.6354424184031,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4424278415489955,0.3091858512333349,3033.2156224989953,0.20290768882960278,1.0,0.4424278415489955,0.3091858512333349,3033.2156224989953,0.5833967919292007,0.09935388423835426,3016.354424184031
0.11,2.332180648535552,0.10144520380556676,301.804881382295,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4427104937342319,0.3098800016084492,3035.0773659876772,0.20303308776021423,1.0,0.4427104937342319,0.3098800016084492,3035.0773659876772,0.583045162133888,0.10144520380556676,3018.04881382295
0.12,2.330780479329419,0.10352263735159985,301.9760469666044,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44299614901282963,0.3105773947799342,3036.967123612925,0.2031603752280085,1.0,0.44299614901282963,0.3105773947799342,3036.967123612925,0.5826951198323548,0.10352263735159985,3019.7604696660437
0.13,2.329386674670688,0.10558635620784336,302.14904286072056,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44328498421962903,0.311278233886944,3038.884386955845,0.20328951706098103,1.0,0.44328498421962903,0.311278233886944,3038.884386955845,0.582346668667672,0.10558635620784336,3021.4904286072056
0.14,2.3279992514909322,0.10763653202747352,302.32395139000226,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44357714083556804,0.31198268120156947,3040.82866383309,0.20342048018009168,1.0,0.44357714083556804,0.31198268120156947,3040.82866383309,0.5819998128727331,0.10763653202747352,3023.2395139000228
0.15,2.3266182276913034,0.10967333618892845,302.50084509352286,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44387274426758355,0.31269088066167305,3042.799478979901,0.203553232645284,1.0,0.44387274426758355,0.31269088066167305,3042.799478979901,0.5816545569228259,0.10967333618892845,3025.0084509352287
0.16,2.325243622089228,0.11169693975882636,302.67978719259486,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44417190460162814,0.3134029586427176,3044.7963736318925,0.20368774362733252,1.0,0.44417190460162814,0.3134029586427176,3044.7963736318925,0.581310905522307,0.11169693975882636,3026.7978719259486
0.17,2.323875454611129,0.11370751322197285,302.86082915029436,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4444747124901762,0.31411901899971667,3046.8189043331868,0.20382398332757634,1.0,0.4444747124901762,0.31411901899971667,3046.8189043331868,0.5809688636527822,0.11370751322197285,3028.6082915029438
0.18,2.3225137460610132,0.11570522628239155,303.0440123838613,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4447812419782506,0.31483914628636195,3048.866642487133,0.203961922947672,1.0,0.4447812419782506,0.31483914628636195,3048.866642487133,0.5806284365152533,0.11570522628239155,3030.4401238386126
0.19,2.3211585178548737,0.11769024771714356,303.2293704403108,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4450915541116833,0.3155634099220548,3050.9391740914257,0.20410153467176972,1.0,0.4450915541116833,0.3155634099220548,3050.9391740914257,0.5802896294637184,0.11769024771714356,3032.2937044031078
0.2,2.3198097918634404,0.11966274525523461,303.41693022689583,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4454056989709902,0.31629186651939095,3053.0360993683767,0.2042427916416288,1.0,0.4454056989709902,0.31629186651939095,3053.0360993683767,0.5799524479658601,0.11966274525523461,3034.1693022689583
0.21,2.3184675903282472,0.12162288546517029,303.60671257681423,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4457237165959253,0.3170245609105863,3055.15703229466,0.20438566792496118,1.0,0.4457237165959253,0.3170245609105863,3055.15703229466,0.5796168975820618,0.12162288546517029,3036.0671257681424
0.22,2.317131935789274,0.12357083365010384,303.798732723651,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44604563775886047,0.31776152700192756,3057.3016001275464,0.20453013848353918,1.0,0.44604563775886047,0.31776152700192756,3057.3016001275464,0.5792829839473185,0.12357083365010384,3037.9873272365103
0.23,2.3158028509910453,0.1255067538317122,303.9930011755119,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44637148541024335,0.3185027894299164,3059.4694431272455,0.20467617915451508,1.0,0.44637148541024335,0.3185027894299164,3059.4694431272455,0.5789507127477613,0.1255067538317122,3039.930011755119
0.24,2.3144803588412746,0.12743080844900878,304.1895234717991,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4467012742520958,0.31924836301604675,3061.660213729983,0.20482376659473847,1.0,0.4467012742520958,0.31924836301604675,3061.660213729983,0.5786200897103186,0.12743080844900878,3041.8952347179907
0.25,2.3131644823028013,0.1293431584425422,304.38830142861735,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.447035012809617,0.3199982551755946,3063.873576479664,0.20497287827617577,1.0,0.447035012809617,0.3199982551755946,3063.873576479664,0.5782911205757003,0.1293431584425422,3043.8830142861734
0.26,2.311855244322873,0.13124396327504032,304.58933389317144,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44737270468339885,0.3207524673686142,3066.1092078258876,0.20512349247232944,1.0,0.44737270468339885,0.3207524673686142,3066.1092078258876,0.5779638110807183,0.13124396327504032,3045.8933389317144
0.27,2.310552667798356,0.13313338083413467,304.7926168974555,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44771434879515953,0.321510995365084,3068.366795665172,0.20527558822735686,1.0,0.44771434879515953,0.321510995365084,3068.366795665172,0.577638166949589,0.13313338083413467,3047.926168974555
0.28,2.309256775542354,0.1350115673389969,304.9981438093661,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44805993962953516,0.3222738295074364,3070.6460388848027,0.20542914532536538,1.0,0.44805993962953516,0.3222738295074364,3070.6460388848027,0.5773141938855885,0.1350115673389969,3049.9814380936614
0.29,2.307967590241892,0.1368786773092178,305.20590571031687,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4484094678574339,0.323040955428742,3072.946647042841,0.20558414426888139,1.0,0.4484094678574339,0.323040955428742,3072.946647042841,0.576991897560473,0.1368786773092178,3052.059057103169
0.3,2.3066851344176857,0.13873486356430717,305.41589182402083,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4487629210471734,0.3238123548795132,3075.2683401161617,0.20574056626190135,1.0,0.4487629210471734,0.3238123548795132,3075.2683401161617,0.5766712836044214,0.13873486356430717,3054.1589182402085
0.31,2.3054094303942634,0.14058027721504307,305.6280898298692,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.449120284183194,0.324588006329766,3077.610848227335,0.2058983931915185,1.0,0.449120284183194,0.324588006329766,3077.610848227335,0.5763523575985658,0.14058027721504307,3056.280898298692
0.32,2.304140500278239,0.14241506764363143,305.8424860741235,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.44948154001398527,0.3253678853707562,3079.9739113438195,0.20605760760768452,1.0,0.44948154001398527,0.3253678853707562,3079.9739113438195,0.5760351250695598,0.14241506764363143,3058.4248607412346
0.33,2.302878365938693,0.14423938248670998,306.0590657715531,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4498466693848522,0.3261519651011299,3082.3572789889386,0.2062181927037642,1.0,0.4498466693848522,0.3261519651011299,3082.3572789889386,0.5757195914846732,0.14423938248670998,3060.590657715531
0.34,2.3016230489923815,0.14605336763196253,306.2778131820097,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45021565152933235,0.3269402164654411,3084.7607099738366,0.20638013229850344,1.0,0.45021565152933235,0.3269402164654411,3084.7607099738366,0.5754057622480954,0.14605336763196253,3062.778131820097
0.35000000000000003,2.300374570788556,0.14785716721741896,306.49871180590134,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4505884643933614,0.32773260863419273,3087.1839721503984,0.20654341081941086,1.0,0.4505884643933614,0.32773260863419273,3087.1839721503984,0.575093642697139,0.14785716721741896,3064.9871180590135
0.36,2.2991329523976396,0.14965092363296628,306.7217445461756,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4509650849038492,0.3285291093193098,3089.626842169013,0.2067080132864638,1.0,0.4509650849038492,0.3285291093193098,3089.626842169013,0.5747832380994099,0.14965092363296628,3067.217445461756
0.37,2.297898214602118,0.15143477752419937,306.9468938572063,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45134548921595097,0.32932968506582316,3092.089105246627,0.20687392529650928,1.0,0.45134548921595097,0.32932968506582316,3092.089105246627,0.5744745536505295,0.15143477752419937,3069.468938572063
0.38,2.296670377890365,0.1532088677995568,307.1741418737776,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4517296529274705,0.33013430150554013,3094.570554943739,0.20704113300826674,1.0,0.4517296529274705,0.33013430150554013,3094.570554943739,0.5741675944725912,0.1532088677995568,3071.7414187377763
0.39,2.2954494624537367,0.1549733316396568,307.40347050718145,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45211755123831787,0.33094292354591504,3097.070992943658,0.20720962312748195,1.0,0.45211755123831787,0.33094292354591504,3097.070992943658,0.5738623656134342,0.1549733316396568,3074.0347050718146
0.4,2.294235488184765,0.15672830450831568,307.63486153451703,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45250915909899225,0.3317555155467809,3099.590228840995,0.20737938289270547,1.0,0.45250915909899225,0.3317555155467809,3099.590228840995,0.5735588720461913,0.15672830450831568,3076.3486153451704
0.41000000000000003,2.2930284746759924,0.15847392016493642,307.8682966865456,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4529044513571272,0.33257204149577146,3102.1280799407737,0.20755040006178374,1.0,0.4529044513571272,0.33257204149577146,3102.1280799407737,0.5732571186689981,0.15847392016493642,3078.682966865456
0.42,2.2918284412198835,0.16021031067845046,308.1037577301209,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4533034028953585,0.33339246517419896,3104.684371066918,0.20772266289898417,1.0,0.4533034028953585,0.33339246517419896,3104.684371066918,0.5729571103049709,0.16021031067845046,3081.037577301209
0.43,2.2906354068102996,0.1619376064427749,308.3412265383162,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45370598874882667,0.33421675029913567,3107.258934377354,0.2078961601625638,1.0,0.45370598874882667,0.33421675029913567,3107.258934377354,0.5726588517025749,0.1619376064427749,3083.4122653831623
0.44,2.2894493901453896,0.16365593619352323,308.58068514829654,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4541121842023254,0.3350448606415539,3109.8516091847423,0.20807088109271912,1.0,0.4541121842023254,0.3350448606415539,3109.8516091847423,0.5723623475363474,0.16365593619352323,3085.8068514829656
0.45,2.288270409631433,0.16536542702562815,308.8221158109426,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45452196487382207,0.3358767601285485,3112.4622417833743,0.20824681539994955,1.0,0.45452196487382207,0.3358767601285485,3112.4622417833743,0.5720676024078583,0.16536542702562815,3088.221158109426
0.46,2.287098483387322,0.1670662044116846,309.0655010355109,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4549353067898814,0.33671241293625004,3115.090685282799,0.20842395325387508,1.0,0.4549353067898814,0.33671241293625004,3115.090685282799,0.5717746208468305,0.1670662044116846,3090.655010355109
0.47000000000000003,2.2859336292496266,0.16875839222095385,309.3108236297962,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4553521864537568,0.337551783574283,3117.736799448024,0.208602285272497,1.0,0.4553521864537568,0.337551783574283,3117.736799448024,0.5714834073124067,0.16875839222095385,3093.108236297962
0.48,2.2847758647783,0.17044211273899035,309.5580667350297,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45577258090481926,0.3383948369600767,3120.400450545669,0.20878180251185846,1.0,0.45577258090481926,0.3383948369600767,3120.400450545669,0.571193966194575,0.17044211273899035,3095.5806673502966
0.49,2.2836252072629857,0.17211748668779514,309.80721385536935,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45619646776904677,0.3392415384826158,3123.08151119551,0.2089624964560697,1.0,0.45619646776904677,0.3392415384826158,3123.08151119551,0.5709063018157464,0.17211748668779514,3098.0721385536935
0.5,2.282481673729806,0.17378463324636617,310.0582488827938,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4566238253019209,0.34009185405721176,3125.779860227266,0.20914435900768555,1.0,0.4566238253019209,0.34009185405721176,3125.779860227266,0.5706204184324515,0.17378463324636617,3100.582488827938
0.51,2.281345280948518,0.17544367007153822,310.31115611839084,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4570546324253901,0.3409457501732554,3128.4953825425864,0.2093273824784327,1.0,0.4570546324253901,0.3409457501732554,3128.4953825425864,0.5703363202371295,0.17544367007153822,3103.1115611839086
0.52,2.2802160454399663,0.17709471331904578,310.565920290597,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45748886875982325,0.34180319393603603,3131.2279689820907,0.20951155958027917,1.0,0.45748886875982325,0.34180319393603603,3131.2279689820907,0.5700540113599916,0.17709471331904578,3105.65920290597
0.53,2.2790939834837927,0.17873787766475846,310.82252657067755,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4579265146514283,0.34266415310316023,3133.977516197331,0.20969688341683315,1.0,0.4579265146514283,0.34266415310316023,3133.977516197331,0.5697734958709482,0.17873787766475846,3108.2252657067756
0.54,2.2779791111264216,0.18037327632606512,311.08096058513166,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4583675511945758,0.34352859611484776,3136.743926527196,0.20988334747504298,1.0,0.4583675511945758,0.34352859611484776,3136.743926527196,0.5694947777816054,0.18037327632606512,3110.8096058513165
0.55,2.2768714441892164,0.18200102108331506,311.34120842585565,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45881196025043236,0.3443964921197847,3139.5271078788005,0.21007094561719816,1.0,0.45881196025043236,0.3443964921197847,3139.5271078788005,0.5692178610473041,0.18200102108331506,3113.4120842585567
0.56,2.2757709982767715,0.18362122230127223,311.60325665836683,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4592597244624009,0.3452678109971199,3142.3269736127077,0.2102596720732225,1.0,0.4592597244624009,0.3452678109971199,3142.3269736127077,0.5689427495691929,0.18362122230127223,3116.032566583668
0.5700000000000001,2.2746777887853233,0.18523398895055773,311.86709232815116,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.45971082726846324,0.3461425233746906,3145.143442432263,0.21044952143324447,1.0,0.45971082726846324,0.3461425233746906,3145.143442432263,0.5686694471963308,0.18523398895055773,3118.6709232815115
0.58,2.273591830911259,0.18683942862904954,312.1327029652869,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.46016525291067156,0.3470206006437558,3147.9764382768813,0.2106404886404342,1.0,0.46016525291067156,0.3470206006437558,3147.9764382768813,0.5683979577278148,0.18683942862904954,3121.327029652869
0.59,2.272513139659688,0.18843764758320256,312.40007658760993,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.46062298644222854,0.3479020149707577,3150.825890219181,0.21083256898409836,1.0,0.46062298644222854,0.3479020149707577,3150.825890219181,0.568128284914922,0.18843764758320256,3124.000765876099
0.6,2.2714417298530485,0.19002875072925743,312.66920170265433,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4610840137325465,0.3487867393065711,3153.6917323658145,0.21102575809302604,1.0,0.4610840137325465,0.3487867393065711,3153.6917323658145,0.5678604324632621,0.19002875072925743,3126.6920170265435
0.61,2.270377616139733,0.1916128416743167,312.94006730851123,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4615483214705195,0.34967474739351556,3156.5739037619187,0.211220051929077,1.0,0.4615483214705195,0.34967474739351556,3156.5739037619187,0.5675944040349332,0.1916128416743167,3129.4006730851124
0.62,2.2693208130027127,0.19319002273727115,313.21266289370595,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4620158971661707,0.3505660137703136,3159.472348299028,0.21141544678100338,1.0,0.4620158971661707,0.3505660137703136,3159.472348299028,0.5673302032506782,0.19319002273727115,3132.1266289370596
0.63,2.2682713347681567,0.19476039496955966,313.4869784362094,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4624867291508668,0.35146051377522003,3162.3870146263134,0.21161193925849692,1.0,0.4624867291508668,0.35146051377522003,3162.3870146263134,0.5670678336920392,0.19476039496955966,3134.8697843620944
0.64,2.2672291956140227,0.19632405817574566,313.76300440171156,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4629608065763092,0.3523582235475705,3165.317856065092,0.21180952628645464,1.0,0.4629608065763092,0.3523582235475705,3165.317856065092,0.5668072989035057,0.19632405817574566,3137.6300440171153
0.65,2.2661944095786106,0.1978811109338967,314.0407317412684,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.46343811941248875,0.3532591200279715,3168.264830526462,0.21200820509945692,1.0,0.46343811941248875,0.3532591200279715,3168.264830526462,0.5665486023946527,0.1978811109338967,3140.4073174126843
0.66,2.2651669905690697,0.1994316506157567,314.320151888409,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.46391865844474456,0.3541631809572955,3171.2279004320067,0.21220797323645074,1.0,0.46391865844474456,0.3541631809572955,3171.2279004320067,0.5662917476422674,0.1994316506157567,3143.2015188840896
0.67,2.2641469523698516,0.20097577340670217,314.60125675577524,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4644024152700494,0.35507038487462805,3174.2070326374323,0.21240882853563214,1.0,0.4644024152700494,0.35507038487462805,3174.2070326374323,0.5660367380924629,0.20097577340670217,3146.0125675577524
0.68,2.2631343086511,0.20251357432547512,314.8840387313657,0.25,1.0,10.0,4.5,320.0,0.175,0.0,1.0,30000.0,0.3,32.0,1200.0,1200.0,0.2,2.0,2.0,2.0,2.0,0.4648893822926359,0.3559807111143025,3177.2021983590766,0.2126107691295215,1.0,0.4648893822926359,0.3559807111143025,3177.2021983590766,0.565783577162775,0.20251357432547512,3148.840387313657
