Time,R,L,V,E,u,T,delta,pi,p,alpha,k,beta,sigma,z,Blood,R_Death,R_Birth,R_to_L,R_to_E,L_Death,L_to_E,E_Death,V_Death,V_Creation
23.0,1159131831.3561294,157016.57557276162,1906621.1429285659,25167.50988383174,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,46365273.25424518,21697769.942838423,90611.03554130929,362444.14216523716,6280.663022910465,45220.773764955346,402680.1581413078,7149829.285982122,7550252.965149522
24.0,1132704953.5876238,197738.3798770369,2296271.827655494,29940.500296610517,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,45308198.143504955,18353790.567847088,106640.93743273245,426563.74973092985,7909.535195081477,56948.65340458662,479048.00474576827,8611019.353708103,8982150.088983156
25.0,1104577167.3977883,239349.24192625735,2634008.3553200886,33917.11355299544,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,44183086.695911534,16190954.810959606,119288.08500888437,477152.3400355375,9573.969677050294,68932.58167476211,542673.816847927,9877531.332450332,10175134.065898633
26.0,1075836701.5144413,277989.29643968766,2880399.3676452357,36642.00171879039,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,43033468.06057765,14909216.356414085,127052.41354400103,508209.65417600406,11119.571857587507,80060.91737463004,586272.0275006462,10801497.628669634,10992600.515637117
27.0,1047290509.5082546,309976.3072340467,3011402.189878616,37876.5744597984,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,41891620.38033019,14307028.244015405,129306.33028466222,517225.32113864884,12399.052289361867,89273.17648340543,606025.1913567744,11292758.21204481,11362972.33793952
28.0,1019556030.1071754,332547.47981292754,3022632.919967186,37631.56454840687,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,40782241.204287015,14257659.402683614,126351.48843447314,505405.9537378926,13301.899192517101,95773.67418612313,602105.0327745099,11334873.449876947,11289469.36452206
29.0,993126576.0250506,344312.5321174619,2927488.7555548144,36124.99276072446,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,39725063.04100203,14687008.967100991,119202.04225039553,476808.1690015822,13772.501284698476,99162.00924982902,577999.8841715914,10978082.833330553,10837497.828217339
30.0,968415992.7707603,345320.95674833044,2750974.08708061,33695.59755652631,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,38736639.71083041,15556093.414879357,109227.57936669899,436910.31746679597,13812.838269933218,99452.43554351915,539129.5609044209,10316152.826552287,10108679.266957892
31.0,945788510.317581,336802.15839499526,2522294.6208105534,30711.10050235476,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,37831540.412703246,16847652.83601861,97807.84815193691,391231.3926077476,13472.086335799811,96999.02161775863,491377.60803767614,9458604.828039575,9213330.150706427
32.0,925577131.0851018,320728.35933254455,2268786.947914413,27499.591325058365,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,37023085.243404076,18555506.264911205,86097.42988605182,344389.7195442072,12829.134373301782,92369.76748777283,439993.46120093385,8507951.05467905,8249877.39751751
33.0,908092554.0170494,299360.50230153225,2012365.4345553042,24313.84828531072,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36323702.16068198,20675478.161871605,74923.97675031917,299695.90700127673,11974.420092061291,86215.82466284129,389021.5725649715,7546370.379582391,7294154.485593216
34.0,893623548.1154226,274884.2980917685,1768381.909305663,21324.037576988718,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35744941.9246169,23197211.24572844,64790.97636489093,259163.90545956368,10995.37192367074,79166.67785042933,341184.6012318195,6631432.159896237,6397211.273096615
35.0,882429490.9936596,249179.8554844268,1546124.1409048596,18627.984403753406,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35297179.63974638,26096731.288562134,55938.167085539055,223752.66834215625,9967.194219377072,71763.79837951492,298047.7504600545,5797965.528393224,5588395.321126021
36.0,874726034.6015557,223716.71221183226,1350095.4693840113,16268.47098283285,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34989041.38406223,29330194.53186814,48419.50990697989,193678.03962791953,8948.668488473291,64430.41311700769,260295.5357253256,5062858.010190043,4880541.294849855
37.0,870665742.0187303,199543.65302548266,1181459.115051936,14251.163483888331,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34826629.680749215,32829462.44377694,42174.895059930925,168699.58023972373,7981.746121019307,57468.572071339004,228018.6157422133,4430471.6814447595,4275349.045166499
38.0,870315984.7790333,177335.24597883353,1039302.8768071352,12559.487393915666,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34812639.39116133,36500377.40205532,37085.39817519544,148341.59270078177,7093.409839153341,51072.55084190405,200951.79830265066,3897385.788026757,3767846.2181746997
39.0,873637770.3888224,157464.2952851554,921587.0453993641,11165.459370872091,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34945510.8155529,40224936.512152776,33010.46331403883,132041.85325615536,6298.571811406216,45349.71704212475,178647.34993395346,3455951.4202476153,3349637.8112616274
40.0,880469054.8196522,140078.92987577966,825811.2615976369,10037.096381608024,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35218762.19278609,43866897.382191025,29811.151699290127,119244.60679716051,5603.157195031186,40342.73180422454,160593.54210572838,3096792.230991138,3011128.9144824073
41.0,890515748.9631625,125173.27778907496,749432.5544898184,9142.955679766199,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35620629.9585265,47280716.8300965,27362.641194913944,109450.56477965578,5006.931111562998,36049.904003253585,146287.29087625918,2810372.0793368192,2742886.7039298597
42.0,903353150.2518284,112645.2839293193,690108.1954143302,8454.690085783886,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36134126.01007314,50322487.60790899,25559.86790602772,102239.47162411088,4505.811357172772,32441.841771643954,135275.04137254218,2587905.732803738,2536407.025735166
43.0,918437991.4508604,102341.45769842334,645823.3767303155,7948.31194133133,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36737519.658034414,52861124.85275935,24319.09772320433,97276.39089281732,4093.658307936934,29474.33981714592,127172.99106130128,2421837.662738683,2384493.582399399
44.0,935130941.2031909,94089.07876403081,614935.3735273788,7604.548895967751,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,37405237.64812764,54788944.68600584,23576.84887965753,94307.39551863012,3763.5631505612328,27097.65468404087,121672.78233548402,2306007.6507276706,2281364.6687903255
45.0,952727588.2736351,87717.84713467919,596171.2268515283,7408.670262292272,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,38109103.530945405,56030287.924936995,23287.53978141202,93150.15912564808,3508.713885387168,25262.739974787604,118538.72419667635,2235642.100693231,2222601.078687682
46.0,970495778.9030417,83073.02529697023,588588.6726386205,7349.909099026527,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,38819831.15612167,56548017.574504904,23420.13571454294,93680.54285817176,3322.921011878809,23925.031285527424,117598.54558442443,2207207.5223948266,2204972.729707958
47.0,987716401.6331582,80021.72865264535,591512.8507225143,7420.586725513304,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,39508656.065326326,56347228.058491446,23954.124721851942,95816.49888740777,3200.8691461058143,23046.257851961862,118729.38760821287,2218173.190209429,2226176.0176539915
48.0,1003724876.3882383,78453.69992954384,604448.3174903116,7614.936125534035,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,40148995.055529535,55475851.421437904,24874.6923229977,99498.76929199081,3138.147997181754,22594.665579708624,121838.97800854457,2266681.1905886685,2284480.8376602107
49.0,1017949729.7468204,78277.33588926491,626968.9786215738,7927.656535099549,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,40717989.189872816,54021403.257177494,26167.138996246307,104668.55598498524,3131.0934355705967,22543.872736108293,126842.50456159278,2351133.6698309015,2378296.9605298648
50.0,1029944357.1385357,79411.84236799326,658588.2648657804,8352.22951999394,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,41197774.28554143,52103477.004690185,27810.67995012296,111242.71980049185,3176.4736947197307,22870.610601982058,133635.67231990304,2469705.9932466764,2505668.8559981817
